#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 fe7 fe8 fe9
6.4323e+03 8.1167e-29 9.7394e-21 1.2779e-13 1.3344e-07 2.9669e-03 5.6087e-01 4.3582e-01 3.3690e-04 2.0245e-09 1.1393e-21
6.8362e+03 3.5677e-28 4.0793e-20 4.9178e-13 4.2963e-07 6.6511e-03 7.2567e-01 2.6760e-01 7.9431e-05 1.4761e-10 1.3153e-23
7.2654e+03 2.0184e-27 2.1287e-19 2.2740e-12 1.5666e-06 1.5385e-02 8.5649e-01 1.2811e-01 1.2032e-05 5.4809e-12 5.4518e-26
7.7216e+03 1.6056e-26 1.5153e-18 1.3828e-11 6.9808e-06 3.8372e-02 9.1721e-01 4.4408e-02 9.9419e-07 7.8725e-14 5.1602e-29
8.2065e+03 3.2221e-25 2.5490e-17 1.8276e-10 5.6731e-05 1.2880e-01 8.6342e-01 7.7214e-03 2.0317e-08 1.1832e-16 1.3573e-33
8.7177e+03 5.0949e-23 2.8689e-15 1.2977e-08 1.5271e-03 6.2730e-01 3.7104e-01 1.3350e-04 6.0384e-12 2.4942e-22 1.3579e-42
9.2147e+03 5.4659e-20 1.6274e-12 3.0103e-06 5.3832e-02 9.3940e-01 6.7601e-03 7.3833e-09 2.2545e-19 1.3112e-33 0.0000e+00
9.6291e+03 5.8838e-17 8.9658e-10 5.2296e-04 7.7755e-01 2.2193e-01 5.2136e-06 3.0406e-15 6.9729e-30 0.0000e+00 0.0000e+00
9.9539e+03 6.4147e-15 6.0585e-08 1.0269e-02 9.8694e-01 2.7932e-03 1.0297e-10 1.1645e-23 5.3670e-43 0.0000e+00 0.0000e+00
1.0246e+04 9.3339e-13 5.4926e-06 2.0417e-01 7.9581e-01 9.7560e-06 1.8394e-16 9.2024e-34 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 4.7998e-11 1.7008e-04 9.3208e-01 6.7751e-02 8.0015e-10 9.7956e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 2.1058e-09 2.6255e-03 9.9690e-01 4.7134e-04 9.2473e-16 7.9445e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 1.3262e-07 4.6083e-02 9.5391e-01 2.0557e-06 3.1594e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 4.3914e-06 4.1627e-01 5.8372e-01 9.1858e-09 2.4530e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 3.3843e-05 9.0121e-01 9.8755e-02 1.4583e-11 1.0161e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
