#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    1.576106E+03   1.0000E-099   2.8178E-013   3.2169E-006   1.0000E+000
    1.675071E+03   1.0000E-099   2.2688E-013   2.9675E-006   1.0000E+000
    1.780251E+03   1.0000E-099   1.6750E-013   2.6445E-006   1.0000E+000
    1.892034E+03   1.0000E-099   1.2467E-013   2.3300E-006   1.0000E+000
    2.010837E+03   1.0000E-099   9.4123E-014   2.0906E-006   1.0000E+000
    2.137099E+03   1.0000E-099   6.8755E-014   1.8329E-006   1.0000E+000
    2.271289E+03   1.0000E-099   5.0582E-014   1.6208E-006   1.0000E+000
    2.413905E+03   1.0000E-099   3.7194E-014   1.4243E-006   1.0000E+000
    2.565477E+03   1.0000E-099   2.9272E-014   1.2848E-006   1.0000E+000
    2.726565E+03   1.0000E-099   2.4407E-014   1.1807E-006   1.0000E+000
    2.897769E+03   1.0000E-099   2.1917E-014   1.1111E-006   1.0000E+000
    3.079722E+03   1.0000E-099   2.1091E-014   1.0656E-006   1.0000E+000
    3.273101E+03   1.0000E-099   2.4351E-014   1.0992E-006   1.0000E+000
    3.478622E+03   1.0000E-099   2.9458E-014   1.1121E-006   1.0000E+000
    3.697048E+03   1.0000E-099   6.1881E-014   1.5215E-006   1.0000E+000
    3.929188E+03   1.0000E-099   1.2551E-013   2.1581E-006   1.0000E+000
    4.175906E+03   1.0000E-099   1.3229E-013   1.8636E-006   1.0000E+000
    4.438115E+03   1.0000E-099   1.6638E-013   1.9773E-006   1.0000E+000
    4.716788E+03   1.0000E-099   1.5623E-013   1.8965E-006   1.0000E+000
    5.012959E+03   1.0000E-099   1.2823E-013   1.7275E-006   1.0000E+000
    5.327727E+03   1.0000E-099   1.0475E-013   1.5722E-006   1.0000E+000
    5.662260E+03   1.0000E-099   9.0890E-014   1.4626E-006   1.0000E+000
    6.017798E+03   1.0000E-099   8.5842E-014   1.4176E-006   1.0000E+000
    6.395661E+03   1.0000E-099   8.9789E-014   1.4322E-006   1.0000E+000
    6.797251E+03   1.0000E-099   9.7876E-014   1.4689E-006   1.0000E+000
    7.224056E+03   1.0000E-099   1.1438E-013   1.5642E-006   1.0000E+000
    7.677661E+03   1.0000E-099   1.3799E-013   1.6908E-006   1.0000E+000
    8.159748E+03   1.0000E-099   1.8899E-013   1.9519E-006   1.0000E+000
    8.672106E+03   1.0000E-099   3.5339E-013   2.6451E-006   1.0000E+000
    9.216636E+03   1.0000E-099   2.3840E-012   7.4576E-006   9.9999E-001
    9.793140E+03   1.0000E-099   1.0924E-010   7.9414E-005   9.9992E-001
    1.026683E+04   1.0000E-099   7.7328E-009   1.4638E-003   9.9854E-001
    1.070804E+04   1.0000E-099   1.7101E-006   5.8077E-002   9.4192E-001
    1.120152E+04   1.0000E-099   1.2085E-003   9.8925E-001   9.5452E-003
    1.159423E+04   1.0000E-099   1.7316E-002   9.8261E-001   7.5671E-005
    1.180243E+04   1.0000E-099   3.9354E-002   9.6063E-001   1.9656E-005
    1.192916E+04   1.0000E-099   8.1805E-002   9.1819E-001   3.6249E-006
    1.202084E+04   1.0000E-099   1.7689E-001   8.2311E-001   3.9813E-007
    1.209768E+04   1.0000E-099   2.9695E-001   7.0305E-001   6.2225E-008
    1.216841E+04   1.0000E-099   4.0234E-001   5.9766E-001   1.6003E-008
    1.223949E+04   1.0000E-099   5.2968E-001   4.7032E-001   3.4844E-009
    1.231406E+04   1.0000E-099   6.5512E-001   3.4488E-001   7.1243E-010
    1.239842E+04   1.0000E-099   7.4896E-001   2.5104E-001   1.7459E-010
    1.256481E+04   1.0000E-099   8.2238E-001   1.7762E-001   4.0467E-011
    1.321135E+04   1.0000E-099   7.2023E-001   2.7977E-001   1.2990E-010
    1.378971E+04   1.0000E-099   5.6131E-001   4.3869E-001   6.4439E-010
    1.426236E+04   1.0000E-099   5.3968E-001   4.6032E-001   6.0907E-010
    1.471893E+04   1.0000E-099   6.1990E-001   3.8010E-001   1.8779E-010
    1.520339E+04   1.0000E-099   7.4554E-001   2.5446E-001   3.1431E-011
    1.569984E+04   1.0000E-099   8.8015E-001   1.1985E-001   1.9970E-012
    1.625603E+04   1.0000E-099   9.5508E-001   4.4916E-002   6.4930E-014
    1.692188E+04   1.0000E-099   9.8568E-001   1.4321E-002   1.6855E-015
    1.755155E+04   1.0000E-099   9.9398E-001   6.0203E-003   8.9798E-017
    1.815678E+04   1.0000E-099   9.9641E-001   3.5939E-003   1.1964E-017
    1.877630E+04   1.0000E-099   9.9761E-001   2.3858E-003   2.2825E-018
    1.943029E+04   1.0000E-099   9.9834E-001   1.6648E-003   5.7792E-019
    2.010428E+04   1.0000E-099   9.9814E-001   1.8626E-003   5.0592E-019
    2.090850E+04   1.0000E-099   9.9780E-001   2.2013E-003   6.3257E-019
    2.182676E+04   1.0000E-099   9.9783E-001   2.1675E-003   6.5747E-019
    2.283367E+04   1.0000E-099   9.9708E-001   2.9181E-003   1.7426E-018
    2.394324E+04   1.0000E-099   9.9634E-001   3.6634E-003   3.5699E-018
    2.516734E+04   1.0000E-099   9.9466E-001   5.3385E-003   8.7781E-018
    2.638649E+04   1.0000E-099   9.9438E-001   5.6233E-003   9.7388E-018
    2.758311E+04   1.0000E-099   9.9014E-001   9.8647E-003   3.6595E-017
    2.884269E+04   1.0000E-099   9.8579E-001   1.4210E-002   8.4722E-017
    3.014497E+04   1.0000E-099   9.7867E-001   2.1330E-002   2.4754E-016
    3.148085E+04   1.0000E-099   9.7142E-001   2.8577E-002   5.5109E-016
    3.276289E+04   1.0000E-099   9.6816E-001   3.1839E-002   8.1401E-016
    3.391810E+04   1.0000E-099   9.6497E-001   3.5028E-002   1.1997E-015
    3.495083E+04   1.0000E-099   9.5850E-001   4.1503E-002   2.2566E-015
    3.592850E+04   1.0000E-099   9.4870E-001   5.1298E-002   4.6580E-015
    3.688885E+04   1.0000E-099   9.3630E-001   6.3702E-002   9.3734E-015
