#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3
14012.75 3.7117e-06 1.5488e-02 7.5535e-01 2.2916e-01
14508.81 3.0896e-06 1.3482e-02 7.0035e-01 2.8616e-01
15002.30 2.8895e-06 1.3121e-02 7.3066e-01 2.5621e-01
15475.29 3.0126e-06 1.2970e-02 7.7970e-01 2.0732e-01
15923.68 2.4216e-06 1.1835e-02 7.5316e-01 2.3500e-01
16355.64 1.3029e-06 6.3912e-03 8.0134e-01 1.9227e-01
16776.27 1.4067e-06 7.0505e-03 7.8332e-01 2.0962e-01
17183.14 1.9840e-06 8.7091e-03 8.1636e-01 1.7493e-01
17580.45 2.5793e-06 1.0844e-02 8.3803e-01 1.5113e-01
17990.34 1.6392e-06 7.4268e-03 8.4606e-01 1.4651e-01
18458.06 1.6386e-06 7.1270e-03 8.1975e-01 1.7312e-01
19084.69 1.3222e-06 6.5273e-03 8.2117e-01 1.7230e-01
19999.79 8.2564e-07 6.0515e-03 7.1574e-01 2.7821e-01
21193.46 2.1229e-07 2.5906e-03 6.9352e-01 3.0389e-01
22528.72 8.0088e-08 1.6412e-03 5.4393e-01 4.5443e-01
23943.32 2.4343e-08 7.5586e-04 4.8016e-01 5.1909e-01
25446.74 1.5703e-08 5.7657e-04 2.5395e-01 7.4547e-01
27044.57 7.9384e-09 4.2056e-04 6.5363e-02 9.3422e-01
28744.18 1.4404e-09 1.4077e-04 7.7575e-02 9.2228e-01
30520.16 4.5012e-10 7.3492e-05 1.1965e-01 8.8028e-01
32243.50 1.4207e-10 3.6573e-05 1.2459e-01 8.7538e-01
33773.01 6.9326e-11 2.6045e-05 1.0166e-01 8.9832e-01
