#NTIMES: 50
#NSTAGES: 3
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] co0 co1 co2
11963.37 5.0708e-01 4.5039e-01 4.2533e-02
12055.39 4.6661e-01 4.8312e-01 5.0277e-02
12170.41 3.6982e-01 5.7172e-01 5.8460e-02
12360.89 2.2636e-01 7.0928e-01 6.4356e-02
12670.46 1.4272e-01 7.7755e-01 7.9730e-02
13075.34 8.5235e-02 8.1908e-01 9.5681e-02
13530.52 6.0899e-02 8.2397e-01 1.1513e-01
14012.75 3.8464e-02 8.2699e-01 1.3454e-01
14508.81 3.0114e-02 8.1965e-01 1.5024e-01
15002.30 3.7286e-02 8.0221e-01 1.6050e-01
15475.29 4.4848e-02 7.9215e-01 1.6300e-01
15923.68 7.8818e-02 7.4302e-01 1.7816e-01
16355.64 3.2823e-02 7.8370e-01 1.8348e-01
16776.27 5.7056e-02 7.5503e-01 1.8792e-01
17183.14 1.2320e-01 6.9929e-01 1.7751e-01
17580.45 6.3985e-02 7.6283e-01 1.7318e-01
17990.34 1.8068e-01 6.4641e-01 1.7291e-01
18458.06 5.6355e-02 7.2807e-01 2.1557e-01
19084.69 1.6542e-02 7.4614e-01 2.3732e-01
19999.79 2.0625e-02 6.7141e-01 3.0797e-01
21193.46 8.4071e-03 5.0507e-01 4.8653e-01
22528.72 3.4147e-02 3.9724e-01 5.6861e-01
23943.32 1.2727e-02 3.4152e-01 6.4576e-01
25446.74 3.0674e-03 3.0092e-01 6.9601e-01
27044.57 1.0126e-03 2.0892e-01 7.9007e-01
28744.18 5.0127e-04 1.1681e-01 8.8269e-01
30520.16 2.9889e-04 4.1088e-02 9.5861e-01
32243.50 1.4233e-05 9.1476e-03 9.9084e-01
33773.01 9.7849e-06 9.4557e-03 9.9053e-01
35108.48 2.0989e-05 3.1178e-02 9.6880e-01
36326.30 5.1416e-05 2.1804e-02 9.7815e-01
