#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
17415.23 7.5029e-04 6.4868e-01 3.3013e-01 2.0437e-02
17888.12 5.9587e-04 5.6930e-01 4.0175e-01 2.8352e-02
18532.37 3.5955e-04 5.1498e-01 4.4753e-01 3.7128e-02
19260.76 4.3009e-04 4.4506e-01 5.0650e-01 4.8011e-02
20034.10 1.6437e-04 4.0403e-01 5.3100e-01 6.4806e-02
20838.00 1.0832e-04 3.0683e-01 5.9357e-01 9.9493e-02
21647.97 8.4218e-05 2.1218e-01 6.7242e-01 1.1532e-01
22447.94 3.8479e-05 1.3941e-01 7.1494e-01 1.4560e-01
23245.88 1.2773e-04 1.9674e-01 6.4285e-01 1.6028e-01
24052.47 2.8479e-05 1.1630e-01 6.8471e-01 1.9896e-01
24867.72 5.3818e-05 1.1703e-01 6.4359e-01 2.3933e-01
25698.86 1.2254e-04 1.4167e-01 6.0528e-01 2.5292e-01
26587.16 7.9996e-06 3.0716e-02 6.5148e-01 3.1780e-01
27637.54 1.0182e-05 2.9489e-02 6.2017e-01 3.5033e-01
28986.97 2.9003e-05 8.9058e-02 5.1469e-01 3.9622e-01
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
1060.83 8.0231e-03 8.3974e-01 1.4851e-01 3.7236e-03
1919.29 9.1993e-03 8.5087e-01 1.3686e-01 3.0675e-03
2581.60 7.3441e-03 7.9450e-01 1.9270e-01 5.4552e-03
3084.17 3.6370e-03 6.6948e-01 3.1564e-01 1.1248e-02
3472.46 2.0335e-03 5.6025e-01 4.1950e-01 1.8219e-02
3909.64 1.0446e-03 4.4007e-01 5.2948e-01 2.9414e-02
4148.46 1.2901e-03 4.5446e-01 5.1415e-01 3.0105e-02
4670.75 1.5544e-03 4.8511e-01 4.8511e-01 2.8228e-02
4956.05 9.1351e-04 4.1420e-01 5.4997e-01 3.4919e-02
5258.79 3.7766e-04 3.0241e-01 6.5062e-01 4.6596e-02
5580.02 1.3353e-04 2.4966e-01 6.9808e-01 5.2124e-02
5920.87 5.9864e-05 2.0368e-01 7.3601e-01 6.0252e-02
6282.54 3.4904e-05 1.6770e-01 7.6459e-01 6.7672e-02
6666.30 3.1162e-05 1.6537e-01 7.6582e-01 6.8770e-02
7073.50 3.3250e-05 1.7050e-01 7.5984e-01 6.9635e-02
7505.58 3.1089e-05 1.4941e-01 7.7055e-01 8.0013e-02
