#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] v0 v1 v2 v3 v4 v5 v6 
1267.34 1.89e-22 4.57e-16 1.06e-09 1.00e-04 1.29e-01 8.70e-01 1.62e-06 
1514.05 6.51e-24 1.82e-17 5.64e-11 9.69e-06 3.43e-02 9.66e-01 2.80e-05 
1808.80 2.99e-25 9.46e-19 3.94e-12 1.19e-06 1.03e-02 9.89e-01 2.48e-04 
1919.29 2.84e-26 1.07e-19 5.38e-13 2.47e-07 4.11e-03 9.95e-01 1.30e-03 
2160.92 1.82e-27 8.75e-21 5.62e-14 4.42e-08 1.51e-03 9.94e-01 4.90e-03 
2292.92 2.45e-28 1.32e-21 9.85e-15 1.19e-08 7.07e-04 9.82e-01 1.70e-02 
2432.98 7.08e-29 4.66e-22 4.01e-15 5.95e-09 4.79e-04 9.70e-01 2.92e-02 
2581.60 3.24e-29 2.39e-22 2.27e-15 3.87e-09 3.78e-04 9.61e-01 3.88e-02 
2739.29 1.71e-29 1.52e-22 1.55e-15 2.89e-09 3.20e-04 9.49e-01 5.08e-02 
2906.62 9.90e-30 9.62e-23 1.05e-15 2.17e-09 2.73e-04 9.39e-01 6.04e-02 
3084.17 6.31e-30 6.39e-23 7.64e-16 1.76e-09 2.46e-04 9.36e-01 6.35e-02 
3272.56 3.85e-30 4.67e-23 6.14e-16 1.55e-09 2.34e-04 9.35e-01 6.49e-02 
3472.46 2.93e-30 3.93e-23 5.59e-16 1.53e-09 2.40e-04 9.42e-01 5.73e-02 
3684.57 2.36e-30 3.61e-23 5.58e-16 1.63e-09 2.61e-04 9.53e-01 4.65e-02 
3909.64 1.63e-30 2.91e-23 5.07e-16 1.66e-09 2.78e-04 9.62e-01 3.81e-02 
4148.46 1.72e-30 3.12e-23 5.71e-16 1.92e-09 3.14e-04 9.71e-01 2.83e-02 
4401.86 3.05e-30 5.39e-23 9.29e-16 2.83e-09 3.96e-04 9.80e-01 1.97e-02 
4670.75 5.09e-30 9.12e-23 1.51e-15 4.23e-09 5.02e-04 9.87e-01 1.27e-02 
4956.05 4.94e-30 9.34e-23 1.66e-15 4.77e-09 5.49e-04 9.90e-01 9.46e-03 
5258.79 3.85e-30 8.27e-23 1.60e-15 4.89e-09 5.69e-04 9.91e-01 8.06e-03 
5580.02 4.64e-30 1.08e-22 2.13e-15 6.37e-09 6.70e-04 9.94e-01 5.61e-03 
5920.87 5.79e-30 1.33e-22 2.71e-15 7.99e-09 7.74e-04 9.95e-01 3.81e-03 
6282.54 7.29e-30 1.85e-22 3.85e-15 1.10e-08 9.47e-04 9.97e-01 2.54e-03 
6666.30 1.24e-29 3.13e-22 6.45e-15 1.71e-08 1.24e-03 9.97e-01 1.40e-03 
7073.50 2.52e-29 6.46e-22 1.29e-14 3.08e-08 1.78e-03 9.98e-01 7.07e-04 
7505.58 4.52e-29 1.23e-21 2.44e-14 5.39e-08 2.58e-03 9.97e-01 3.26e-04 
7964.05 1.34e-28 3.79e-21 7.19e-14 1.34e-07 4.54e-03 9.95e-01 1.06e-04 
8450.53 8.90e-28 2.46e-20 4.13e-13 5.58e-07 1.06e-02 9.89e-01 2.02e-05 
8966.72 7.60e-27 1.92e-19 2.81e-12 2.68e-06 2.71e-02 9.73e-01 2.99e-06 
9514.44 1.54e-25 3.67e-18 4.28e-11 2.39e-05 9.88e-02 9.01e-01 2.09e-07 
10095.62 1.00e-23 2.09e-16 1.66e-09 4.08e-04 4.40e-01 5.59e-01 2.81e-09 
10712.30 8.07e-22 1.34e-14 6.61e-08 5.41e-03 9.06e-01 8.89e-02 2.85e-12 
11366.65 1.05e-19 1.40e-12 3.68e-06 6.97e-02 9.28e-01 2.68e-03 5.66e-17 
12061.10 2.23e-17 2.54e-10 2.96e-04 7.27e-01 2.73e-01 4.44e-06 3.02e-24 
12793.43 1.28e-15 1.17e-08 5.19e-03 9.89e-01 5.88e-03 1.73e-10 4.92e-34 
13528.61 1.33e-13 8.49e-07 1.04e-01 8.96e-01 2.22e-05 4.69e-16 2.21e-36 
14194.74 4.32e-12 2.14e-05 7.18e-01 2.82e-01 3.64e-08 3.81e-22 5.55e-37 
14757.77 2.61e-11 9.64e-05 9.74e-01 2.59e-02 3.44e-11 6.32e-28 1.17e-36 
15240.48 1.34e-10 3.13e-04 9.97e-01 2.40e-03 6.56e-14 1.14e-29 2.26e-36 
15646.99 8.31e-10 1.05e-03 9.99e-01 2.30e-04 2.48e-16 1.73e-29 4.10e-36 
15960.30 6.43e-09 3.65e-03 9.96e-01 2.23e-05 3.06e-19 2.01e-29 6.49e-36 
16187.41 2.38e-08 8.94e-03 9.91e-01 3.43e-06 3.62e-21 1.67e-29 1.21e-35 
16354.17 8.94e-08 2.25e-02 9.78e-01 3.97e-07 1.85e-23 2.32e-29 2.22e-35 
16484.18 1.19e-07 2.83e-02 9.72e-01 1.75e-07 2.65e-24 3.43e-29 3.82e-35 
16593.12 1.79e-07 4.05e-02 9.59e-01 6.64e-08 1.57e-25 3.44e-29 5.62e-35 
16691.99 2.33e-07 4.99e-02 9.50e-01 3.61e-08 2.93e-26 1.01e-28 7.25e-35 
16788.59 5.29e-07 9.61e-02 9.04e-01 1.13e-08 1.37e-27 1.68e-30 8.81e-35 
16888.37 6.22e-07 1.08e-01 8.92e-01 8.35e-09 5.33e-28 4.55e-28 1.06e-34 
16998.79 9.14e-07 1.42e-01 8.58e-01 2.01e-09 1.73e-29 1.40e-28 1.29e-34 
17146.37 1.56e-06 2.11e-01 7.89e-01 1.10e-09 3.55e-30 1.10e-27 1.59e-34 
17415.23 3.29e-06 3.56e-01 6.44e-01 7.19e-11 8.99e-31 1.44e-27 2.09e-34 
17888.12 9.28e-06 6.78e-01 3.22e-01 1.53e-12 8.05e-31 3.61e-27 2.97e-34 
18532.37 2.04e-05 9.12e-01 8.82e-02 1.12e-14 3.92e-31 8.95e-28 3.63e-34 
19260.76 2.88e-05 9.78e-01 2.24e-02 3.82e-17 1.10e-31 1.37e-28 4.28e-34 
20034.10 3.06e-05 9.96e-01 4.17e-03 1.36e-19 6.80e-33 5.12e-30 5.20e-34 
20838.00 3.84e-05 9.99e-01 1.44e-03 2.69e-21 3.47e-32 5.39e-28 6.03e-34 
21647.97 4.55e-05 1.00e+00 4.46e-04 7.73e-23 1.60e-32 1.14e-26 6.27e-34 
22447.94 5.85e-05 1.00e+00 8.71e-05 5.64e-25 1.57e-33 1.75e-32 7.01e-34 
23245.88 6.47e-05 1.00e+00 4.25e-05 5.09e-26 1.81e-33 8.11e-34 8.11e-34 
24052.47 8.88e-05 1.00e+00 8.57e-05 1.11e-25 2.30e-30 4.67e-24 9.51e-34 
24867.72 9.01e-05 1.00e+00 3.99e-05 2.34e-26 1.34e-31 3.17e-25 1.15e-33 
25698.86 1.06e-04 1.00e+00 2.67e-06 4.32e-27 3.34e-33 1.51e-33 1.51e-33 
26587.16 1.06e-04 1.00e+00 1.49e-06 5.68e-26 5.02e-33 2.28e-33 2.28e-33 
27637.54 1.03e-04 1.00e+00 2.19e-06 4.76e-25 9.28e-33 4.23e-33 4.23e-33 
28986.97 1.03e-04 1.00e+00 4.36e-07 8.15e-25 2.29e-32 1.05e-32 1.05e-32 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] v0 v1 v2 v3 v4 v5 v6 
440.10 1.42e-18 1.79e-12 1.51e-06 1.95e-02 9.02e-01 7.87e-02 4.40e-11 
999.11 1.18e-20 2.03e-14 3.40e-08 1.46e-03 4.86e-01 5.12e-01 2.60e-08 
1267.34 1.63e-22 3.55e-16 8.96e-10 9.13e-05 1.25e-01 8.75e-01 2.43e-06 
1514.05 6.16e-24 1.58e-17 5.23e-11 9.48e-06 3.44e-02 9.66e-01 2.23e-05 
1808.80 2.82e-25 8.91e-19 3.91e-12 1.22e-06 1.05e-02 9.89e-01 2.05e-04 
1919.29 3.03e-26 1.03e-19 5.35e-13 2.55e-07 4.26e-03 9.95e-01 9.55e-04 
2160.92 2.33e-27 1.13e-20 7.37e-14 5.54e-08 1.73e-03 9.94e-01 4.04e-03 
2292.92 2.49e-28 1.25e-21 9.50e-15 1.19e-08 7.20e-04 9.86e-01 1.38e-02 
2432.98 8.05e-29 4.85e-22 4.24e-15 6.42e-09 5.08e-04 9.76e-01 2.30e-02 
2581.60 3.64e-29 2.66e-22 2.58e-15 4.40e-09 4.10e-04 9.68e-01 3.21e-02 
2739.29 2.09e-29 1.66e-22 1.73e-15 3.26e-09 3.47e-04 9.61e-01 3.84e-02 
2906.62 1.23e-29 1.07e-22 1.20e-15 2.49e-09 2.98e-04 9.53e-01 4.63e-02 
3084.17 7.48e-30 7.75e-23 9.48e-16 2.14e-09 2.78e-04 9.49e-01 5.04e-02 
3272.56 4.75e-30 5.56e-23 7.48e-16 1.88e-09 2.65e-04 9.51e-01 4.83e-02 
3472.46 3.54e-30 4.67e-23 6.82e-16 1.85e-09 2.72e-04 9.56e-01 4.32e-02 
3684.57 2.87e-30 4.27e-23 6.76e-16 1.97e-09 2.93e-04 9.65e-01 3.50e-02 
3909.64 1.91e-30 3.29e-23 5.89e-16 1.93e-09 3.06e-04 9.70e-01 2.94e-02 
4148.46 1.91e-30 3.56e-23 6.69e-16 2.24e-09 3.47e-04 9.77e-01 2.29e-02 
4401.86 3.48e-30 6.44e-23 1.13e-15 3.42e-09 4.46e-04 9.84e-01 1.51e-02 
4670.75 5.97e-30 1.02e-22 1.74e-15 4.87e-09 5.49e-04 9.90e-01 9.82e-03 
4956.05 5.68e-30 1.08e-22 1.97e-15 5.64e-09 6.10e-04 9.92e-01 7.52e-03 
5258.79 4.44e-30 9.93e-23 1.96e-15 5.92e-09 6.41e-04 9.93e-01 6.20e-03 
5580.02 5.57e-30 1.22e-22 2.48e-15 7.40e-09 7.36e-04 9.95e-01 4.25e-03 
5920.87 6.77e-30 1.60e-22 3.34e-15 9.69e-09 8.74e-04 9.96e-01 3.01e-03 
6282.54 8.85e-30 2.27e-22 4.82e-15 1.35e-08 1.08e-03 9.97e-01 1.85e-03 
6666.30 1.52e-29 3.77e-22 7.92e-15 2.07e-08 1.40e-03 9.98e-01 1.07e-03 
7073.50 2.99e-29 7.25e-22 1.48e-14 3.56e-08 1.97e-03 9.98e-01 5.28e-04 
7505.58 5.71e-29 1.51e-21 3.06e-14 6.66e-08 2.95e-03 9.97e-01 2.37e-04 
7964.05 1.76e-28 4.93e-21 9.50e-14 1.73e-07 5.33e-03 9.95e-01 7.19e-05 
8450.53 1.30e-27 3.49e-20 5.95e-13 7.71e-07 1.29e-02 9.87e-01 1.24e-05 
8966.72 1.13e-26 2.81e-19 4.15e-12 3.75e-06 3.32e-02 9.67e-01 1.91e-06 
9514.44 2.32e-25 5.57e-18 6.46e-11 3.38e-05 1.22e-01 8.78e-01 1.21e-07 
10095.62 1.52e-23 3.21e-16 2.51e-09 5.64e-04 5.07e-01 4.92e-01 1.39e-09 
10712.30 1.18e-21 1.98e-14 9.54e-08 6.95e-03 9.29e-01 6.45e-02 1.06e-12 
11366.65 1.56e-19 2.11e-12 5.37e-06 8.89e-02 9.09e-01 1.77e-03 1.66e-17 
12061.10 2.81e-17 3.24e-10 3.64e-04 7.78e-01 2.21e-01 2.56e-06 1.00e-24 
12793.43 1.56e-15 1.45e-08 6.16e-03 9.90e-01 4.27e-03 8.04e-11 1.09e-34 
13528.61 1.67e-13 1.09e-06 1.24e-01 8.75e-01 2.16e-05 2.90e-16 5.15e-36 
14194.74 4.79e-12 2.41e-05 7.60e-01 2.40e-01 2.09e-08 1.37e-22 5.90e-37 
14757.77 2.68e-11 1.00e-04 9.77e-01 2.29e-02 2.23e-11 2.71e-28 1.25e-36 
15240.48 1.40e-10 3.29e-04 9.98e-01 1.89e-03 3.95e-14 1.58e-29 2.41e-36 
15646.99 8.38e-10 1.07e-03 9.99e-01 1.82e-04 8.41e-17 9.31e-30 4.37e-36 
15960.30 6.25e-09 3.76e-03 9.96e-01 1.90e-05 2.27e-19 1.64e-29 6.90e-36 
16187.41 2.89e-08 1.04e-02 9.90e-01 2.52e-06 1.14e-21 8.71e-30 1.29e-35 
16354.17 8.38e-08 2.21e-02 9.78e-01 4.03e-07 1.92e-23 4.18e-29 2.36e-35 
16484.18 1.48e-07 3.40e-02 9.66e-01 1.80e-07 1.99e-24 4.93e-29 4.06e-35 
16593.12 2.26e-07 4.93e-02 9.51e-01 4.71e-08 6.47e-26 4.11e-29 5.98e-35 
16691.99 2.51e-07 5.35e-02 9.47e-01 2.14e-08 1.35e-26 6.11e-29 7.71e-35 
16788.59 3.28e-07 6.37e-02 9.36e-01 2.95e-08 1.05e-26 1.19e-27 9.37e-35 
16888.37 6.09e-07 1.05e-01 8.95e-01 5.94e-09 2.63e-28 8.94e-29 1.12e-34 
16998.79 8.02e-07 1.41e-01 8.59e-01 3.96e-09 4.43e-29 5.95e-28 1.37e-34 
17146.37 1.59e-06 2.25e-01 7.75e-01 7.40e-10 1.51e-30 1.12e-28 1.70e-34 
17415.23 2.77e-06 3.15e-01 6.85e-01 9.79e-11 5.60e-31 2.04e-28 2.22e-34 
17888.12 9.53e-06 6.88e-01 3.12e-01 3.71e-12 6.89e-31 3.65e-28 3.16e-34 
18532.37 1.85e-05 9.05e-01 9.47e-02 7.46e-15 1.90e-31 2.43e-28 3.86e-34 
19260.76 3.06e-05 9.69e-01 3.06e-02 8.11e-17 3.71e-31 2.12e-27 4.55e-34 
20034.10 3.19e-05 9.92e-01 7.85e-03 1.14e-18 8.40e-31 1.36e-25 5.53e-34 
20838.00 3.43e-05 9.98e-01 1.53e-03 6.83e-21 1.38e-31 7.45e-27 6.42e-34 
21647.97 3.87e-05 9.99e-01 4.70e-04 1.17e-22 4.14e-32 6.20e-27 6.67e-34 
22447.94 4.80e-05 1.00e+00 2.41e-04 5.99e-24 4.14e-31 7.74e-25 7.46e-34 
23245.88 5.48e-05 1.00e+00 2.73e-04 1.16e-23 8.60e-30 1.69e-23 8.63e-34 
24052.47 4.62e-05 1.00e+00 1.37e-04 8.78e-25 1.63e-31 3.60e-28 1.01e-33 
24867.72 5.15e-05 1.00e+00 2.45e-05 8.34e-27 2.72e-33 1.23e-33 1.23e-33 
25698.86 9.25e-05 1.00e+00 7.93e-06 4.92e-26 1.10e-32 3.36e-26 1.61e-33 
26587.16 9.12e-05 1.00e+00 7.79e-06 1.68e-25 2.79e-31 1.06e-24 2.43e-33 
27637.54 5.90e-05 1.00e+00 4.11e-06 1.50e-25 9.88e-33 4.50e-33 4.50e-33 
28986.97 7.01e-05 1.00e+00 7.52e-07 7.29e-25 2.44e-32 1.12e-32 1.12e-32 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] v0 v1 v2 v3 v4 v5 v6 
440.10 6.23e-19 7.84e-13 7.48e-07 1.23e-02 8.65e-01 1.22e-01 1.33e-10 
999.11 6.63e-21 1.28e-14 2.34e-08 1.11e-03 4.25e-01 5.74e-01 5.51e-08 
1267.34 1.01e-22 2.51e-16 6.78e-10 7.26e-05 1.07e-01 8.93e-01 2.58e-06 
1514.05 4.57e-24 1.27e-17 4.44e-11 8.31e-06 3.15e-02 9.68e-01 3.13e-05 
1808.80 2.49e-25 8.37e-19 3.84e-12 1.22e-06 1.06e-02 9.89e-01 2.18e-04 
1919.29 2.96e-26 1.12e-19 5.98e-13 2.79e-07 4.50e-03 9.94e-01 1.11e-03 
2160.92 2.89e-27 1.34e-20 8.92e-14 6.58e-08 1.94e-03 9.95e-01 3.17e-03 
2292.92 2.62e-28 1.39e-21 1.08e-14 1.34e-08 7.81e-04 9.85e-01 1.37e-02 
2432.98 8.85e-29 5.67e-22 5.06e-15 7.55e-09 5.64e-04 9.78e-01 2.11e-02 
2581.60 4.15e-29 2.90e-22 2.86e-15 4.90e-09 4.41e-04 9.72e-01 2.71e-02 
2739.29 2.48e-29 2.12e-22 2.24e-15 4.10e-09 4.00e-04 9.68e-01 3.18e-02 
2906.62 1.42e-29 1.29e-22 1.48e-15 3.01e-09 3.36e-04 9.61e-01 3.87e-02 
3084.17 8.94e-30 8.79e-23 1.10e-15 2.47e-09 3.05e-04 9.60e-01 3.97e-02 
3272.56 5.72e-30 6.49e-23 8.92e-16 2.22e-09 2.96e-04 9.61e-01 3.85e-02 
