#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ar0           ar1           ar2           ar3
    1.892034E+03   3.0733E-021   4.4494E-013   7.6970E-006   9.9999E-001
    2.010837E+03   1.8351E-021   3.1872E-013   6.9068E-006   9.9999E-001
    2.137099E+03   1.0655E-021   2.2359E-013   6.0587E-006   9.9999E-001
    2.271289E+03   6.1731E-022   1.5687E-013   5.3621E-006   9.9999E-001
    2.413905E+03   3.6392E-022   1.1113E-013   4.7167E-006   1.0000E+000
    2.565477E+03   2.4285E-022   8.5302E-014   4.2583E-006   1.0000E+000
    2.726565E+03   1.8175E-022   7.0453E-014   3.9158E-006   1.0000E+000
    2.897769E+03   1.5763E-022   6.3932E-014   3.6857E-006   1.0000E+000
    3.079722E+03   1.5830E-022   6.3659E-014   3.5340E-006   1.0000E+000
    3.273101E+03   2.1993E-022   7.8261E-014   3.6437E-006   1.0000E+000
    3.478622E+03   3.7321E-022   1.0844E-013   3.6887E-006   1.0000E+000
    3.697048E+03   1.3587E-021   2.5196E-013   5.0543E-006   9.9999E-001
    3.929188E+03   3.9750E-021   5.1477E-013   7.1625E-006   9.9999E-001
    4.175906E+03   8.1857E-021   7.8726E-013   6.4286E-006   9.9999E-001
    4.438115E+03   1.5230E-020   1.1696E-012   7.0849E-006   9.9999E-001
    4.716788E+03   1.4708E-020   1.1390E-012   6.8679E-006   9.9999E-001
    5.012959E+03   1.0593E-020   9.1670E-013   6.2210E-006   9.9999E-001
    5.327727E+03   7.5192E-021   7.3105E-013   5.6242E-006   9.9999E-001
    5.662260E+03   6.1228E-021   6.3721E-013   5.2392E-006   9.9999E-001
    6.017798E+03   5.7048E-021   6.0735E-013   5.0913E-006   9.9999E-001
    6.395661E+03   6.5615E-021   6.6416E-013   5.2116E-006   9.9999E-001
    6.797251E+03   8.3909E-021   7.7831E-013   5.4757E-006   9.9999E-001
    7.224056E+03   1.1887E-020   9.7765E-013   5.9932E-006   9.9999E-001
    7.677661E+03   1.8281E-020   1.2979E-012   6.7549E-006   9.9999E-001
    8.159748E+03   3.5012E-020   1.9994E-012   8.2763E-006   9.9999E-001
    8.672106E+03   1.3348E-019   4.9416E-012   1.3333E-005   9.9999E-001
    9.216636E+03   5.7337E-018   6.9841E-011   6.5803E-005   9.9993E-001
    9.793140E+03   1.0959E-014   2.8983E-008   2.9273E-003   9.9707E-001
    1.026683E+04   6.5485E-011   6.7539E-005   2.7205E-001   7.2788E-001
    1.070804E+04   1.0377E-007   1.7193E-002   9.7729E-001   5.5212E-003
    1.120152E+04   6.9479E-004   9.8624E-001   1.3068E-002   4.5829E-010
    1.159423E+04   1.8651E-002   9.8129E-001   6.0708E-005   1.1166E-015
    1.180243E+04   4.8258E-002   9.5173E-001   1.3894E-005   3.6863E-017
    1.192916E+04   1.2364E-001   8.7636E-001   1.9945E-006   3.3846E-019
    1.202084E+04   3.2402E-001   6.7598E-001   1.3991E-007   6.1367E-022
    1.209768E+04   5.5606E-001   4.4394E-001   1.3106E-008   2.8371E-024
    1.216841E+04   7.0956E-001   2.9044E-001   2.1726E-009   5.5738E-026
    1.223949E+04   8.3481E-001   1.6519E-001   2.8364E-010   7.4701E-028
    1.231406E+04   9.1292E-001   8.7080E-002   3.4730E-011   9.6401E-030
    1.239842E+04   9.5144E-001   4.8559E-002   5.5895E-012   2.2932E-031
    1.256481E+04   9.7336E-001   2.6639E-002   8.5320E-013   4.7795E-033
    1.321135E+04   9.5157E-001   4.8435E-002   3.2577E-012   4.3733E-032
    1.378971E+04   8.9625E-001   1.0375E-001   2.4625E-011   1.8792E-030
    1.426236E+04   8.9308E-001   1.0692E-001   2.1823E-011   1.1725E-030
    1.471893E+04   9.3298E-001   6.7020E-002   4.3620E-012   3.7654E-032
    1.520339E+04   9.6908E-001   3.0920E-002   4.1553E-013   3.4849E-034
    1.569984E+04   9.9071E-001   9.2944E-003   1.3117E-014   1.0903E-036
    1.625603E+04   9.9780E-001   2.2013E-003   1.9340E-016   2.0070E-040
    1.692188E+04   9.9954E-001   4.5565E-004   2.3901E-018   7.1999E-044
    1.755155E+04   9.9987E-001   1.3026E-004   6.7267E-020   1.7657E-046
    1.815678E+04   9.9994E-001   5.5916E-005   5.3595E-021   1.2981E-048
    1.877630E+04   9.9997E-001   2.7741E-005   6.8174E-022   1.4596E-049
    1.943029E+04   9.9998E-001   1.5165E-005   1.4745E-022   1.3426E-049
    2.010428E+04   9.9999E-001   1.4492E-005   1.5421E-022   1.1159E-048
    2.090850E+04   9.9998E-001   1.5418E-005   3.2269E-022   7.1102E-048
    2.182676E+04   9.9999E-001   1.3619E-005   4.8172E-022   1.3853E-047
    2.283367E+04   9.9998E-001   1.7953E-005   1.5416E-021   5.0699E-047
    2.394324E+04   9.9998E-001   2.2051E-005   2.9315E-021   7.9317E-047
    2.516734E+04   9.9997E-001   3.3958E-005   6.5181E-021   1.4124E-046
    2.638649E+04   9.9997E-001   3.4287E-005   6.7301E-021   1.0924E-046
    2.758311E+04   9.9992E-001   8.1127E-005   2.4088E-020   3.6155E-046
    2.884269E+04   9.9985E-001   1.4518E-004   5.4139E-020   7.0931E-046
    3.014497E+04   9.9970E-001   3.0014E-004   1.5632E-019   1.8821E-045
    3.148085E+04   9.9948E-001   5.1667E-004   3.4915E-019   3.8644E-045
    3.276289E+04   9.9932E-001   6.7716E-004   5.2534E-019   5.1185E-045
    3.391810E+04   9.9912E-001   8.8025E-004   8.0137E-019   7.1027E-045
    3.495083E+04   9.9873E-001   1.2675E-003   1.5562E-018   1.3471E-044
    3.592850E+04   9.9817E-001   1.8341E-003   3.3147E-018   2.8569E-044
    3.688885E+04   9.9752E-001   2.4821E-003   6.8843E-018   5.9377E-044
    3.786912E+04   9.9692E-001   3.0780E-003   1.3290E-017   1.1493E-043
    3.888044E+04   9.9650E-001   3.4951E-003   2.2953E-017   1.9939E-043
    3.991994E+04   9.9624E-001   3.7589E-003   3.7033E-017   3.2905E-043
    4.098383E+04   9.9609E-001   3.9110E-003   5.6693E-017   5.3027E-043
    4.207443E+04   9.9602E-001   3.9829E-003   8.1920E-017   8.3049E-043
    4.319619E+04   9.9599E-001   4.0059E-003   1.1153E-016   1.2558E-042
    4.435339E+04   9.9599E-001   4.0093E-003   1.4370E-016   1.8271E-042
    4.555005E+04   9.9597E-001   4.0283E-003   1.7770E-016   2.5783E-042
    4.678738E+04   9.9591E-001   4.0949E-003   2.1466E-016   3.5697E-042
    4.806468E+04   9.9579E-001   4.2124E-003   2.5489E-016   4.8278E-042
    4.937985E+04   9.9563E-001   4.3698E-003   2.9767E-016   6.3178E-042
    5.073002E+04   9.9544E-001   4.5605E-003   3.4292E-016   7.9926E-042
    5.211198E+04   9.9523E-001   4.7679E-003   3.8906E-016   9.7458E-042
    5.352349E+04   9.9504E-001   4.9604E-003   4.3145E-016   1.1355E-041
    5.496004E+04   9.9489E-001   5.1101E-003   4.6506E-016   1.2583E-041
    5.642085E+04   9.9480E-001   5.2027E-003   4.8685E-016   1.3285E-041
