#NTIMES:    67
#NSTAGES:     2
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           v0           v1
    2.348854E+04   6.8420E-004   9.9932E-001
    2.497303E+04   4.2301E-004   9.9958E-001
    2.655134E+04   3.1183E-004   9.9969E-001
    2.823401E+04   1.7969E-004   9.9982E-001
    2.993365E+04   1.0791E-004   9.9989E-001
    3.153760E+04   8.0690E-005   9.9992E-001
    3.299099E+04   7.0911E-005   9.9993E-001
    3.426462E+04   6.1847E-005   9.9994E-001
    3.540831E+04   5.1577E-005   9.9995E-001
    3.648732E+04   4.3155E-005   9.9996E-001
    3.755144E+04   3.7370E-005   9.9996E-001
    3.862706E+04   3.4159E-005   9.9997E-001
    3.971922E+04   3.2304E-005   9.9997E-001
    4.082638E+04   3.0897E-005   9.9997E-001
    4.195195E+04   2.9603E-005   9.9997E-001
    4.310219E+04   2.8265E-005   9.9997E-001
    4.428215E+04   2.6831E-005   9.9997E-001
    4.549618E+04   2.5308E-005   9.9997E-001
    4.674647E+04   2.3723E-005   9.9998E-001
    4.803285E+04   2.2074E-005   9.9998E-001
    4.935417E+04   2.0337E-005   9.9998E-001
    5.070872E+04   1.8507E-005   9.9998E-001
    5.209387E+04   1.6608E-005   9.9998E-001
    5.350827E+04   1.4684E-005   9.9999E-001
    5.494800E+04   1.2787E-005   9.9999E-001
    5.641221E+04   1.0959E-005   9.9999E-001
    5.789415E+04   9.2677E-006   9.9999E-001
    5.939153E+04   7.7438E-006   9.9999E-001
    6.089052E+04   6.4377E-006   9.9999E-001
    6.238510E+04   5.3652E-006   9.9999E-001
    6.385045E+04   4.4796E-006   1.0000E+000
    6.527461E+04   3.8508E-006   1.0000E+000
    6.662249E+04   3.2859E-006   1.0000E+000
    6.787764E+04   3.0184E-006   1.0000E+000
    6.900561E+04   2.6652E-006   1.0000E+000
    6.951703E+04   2.5895E-006   1.0000E+000
    6.977416E+04   2.5459E-006   1.0000E+000
    6.990309E+04   2.5286E-006   1.0000E+000
    6.996763E+04   2.5359E-006   1.0000E+000
    6.999832E+04   2.5369E-006   1.0000E+000
    6.999993E+04   2.5381E-006   1.0000E+000
#TIME:     0.887
#NVEL: 115
#vel_mid[km/s]           v0           v1
    8.484664E+02   2.1758E-007   1.0000E+000
    8.550285E+02   2.1758E-007   1.0000E+000
    8.750210E+02   2.1758E-007   1.0000E+000
    9.164194E+02   2.1758E-007   1.0000E+000
    9.788524E+02   2.1758E-007   1.0000E+000
    1.040712E+03   2.1751E-007   1.0000E+000
    1.106486E+03   2.1683E-007   1.0000E+000
    1.176417E+03   2.1462E-007   1.0000E+000
    1.250767E+03   2.0846E-007   1.0000E+000
    1.329816E+03   1.9739E-007   1.0000E+000
    1.413861E+03   1.8169E-007   1.0000E+000
    1.503218E+03   1.6985E-007   1.0000E+000
    1.598223E+03   1.5911E-007   1.0000E+000
    1.699231E+03   1.4613E-007   1.0000E+000
    1.806624E+03   1.3169E-007   1.0000E+000
    1.920803E+03   1.1582E-007   1.0000E+000
    2.042199E+03   1.0310E-007   1.0000E+000
    2.171268E+03   9.0280E-008   1.0000E+000
    2.308493E+03   7.9661E-008   1.0000E+000
    2.454391E+03   7.0779E-008   1.0000E+000
    2.609510E+03   6.4264E-008   1.0000E+000
    2.774433E+03   5.9785E-008   1.0000E+000
    2.949779E+03   5.6721E-008   1.0000E+000
    3.136206E+03   5.5440E-008   1.0000E+000
    3.334417E+03   5.4880E-008   1.0000E+000
    3.545154E+03   6.3006E-008   1.0000E+000
    3.769210E+03   8.5345E-008   1.0000E+000
    4.007426E+03   1.0482E-007   1.0000E+000
    4.260698E+03   8.8785E-008   1.0000E+000
    4.529976E+03   9.0928E-008   1.0000E+000
    4.816274E+03   8.9672E-008   1.0000E+000
    5.120665E+03   8.3197E-008   1.0000E+000
    5.444294E+03   7.7019E-008   1.0000E+000
    5.788377E+03   7.2570E-008   1.0000E+000
    6.154206E+03   7.1188E-008   1.0000E+000
    6.543156E+03   7.0789E-008   1.0000E+000
    6.956687E+03   7.1760E-008   1.0000E+000
    7.396354E+03   7.4850E-008   1.0000E+000
    7.863808E+03   7.9726E-008   1.0000E+000
    8.360805E+03   8.9448E-008   1.0000E+000
    8.889213E+03   1.2027E-007   1.0000E+000
    9.452613E+03   2.4612E-007   1.0000E+000
    9.911633E+03   5.6619E-007   1.0000E+000
    1.025666E+04   1.1851E-006   1.0000E+000
    1.063251E+04   2.9400E-006   1.0000E+000
    1.104178E+04   1.7938E-005   9.9998E-001
    1.140357E+04   9.7113E-005   9.9990E-001
    1.166212E+04   2.8368E-004   9.9972E-001
    1.181968E+04   5.2440E-004   9.9948E-001
    1.192439E+04   7.6828E-004   9.9923E-001
    1.200433E+04   1.0420E-003   9.9896E-001
    1.207252E+04   1.3645E-003   9.9864E-001
    1.213615E+04   1.6856E-003   9.9831E-001
