#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    6.660986E+04   1.0000E-099   9.9938E-001   6.2084E-004   7.7517E-022
    6.786444E+04   1.0000E-099   9.9948E-001   5.1857E-004   6.1498E-022
    6.899777E+04   1.0000E-099   9.9956E-001   4.4035E-004   4.8036E-022
    6.951321E+04   1.0000E-099   9.9960E-001   3.9860E-004   3.9004E-022
    6.977237E+04   1.0000E-099   9.9963E-001   3.7467E-004   3.2557E-022
    6.990232E+04   1.0000E-099   9.9964E-001   3.5861E-004   2.7070E-022
    6.996738E+04   1.0000E-099   9.9965E-001   3.4826E-004   2.2973E-022
    6.999830E+04   1.0000E-099   9.9966E-001   3.4134E-004   2.0110E-022
    6.999993E+04   1.0000E-099   9.9966E-001   3.4055E-004   1.9789E-022
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    8.484664E+02   1.0000E-099   1.0975E-013   3.2323E-006   1.0000E+000
    8.528610E+02   1.0000E-099   1.0975E-013   3.2323E-006   1.0000E+000
    8.661820E+02   1.0000E-099   1.0975E-013   3.2323E-006   1.0000E+000
    8.934513E+02   1.0000E-099   1.0975E-013   3.2323E-006   1.0000E+000
    9.472405E+02   1.0000E-099   1.0976E-013   3.2325E-006   1.0000E+000
    1.007109E+03   1.0000E-099   1.0979E-013   3.2330E-006   1.0000E+000
    1.070759E+03   1.0000E-099   1.0978E-013   3.2328E-006   1.0000E+000
    1.138432E+03   1.0000E-099   1.0907E-013   3.2224E-006   1.0000E+000
    1.210381E+03   1.0000E-099   1.0637E-013   3.1806E-006   1.0000E+000
    1.286878E+03   1.0000E-099   9.5438E-014   3.0026E-006   1.0000E+000
    1.368209E+03   1.0000E-099   6.2048E-014   2.3969E-006   1.0000E+000
    1.454681E+03   1.0000E-099   3.9504E-014   1.8956E-006   1.0000E+000
    1.546618E+03   1.0000E-099   3.2676E-014   1.7189E-006   1.0000E+000
    1.644365E+03   1.0000E-099   2.5732E-014   1.5205E-006   1.0000E+000
    1.748290E+03   1.0000E-099   1.7898E-014   1.2630E-006   1.0000E+000
    1.858783E+03   1.0000E-099   1.2487E-014   1.0523E-006   1.0000E+000
    1.976259E+03   1.0000E-099   8.7765E-015   8.7999E-007   1.0000E+000
    2.101160E+03   1.0000E-099   6.0596E-015   7.2982E-007   1.0000E+000
    2.233954E+03   1.0000E-099   4.1362E-015   6.0196E-007   1.0000E+000
    2.375142E+03   1.0000E-099   2.8714E-015   5.0098E-007   1.0000E+000
    2.525252E+03   1.0000E-099   2.1331E-015   4.3153E-007   1.0000E+000
    2.684850E+03   1.0000E-099   1.7204E-015   3.8745E-007   1.0000E+000
    2.854534E+03   1.0000E-099   1.5397E-015   3.6657E-007   1.0000E+000
    3.034942E+03   1.0000E-099   1.5055E-015   3.6269E-007   1.0000E+000
    3.226752E+03   1.0000E-099   1.8314E-015   4.0064E-007   1.0000E+000
    3.430685E+03   1.0000E-099   2.2935E-015   4.5064E-007   1.0000E+000
    3.647506E+03   1.0000E-099   5.7414E-015   7.1832E-007   1.0000E+000
    3.878031E+03   1.0000E-099   1.3503E-014   1.1043E-006   1.0000E+000
    4.123125E+03   1.0000E-099   1.9071E-014   1.3492E-006   1.0000E+000
    4.383709E+03   1.0000E-099   3.7275E-014   1.9522E-006   1.0000E+000
    4.660762E+03   1.0000E-099   4.1141E-014   2.0726E-006   1.0000E+000
    4.955325E+03   1.0000E-099   3.5572E-014   1.9262E-006   1.0000E+000
    5.268505E+03   1.0000E-099   2.8423E-014   1.7152E-006   1.0000E+000
    5.601477E+03   1.0000E-099   2.4425E-014   1.5903E-006   1.0000E+000
    5.955494E+03   1.0000E-099   2.3029E-014   1.5463E-006   1.0000E+000
    6.331885E+03   1.0000E-099   2.5017E-014   1.6225E-006   1.0000E+000
    6.732064E+03   1.0000E-099   2.9523E-014   1.7845E-006   1.0000E+000
    7.157534E+03   1.0000E-099   3.7763E-014   2.0459E-006   1.0000E+000
    7.609895E+03   1.0000E-099   5.1224E-014   2.4274E-006   1.0000E+000
    8.090845E+03   1.0000E-099   8.0437E-014   3.1146E-006   1.0000E+000
    8.602191E+03   1.0000E-099   1.9327E-013   5.1119E-006   9.9999E-001
    9.145855E+03   1.0000E-099   1.9982E-012   1.9157E-005   9.9998E-001
    9.716757E+03   1.0000E-099   2.0402E-010   2.9065E-004   9.9971E-001
    1.017136E+04   1.0000E-099   4.0993E-008   8.1851E-003   9.9181E-001
    1.058976E+04   1.0000E-099   1.9815E-005   3.9296E-001   6.0702E-001
    1.103681E+04   1.0000E-099   2.7596E-003   9.9670E-001   5.3915E-004
    1.143091E+04   1.0000E-099   1.1097E-001   8.8903E-001   2.1546E-007
    1.169743E+04   1.0000E-099   4.0449E-001   5.9551E-001   6.5705E-009
    1.185375E+04   1.0000E-099   6.0705E-001   3.9295E-001   7.4740E-010
    1.195751E+04   1.0000E-099   7.8571E-001   2.1429E-001   4.9645E-011
    1.203767E+04   1.0000E-099   9.0473E-001   9.5265E-002   1.7420E-012
    1.210835E+04   1.0000E-099   9.5742E-001   4.2583E-002   7.4926E-014
    1.217533E+04   1.0000E-099   9.7939E-001   2.0606E-002   4.8589E-015
    1.224092E+04   1.0000E-099   9.8887E-001   1.1125E-002   5.0389E-016
    1.231061E+04   1.0000E-099   9.9346E-001   6.5414E-003   7.3686E-017
    1.238832E+04   1.0000E-099   9.9586E-001   4.1363E-003   1.4188E-017
    1.249177E+04   1.0000E-099   9.9736E-001   2.6436E-003   2.8198E-018
    1.273320E+04   1.0000E-099   9.9855E-001   1.4504E-003   2.9957E-019
    1.314431E+04   1.0000E-099   9.9913E-001   8.6932E-004   3.9166E-020
    1.356973E+04   1.0000E-099   9.9948E-001   5.1676E-004   5.6531E-021
    1.397745E+04   1.0000E-099   9.9976E-001   2.3719E-004   7.1947E-022
    1.437971E+04   1.0000E-099   9.9991E-001   8.6219E-005   7.6078E-023
    1.481384E+04   1.0000E-099   9.9997E-001   2.5791E-005   3.5083E-024
    1.527443E+04   1.0000E-099   9.9999E-001   6.5012E-006   8.5484E-026
    1.573281E+04   1.0000E-099   1.0000E+000   1.8800E-006   2.5401E-027
    1.619433E+04   1.0000E-099   1.0000E+000   7.2733E-007   1.0220E-028
    1.667669E+04   1.0000E-099   1.0000E+000   2.9018E-007   4.5937E-030
    1.717287E+04   1.0000E-099   1.0000E+000   1.2395E-007   2.9669E-031
    1.768426E+04   1.0000E-099   1.0000E+000   7.8551E-008   3.6415E-032
    1.825695E+04   1.0000E-099   1.0000E+000   6.8228E-008   8.7865E-033
    1.899553E+04   1.0000E-099   1.0000E+000   5.1654E-008   1.9210E-033
    1.999671E+04   1.0000E-099   1.0000E+000   5.4442E-008   6.4854E-033
    2.125276E+04   1.0000E-099   1.0000E+000   8.3924E-008   1.1078E-031
    2.259595E+04   1.0000E-099   1.0000E+000   1.1248E-007   7.9356E-031
    2.402403E+04   1.0000E-099   1.0000E+000   2.1266E-007   5.4511E-030
    2.554236E+04   1.0000E-099   1.0000E+000   4.3308E-007   2.4639E-029
    2.715756E+04   1.0000E-099   1.0000E+000   7.6795E-007   7.6494E-029
    2.877497E+04   1.0000E-099   1.0000E+000   2.3406E-006   8.8856E-028
    3.035869E+04   1.0000E-099   1.0000E+000   4.6093E-006   5.9036E-027
    3.187471E+04   1.0000E-099   9.9999E-001   6.6719E-006   2.3848E-026
    3.324789E+04   1.0000E-099   9.9999E-001   7.5332E-006   5.7037E-026
    3.445101E+04   1.0000E-099   9.9999E-001   9.3125E-006   1.7445E-025
    3.554577E+04   1.0000E-099   9.9999E-001   1.3480E-005   7.2854E-025
