#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3
60993.45 1.1038e-12 7.3426e-09 1.1375e-04 9.9989e-01
62466.44 4.8666e-13 4.2351e-09 8.6899e-05 9.9991e-01
63912.69 2.2295e-13 2.5061e-09 6.7204e-05 9.9993e-01
65311.62 1.0892e-13 1.5578e-09 5.2705e-05 9.9995e-01
66639.26 4.3686e-14 7.8035e-10 4.2095e-05 9.9996e-01
67870.77 2.4153e-14 5.2784e-10 3.4311e-05 9.9997e-01
68864.47 1.5140e-14 3.9836e-10 2.8450e-05 9.9997e-01
69459.55 1.3540e-14 3.8407e-10 2.6366e-05 9.9997e-01
69744.99 1.2074e-14 3.5555e-10 2.5369e-05 9.9997e-01
69888.26 1.1409e-14 3.4204e-10 2.4885e-05 9.9998e-01
69959.62 1.1078e-14 3.3563e-10 2.4652e-05 9.9998e-01
69991.15 9.1208e-15 2.7742e-10 2.4535e-05 9.9998e-01
69999.53 9.1203e-15 2.7752e-10 2.4543e-05 9.9998e-01
#TIME: 202.03
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3
425.78 6.8485e-01 1.7710e-01 1.0461e-01 3.3451e-02
857.79 6.3452e-01 2.2772e-01 1.0364e-01 3.4120e-02
878.44 6.2524e-01 2.1572e-01 1.1202e-01 4.7017e-02
917.72 5.4561e-01 2.8644e-01 1.2320e-01 4.4758e-02
973.04 6.7586e-01 1.8565e-01 1.0481e-01 3.3679e-02
1034.98 6.4232e-01 2.1176e-01 1.0935e-01 3.6571e-02
1099.97 5.6618e-01 2.8567e-01 1.0978e-01 3.8370e-02
1169.04 6.0744e-01 2.2626e-01 1.2311e-01 4.3192e-02
1242.44 5.9234e-01 2.4029e-01 1.2361e-01 4.3755e-02
1320.45 5.9573e-01 2.4477e-01 1.1833e-01 4.1181e-02
1403.37 6.4653e-01 2.1650e-01 1.0325e-01 3.3720e-02
1491.49 6.8000e-01 1.9144e-01 9.7885e-02 3.0677e-02
1585.14 6.8680e-01 1.8486e-01 9.7847e-02 3.0498e-02
1684.67 7.0287e-01 1.7200e-01 9.5812e-02 2.9320e-02
1790.45 7.0448e-01 1.6980e-01 9.6253e-02 2.9470e-02
1902.87 7.0115e-01 1.6625e-01 1.0106e-01 3.1543e-02
2022.36 7.1626e-01 1.4846e-01 1.0320e-01 3.2073e-02
2149.34 6.5909e-01 2.0418e-01 1.0322e-01 3.3504e-02
2284.30 6.2409e-01 2.2824e-01 1.1023e-01 3.7444e-02
2427.74 5.7410e-01 2.6496e-01 1.1848e-01 4.2464e-02
2580.18 5.1899e-01 3.0412e-01 1.2827e-01 4.8620e-02
2742.19 4.3766e-01 3.6678e-01 1.3929e-01 5.6275e-02
2914.37 3.4740e-01 4.3921e-01 1.4951e-01 6.3884e-02
3097.37 2.5556e-01 5.1768e-01 1.5681e-01 6.9960e-02
3291.85 1.4917e-01 6.0846e-01 1.6527e-01 7.7100e-02
3498.55 1.1359e-01 6.5581e-01 1.5775e-01 7.2849e-02
3718.23 1.4945e-01 6.6852e-01 1.2748e-01 5.4549e-02
3951.70 1.4901e-01 6.9012e-01 1.1371e-01 4.7157e-02
