#NTIMES:     67
#NSTAGES:     8
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5           co6           co7
    1.244043E+04    1.0000E-99    9.9923E-01    7.7007E-04    6.6313E-18    1.6789E-44    1.4358E-69    2.0707E-96    1.2814-121
    1.256653E+04    1.0000E-99    9.9950E-01    5.0245E-04    1.5510E-18    7.4297E-46    3.6173E-70    9.8242E-98    3.4927-122
    1.291944E+04    1.0000E-99    9.9936E-01    6.4348E-04    2.4666E-18    1.4196E-45    5.7934E-70    1.8626E-97    5.5597-122
    1.356464E+04    1.0000E-99    9.9753E-01    2.4743E-03    1.0976E-16    2.3645E-42    2.1636E-68    2.4951E-94    1.6460-120
    1.414194E+04    1.0000E-99    9.9576E-01    4.2418E-03    4.3119E-16    2.8957E-41    8.1111E-68    2.7873E-93    5.6103-120
    1.463678E+04    1.0000E-99    9.9704E-01    2.9597E-03    1.0386E-16    1.1381E-42    2.2515E-68    1.2227E-94    1.7566-120
    1.515385E+04    1.0000E-99    9.9798E-01    2.0227E-03    2.7104E-17    6.1042E-44    6.7773E-69    7.3849E-96    5.9923-121
    1.570238E+04    1.0000E-99    9.9909E-01    9.1190E-04    2.0012E-18    2.7612E-46    6.1537E-70    4.5992E-98    6.6233-122
    1.628316E+04    1.0000E-99    9.9984E-01    1.6031E-04    7.5028E-21    2.1079E-51    2.7847E-72    3.7686-103    3.7675-124
    1.695591E+04    1.0000E-99    9.9997E-01    3.3037E-05    6.5497E-23    1.6612E-55    2.8624E-74    3.7794-107    4.8140-126
    1.773545E+04    1.0000E-99    9.9999E-01    8.0063E-06    7.5674E-25    6.1165E-57    4.5408E-76    1.9086-108    1.1235-127
    1.852426E+04    1.0000E-99    1.0000E+00    2.8959E-06    2.2268E-26    2.9338E-57    1.7872E-77    1.2705-108    6.2725-129
    1.933673E+04    1.0000E-99    1.0000E+00    1.5331E-06    2.9901E-27    1.9806E-57    3.1516E-78    1.1262-108    1.4845-129
    2.006825E+04    1.0000E-99    1.0000E+00    1.4104E-06    2.9329E-27    1.7106E-57    3.1126E-78    9.1594-109    1.4288-129
    2.082304E+04    1.0000E-99    1.0000E+00    1.4739E-06    6.4464E-27    1.6199E-57    6.4374E-78    7.8478-109    2.7283-129
    2.162788E+04    1.0000E-99    1.0000E+00    1.2252E-06    8.4815E-27    1.4351E-57    9.0484E-78    7.4139-109    4.0985-129
    2.248295E+04    1.0000E-99    1.0000E+00    1.5404E-06    2.5254E-26    1.5338E-57    2.3196E-77    6.6912-109    9.0086-129
    2.340334E+04    1.0000E-99    1.0000E+00    1.3124E-06    2.5823E-26    1.3807E-57    2.4995E-77    6.3556-109    1.0280-128
    2.427003E+04    1.0000E-99    1.0000E+00    1.7045E-06    5.1078E-26    1.5480E-57    4.3213E-77    6.1029-109    1.5507-128
    2.528269E+04    1.0000E-99    1.0000E+00    1.9033E-06    6.4064E-26    1.6382E-57    5.1743E-77    6.0914-109    1.7761-128
    2.627013E+04    1.0000E-99    1.0000E+00    1.6924E-06    5.3977E-26    1.5069E-57    4.5056E-77    5.7848-109    1.6063-128
    2.723040E+04    1.0000E-99    1.0000E+00    2.9240E-06    1.1754E-25    2.2033E-57    8.4659E-77    7.1149-109    2.5975-128
    2.827004E+04    1.0000E-99    1.0000E+00    3.9068E-06    1.5974E-25    2.7596E-57    1.0910E-76    8.3314-109    3.1770-128
    2.934273E+04    1.0000E-99    9.9999E-01    6.3531E-06    2.8856E-25    4.0962E-57    1.8235E-76    1.1257-108    4.9141-128
    3.052012E+04    1.0000E-99    9.9999E-01    9.9889E-06    4.8982E-25    6.0454E-57    2.9362E-76    1.5567-108    7.5138-128
    3.176086E+04    1.0000E-99    9.9999E-01    1.3879E-05    7.1654E-25    8.1308E-57    4.1839E-76    2.0247-108    1.0453-127
    3.295538E+04    1.0000E-99    9.9998E-01    1.5820E-05    8.0077E-25    9.2199E-57    4.6687E-76    2.2833-108    1.1684-127
    3.403161E+04    1.0000E-99    9.9998E-01    1.8529E-05    9.6222E-25    1.0703E-56    5.5738E-76    2.6263-108    1.3902-127
    3.500379E+04    1.0000E-99    9.9998E-01    2.3792E-05    1.3577E-24    1.3510E-56    7.7402E-76    3.2587-108    1.9051-127
    3.593430E+04    1.0000E-99    9.9997E-01    3.0825E-05    1.9673E-24    1.7242E-56    1.1045E-75    4.0985-108    2.6848-127
    3.686142E+04    1.0000E-99    9.9996E-01    3.8034E-05    2.6823E-24    2.1090E-56    1.4912E-75    4.9753-108    3.5998-127
    3.781660E+04    1.0000E-99    9.9996E-01    4.3402E-05    3.3178E-24    2.4014E-56    1.8375E-75    5.6642-108    4.4320-127
    3.881204E+04    1.0000E-99    9.9995E-01    4.5070E-05    3.6600E-24    2.5022E-56    2.0299E-75    5.9394-108    4.9179-127
    3.984228E+04    1.0000E-99    9.9996E-01    4.4014E-05    3.8030E-24    2.4596E-56    2.1162E-75    5.8997-108    5.1594-127
    4.090108E+04    1.0000E-99    9.9996E-01    4.1577E-05    3.8690E-24    2.3423E-56    2.1581E-75    5.6919-108    5.2921-127
    4.198933E+04    1.0000E-99    9.9996E-01    3.8649E-05    3.9094E-24    2.1967E-56    2.1807E-75    5.4193-108    5.3681-127
