#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    5.917412E+04   1.0000E-099   9.9971E-001   2.8867E-004   2.2315E-020   5.5575E-052
    6.067730E+04   1.0000E-099   9.9976E-001   2.4228E-004   1.8325E-020   4.4742E-052
    6.217708E+04   1.0000E-099   9.9979E-001   2.0787E-004   1.5233E-020   3.6029E-052
    6.366086E+04   1.0000E-099   9.9982E-001   1.8294E-004   1.2868E-020   2.9131E-052
    6.510379E+04   1.0000E-099   9.9984E-001   1.6490E-004   1.1068E-020   2.3708E-052
    6.648389E+04   1.0000E-099   9.9985E-001   1.5148E-004   9.6544E-021   1.9402E-052
    6.776932E+04   1.0000E-099   9.9986E-001   1.4062E-004   8.4936E-021   1.5889E-052
    6.895129E+04   1.0000E-099   9.9987E-001   1.2569E-004   6.9723E-021   1.1673E-052
    6.949055E+04   1.0000E-099   9.9989E-001   1.1193E-004   5.5790E-021   8.1646E-053
    6.976176E+04   1.0000E-099   9.9990E-001   1.0183E-004   4.5124E-021   5.8192E-053
    6.989776E+04   1.0000E-099   9.9991E-001   9.3818E-005   3.6057E-021   4.0929E-053
    6.996586E+04   1.0000E-099   9.9991E-001   8.8303E-005   2.9532E-021   3.0245E-053
    6.999823E+04   1.0000E-099   9.9992E-001   8.4510E-005   2.5091E-021   2.3855E-053
    6.999993E+04   1.0000E-099   9.9992E-001   8.4126E-005   2.4614E-021   2.3220E-053
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    8.484664E+02   1.0000E-099   3.4071E-019   4.1468E-012   1.0712E-005   9.9999E-001
    8.543246E+02   1.0000E-099   3.4071E-019   4.1468E-012   1.0712E-005   9.9999E-001
    8.721432E+02   1.0000E-099   3.4071E-019   4.1468E-012   1.0712E-005   9.9999E-001
    9.089031E+02   1.0000E-099   3.4071E-019   4.1469E-012   1.0712E-005   9.9999E-001
    9.682894E+02   1.0000E-099   3.4074E-019   4.1472E-012   1.0712E-005   9.9999E-001
    1.029084E+03   1.0000E-099   3.4096E-019   4.1492E-012   1.0715E-005   9.9999E-001
    1.093701E+03   1.0000E-099   3.4096E-019   4.1506E-012   1.0717E-005   9.9999E-001
    1.162375E+03   1.0000E-099   3.3912E-019   4.1367E-012   1.0699E-005   9.9999E-001
    1.235362E+03   1.0000E-099   3.2837E-019   4.0336E-012   1.0563E-005   9.9999E-001
    1.312931E+03   1.0000E-099   2.7449E-019   3.4781E-012   9.8009E-006   9.9999E-001
    1.395371E+03   1.0000E-099   1.0025E-019   1.5979E-012   6.6718E-006   9.9999E-001
    1.482988E+03   1.0000E-099   4.3492E-020   8.3901E-013   4.8968E-006   1.0000E+000
    1.576106E+03   1.0000E-099   3.8277E-020   7.6097E-013   4.6754E-006   1.0000E+000
    1.675071E+03   1.0000E-099   2.3266E-020   5.2158E-013   3.9134E-006   1.0000E+000
    1.780251E+03   1.0000E-099   1.1850E-020   3.1400E-013   3.0898E-006   1.0000E+000
    1.892034E+03   1.0000E-099   6.7288E-021   2.0851E-013   2.5470E-006   1.0000E+000
    2.010837E+03   1.0000E-099   3.6739E-021   1.3282E-013   2.0728E-006   1.0000E+000
    2.137099E+03   1.0000E-099   1.9907E-021   8.5120E-014   1.6876E-006   1.0000E+000
    2.271289E+03   1.0000E-099   1.0637E-021   5.3721E-014   1.3703E-006   1.0000E+000
    2.413905E+03   1.0000E-099   5.8843E-022   3.5019E-014   1.1273E-006   1.0000E+000
    2.565477E+03   1.0000E-099   3.7623E-022   2.5419E-014   9.7333E-007   1.0000E+000
    2.726565E+03   1.0000E-099   2.7700E-022   2.0552E-014   8.7980E-007   1.0000E+000
    2.897769E+03   1.0000E-099   2.4451E-022   1.9086E-014   8.4301E-007   1.0000E+000
    3.079722E+03   1.0000E-099   2.6018E-022   2.0505E-014   8.5819E-007   1.0000E+000
    3.273101E+03   1.0000E-099   4.0224E-022   2.8996E-014   9.9022E-007   1.0000E+000
    3.478622E+03   1.0000E-099   8.5990E-022   5.4396E-014   1.2879E-006   1.0000E+000
    3.697048E+03   1.0000E-099   3.7168E-021   1.5830E-013   2.1397E-006   1.0000E+000
    3.929188E+03   1.0000E-099   1.1013E-020   3.2879E-013   3.0790E-006   1.0000E+000
    4.175906E+03   1.0000E-099   4.2412E-020   1.1434E-012   5.6774E-006   9.9999E-001
    4.438115E+03   1.0000E-099   1.0381E-019   2.4300E-012   8.5416E-006   9.9999E-001
    4.716788E+03   1.0000E-099   1.0639E-019   2.5565E-012   8.8433E-006   9.9999E-001
    5.012959E+03   1.0000E-099   7.4211E-020   1.9738E-012   7.7307E-006   9.9999E-001
    5.327727E+03   1.0000E-099   5.0655E-020   1.4959E-012   6.6902E-006   9.9999E-001
    5.662260E+03   1.0000E-099   4.1551E-020   1.3164E-012   6.2828E-006   9.9999E-001
    6.017798E+03   1.0000E-099   3.9297E-020   1.2794E-012   6.2077E-006   9.9999E-001
    6.395661E+03   1.0000E-099   4.8587E-020   1.5369E-012   6.8837E-006   9.9999E-001
    6.797251E+03   1.0000E-099   6.9823E-020   2.0952E-012   8.2107E-006   9.9999E-001
    7.224056E+03   1.0000E-099   1.1098E-019   3.0535E-012   1.0152E-005   9.9999E-001
