#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    1.569984E+04   1.0000E-099   9.6993E-001   3.0070E-002   1.6438E-014
    1.625603E+04   1.0000E-099   9.9041E-001   9.5921E-003   3.3934E-016
    1.692188E+04   1.0000E-099   9.9729E-001   2.7082E-003   5.9308E-018
    1.755155E+04   1.0000E-099   9.9897E-001   1.0346E-003   2.2920E-019
    1.815678E+04   1.0000E-099   9.9943E-001   5.6841E-004   2.3749E-020
    1.877630E+04   1.0000E-099   9.9965E-001   3.4792E-004   3.7916E-021
    1.943029E+04   1.0000E-099   9.9978E-001   2.2367E-004   9.5439E-022
    2.010428E+04   1.0000E-099   9.9977E-001   2.3133E-004   1.0530E-021
    2.090850E+04   1.0000E-099   9.9975E-001   2.5413E-004   2.2420E-021
    2.182676E+04   1.0000E-099   9.9977E-001   2.3135E-004   3.5996E-021
    2.283367E+04   1.0000E-099   9.9971E-001   2.9036E-004   1.2439E-020
    2.394324E+04   1.0000E-099   9.9966E-001   3.4231E-004   2.5935E-020
    2.516734E+04   1.0000E-099   9.9951E-001   4.8594E-004   6.0652E-020
    2.638649E+04   1.0000E-099   9.9950E-001   4.9831E-004   6.3670E-020
    2.758311E+04   1.0000E-099   9.9906E-001   9.3659E-004   2.3138E-019
    2.884269E+04   1.0000E-099   9.9856E-001   1.4442E-003   5.2018E-019
    3.014497E+04   1.0000E-099   9.9759E-001   2.4144E-003   1.4931E-018
    3.148085E+04   1.0000E-099   9.9643E-001   3.5732E-003   3.2469E-018
    3.276289E+04   1.0000E-099   9.9576E-001   4.2425E-003   4.7103E-018
    3.391810E+04   1.0000E-099   9.9505E-001   4.9507E-003   6.8235E-018
    3.495083E+04   1.0000E-099   9.9361E-001   6.3879E-003   1.2590E-017
    3.592850E+04   1.0000E-099   9.9131E-001   8.6886E-003   2.4979E-017
    3.688885E+04   1.0000E-099   9.8825E-001   1.1747E-002   4.6744E-017
    3.786912E+04   1.0000E-099   9.8483E-001   1.5170E-002   7.7904E-017
    3.888044E+04   1.0000E-099   9.8204E-001   1.7955E-002   1.1145E-016
    3.991994E+04   1.0000E-099   9.8021E-001   1.9795E-002   1.4510E-016
    4.098383E+04   1.0000E-099   9.7936E-001   2.0635E-002   1.7641E-016
    4.207443E+04   1.0000E-099   9.7942E-001   2.0582E-002   2.0086E-016
    4.319619E+04   1.0000E-099   9.8005E-001   1.9955E-002   2.1594E-016
    4.435339E+04   1.0000E-099   9.8088E-001   1.9119E-002   2.2246E-016
    4.555005E+04   1.0000E-099   9.8158E-001   1.8415E-002   2.2502E-016
    4.678738E+04   1.0000E-099   9.8191E-001   1.8093E-002   2.2949E-016
    4.806468E+04   1.0000E-099   9.8180E-001   1.8196E-002   2.3834E-016
    4.937985E+04   1.0000E-099   9.8132E-001   1.8684E-002   2.5181E-016
    5.073002E+04   1.0000E-099   9.8042E-001   1.9582E-002   2.7067E-016
    5.211198E+04   1.0000E-099   9.7914E-001   2.0857E-002   2.9400E-016
    5.352349E+04   1.0000E-099   9.7777E-001   2.2230E-002   3.1638E-016
    5.496004E+04   1.0000E-099   9.7668E-001   2.3324E-002   3.3180E-016
    5.642085E+04   1.0000E-099   9.7607E-001   2.3931E-002   3.3758E-016
    5.789881E+04   1.0000E-099   9.7593E-001   2.4070E-002   3.3402E-016
    5.939226E+04   1.0000E-099   9.7615E-001   2.3851E-002   3.2300E-016
    6.088737E+04   1.0000E-099   9.7666E-001   2.3337E-002   3.0632E-016
    6.237825E+04   1.0000E-099   9.7743E-001   2.2565E-002   2.8610E-016
    6.383998E+04   1.0000E-099   9.7839E-001   2.1608E-002   2.6487E-016
    6.526223E+04   1.0000E-099   9.7950E-001   2.0497E-002   2.4336E-016
    6.660986E+04   1.0000E-099   9.8064E-001   1.9362E-002   2.2287E-016
    6.786444E+04   1.0000E-099   9.8200E-001   1.7998E-002   2.0010E-016
    6.899777E+04   1.0000E-099   9.8357E-001   1.6433E-002   1.7150E-016
    6.951321E+04   1.0000E-099   9.8518E-001   1.4815E-002   1.4040E-016
    6.977237E+04   1.0000E-099   9.8615E-001   1.3853E-002   1.1728E-016
    6.990232E+04   1.0000E-099   9.8698E-001   1.3016E-002   9.5884E-017
