#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 24
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5 Si6 Si7
1.167715E+04 1.380307E-07 2.758267E-01 7.241732E-01 1.236953E-09 8.235939E-26 0.000000E+00 0.000000E+00 0.000000E+00
1.178405E+04 2.112533E-07 3.444898E-01 6.555100E-01 6.923838E-10 2.557890E-26 0.000000E+00 0.000000E+00 0.000000E+00
1.187585E+04 2.699065E-07 3.935617E-01 6.064380E-01 4.644397E-10 1.153806E-26 0.000000E+00 0.000000E+00 0.000000E+00
1.196338E+04 2.681950E-07 4.045604E-01 5.954393E-01 4.088785E-10 8.725522E-27 0.000000E+00 0.000000E+00 0.000000E+00
1.205538E+04 2.060744E-07 3.767601E-01 6.232397E-01 4.569241E-10 1.005556E-26 0.000000E+00 0.000000E+00 0.000000E+00
1.217040E+04 1.615980E-07 3.529269E-01 6.470730E-01 5.027147E-10 1.137470E-26 0.000000E+00 0.000000E+00 0.000000E+00
1.236090E+04 1.358593E-07 3.432430E-01 6.567568E-01 5.081029E-10 1.109641E-26 0.000000E+00 0.000000E+00 0.000000E+00
1.267048E+04 1.109829E-07 3.383245E-01 6.616754E-01 4.608383E-10 8.315705E-27 0.000000E+00 0.000000E+00 0.000000E+00
1.307535E+04 1.018478E-07 3.554343E-01 6.445656E-01 3.392505E-10 4.027303E-27 0.000000E+00 0.000000E+00 0.000000E+00
1.353053E+04 9.906607E-08 3.826007E-01 6.173992E-01 2.291023E-10 1.637466E-27 0.000000E+00 0.000000E+00 0.000000E+00
1.401275E+04 9.627796E-08 4.105083E-01 5.894916E-01 1.514782E-10 6.323817E-28 0.000000E+00 0.000000E+00 0.000000E+00
1.450883E+04 9.911217E-08 4.502364E-01 5.497635E-01 8.875055E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500233E+04 1.149224E-07 5.114242E-01 4.885757E-01 4.435946E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.547530E+04 1.432736E-07 5.874280E-01 4.125719E-01 1.925308E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.592370E+04 1.681994E-07 6.542217E-01 3.457782E-01 8.195231E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.635565E+04 1.959065E-07 7.153810E-01 2.846188E-01 3.454563E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.677625E+04 2.582406E-07 7.893230E-01 2.106767E-01 1.148427E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.718313E+04 3.546445E-07 8.556218E-01 1.443779E-01 3.271387E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.758045E+04 4.818176E-07 9.088224E-01 9.117711E-02 7.087066E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.799035E+04 5.961601E-07 9.403219E-01 5.967752E-02 1.672255E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.845805E+04 7.496616E-07 9.638730E-01 3.612623E-02 3.106047E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.908468E+04 9.476979E-07 9.805297E-01 1.946937E-02 3.790722E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.999980E+04 9.660818E-07 9.888390E-01 1.116006E-02 4.045536E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.119348E+04 7.969959E-07 9.921967E-01 7.802494E-03 6.749866E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.252870E+04 6.712345E-07 9.942819E-01 5.717450E-03 1.490591E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.394330E+04 5.090548E-07 9.949074E-01 5.092060E-03 6.091814E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.544675E+04 4.260623E-07 9.957632E-01 4.236345E-03 2.324558E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.704458E+04 3.219876E-07 9.959743E-01 4.025423E-03 1.251962E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.874418E+04 2.049767E-07 9.953113E-01 4.688462E-03 1.101312E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.052015E+04 1.364369E-07 9.946844E-01 5.315502E-03 9.510676E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.224350E+04 1.113363E-07 9.949329E-01 5.066940E-03 6.064444E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.377303E+04 9.591528E-08 9.952594E-01 4.740549E-03 3.893958E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.473940E+04 7.175120E-08 9.945722E-01 5.427702E-03 4.006148E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
#
#TIME: 20.0
#NVEL: 45
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5 Si6 Si7
7.728350E+03 2.192328E-10 5.384337E-03 9.946141E-01 1.570731E-06 5.645855E-19 0.000000E+00 0.000000E+00 0.000000E+00
8.206558E+03 3.662338E-10 7.732922E-03 9.922660E-01 1.063838E-06 2.557885E-19 0.000000E+00 0.000000E+00 0.000000E+00
8.717733E+03 7.331882E-10 1.272516E-02 9.872744E-01 4.741284E-07 4.158911E-20 0.000000E+00 0.000000E+00 0.000000E+00
9.214737E+03 1.797537E-09 2.364770E-02 9.763521E-01 1.572872E-07 3.374087E-21 0.000000E+00 0.000000E+00 0.000000E+00
9.629110E+03 4.168902E-09 4.212456E-02 9.578754E-01 5.226741E-08 2.722578E-22 0.000000E+00 0.000000E+00 0.000000E+00
9.954100E+03 6.872144E-09 6.057363E-02 9.394263E-01 2.447041E-08 4.767080E-23 0.000000E+00 0.000000E+00 0.000000E+00
1.024563E+04 9.055919E-09 7.618747E-02 9.238125E-01 1.427085E-08 1.364974E-23 0.000000E+00 0.000000E+00 0.000000E+00
1.054150E+04 1.150567E-08 9.285990E-02 9.071401E-01 9.001563E-09 4.738455E-24 0.000000E+00 0.000000E+00 0.000000E+00
1.083998E+04 1.788435E-08 1.234302E-01 8.765698E-01 5.097223E-09 1.357314E-24 0.000000E+00 0.000000E+00 0.000000E+00
1.111913E+04 2.967269E-08 1.672140E-01 8.327860E-01 2.781809E-09 3.713939E-25 0.000000E+00 0.000000E+00 0.000000E+00
1.135580E+04 5.912527E-08 2.433748E-01 7.566251E-01 1.231034E-09 6.757007E-26 0.000000E+00 0.000000E+00 0.000000E+00
1.153978E+04 1.296170E-07 3.548461E-01 6.451538E-01 5.097899E-10 1.197200E-26 0.000000E+00 0.000000E+00 0.000000E+00
1.167715E+04 2.449291E-07 4.729536E-01 5.270462E-01 2.019872E-10 1.960542E-27 0.000000E+00 0.000000E+00 0.000000E+00
1.178405E+04 3.492171E-07 5.522076E-01 4.477920E-01 1.039746E-10 5.395611E-28 0.000000E+00 0.000000E+00 0.000000E+00
1.187585E+04 4.252987E-07 6.028570E-01 3.971426E-01 6.521211E-11 2.177324E-28 0.000000E+00 0.000000E+00 0.000000E+00
1.196338E+04 4.196443E-07 6.145521E-01 3.854475E-01 5.476708E-11 1.482843E-28 0.000000E+00 0.000000E+00 0.000000E+00
1.205538E+04 3.402075E-07 5.941899E-01 4.058098E-01 5.559862E-11 1.336235E-28 0.000000E+00 0.000000E+00 0.000000E+00
1.217040E+04 2.817075E-07 5.775659E-01 4.224338E-01 5.548966E-11 1.186056E-28 0.000000E+00 0.000000E+00 0.000000E+00
1.236090E+04 2.582945E-07 5.875404E-01 4.124594E-01 4.269678E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.267048E+04 2.379313E-07 6.127299E-01 3.872699E-01 2.585479E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.307535E+04 2.409717E-07 6.623954E-01 3.376044E-01 1.177694E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.353053E+04 2.495634E-07 7.138421E-01 2.861576E-01 5.068571E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.401275E+04 2.604914E-07 7.644945E-01 2.355052E-01 2.007871E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.450883E+04 2.695443E-07 8.067017E-01 1.932980E-01 8.214413E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500233E+04 3.082574E-07 8.563871E-01 1.436126E-01 2.603443E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.547530E+04 3.566479E-07 8.946647E-01 1.053349E-01 8.709897E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.592370E+04 3.964384E-07 9.223294E-01 7.767017E-02 2.841528E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.635565E+04 4.452960E-07 9.439334E-01 5.606612E-02 8.903669E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.677625E+04 5.576102E-07 9.638829E-01 3.611655E-02 2.196779E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.718313E+04 7.378260E-07 9.784200E-01 2.157930E-02 4.552034E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.758045E+04 9.340533E-07 9.868107E-01 1.318833E-02 9.694821E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.799035E+04 1.083429E-06 9.911562E-01 8.842714E-03 2.578901E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.845805E+04 1.276878E-06 9.944107E-01 5.588070E-03 5.567237E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.908468E+04 1.461325E-06 9.965609E-01 3.437595E-03 1.042073E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.999980E+04 1.310868E-06 9.975114E-01 2.487318E-03 2.386595E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.119348E+04 9.925936E-07 9.979298E-01 2.069239E-03 7.089429E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.252870E+04 7.865951E-07 9.982835E-01 1.715676E-03 2.350762E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.394330E+04 5.815415E-07 9.983871E-01 1.612274E-03 1.146347E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.544675E+04 4.687742E-07 9.985543E-01 1.445244E-03 5.592045E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.704458E+04 3.441067E-07 9.985382E-01 1.461478E-03 3.707167E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.874418E+04 2.178468E-07 9.982613E-01 1.738501E-03 3.522702E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.052015E+04 1.441742E-07 9.979875E-01 2.012368E-03 3.284445E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.224350E+04 1.175554E-07 9.980785E-01 1.921375E-03 2.107136E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.377303E+04 1.006974E-07 9.981828E-01 1.817059E-03 1.402390E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.473940E+04 7.572409E-08 9.979260E-01 2.073916E-03 1.438628E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
