#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 ne5 ne6
5.9510e+04 1.0000e+00 1.6707e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 1.0000e+00 2.0505e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 1.0000e+00 2.4966e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 1.0000e+00 2.9963e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 1.0000e+00 3.5468e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 1.0000e+00 4.1273e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 1.0000e+00 4.7238e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 1.0000e+00 5.3062e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 1.0000e+00 5.5597e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 1.0000e+00 5.6700e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.0000e+00 5.7767e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 1.0000e+00 5.7733e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 1.0000e+00 5.8015e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 1.0000e+00 1.2060e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.3409
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 ne5 ne6
4.2577e+02 1.6332e-29 5.7056e-21 6.6298e-13 1.4013e-06 2.4095e-02 8.6748e-01 1.0842e-01
8.5779e+02 1.4304e-20 6.4322e-14 9.6573e-08 2.7506e-03 6.5672e-01 3.3990e-01 6.2339e-04
8.7843e+02 1.4428e-20 6.4832e-14 9.7256e-08 2.7638e-03 6.5771e-01 3.3891e-01 6.1839e-04
9.1772e+02 1.4341e-20 6.4471e-14 9.6764e-08 2.7542e-03 6.5699e-01 3.3964e-01 6.2207e-04
9.7304e+02 1.3878e-20 6.2606e-14 9.4329e-08 2.7077e-03 6.5352e-01 3.4313e-01 6.3973e-04
1.0350e+03 1.3097e-20 5.9403e-14 9.0054e-08 2.6242e-03 6.4706e-01 3.4964e-01 6.7376e-04
1.1000e+03 1.0871e-20 5.0211e-14 7.7675e-08 2.3746e-03 6.2640e-01 3.7043e-01 7.9175e-04
1.1690e+03 6.4791e-21 3.1467e-14 5.1401e-08 1.7904e-03 5.6769e-01 4.2930e-01 1.2168e-03
1.2425e+03 2.0841e-21 1.1193e-14 2.0267e-08 9.2880e-04 4.3606e-01 5.6009e-01 2.9192e-03
1.3205e+03 3.0973e-22 1.9288e-15 3.9824e-09 2.7992e-04 2.4576e-01 7.4355e-01 1.0402e-02
1.4033e+03 2.7413e-23 2.0592e-16 4.8739e-10 5.6484e-05 1.0342e-01 8.5826e-01 3.8271e-02
1.4915e+03 2.5174e-24 2.2977e-17 6.1467e-11 1.1299e-05 4.0636e-02 8.5027e-01 1.0908e-01
1.5852e+03 2.6048e-25 2.8919e-18 8.6979e-12 2.4158e-06 1.5784e-02 7.4412e-01 2.4009e-01
1.6847e+03 2.2291e-26 3.0673e-19 1.0463e-12 4.4035e-07 5.2235e-03 5.5187e-01 4.4290e-01
1.7904e+03 1.4084e-27 2.4719e-20 9.7674e-14 6.3307e-08 1.3833e-03 3.3157e-01 6.6705e-01
1.9028e+03 7.0515e-29 1.6202e-21 7.6007e-15 7.6568e-09 3.0900e-04 1.6715e-01 8.3254e-01
2.0223e+03 3.3008e-30 9.9207e-23 5.5089e-16 8.5363e-10 6.2958e-05 7.6016e-02 9.2392e-01
2.1493e+03 1.5742e-31 6.1788e-24 4.0633e-17 9.5556e-11 1.2663e-05 3.3433e-02 9.6655e-01
2.2843e+03 9.9814e-33 4.9745e-25 3.8027e-18 1.2951e-11 2.9043e-06 1.5564e-02 9.8443e-01
2.4277e+03 1.0528e-33 6.4129e-26 5.5987e-19 2.5759e-12 8.8299e-07 8.3673e-03 9.9163e-01
2.5802e+03 2.2473e-34 1.5871e-26 1.5409e-19 8.7403e-13 3.9932e-07 5.5347e-03 9.9446e-01
2.7422e+03 1.2257e-34 9.3375e-27 9.6879e-20 6.0117e-13 3.0593e-07 4.8263e-03 9.9517e-01
2.9144e+03 2.0708e-34 1.5575e-26 1.6408e-19 9.6434e-13 4.4077e-07 5.8609e-03 9.9414e-01
3.0973e+03 1.3697e-33 9.1990e-26 9.3526e-19 4.3761e-12 1.3804e-06 1.0697e-02 9.8930e-01
