#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] o0 o1 o2 o3 o4 o5 o6
1.1876e+04 9.6920e-01 3.0804e-02 1.6481e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 9.9009e-01 9.9104e-03 2.2089e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 9.9565e-01 4.3492e-03 7.3142e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 9.9796e-01 2.0384e-03 3.3188e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 9.9932e-01 6.8463e-04 4.4670e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 9.9990e-01 1.0149e-04 2.7652e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 9.9999e-01 1.2008e-05 7.6741e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 1.0000e+00 1.3033e-06 1.5119e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 1.0000e+00 1.4106e-07 2.8056e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 1.0000e+00 1.5896e-08 6.0256e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 1.0000e+00 1.9428e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 1.0000e+00 2.9475e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 1.0000e+00 5.9665e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 1.0000e+00 1.5522e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 1.0000e+00 4.4858e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 1.0000e+00 1.4600e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 1.0000e+00 5.8346e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 1.0000e+00 2.7267e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 1.0000e+00 1.0699e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 1.0000e+00 2.7123e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.0000e+00 4.9823e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 1.0000e+00 1.2803e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 1.0000e+00 4.6309e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 1.0000e+00 1.5062e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.0000e+00 3.1457e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 1.0000e+00 5.8978e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 1.0000e+00 1.1994e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 1.0000e+00 2.2881e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 1.0000e+00 3.4184e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 1.0000e+00 4.5721e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 1.0000e+00 6.4909e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 1.0000e+00 9.5394e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 1.0000e+00 1.3867e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 1.0000e+00 1.9333e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 1.0000e+00 2.6221e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 1.0000e+00 3.5140e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 1.0000e+00 4.6945e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 1.0000e+00 6.2543e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 1.0000e+00 8.3124e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 1.0000e+00 1.1115e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 1.0000e+00 1.4881e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 1.0000e+00 1.9959e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 1.0000e+00 2.6824e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 1.0000e+00 3.5998e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 1.0000e+00 4.8443e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 1.0000e+00 6.4778e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 1.0000e+00 8.6338e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 1.0000e+00 1.1478e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 1.0000e+00 1.5148e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 1.0000e+00 1.9855e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 1.0000e+00 2.5738e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 1.0000e+00 3.3055e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 1.0000e+00 4.1789e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 1.0000e+00 5.1960e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 1.0000e+00 6.3331e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 1.0000e+00 7.5586e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 1.0000e+00 8.8151e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 1.0000e+00 9.4044e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 1.0000e+00 9.6779e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.0000e+00 9.9046e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 1.0000e+00 9.9287e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 1.0000e+00 9.9922e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 1.0000e+00 2.0771e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.3409
#NVEL: 115
#vel_mid[km/s] o0 o1 o2 o3 o4 o5 o6
4.2577e+02 2.0801e-33 2.7574e-24 4.6043e-16 2.3546e-09 2.0901e-04 1.5198e-01 8.4781e-01
8.5779e+02 2.7263e-23 4.6267e-16 1.0021e-09 6.8440e-05 8.2911e-02 8.4868e-01 6.8338e-02
8.7843e+02 2.7536e-23 4.6703e-16 1.0105e-09 6.8881e-05 8.3221e-02 8.4868e-01 6.8026e-02
9.1772e+02 2.7346e-23 4.6394e-16 1.0044e-09 6.8562e-05 8.2995e-02 8.4868e-01 6.8255e-02
9.7304e+02 2.6333e-23 4.4805e-16 9.7420e-10 6.6998e-05 8.1904e-02 8.4868e-01 6.9354e-02
1.0350e+03 2.4638e-23 4.2099e-16 9.2179e-10 6.4234e-05 7.9931e-02 8.4858e-01 7.1427e-02
1.1000e+03 1.9909e-23 3.4515e-16 7.7321e-10 5.6194e-05 7.3970e-02 8.4768e-01 7.8295e-02
1.1690e+03 1.1076e-23 1.9981e-16 4.7630e-10 3.8815e-05 5.9551e-02 8.4044e-01 9.9974e-02
1.2425e+03 3.1516e-24 6.1319e-17 1.6520e-10 1.7091e-05 3.6276e-02 7.9969e-01 1.6402e-01
1.3205e+03 4.0227e-25 8.6558e-18 2.7662e-11 4.1302e-06 1.4634e-02 6.5931e-01 3.2606e-01
1.4033e+03 2.8635e-26 6.9738e-19 2.7054e-12 6.1871e-07 3.9978e-03 4.1668e-01 5.7932e-01
1.4915e+03 1.9736e-27 5.4795e-20 2.5529e-13 8.6507e-08 9.7233e-04 2.1841e-01 7.8062e-01
1.5852e+03 1.5736e-28 5.0147e-21 2.7830e-14 1.3425e-08 2.4695e-04 1.0902e-01 8.9073e-01
1.6847e+03 1.1437e-29 4.2598e-22 2.8482e-15 1.9637e-09 5.9211e-05 5.1186e-02 9.4875e-01
1.7904e+03 7.2217e-31 3.2338e-23 2.6669e-16 2.6726e-10 1.3416e-05 2.2996e-02 9.7699e-01
1.9028e+03 4.2170e-32 2.3350e-24 2.4329e-17 3.5865e-11 3.0170e-06 1.0240e-02 9.8976e-01
2.0223e+03 2.5609e-33 1.7527e-25 2.3022e-18 4.9485e-12 6.9029e-07 4.5841e-03 9.9542e-01
2.1493e+03 1.6586e-34 1.4033e-26 2.3223e-19 7.2029e-13 1.6413e-07 2.0917e-03 9.9791e-01
2.2843e+03 1.4226e-35 1.4541e-27 2.9598e-20 1.2722e-13 4.4924e-08 1.0285e-03 9.9897e-01
2.4277e+03 1.9187e-36 2.3054e-28 5.6015e-21 3.1470e-14 1.5841e-08 5.8100e-04 9.9942e-01
2.5802e+03 4.7919e-37 6.5140e-29 1.8092e-21 1.2286e-14 7.8866e-09 3.9710e-04 9.9960e-01
2.7422e+03 2.7100e-37 3.9517e-29 1.1803e-21 8.7297e-15 6.1783e-09 3.4888e-04 9.9965e-01
2.9144e+03 4.1107e-37 6.0171e-29 1.7911e-21 1.2714e-14 8.3284e-09 4.1399e-04 9.9959e-01
3.0973e+03 2.0392e-36 2.7878e-28 7.6114e-21 4.4657e-14 2.1889e-08 7.1121e-04 9.9929e-01
3.2918e+03 4.1796e-35 5.0757e-27 1.1933e-19 4.8899e-13 1.3769e-07 1.9874e-03 9.9801e-01
3.4986e+03 5.0842e-33 4.6876e-25 8.0309e-18 1.7781e-11 2.0779e-06 8.8653e-03 9.9113e-01
3.7182e+03 2.1116e-30 1.2261e-22 1.2574e-15 1.2094e-09 4.7118e-05 4.7663e-02 9.5229e-01
3.9517e+03 1.4134e-27 5.5282e-20 3.4779e-13 1.3377e-07 1.4945e-03 2.7952e-01 7.1899e-01
4.1999e+03 2.5366e-24 8.8355e-17 3.6391e-10 4.0150e-05 6.9649e-02 8.5807e-01 7.2238e-02
4.4636e+03 7.9389e-22 2.3731e-14 5.5398e-08 1.7324e-03 5.0816e-01 4.8838e-01 1.7232e-03
4.7438e+03 8.3719e-21 2.2643e-13 3.8048e-07 6.3028e-03 7.7589e-01 2.1764e-01 1.6798e-04
5.0416e+03 1.4344e-20 3.8558e-13 6.0049e-07 8.4474e-03 8.2595e-01 1.6551e-01 8.3933e-05
5.3582e+03 1.1682e-20 3.3100e-13 5.4232e-07 8.0072e-03 8.2021e-01 1.7169e-01 9.0743e-05
5.6947e+03 1.0765e-20 3.2104e-13 5.4357e-07 8.1093e-03 8.2495e-01 1.6686e-01 8.3382e-05
6.0522e+03 1.5002e-20 4.5431e-13 7.3841e-07 9.8767e-03 8.5480e-01 1.3528e-01 4.9515e-05
6.4323e+03 3.4806e-20 1.0452e-12 1.4938e-06 1.5248e-02 9.0276e-01 8.1975e-02 1.4995e-05
6.8362e+03 1.2412e-19 3.6288e-12 4.2004e-06 2.8210e-02 9.3521e-01 3.6572e-02 2.3461e-06
7.2654e+03 5.8726e-19 1.6261e-11 1.4252e-05 5.6940e-02 9.2993e-01 1.3118e-02 2.3825e-07
7.7216e+03 4.0000e-18 1.0244e-10 6.2438e-05 1.2925e-01 8.6728e-01 3.4044e-03 1.2740e-08
8.2065e+03 5.8865e-17 1.3265e-09 4.6299e-04 3.5832e-01 6.4084e-01 3.7512e-04 1.3444e-10
8.7177e+03 3.7314e-15 6.3846e-08 7.4236e-03 8.6814e-01 1.2443e-01 1.9026e-06 7.7072e-15
9.2147e+03 1.5331e-12 1.3836e-05 2.0596e-01 7.9279e-01 1.2336e-03 2.6804e-11 3.5647e-23
9.6291e+03 2.6337e-10 9.2339e-04 9.5372e-01 4.5359e-02 2.0122e-07 8.0831e-19 3.0090e-35
9.9539e+03 1.4599e-08 1.7547e-02 9.8208e-01 3.6880e-04 2.2518e-12 5.0499e-28 0.0000e+00
1.0246e+04 1.1681e-06 3.5961e-01 6.4039e-01 8.5947e-07 2.2202e-18 4.8503e-39 0.0000e+00
1.0542e+04 1.7082e-05 9.7746e-01 2.2520e-02 2.5818e-11 3.3579e-27 0.0000e+00 0.0000e+00
1.0840e+04 1.8119e-04 9.9973e-01 9.1684e-05 1.8219e-17 1.3503e-38 0.0000e+00 0.0000e+00
1.1119e+04 2.2403e-03 9.9776e-01 2.2688e-07 4.0053e-24 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 2.2136e-02 9.7786e-01 9.2977e-10 3.5008e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 1.6318e-01 8.3682e-01 4.6669e-12 6.3928e-36 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 5.4682e-01 4.5318e-01 2.1021e-14 1.5336e-41 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 8.4452e-01 1.5548e-01 9.7236e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
