#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3
56561.17 3.6372e-14 5.1044e-07 2.0437e-03 9.9796e-01
58030.00 1.1379e-14 2.8145e-07 1.5147e-03 9.9848e-01
59510.42 6.2674e-15 1.5678e-07 1.1282e-03 9.9887e-01
60993.45 1.5861e-14 8.8901e-08 8.4812e-04 9.9915e-01
62466.44 3.6394e-15 5.1120e-08 6.4250e-04 9.9936e-01
63912.69 7.6438e-16 3.0213e-08 4.9276e-04 9.9951e-01
65311.62 2.8421e-16 1.7540e-08 3.8356e-04 9.9962e-01
66639.26 3.1898e-16 1.1607e-08 3.0448e-04 9.9970e-01
67870.77 3.2365e-16 7.6382e-09 2.4674e-04 9.9975e-01
68864.47 2.4658e-16 5.2136e-09 2.0379e-04 9.9980e-01
69459.55 6.3791e-16 4.4639e-09 1.8842e-04 9.9981e-01
69744.99 4.5979e-16 4.1238e-09 1.8107e-04 9.9982e-01
69888.26 3.5850e-16 3.9662e-09 1.7749e-04 9.9982e-01
69959.62 5.0999e-16 3.8892e-09 1.7578e-04 9.9982e-01
69991.15 7.7158e-16 3.8511e-09 1.7490e-04 9.9983e-01
69999.53 4.8686e-16 3.8526e-09 1.7494e-04 9.9983e-01
#TIME: 202.03
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3
425.78 3.9922e-03 8.6286e-01 1.3078e-01 2.3645e-03
857.79 7.3111e-04 8.4015e-01 1.5647e-01 2.6507e-03
878.44 5.4880e-04 8.5817e-01 1.3880e-01 2.4903e-03
917.72 4.8029e-04 8.4636e-01 1.5039e-01 2.7730e-03
973.04 2.5329e-03 8.6356e-01 1.3151e-01 2.3883e-03
1034.98 1.5476e-03 8.5583e-01 1.4003e-01 2.5887e-03
1099.97 6.6966e-04 8.6812e-01 1.2891e-01 2.2931e-03
1169.04 3.5826e-04 8.4235e-01 1.5437e-01 2.9183e-03
1242.44 3.4170e-04 8.4586e-01 1.5098e-01 2.8137e-03
