#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 24
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7
2.394330E+04 9.840036E-11 1.204140E-02 9.879586E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.544675E+04 7.881640E-11 1.218553E-02 9.878145E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.704458E+04 5.136259E-11 1.100155E-02 9.889985E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.874418E+04 2.369717E-11 8.260939E-03 9.917391E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.052015E+04 1.187100E-11 6.420827E-03 9.935792E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.224350E+04 8.800117E-12 6.008609E-03 9.939914E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.377303E+04 7.143626E-12 5.816349E-03 9.941837E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.473940E+04 4.246690E-12 4.726173E-03 9.952738E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
#
#TIME: 20.0
#NVEL: 45
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7
7.728350E+03 3.648580E-14 1.558651E-05 9.999844E-01 2.706002E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
8.206558E+03 6.075931E-14 2.154396E-05 9.999785E-01 1.799119E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
8.717733E+03 1.070078E-13 3.173031E-05 9.999683E-01 5.941398E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.214737E+03 2.166024E-13 5.096146E-05 9.999490E-01 1.245225E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.629110E+03 4.149568E-13 7.905856E-05 9.999209E-01 2.568769E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.954100E+03 5.987551E-13 1.032271E-04 9.998968E-01 8.523374E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.024563E+04 7.133637E-13 1.204349E-04 9.998796E-01 3.814617E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.054150E+04 8.382347E-13 1.382507E-04 9.998617E-01 1.946200E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.083998E+04 1.230466E-12 1.766572E-04 9.998233E-01 9.159432E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.111913E+04 1.974132E-12 2.351235E-04 9.997649E-01 4.295530E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.135580E+04 3.903076E-12 3.485401E-04 9.996515E-01 1.624453E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.153978E+04 9.280238E-12 5.606601E-04 9.994393E-01 6.528812E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.167715E+04 1.948179E-11 8.518471E-04 9.991482E-01 2.493087E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.178405E+04 3.029305E-11 1.104751E-03 9.988952E-01 1.252937E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.187585E+04 3.924320E-11 1.298333E-03 9.987017E-01 7.693516E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.196338E+04 3.828781E-11 1.315809E-03 9.986842E-01 6.043156E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.205538E+04 2.800883E-11 1.158955E-03 9.988410E-01 5.151028E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.217040E+04 2.124343E-11 1.039009E-03 9.989610E-01 4.415617E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.236090E+04 1.835029E-11 1.011825E-03 9.989882E-01 2.848428E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.267048E+04 1.565929E-11 1.007013E-03 9.989930E-01 1.308305E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.307535E+04 1.520988E-11 1.088325E-03 9.989117E-01 4.393258E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.353053E+04 1.552385E-11 1.205634E-03 9.987944E-01 1.428086E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.401275E+04 1.627444E-11 1.358725E-03 9.986413E-01 4.265914E-23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.450883E+04 1.713611E-11 1.525879E-03 9.984741E-01 1.350384E-23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500233E+04 2.166929E-11 1.888225E-03 9.981118E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.547530E+04 2.878429E-11 2.368662E-03 9.976313E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.592370E+04 3.599047E-11 2.896355E-03 9.971036E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.635565E+04 4.643791E-11 3.595243E-03 9.964048E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.677625E+04 7.454811E-11 4.980737E-03 9.950193E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.718313E+04 1.349115E-10 7.349216E-03 9.926508E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.758045E+04 2.263786E-10 1.047357E-02 9.895264E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.799035E+04 3.211746E-10 1.365510E-02 9.863449E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.845805E+04 4.745161E-10 1.842611E-02 9.815739E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.908468E+04 6.747046E-10 2.482113E-02 9.751789E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.999980E+04 6.120102E-10 2.747574E-02 9.725243E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.119348E+04 4.059797E-10 2.627704E-02 9.737230E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.252870E+04 2.945803E-10 2.585710E-02 9.741429E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.394330E+04 1.850022E-10 2.321778E-02 9.767822E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.544675E+04 1.369772E-10 2.229523E-02 9.777048E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.704458E+04 8.385077E-11 1.929301E-02 9.807070E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.874418E+04 3.811838E-11 1.432208E-02 9.856779E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.052015E+04 1.879480E-11 1.099454E-02 9.890055E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.224350E+04 1.387863E-11 1.026685E-02 9.897331E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.377303E+04 1.111193E-11 9.850645E-03 9.901494E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.473940E+04 6.668259E-12 8.041961E-03 9.919580E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
