#NTIMES: 145 
#NSTAGES: 3 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
16998.79 5.37e-03 9.95e-01 4.24e-13 
17146.37 9.22e-03 9.91e-01 1.08e-13 
17415.23 1.83e-02 9.82e-01 1.16e-14 
17888.12 6.74e-02 9.33e-01 2.30e-16 
18532.37 2.57e-01 7.43e-01 1.75e-18 
19260.76 5.90e-01 4.10e-01 1.31e-20 
20034.10 8.17e-01 1.83e-01 1.03e-22 
20838.00 9.43e-01 5.73e-02 1.02e-24 
21647.97 9.81e-01 1.91e-02 1.18e-26 
22447.94 9.93e-01 6.86e-03 1.46e-28 
23245.88 9.96e-01 4.12e-03 1.28e-29 
24052.47 9.98e-01 1.73e-03 2.65e-30 
24867.72 9.99e-01 9.20e-04 3.47e-30 
25698.86 1.00e+00 4.92e-04 8.69e-30 
26587.16 1.00e+00 2.92e-04 1.94e-29 
27637.54 1.00e+00 1.38e-04 3.68e-29 
28986.97 1.00e+00 6.75e-05 1.02e-28 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 1.98e-11 3.42e-04 1.00e+00 
999.11 2.97e-12 8.53e-05 1.00e+00 
1267.34 8.09e-13 3.05e-05 1.00e+00 
1514.05 3.48e-13 1.53e-05 1.00e+00 
1808.80 1.56e-13 8.30e-06 1.00e+00 
1919.29 8.86e-14 5.21e-06 1.00e+00 
2160.92 4.68e-14 3.35e-06 1.00e+00 
2292.92 2.58e-14 2.06e-06 1.00e+00 
2432.98 1.89e-14 1.72e-06 1.00e+00 
2581.60 1.54e-14 1.56e-06 1.00e+00 
2739.29 1.31e-14 1.43e-06 1.00e+00 
2906.62 1.12e-14 1.32e-06 1.00e+00 
3084.17 9.43e-15 1.25e-06 1.00e+00 
3272.56 7.58e-15 1.14e-06 1.00e+00 
3472.46 6.36e-15 1.07e-06 1.00e+00 
3684.57 5.28e-15 1.01e-06 1.00e+00 
3909.64 3.93e-15 8.87e-07 1.00e+00 
4148.46 3.51e-15 8.63e-07 1.00e+00 
4401.86 4.09e-15 9.76e-07 1.00e+00 
4670.75 4.62e-15 1.07e-06 1.00e+00 
4956.05 4.23e-15 1.07e-06 1.00e+00 
5258.79 3.64e-15 1.04e-06 1.00e+00 
5580.02 3.63e-15 1.07e-06 1.00e+00 
5920.87 3.64e-15 1.13e-06 1.00e+00 
6282.54 3.64e-15 1.20e-06 1.00e+00 
6666.30 3.95e-15 1.32e-06 1.00e+00 
7073.50 4.24e-15 1.43e-06 1.00e+00 
7505.58 4.49e-15 1.60e-06 1.00e+00 
7964.05 5.36e-15 1.97e-06 1.00e+00 
8450.53 8.90e-15 3.17e-06 1.00e+00 
8966.72 1.46e-14 4.89e-06 1.00e+00 
9514.44 3.12e-14 9.30e-06 1.00e+00 
10095.62 1.12e-13 2.57e-05 1.00e+00 
10712.30 6.65e-13 1.03e-04 1.00e+00 
11366.65 7.24e-12 6.38e-04 9.99e-01 
12061.10 2.06e-10 8.18e-03 9.92e-01 
12793.43 1.11e-08 1.62e-01 8.38e-01 
13528.61 2.34e-07 8.87e-01 1.13e-01 
14194.74 9.57e-07 9.97e-01 3.04e-03 
14757.77 3.04e-06 1.00e+00 1.05e-04 
15240.48 9.84e-06 1.00e+00 2.51e-06 
15646.99 3.32e-05 1.00e+00 1.58e-07 
15960.30 1.16e-04 1.00e+00 1.20e-08 
16187.41 3.47e-04 1.00e+00 1.13e-09 
16354.17 7.10e-04 9.99e-01 1.96e-10 
16484.18 1.16e-03 9.99e-01 5.46e-11 
16593.12 1.64e-03 9.98e-01 1.63e-11 
16691.99 1.84e-03 9.98e-01 8.90e-12 
16788.59 2.33e-03 9.98e-01 2.94e-12 
16888.37 3.76e-03 9.96e-01 1.01e-12 
16998.79 5.13e-03 9.95e-01 5.24e-13 
17146.37 8.74e-03 9.91e-01 1.15e-13 
17415.23 1.68e-02 9.83e-01 1.36e-14 
