#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 1.1751e-02 6.0167e-01 3.4982e-01 3.6749e-02
1919.29 1.6443e-02 6.2191e-01 3.2930e-01 3.2341e-02
2581.60 9.3823e-03 5.4016e-01 4.0086e-01 4.9593e-02
3084.17 2.8392e-03 3.5012e-01 5.6015e-01 8.6892e-02
3472.46 5.0434e-04 1.4979e-01 7.1357e-01 1.3613e-01
3909.64 1.9243e-04 9.7742e-02 7.2452e-01 1.7754e-01
4148.46 1.9504e-04 1.0126e-01 7.1472e-01 1.8382e-01
4670.75 2.5848e-04 1.2797e-01 6.9613e-01 1.7564e-01
4956.05 1.0981e-04 9.2401e-02 7.0835e-01 1.9913e-01
5258.79 1.8649e-05 3.3345e-02 7.3056e-01 2.3608e-01
5580.02 2.4040e-06 1.1706e-02 7.2757e-01 2.6072e-01
5920.87 5.3226e-07 5.2619e-03 7.1013e-01 2.8461e-01
6282.54 2.5023e-07 3.5811e-03 6.8416e-01 3.1226e-01
6666.30 2.0636e-07 3.2552e-03 6.7788e-01 3.1886e-01
7073.50 2.1474e-07 3.3517e-03 6.7413e-01 3.2252e-01
7505.58 2.4118e-07 3.5334e-03 6.5506e-01 3.4141e-01
7964.05 3.1529e-07 4.4559e-03 6.5902e-01 3.3653e-01
8450.53 1.4406e-06 1.0342e-02 6.6904e-01 3.2061e-01
8966.72 6.2529e-06 2.2878e-02 6.7409e-01 3.0303e-01
9514.44 2.2229e-05 4.3688e-02 6.6732e-01 2.8897e-01
10095.62 6.5565e-05 7.8468e-02 6.5839e-01 2.6308e-01
10712.30 1.7965e-04 1.3810e-01 6.2492e-01 2.3680e-01
11366.65 3.1501e-04 1.7237e-01 6.0469e-01 2.2263e-01
12061.10 3.7414e-04 2.0062e-01 5.8238e-01 2.1663e-01
12793.43 4.8926e-04 2.2604e-01 5.6067e-01 2.1280e-01
13528.61 5.4756e-04 2.0100e-01 5.7498e-01 2.2348e-01
14194.74 3.1214e-04 1.4576e-01 6.0542e-01 2.4851e-01
14757.77 1.2463e-04 1.0164e-01 6.3169e-01 2.6655e-01
15240.48 1.1283e-04 5.4608e-02 7.0088e-01 2.4440e-01
15646.99 1.7362e-04 6.3415e-02 7.4499e-01 1.9143e-01
15960.30 1.5220e-04 6.5918e-02 7.9975e-01 1.3418e-01
16187.41 1.8978e-04 6.3261e-02 8.2268e-01 1.1387e-01
16354.17 2.8624e-04 8.6071e-02 8.0739e-01 1.0626e-01
16484.18 5.4332e-05 2.5174e-02 8.5619e-01 1.1858e-01
16593.12 6.5560e-05 3.5944e-02 8.3445e-01 1.2954e-01
16691.99 4.8022e-05 3.9689e-02 8.1484e-01 1.4542e-01
16788.59 2.8169e-05 3.4084e-02 8.1056e-01 1.5533e-01
