#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
999.11 1.95e-21 4.67e-14 8.74e-07 1.00e+00 6.63e-06 
1267.34 5.86e-22 1.58e-14 4.02e-07 1.00e+00 1.21e-04 
1514.05 2.63e-22 7.67e-15 2.36e-07 9.99e-01 8.40e-04 
1808.80 1.23e-22 4.03e-15 1.50e-07 9.95e-01 4.51e-03 
1919.29 8.41e-23 2.83e-15 1.14e-07 9.78e-01 2.20e-02 
2160.92 4.75e-23 1.76e-15 8.10e-08 9.41e-01 5.92e-02 
2292.92 2.67e-23 1.08e-15 5.21e-08 7.55e-01 2.45e-01 
2432.98 2.00e-23 8.24e-16 4.17e-08 6.69e-01 3.31e-01 
2581.60 1.38e-23 6.09e-16 3.32e-08 6.01e-01 3.99e-01 
2739.29 1.46e-23 6.00e-16 3.17e-08 5.63e-01 4.37e-01 
2906.62 1.05e-23 4.63e-16 2.61e-08 5.07e-01 4.93e-01 
3084.17 7.89e-24 3.77e-16 2.31e-08 4.91e-01 5.09e-01 
3272.56 7.02e-24 3.55e-16 2.27e-08 5.01e-01 4.99e-01 
3472.46 6.38e-24 3.43e-16 2.33e-08 5.35e-01 4.65e-01 
3684.57 6.16e-24 3.55e-16 2.54e-08 5.95e-01 4.05e-01 
3909.64 5.24e-24 3.36e-16 2.63e-08 6.48e-01 3.52e-01 
4148.46 5.09e-24 3.48e-16 2.86e-08 7.10e-01 2.90e-01 
4401.86 6.60e-24 4.41e-16 3.48e-08 7.91e-01 2.09e-01 
4670.75 7.32e-24 4.95e-16 3.91e-08 8.45e-01 1.55e-01 
4956.05 6.47e-24 4.70e-16 3.98e-08 8.79e-01 1.21e-01 
5258.79 4.77e-24 3.94e-16 3.74e-08 8.96e-01 1.04e-01 
5580.02 4.32e-24 3.81e-16 3.84e-08 9.22e-01 7.81e-02 
5920.87 4.27e-24 3.91e-16 4.05e-08 9.46e-01 5.43e-02 
6282.54 3.81e-24 3.78e-16 4.15e-08 9.64e-01 3.60e-02 
6666.30 4.14e-24 4.17e-16 4.58e-08 9.79e-01 2.11e-02 
7073.50 4.43e-24 4.63e-16 5.11e-08 9.89e-01 1.10e-02 
7505.58 4.78e-24 5.22e-16 5.80e-08 9.95e-01 4.71e-03 
7964.05 5.52e-24 6.35e-16 7.03e-08 9.99e-01 1.36e-03 
8450.53 7.89e-24 9.22e-16 9.57e-08 1.00e+00 2.63e-04 
8966.72 1.27e-23 1.49e-15 1.41e-07 1.00e+00 3.72e-05 
9514.44 2.69e-23 3.15e-15 2.49e-07 1.00e+00 3.16e-06 
10095.62 9.47e-23 1.04e-14 5.97e-07 1.00e+00 5.84e-08 
10712.30 4.28e-22 4.74e-14 1.79e-06 1.00e+00 3.69e-10 
11366.65 4.09e-21 4.51e-13 8.44e-06 1.00e+00 3.73e-13 
12061.10 8.57e-20 1.04e-11 6.86e-05 1.00e+00 2.21e-17 
12793.43 3.39e-18 4.36e-10 7.70e-04 9.99e-01 3.26e-22 
13528.61 4.86e-16 5.63e-08 1.63e-02 9.84e-01 5.18e-28 
14194.74 5.62e-14 5.93e-06 2.68e-01 7.32e-01 2.62e-31 
14757.77 1.18e-12 9.85e-05 8.43e-01 1.57e-01 4.12e-32 
15240.48 9.53e-12 5.27e-04 9.82e-01 1.77e-02 6.24e-33 
15646.99 8.44e-11 2.55e-03 9.96e-01 1.92e-03 1.02e-33 
15960.30 9.47e-10 1.33e-02 9.87e-01 1.92e-04 1.23e-34 
16187.41 5.60e-09 4.88e-02 9.51e-01 2.68e-05 4.21e-35 
16354.17 2.18e-08 1.31e-01 8.69e-01 4.99e-06 1.49e-35 
16484.18 3.94e-08 2.19e-01 7.81e-01 1.63e-06 1.35e-35 
16593.12 6.10e-08 3.22e-01 6.78e-01 8.08e-07 1.62e-35 
16691.99 9.74e-08 4.59e-01 5.41e-01 1.88e-07 3.90e-36 
16788.59 1.12e-07 5.28e-01 4.72e-01 9.93e-08 9.04e-36 
16888.37 1.31e-07 6.10e-01 3.90e-01 4.91e-08 8.37e-36 
16998.79 1.87e-07 7.50e-01 2.50e-01 1.09e-08 3.55e-36 
17146.37 2.46e-07 8.71e-01 1.29e-01 1.59e-09 2.65e-36 
17415.23 3.39e-07 9.49e-01 5.11e-02 1.30e-10 5.92e-37 
17888.12 4.96e-07 9.91e-01 8.94e-03 1.35e-12 9.85e-37 
18532.37 7.41e-07 9.99e-01 1.09e-03 5.63e-15 1.26e-37 
19260.76 9.38e-07 1.00e+00 1.51e-04 3.68e-17 2.04e-37 
20034.10 1.06e-06 1.00e+00 2.01e-05 2.20e-19 1.18e-37 
20838.00 7.76e-07 1.00e+00 5.89e-06 3.23e-21 1.43e-37 
21647.97 1.28e-06 1.00e+00 1.41e-06 7.00e-23 1.63e-37 
22447.94 8.87e-07 1.00e+00 3.92e-07 2.57e-24 2.02e-37 
23245.88 9.90e-07 1.00e+00 1.32e-07 1.01e-25 2.62e-37 
24052.47 2.75e-06 1.00e+00 3.15e-08 2.86e-27 3.40e-37 
24867.72 3.42e-06 1.00e+00 1.14e-08 1.90e-27 4.43e-37 
25698.86 1.24e-06 1.00e+00 5.34e-09 4.65e-27 5.99e-37 
26587.16 1.06e-06 1.00e+00 1.61e-09 1.14e-26 8.94e-37 
27637.54 5.33e-06 1.00e+00 4.75e-10 2.08e-26 1.58e-36 
28986.97 9.52e-07 1.00e+00 1.55e-10 8.99e-26 3.77e-36 
#TIME: 4.49 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
440.10 7.16e-21 1.78e-13 2.34e-06 1.00e+00 1.35e-08 
999.11 1.38e-21 3.70e-14 7.66e-07 1.00e+00 9.97e-06 
1267.34 4.17e-22 1.27e-14 3.59e-07 1.00e+00 9.46e-05 
1514.05 2.03e-22 6.51e-15 2.19e-07 9.99e-01 8.43e-04 
1808.80 1.03e-22 3.62e-15 1.44e-07 9.96e-01 4.13e-03 
1919.29 6.50e-23 2.45e-15 1.08e-07 9.84e-01 1.63e-02 
2160.92 4.37e-23 1.71e-15 8.15e-08 9.47e-01 5.26e-02 
2292.92 2.37e-23 1.02e-15 5.24e-08 7.88e-01 2.12e-01 
2432.98 1.58e-23 7.29e-16 4.06e-08 7.03e-01 2.97e-01 
2581.60 1.27e-23 5.94e-16 3.41e-08 6.31e-01 3.69e-01 
2739.29 1.10e-23 5.28e-16 3.13e-08 6.11e-01 3.89e-01 
2906.62 9.48e-24 4.53e-16 2.76e-08 5.61e-01 4.39e-01 
3084.17 8.41e-24 4.17e-16 2.62e-08 5.52e-01 4.48e-01 
3272.56 6.39e-24 3.49e-16 2.40e-08 5.51e-01 4.49e-01 
3472.46 6.02e-24 3.48e-16 2.52e-08 5.92e-01 4.08e-01 
3684.57 5.45e-24 3.42e-16 2.64e-08 6.43e-01 3.57e-01 
3909.64 4.71e-24 3.26e-16 2.73e-08 6.96e-01 3.04e-01 
4148.46 4.65e-24 3.41e-16 2.97e-08 7.55e-01 2.45e-01 
4401.86 5.93e-24 4.24e-16 3.55e-08 8.24e-01 1.76e-01 
4670.75 6.93e-24 4.90e-16 4.03e-08 8.74e-01 1.26e-01 
4956.05 5.48e-24 4.34e-16 3.95e-08 9.01e-01 9.87e-02 
5258.79 4.37e-24 3.81e-16 3.80e-08 9.15e-01 8.50e-02 
5580.02 4.15e-24 3.80e-16 3.95e-08 9.39e-01 6.12e-02 
5920.87 3.75e-24 3.69e-16 4.04e-08 9.58e-01 4.22e-02 
6282.54 3.51e-24 3.67e-16 4.20e-08 9.72e-01 2.82e-02 
6666.30 3.52e-24 3.84e-16 4.51e-08 9.83e-01 1.65e-02 
7073.50 4.04e-24 4.47e-16 5.14e-08 9.92e-01 8.28e-03 
7505.58 4.66e-24 5.27e-16 5.99e-08 9.97e-01 3.42e-03 
7964.05 5.45e-24 6.49e-16 7.33e-08 9.99e-01 9.27e-04 
8450.53 7.80e-24 9.48e-16 1.00e-07 1.00e+00 1.80e-04 
8966.72 1.28e-23 1.57e-15 1.49e-07 1.00e+00 2.39e-05 
9514.44 2.90e-23 3.47e-15 2.72e-07 1.00e+00 1.65e-06 
10095.62 9.53e-23 1.11e-14 6.42e-07 1.00e+00 3.36e-08 
10712.30 4.58e-22 5.32e-14 1.98e-06 1.00e+00 1.94e-10 
11366.65 4.94e-21 5.63e-13 9.87e-06 1.00e+00 1.67e-13 
12061.10 1.01e-19 1.29e-11 7.99e-05 1.00e+00 9.15e-18 
