#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 24
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7
1.083998E+04 9.295386E-09 1.167154E-01 8.832846E-01 1.688443E-09 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.111913E+04 1.643515E-08 1.648741E-01 8.351259E-01 8.504539E-10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.135580E+04 3.410887E-08 2.463907E-01 7.536092E-01 3.643365E-10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.153978E+04 7.956873E-08 3.719712E-01 6.280287E-01 1.350326E-10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.167715E+04 1.468410E-07 4.879955E-01 5.120044E-01 5.789511E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.178405E+04 2.104197E-07 5.704024E-01 4.295974E-01 2.953354E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.187585E+04 2.567813E-07 6.222540E-01 3.777457E-01 1.860818E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.196338E+04 2.524962E-07 6.329000E-01 3.670997E-01 1.610540E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.205538E+04 1.991406E-07 6.049275E-01 3.950724E-01 1.840424E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.217040E+04 1.596746E-07 5.793600E-01 4.206399E-01 2.066584E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.236090E+04 1.351398E-07 5.671812E-01 4.328186E-01 2.106971E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.267048E+04 1.107848E-07 5.608478E-01 4.391521E-01 1.898710E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.307535E+04 1.000845E-07 5.797350E-01 4.202649E-01 1.343657E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.353053E+04 9.505315E-08 6.089640E-01 3.910359E-01 8.599846E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.401275E+04 9.027707E-08 6.381642E-01 3.618357E-01 5.366541E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.450883E+04 9.009588E-08 6.781592E-01 3.218407E-01 2.904661E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500233E+04 9.950485E-08 7.333904E-01 2.666095E-01 1.306894E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.547530E+04 1.168949E-07 7.935288E-01 2.064711E-01 5.009372E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.592370E+04 1.305652E-07 8.407271E-01 1.592728E-01 1.883082E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.635565E+04 1.453597E-07 8.788302E-01 1.211697E-01 7.045872E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.677625E+04 1.813706E-07 9.181630E-01 8.183685E-02 2.049267E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.718313E+04 2.372663E-07 9.486710E-01 5.132880E-02 5.113553E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.758045E+04 3.100836E-07 9.704940E-01 2.950571E-02 9.521479E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.799035E+04 3.746499E-07 9.821674E-01 1.783223E-02 1.956611E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.845805E+04 4.621476E-07 9.900734E-01 9.926176E-03 3.122185E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.908468E+04 5.748959E-07 9.951528E-01 4.846635E-03 3.161558E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.999980E+04 5.785835E-07 9.975317E-01 2.467766E-03 2.671222E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
