#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
2906.62 2.41e-27 3.92e-19 6.01e-11 8.98e-05 1.00e+00 
3084.17 1.74e-27 2.96e-19 4.94e-11 8.16e-05 1.00e+00 
3272.56 1.17e-27 2.38e-19 4.19e-11 7.56e-05 1.00e+00 
3472.46 9.63e-28 2.17e-19 3.97e-11 7.39e-05 1.00e+00 
3684.57 8.32e-28 2.12e-19 3.98e-11 7.39e-05 1.00e+00 
3909.64 6.38e-28 1.89e-19 3.72e-11 7.05e-05 1.00e+00 
4148.46 6.85e-28 2.09e-19 4.17e-11 7.46e-05 1.00e+00 
4401.86 1.12e-27 3.32e-19 5.94e-11 9.02e-05 1.00e+00 
4670.75 1.80e-27 5.30e-19 8.66e-11 1.12e-04 1.00e+00 
4956.05 1.85e-27 5.76e-19 9.72e-11 1.22e-04 1.00e+00 
5258.79 1.58e-27 5.53e-19 9.77e-11 1.24e-04 1.00e+00 
5580.02 1.97e-27 7.31e-19 1.25e-10 1.45e-04 1.00e+00 
5920.87 2.46e-27 9.23e-19 1.57e-10 1.67e-04 1.00e+00 
6282.54 3.22e-27 1.29e-18 2.07e-10 1.96e-04 1.00e+00 
6666.30 5.33e-27 2.15e-18 3.17e-10 2.50e-04 1.00e+00 
7073.50 1.04e-26 4.22e-18 5.45e-10 3.37e-04 1.00e+00 
7505.58 1.87e-26 7.88e-18 8.88e-10 4.28e-04 1.00e+00 
7964.05 5.37e-26 2.28e-17 2.05e-09 6.73e-04 9.99e-01 
8450.53 3.29e-25 1.33e-16 8.08e-09 1.51e-03 9.98e-01 
8966.72 2.33e-24 9.02e-16 3.61e-08 3.46e-03 9.97e-01 
9514.44 3.97e-23 1.44e-14 2.97e-07 1.10e-02 9.89e-01 
10095.62 2.66e-21 8.61e-13 6.60e-06 5.98e-02 9.40e-01 
10712.30 4.40e-19 1.35e-10 2.90e-04 4.09e-01 5.91e-01 
11366.65 7.32e-17 2.24e-08 8.53e-03 9.39e-01 5.24e-02 
12061.10 1.98e-14 6.67e-06 2.36e-01 7.64e-01 3.31e-04 
12793.43 1.12e-12 4.38e-04 9.46e-01 5.34e-02 6.14e-08 
13528.61 3.13e-11 1.32e-02 9.86e-01 3.00e-04 3.58e-13 
14194.74 6.07e-10 3.00e-01 7.00e-01 1.23e-06 1.34e-18 
14757.77 1.74e-09 8.91e-01 1.09e-01 2.27e-09 6.97e-24 
15240.48 2.33e-09 9.92e-01 7.72e-03 3.44e-12 1.33e-28 
15646.99 3.51e-09 9.99e-01 5.19e-04 6.48e-15 1.08e-33 
15960.30 6.72e-09 1.00e+00 4.02e-05 1.48e-17 3.97e-37 
16187.41 8.50e-09 1.00e+00 7.58e-06 2.65e-19 4.35e-37 
16354.17 1.11e-08 1.00e+00 1.03e-06 1.73e-21 5.28e-37 
16484.18 1.06e-08 1.00e+00 4.49e-07 2.38e-22 7.01e-37 
16593.12 1.02e-08 1.00e+00 1.78e-07 1.98e-23 9.72e-37 
