#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7 s8
1.547181e+04 1.000000e+00 6.844350e-34 4.179104e-132 1.381663e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.592644e+04 1.000000e+00 6.678201e-34 3.979239e-132 1.280277e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.636833e+04 1.000000e+00 6.277778e-34 3.500000e-132 1.061111e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.680466e+04 1.000000e+00 5.592920e-34 2.787611e-132 7.513274e-289 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.723140e+04 1.000000e+00 4.984709e-34 2.217125e-132 5.336391e-289 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.765772e+04 1.000000e+00 4.686567e-34 1.970149e-132 4.477612e-289 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.812132e+04 1.000000e+00 4.655738e-34 1.928962e-132 4.322404e-289 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.871331e+04 1.000000e+00 5.276074e-34 2.484663e-132 6.319018e-289 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.961604e+04 1.000000e+00 1.013605e-33 9.149660e-132 4.455782e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.081222e+04 1.000000e+00 2.085937e-33 3.906250e-131 3.953125e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.212756e+04 1.000000e+00 4.510703e-33 1.819572e-130 3.960245e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.352604e+04 1.000000e+00 1.068111e-32 1.015480e-129 5.201238e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.501290e+04 1.000000e+00 7.593583e-27 5.117647e-118 1.866310e-267 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.659373e+04 1.000000e+00 1.073684e-26 1.028421e-117 5.326316e-267 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.827472e+04 1.000000e+00 1.626506e-26 2.361446e-117 1.855422e-266 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.003347e+04 1.000000e+00 2.351759e-26 4.929648e-117 5.577889e-266 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.173513e+04 1.000000e+00 2.922481e-26 7.604651e-117 1.069767e-265 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.324450e+04 1.000000e+00 3.480663e-26 1.083978e-116 1.823204e-265 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.456401e+04 1.000000e+00 4.319728e-26 1.668367e-116 3.486395e-265 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.575519e+04 1.000000e+00 5.491803e-26 2.680328e-116 7.076503e-265 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.688039e+04 1.000000e+00 6.929825e-26 4.302632e-116 1.442982e-264 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.798804e+04 1.000000e+00 8.689655e-26 6.765517e-116 2.841379e-264 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.910117e+04 1.000000e+00 1.081654e-25 1.040297e-115 5.418876e-264 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.022485e+04 1.000000e+00 1.332258e-25 1.582258e-115 1.017742e-263 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.136251e+04 1.000000e+00 1.639024e-25 2.392683e-115 1.890244e-263 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.251989e+04 1.000000e+00 2.011029e-25 3.606618e-115 3.500000e-263 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.370225e+04 1.000000e+00 2.464088e-25 5.419890e-115 6.464088e-263 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.491318e+04 1.000000e+00 3.025000e-25 8.175000e-115 1.191667e-262 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.615537e+04 1.000000e+00 3.713927e-25 1.230866e-114 2.208281e-262 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.743001e+04 1.000000e+00 4.555766e-25 1.854442e-114 4.083176e-262 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.873699e+04 1.000000e+00 5.596591e-25 2.786932e-114 7.528409e-262 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.007561e+04 1.000000e+00 6.880342e-25 4.192308e-114 1.384615e-261 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.144454e+04 1.000000e+00 8.397436e-25 6.288462e-114 2.544872e-261 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.284239e+04 1.000000e+00 1.019048e-24 9.342857e-114 4.619048e-261 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.426701e+04 1.000000e+00 1.250356e-24 1.395448e-113 8.421053e-261 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.571625e+04 1.000000e+00 1.524313e-24 2.073996e-113 1.526427e-260 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.718639e+04 1.000000e+00 1.856250e-24 3.065625e-113 2.740625e-260 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.867295e+04 1.000000e+00 2.243119e-24 4.500000e-113 4.862385e-260 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.016784e+04 1.000000e+00 2.718121e-24 6.583893e-113 8.590604e-260 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.166111e+04 1.000000e+00 3.271845e-24 9.524272e-113 1.504854e-259 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
