#NTIMES: 200
#NSTAGES: 6
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] k0 k1 k2 k3 k4 k5
2.4277e+03 5.3114e-35 1.5207e-27 1.9427e-19 4.6720e-12 3.1003e-05 9.9997e-01
2.5802e+03 2.3090e-35 7.3832e-28 1.0782e-19 2.9971e-12 2.4576e-05 9.9998e-01
2.7422e+03 1.5540e-35 5.3108e-28 8.3330e-20 2.4949e-12 2.2372e-05 9.9998e-01
2.9144e+03 1.7861e-35 6.1726e-28 9.6364e-20 2.8488e-12 2.4076e-05 9.9998e-01
3.0973e+03 3.8344e-35 1.2629e-27 1.8007e-19 4.7562e-12 3.1735e-05 9.9997e-01
3.2918e+03 1.5916e-34 4.8184e-27 5.8464e-19 1.2504e-11 5.3630e-05 9.9995e-01
3.4986e+03 2.0967e-33 4.9814e-26 4.3022e-18 6.0199e-11 1.2519e-04 9.9987e-01
3.7182e+03 7.8328e-32 1.2015e-24 6.0903e-17 4.4872e-10 3.6641e-04 9.9963e-01
3.9517e+03 3.4266e-30 3.6239e-23 1.1206e-15 4.2362e-09 1.2408e-03 9.9876e-01
4.1999e+03 3.1943e-28 3.0235e-21 6.4073e-14 1.0922e-07 7.7224e-03 9.9228e-01
4.4636e+03 3.3842e-26 2.7392e-19 3.6202e-12 2.5210e-06 4.4366e-02 9.5563e-01
4.7438e+03 3.5441e-25 2.6048e-18 2.6138e-11 1.1333e-05 1.0027e-01 8.9972e-01
5.0416e+03 6.1074e-25 4.4767e-18 4.2429e-11 1.6434e-05 1.2248e-01 8.7751e-01
5.3582e+03 4.6849e-25 3.6248e-18 3.6269e-11 1.4833e-05 1.1673e-01 8.8326e-01
5.6947e+03 4.1910e-25 3.4151e-18 3.5462e-11 1.4830e-05 1.1750e-01 8.8249e-01
6.0522e+03 5.9306e-25 4.9192e-18 4.9662e-11 1.9304e-05 1.3560e-01 8.6438e-01
6.4323e+03 1.4897e-24 1.2326e-17 1.1231e-10 3.5869e-05 1.8762e-01 8.1234e-01
6.8362e+03 6.1438e-24 5.0056e-17 3.8301e-10 8.9383e-05 2.9558e-01 7.0433e-01
7.2654e+03 3.3206e-23 2.6118e-16 1.5777e-09 2.4746e-04 4.6523e-01 5.3453e-01
7.7216e+03 2.3673e-22 1.7784e-15 7.8524e-09 7.4126e-04 6.8460e-01 3.1466e-01
8.2065e+03 3.4265e-21 2.4110e-14 6.4853e-08 2.8208e-03 8.9363e-01 1.0355e-01
8.7177e+03 3.8490e-19 2.4435e-12 2.4277e-06 2.3578e-02 9.6836e-01 8.0618e-03
9.2147e+03 1.1010e-15 5.7061e-09 8.2596e-04 4.9970e-01 4.9944e-01 3.4755e-05
9.6291e+03 1.1004e-12 4.7986e-06 5.6457e-02 9.3585e-01 7.6875e-03 1.0536e-09
9.9539e+03 2.3453e-10 1.0027e-03 7.6518e-01 2.3381e-01 8.9675e-06 1.0589e-15
1.0246e+04 7.4587e-09 3.1023e-02 9.6623e-01 2.7467e-03 1.9939e-10 5.8692e-24
1.0542e+04 1.4921e-07 6.3876e-01 3.6124e-01 2.8071e-06 7.3901e-17 5.5199e-35
1.0840e+04 3.3473e-07 9.9667e-01 3.3306e-03 1.6137e-11 2.4424e-26 0.0000e+00
1.1119e+04 5.3851e-07 9.9999e-01 1.2988e-05 2.1834e-17 8.9522e-37 0.0000e+00
1.1356e+04 9.2492e-07 1.0000e+00 8.0113e-08 9.2917e-23 0.0000e+00 0.0000e+00
1.1540e+04 1.6178e-06 1.0000e+00 6.3562e-10 7.2383e-28 0.0000e+00 0.0000e+00
1.1677e+04 2.1460e-06 1.0000e+00 7.1129e-12 1.1255e-32 0.0000e+00 0.0000e+00
1.1784e+04 2.5193e-06 1.0000e+00 1.3297e-13 5.7864e-37 0.0000e+00 0.0000e+00
1.1876e+04 3.2036e-06 1.0000e+00 4.6552e-15 1.4663e-40 0.0000e+00 0.0000e+00
1.1964e+04 3.9793e-06 1.0000e+00 2.6938e-16 1.2892e-43 0.0000e+00 0.0000e+00
1.2056e+04 4.0854e-06 1.0000e+00 2.7039e-17 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 4.2825e-06 1.0000e+00 3.3824e-18 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 4.9234e-06 1.0000e+00 1.9156e-19 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 6.8240e-06 9.9999e-01 1.4308e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 1.0309e-05 9.9999e-01 6.3584e-24 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 1.5950e-05 9.9998e-01 2.2487e-26 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 2.4365e-05 9.9998e-01 7.5795e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 3.6828e-05 9.9996e-01 2.7908e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 5.3360e-05 9.9995e-01 1.1940e-33 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 6.8873e-05 9.9993e-01 7.6758e-36 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 7.6597e-05 9.9992e-01 8.6087e-38 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 7.9160e-05 9.9992e-01 1.7488e-39 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 8.4163e-05 9.9992e-01 5.1100e-41 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 9.1622e-05 9.9991e-01 2.2169e-42 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 9.7127e-05 9.9990e-01 1.6675e-43 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 9.8562e-05 9.9990e-01 1.8217e-44 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 1.0577e-04 9.9989e-01 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 1.2133e-04 9.9988e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.1324e-04 9.9989e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 3.3824e-05 9.9997e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 9.4447e-06 9.9999e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 3.1433e-06 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.6127e-06 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 9.3203e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 5.0218e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 2.8137e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 1.9111e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 1.4036e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 9.5860e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 6.2524e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 4.0890e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 2.7743e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 1.9283e-08 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 1.3517e-08 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 9.5035e-09 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 6.6876e-09 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 4.7087e-09 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 3.3000e-09 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 2.3095e-09 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 1.6131e-09 1.0000e+00 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 1.1241e-09 1.0000e+00 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 7.8434e-10 1.0000e+00 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 5.4659e-10 1.0000e+00 4.2039e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 3.8260e-10 1.0000e+00 4.2039e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 2.6864e-10 1.0000e+00 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 1.8939e-10 1.0000e+00 7.0065e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 1.3447e-10 1.0000e+00 7.0065e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 9.6115e-11 1.0000e+00 8.4078e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 6.9569e-11 1.0000e+00 9.8091e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 5.0905e-11 1.0000e+00 1.1210e-44 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 3.7899e-11 1.0000e+00 1.2612e-44 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 2.8783e-11 1.0000e+00 1.4013e-44 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 2.2375e-11 1.0000e+00 1.5414e-44 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 1.7853e-11 1.0000e+00 1.6816e-44 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 1.4653e-11 1.0000e+00 1.8217e-44 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 1.3450e-11 1.0000e+00 1.9618e-44 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 1.2933e-11 1.0000e+00 1.9618e-44 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.2571e-11 1.0000e+00 1.9618e-44 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 1.2496e-11 1.0000e+00 1.9618e-44 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 1.2395e-11 1.0000e+00 1.9618e-44 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 5.9629e-12 1.0000e+00 4.0638e-44 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.3409
#NVEL: 115
#vel_mid[km/s] k0 k1 k2 k3 k4 k5
4.2577e+02 1.1597e-36 4.5383e-28 4.2187e-19 3.4535e-11 1.3205e-04 9.9987e-01
8.5779e+02 2.8059e-27 1.4091e-20 1.7001e-13 1.8383e-07 9.5086e-03 9.9049e-01
8.7843e+02 2.8290e-27 1.4199e-20 1.7114e-13 1.8477e-07 9.5353e-03 9.9046e-01
9.1772e+02 2.7889e-27 1.4012e-20 1.6917e-13 1.8314e-07 9.4889e-03 9.9051e-01
9.7304e+02 2.7214e-27 1.3706e-20 1.6602e-13 1.8055e-07 9.4159e-03 9.9058e-01
1.0350e+03 2.5788e-27 1.3045e-20 1.5907e-13 1.7475e-07 9.2488e-03 9.9075e-01
1.1000e+03 2.1801e-27 1.1190e-20 1.3936e-13 1.5800e-07 8.7531e-03 9.9125e-01
1.1690e+03 1.3796e-27 7.3692e-21 9.7222e-14 1.2007e-07 7.5331e-03 9.9247e-01
1.2425e+03 5.3869e-28 3.1029e-21 4.5852e-14 6.7377e-08 5.4853e-03 9.9451e-01
1.3205e+03 1.2919e-28 8.2206e-22 1.4265e-14 2.7130e-08 3.3196e-03 9.9668e-01
1.4033e+03 2.4466e-29 1.7542e-22 3.6725e-15 9.3774e-09 1.8478e-03 9.9815e-01
1.4915e+03 5.1538e-30 4.1818e-23 1.0515e-15 3.5229e-09 1.0796e-03 9.9892e-01
1.5852e+03 1.2320e-30 1.1371e-23 3.4200e-16 1.4685e-09 6.6992e-04 9.9933e-01
1.6847e+03 2.8334e-31 3.0207e-24 1.1019e-16 6.0977e-10 4.1600e-04 9.9958e-01
1.7904e+03 5.8573e-32 7.4062e-25 3.3633e-17 2.4445e-10 2.5436e-04 9.9975e-01
1.9028e+03 1.1114e-32 1.7110e-25 9.9153e-18 9.6237e-11 1.5463e-04 9.9985e-01
2.0223e+03 2.1685e-33 4.0557e-26 2.9945e-18 3.8533e-11 9.4985e-05 9.9990e-01
2.1493e+03 4.3983e-34 9.9740e-27 9.3628e-19 1.5844e-11 5.9283e-05 9.9994e-01
2.2843e+03 1.0658e-34 2.8622e-27 3.3273e-19 7.1642e-12 3.8952e-05 9.9996e-01
2.4277e+03 3.3097e-35 1.0268e-27 1.4300e-19 3.7594e-12 2.7737e-05 9.9997e-01
2.5802e+03 1.4266e-35 4.9511e-28 7.8948e-20 2.4029e-12 2.1948e-05 9.9998e-01
2.7422e+03 9.5400e-36 3.5423e-28 6.0759e-20 1.9941e-12 1.9949e-05 9.9998e-01
2.9144e+03 1.0860e-35 4.0816e-28 6.9746e-20 2.2639e-12 2.1401e-05 9.9998e-01
3.0973e+03 2.3063e-35 8.2670e-28 1.2917e-19 3.7526e-12 2.8095e-05 9.9997e-01
3.2918e+03 9.5195e-35 3.1377e-27 4.1724e-19 9.8271e-12 4.7364e-05 9.9995e-01
3.4986e+03 1.2339e-33 3.1963e-26 3.0302e-18 4.6855e-11 1.0994e-04 9.9989e-01
3.7182e+03 4.4903e-32 7.5177e-25 4.1914e-17 3.4300e-10 3.1847e-04 9.9968e-01
3.9517e+03 1.9440e-30 2.2373e-23 7.5982e-16 3.1987e-09 1.0703e-03 9.9893e-01
4.1999e+03 1.7788e-28 1.8319e-21 4.2743e-14 8.1678e-08 6.6253e-03 9.9337e-01
4.4636e+03 1.8850e-26 1.6533e-19 2.4079e-12 1.8852e-06 3.8131e-02 9.6187e-01
4.7438e+03 2.0087e-25 1.5967e-18 1.7651e-11 8.5937e-06 8.7145e-02 9.1285e-01
5.0416e+03 3.5859e-25 2.8363e-18 2.9495e-11 1.2747e-05 1.0788e-01 8.9211e-01
5.3582e+03 2.8125e-25 2.3451e-18 2.5666e-11 1.1656e-05 1.0349e-01 8.9649e-01
5.6947e+03 2.5263e-25 2.2178e-18 2.5178e-11 1.1683e-05 1.0432e-01 8.9567e-01
6.0522e+03 3.5955e-25 3.2110e-18 3.5429e-11 1.5271e-05 1.2078e-01 8.7920e-01
6.4323e+03 9.1311e-25 8.1262e-18 8.0887e-11 2.8625e-05 1.6839e-01 8.3158e-01
6.8362e+03 3.7953e-24 3.3230e-17 2.7807e-10 7.2021e-05 2.6840e-01 7.3152e-01
7.2654e+03 2.0877e-23 1.7626e-16 1.1656e-09 2.0320e-04 4.3135e-01 5.6844e-01
7.7216e+03 1.5396e-22 1.2396e-15 5.9915e-09 6.2829e-04 6.5458e-01 3.4479e-01
8.2065e+03 2.2590e-21 1.7034e-14 5.0368e-08 2.4461e-03 8.7976e-01 1.1779e-01
8.7177e+03 2.5642e-19 1.7408e-12 1.9061e-06 2.0728e-02 9.6989e-01 9.3778e-03
9.2147e+03 7.3982e-16 4.1045e-09 6.6527e-04 4.6037e-01 5.3892e-01 4.5147e-05
9.6291e+03 7.9352e-13 3.6859e-06 4.8971e-02 9.4178e-01 9.2461e-03 1.5699e-09
9.9539e+03 1.8165e-10 8.2960e-04 7.3138e-01 2.6778e-01 1.2802e-05 1.9798e-15
1.0246e+04 6.0375e-09 2.6669e-02 9.6996e-01 3.3660e-03 3.1281e-10 1.2536e-23
1.0542e+04 1.2997e-07 5.9594e-01 4.0406e-01 3.9694e-06 1.3977e-16 1.5058e-34
1.0840e+04 3.1009e-07 9.9568e-01 4.3212e-03 2.9692e-11 6.9946e-26 0.0000e+00
1.1119e+04 4.9444e-07 9.9998e-01 1.8316e-05 4.9135e-17 3.6623e-36 0.0000e+00
1.1356e+04 8.4702e-07 1.0000e+00 1.2727e-07 2.8125e-22 1.4013e-45 0.0000e+00
1.1540e+04 1.4857e-06 1.0000e+00 1.1941e-09 3.3398e-27 0.0000e+00 0.0000e+00
1.1677e+04 2.0250e-06 1.0000e+00 1.5639e-11 7.8274e-32 0.0000e+00 0.0000e+00
1.1784e+04 2.3001e-06 1.0000e+00 3.5040e-13 6.2544e-36 0.0000e+00 0.0000e+00
1.1876e+04 2.7331e-06 1.0000e+00 1.4869e-14 2.4891e-39 0.0000e+00 0.0000e+00
1.1964e+04 3.2929e-06 1.0000e+00 8.7462e-16 2.2407e-42 0.0000e+00 0.0000e+00
1.2056e+04 3.3451e-06 1.0000e+00 8.9022e-17 7.0065e-45 0.0000e+00 0.0000e+00
1.2170e+04 3.5934e-06 1.0000e+00 8.9659e-18 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 4.2186e-06 1.0000e+00 4.2685e-19 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 5.7562e-06 9.9999e-01 3.5126e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 9.0444e-06 9.9999e-01 1.1942e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 1.3672e-05 9.9999e-01 5.4696e-26 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 2.2729e-05 9.9998e-01 9.1964e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 3.3103e-05 9.9997e-01 4.8045e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 4.5942e-05 9.9995e-01 3.7177e-33 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 5.9829e-05 9.9994e-01 2.9878e-35 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 6.5413e-05 9.9993e-01 5.5032e-37 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 6.3996e-05 9.9994e-01 2.8843e-38 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 6.4862e-05 9.9994e-01 1.5329e-39 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 6.4446e-05 9.9994e-01 1.5216e-40 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 6.3296e-05 9.9994e-01 1.4638e-41 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 5.9633e-05 9.9994e-01 1.8133e-42 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 5.6897e-05 9.9994e-01 2.1440e-43 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 5.0027e-05 9.9995e-01 2.6625e-44 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 2.9933e-05 9.9997e-01 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 1.3815e-05 9.9999e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 4.7161e-06 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 1.9079e-06 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.0189e-06 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 6.1301e-07 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 3.4838e-07 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 1.2824e-07 1.0000e+00 1.0089e-43 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 6.4053e-08 1.0000e+00 1.5877e-42 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 9.7774e-08 1.0000e+00 4.2039e-45 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 6.4511e-08 1.0000e+00 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 5.7343e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 1.1062e-08 1.0000e+00 1.2343e-41 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 5.9124e-09 1.0000e+00 7.4846e-41 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 2.0905e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 1.8841e-09 1.0000e+00 2.1729e-39 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 1.5976e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 4.0191e-09 1.0000e+00 4.2039e-44 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 5.1218e-10 1.0000e+00 3.5314e-37 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 1.1216e-09 1.0000e+00 3.2482e-42 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 4.9017e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 1.2634e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 1.8624e-10 1.0000e+00 4.4788e-37 0.0000e+00 0.0000e+00 0.0000e+00
