#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7 ca8 ca9
1.1356e+04 8.5005e-09 5.2202e-03 9.9478e-01 4.4081e-18 1.8217e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 1.2405e-07 3.2243e-02 9.6776e-01 2.0318e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 9.1340e-07 1.3264e-01 8.6736e-01 1.2192e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 3.7177e-06 3.5114e-01 6.4885e-01 1.2806e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 1.0451e-05 6.2522e-01 3.7477e-01 3.0769e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 2.0221e-05 8.1308e-01 1.8690e-01 1.4468e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 2.6628e-05 8.9399e-01 1.0598e-01 1.7072e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 3.3631e-05 9.3961e-01 6.0353e-02 2.9641e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 4.8116e-05 9.7443e-01 2.5519e-02 1.0574e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 9.2140e-05 9.9459e-01 5.3156e-03 6.7262e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 1.9439e-04 9.9892e-01 8.9018e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 4.2373e-04 9.9944e-01 1.3726e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 9.1435e-04 9.9906e-01 2.1063e-05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 1.9405e-03 9.9806e-01 3.3334e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 3.9147e-03 9.9608e-01 5.6605e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 6.8932e-03 9.9311e-01 1.1674e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 1.0177e-02 9.8982e-01 3.1242e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 1.3491e-02 9.8651e-01 1.0383e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 1.7911e-02 9.8209e-01 3.7321e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 2.3656e-02 9.7634e-01 1.4683e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 2.9396e-02 9.7060e-01 6.8571e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 3.4247e-02 9.6575e-01 3.6690e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 4.2990e-02 9.5701e-01 1.6786e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 6.1293e-02 9.3871e-01 5.2643e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 7.8715e-02 9.2129e-01 1.3216e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 2.6143e-02 9.7386e-01 3.7728e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 7.4261e-03 9.9257e-01 1.3883e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 2.4464e-03 9.9755e-01 4.4710e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.2401e-03 9.9876e-01 9.2286e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 7.0617e-04 9.9929e-01 1.7053e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 3.7401e-04 9.9963e-01 3.4100e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 2.0693e-04 9.9979e-01 6.4257e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
