#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           o0           o1           o2           o3           o4
    6.797251E+03   2.0482E-023   8.6445E-016   3.2009E-009   6.7077E-004   9.9933E-001
    7.224056E+03   4.9840E-023   1.9231E-015   6.2014E-009   9.7705E-004   9.9902E-001
    7.677661E+03   1.5426E-022   5.3695E-015   1.4536E-008   1.5880E-003   9.9841E-001
    8.159748E+03   7.1587E-022   2.1241E-014   4.4394E-008   2.9831E-003   9.9702E-001
    8.672106E+03   1.9348E-020   4.3077E-013   5.1415E-007   1.1962E-002   9.8804E-001
    9.216636E+03   7.0753E-017   7.1945E-010   1.7343E-004   2.8119E-001   7.1864E-001
    9.793140E+03   6.0046E-012   1.4682E-005   1.1866E-001   8.7968E-001   1.6412E-003
    1.026683E+04   1.5092E-008   7.5381E-003   9.8302E-001   9.4464E-003   1.6494E-009
    1.070804E+04   9.9969E-006   5.8997E-001   4.1002E-001   9.1469E-007   1.1868E-018
    1.120152E+04   1.3191E-003   9.9866E-001   2.2985E-005   5.0444E-018   9.3040E-040
    1.159423E+04   2.4661E-002   9.7534E-001   3.0861E-008   3.0162E-025   5.0733E-053
    1.180243E+04   5.8599E-002   9.4140E-001   5.3228E-009   4.3191E-027   2.5274E-056
    1.192916E+04   1.3004E-001   8.6996E-001   4.6259E-010   8.8435E-030   2.5952E-061
    1.202084E+04   2.9149E-001   7.0851E-001   1.6727E-011   2.0256E-033   2.5881E-064
