#NTIMES:     67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cl0           cl1           cl2           cl3           cl4
    6.366086E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7107E-34
    6.510379E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6027E-34
    6.648389E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.4856E-34
    6.776932E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.3636E-34
    6.895129E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.1975E-34
    6.949055E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.0324E-34
    6.976176E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    9.0412E-35
    6.989776E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    7.9465E-35
    6.996586E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    7.1805E-35
    6.999823E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.6731E-35
    6.999993E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.6236E-35
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           cl0           cl1           cl2           cl3           cl4
    8.484664E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.2394E-07    1.0000E+00
    8.543246E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.2394E-07    1.0000E+00
    8.721432E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.2394E-07    1.0000E+00
    9.089031E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.2394E-07    1.0000E+00
    9.682894E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.2396E-07    1.0000E+00
    1.029084E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.2406E-07    1.0000E+00
    1.093701E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.2428E-07    1.0000E+00
    1.162375E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.2386E-07    1.0000E+00
    1.235362E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.1806E-07    1.0000E+00
    1.312931E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.8327E-07    1.0000E+00
    1.395371E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.6415E-07    1.0000E+00
    1.482988E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.0429E-07    1.0000E+00
    1.576106E+03    1.0000E-99    1.0000E-99    1.0000E-99    9.7465E-08    1.0000E+00
    1.675071E+03    1.0000E-99    1.0000E-99    1.0000E-99    7.5237E-08    1.0000E+00
    1.780251E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.3401E-08    1.0000E+00
    1.892034E+03    1.0000E-99    1.0000E-99    1.0000E-99    4.1396E-08    1.0000E+00
    2.010837E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.0662E-08    1.0000E+00
    2.137099E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.3169E-08    1.0000E+00
    2.271289E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.7199E-08    1.0000E+00
    2.413905E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.3163E-08    1.0000E+00
    2.565477E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.0819E-08    1.0000E+00
    2.726565E+03    1.0000E-99    1.0000E-99    1.0000E-99    9.5954E-09    1.0000E+00
    2.897769E+03    1.0000E-99    1.0000E-99    1.0000E-99    9.3865E-09    1.0000E+00
    3.079722E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.0217E-08    1.0000E+00
    3.273101E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.3292E-08    1.0000E+00
    3.478622E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.2081E-08    1.0000E+00
    3.697048E+03    1.0000E-99    1.0000E-99    1.0000E-99    4.3420E-08    1.0000E+00
    3.929188E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.3226E-08    1.0000E+00
    4.175906E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.9657E-07    1.0000E+00
    4.438115E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.5713E-07    1.0000E+00
    4.716788E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.8408E-07    1.0000E+00
    5.012959E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.2900E-07    1.0000E+00
    5.327727E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.7760E-07    1.0000E+00
    5.662260E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.6194E-07    1.0000E+00
    6.017798E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.6133E-07    1.0000E+00
    6.395661E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.0343E-07    1.0000E+00
    6.797251E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.8870E-07    1.0000E+00
    7.224056E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.1401E-07    1.0000E+00
    7.677661E+03    1.0000E-99    1.0000E-99    1.0000E-99    7.3443E-07    1.0000E+00
    8.159748E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.1784E-06    1.0000E+00
    8.672106E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.2860E-06    1.0000E+00
    9.216636E+03    1.0000E-99    1.0000E-99    1.0000E-99    4.3166E-05    9.9996E-01
    9.793140E+03    1.0000E-99    1.0000E-99    1.0000E-99    7.9743E-03    9.9203E-01
    1.026683E+04    1.0000E-99    1.0000E-99    1.0000E-99    8.3999E-01    1.6001E-01
    1.070804E+04    1.0000E-99    1.0000E-99    1.0000E-99    9.9995E-01    5.3322E-05
    1.120152E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    7.5501E-12
    1.159423E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    4.2389E-16
    1.180243E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    3.7099E-17
    1.192916E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    9.6234E-19
    1.202084E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.9926E-21
    1.209768E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.1883E-22
    1.216841E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.5808E-24
    1.223949E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    3.0250E-25
    1.231406E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.4498E-26
    1.239842E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.0992E-27
    1.256481E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    7.3877E-29
    1.321135E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.0380E-28
    1.378971E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9044E-27
    1.426236E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.1931E-27
    1.471893E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.1188E-28
    1.520339E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.1069E-29
    1.569984E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.1553E-30
    1.625603E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.2485E-33
    1.692188E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.3419E-35
    1.755155E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    8.2216E-37
    1.815678E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    5.2845E-38
    1.877630E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.7361E-38
    1.943029E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    5.2156E-38
    2.010428E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9722E-37
    2.090850E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.6765E-37
    2.182676E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.2636E-36
    2.283367E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    3.4751E-36
    2.394324E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.4219E-36
    2.516734E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.2237E-35
    2.638649E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.3515E-35
    2.758311E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.9600E-35
    2.884269E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    4.4931E-35
    3.014497E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    7.1116E-35
    3.148085E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    9.4999E-35
    3.276289E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.0526E-34
    3.391810E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.1550E-34
    3.495083E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.3400E-34
    3.592850E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5455E-34
    3.688885E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7081E-34
    3.786912E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7996E-34
    3.888044E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8139E-34
    3.991994E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7873E-34
    4.098383E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7450E-34
    4.207443E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6979E-34
    4.319619E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6527E-34
    4.435339E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6150E-34
    4.555005E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5942E-34
    4.678738E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5992E-34
    4.806468E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6288E-34
    4.937985E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6766E-34
    5.073002E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7388E-34
    5.211198E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8079E-34
    5.352349E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8710E-34
    5.496004E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9169E-34
    5.642085E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9396E-34
    5.789881E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9368E-34
    5.939226E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9105E-34
    6.088737E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8617E-34
    6.237825E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7900E-34
    6.383998E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6982E-34
    6.526223E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5899E-34
    6.660986E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.4744E-34
    6.786444E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.3528E-34
    6.899777E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.1852E-34
    6.951321E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.0229E-34
    6.977237E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    8.9653E-35
    6.990232E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    7.8995E-35
    6.996738E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    7.1593E-35
    6.999830E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.6709E-35
    6.999993E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.6235E-35
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           cl0           cl1           cl2           cl3           cl4
    8.484664E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.9699E-07    1.0000E+00
    8.528610E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.9699E-07    1.0000E+00
    8.661820E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.9699E-07    1.0000E+00
    8.934513E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.9700E-07    1.0000E+00
    9.472405E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.9704E-07    1.0000E+00
    1.007109E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.9714E-07    1.0000E+00
    1.070759E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.9731E-07    1.0000E+00
    1.138432E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.9591E-07    1.0000E+00
    1.210381E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.8630E-07    1.0000E+00
    1.286878E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.3904E-07    1.0000E+00
    1.368209E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.1306E-07    1.0000E+00
    1.454681E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.3112E-07    1.0000E+00
    1.546618E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.0803E-07    1.0000E+00
    1.644365E+03    1.0000E-99    1.0000E-99    1.0000E-99    8.5461E-08    1.0000E+00
    1.748290E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.0359E-08    1.0000E+00
    1.858783E+03    1.0000E-99    1.0000E-99    1.0000E-99    4.4905E-08    1.0000E+00
    1.976259E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.2840E-08    1.0000E+00
    2.101160E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.4155E-08    1.0000E+00
    2.233954E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.7506E-08    1.0000E+00
    2.375142E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.3041E-08    1.0000E+00
    2.525252E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.0389E-08    1.0000E+00
    2.684850E+03    1.0000E-99    1.0000E-99    1.0000E-99    8.9823E-09    1.0000E+00
    2.854534E+03    1.0000E-99    1.0000E-99    1.0000E-99    8.6419E-09    1.0000E+00
    3.034942E+03    1.0000E-99    1.0000E-99    1.0000E-99    9.2398E-09    1.0000E+00
    3.226752E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.1877E-08    1.0000E+00
    3.430685E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.8496E-08    1.0000E+00
    3.647506E+03    1.0000E-99    1.0000E-99    1.0000E-99    4.0573E-08    1.0000E+00
    3.878031E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.7920E-08    1.0000E+00
    4.123125E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.7053E-07    1.0000E+00
    4.383709E+03    1.0000E-99    1.0000E-99    1.0000E-99    4.5502E-07    1.0000E+00
    4.660762E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.6565E-07    1.0000E+00
    4.955325E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.2164E-07    1.0000E+00
