#NTIMES: 50
#NSTAGES 2
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 115
#vel_mid[km/s] mg0 mg1
973.04 2.1523e-02 9.7848e-01
1034.98 1.5258e-02 9.8474e-01
1099.97 5.7981e-03 9.9420e-01
1169.04 8.3237e-03 9.9168e-01
1242.44 1.1833e-02 9.8817e-01
1320.45 1.0151e-02 9.8985e-01
1403.37 1.9396e-02 9.8060e-01
1491.49 3.9977e-02 9.6002e-01
1585.14 2.5449e-02 9.7455e-01
1684.67 2.6080e-02 9.7392e-01
1790.45 2.2225e-02 9.7777e-01
1902.87 1.9061e-02 9.8094e-01
2022.36 1.0464e-02 9.8954e-01
2149.34 4.6441e-03 9.9536e-01
2284.30 3.8894e-03 9.9611e-01
2427.74 2.8993e-03 9.9710e-01
2580.18 2.5656e-03 9.9743e-01
2742.19 2.5543e-03 9.9745e-01
2914.37 2.6552e-03 9.9734e-01
3097.37 3.0101e-03 9.9699e-01
3291.85 3.0683e-03 9.9693e-01
3498.55 5.0454e-03 9.9495e-01
3718.23 4.2740e-02 9.5726e-01
3951.70 1.2731e-01 8.7269e-01
4199.83 8.5748e-02 9.1425e-01
4463.54 9.6745e-02 9.0325e-01
4743.81 1.2195e-01 8.7805e-01
5041.68 1.4392e-01 8.5608e-01
5358.25 1.7346e-01 8.2654e-01
5694.70 1.9795e-01 8.0205e-01
6052.28 2.3081e-01 7.6919e-01
6432.31 2.5382e-01 7.4618e-01
6836.20 2.7422e-01 7.2578e-01
7265.45 3.0318e-01 6.9682e-01
7721.65 3.2320e-01 6.7680e-01
8206.56 3.4891e-01 6.5109e-01
8717.73 3.6531e-01 6.3469e-01
9214.74 4.1637e-01 5.8363e-01
9629.11 4.6532e-01 5.3468e-01
9954.11 4.5170e-01 5.4830e-01
10245.64 4.7480e-01 5.2520e-01
10541.49 4.9316e-01 5.0684e-01
10839.94 5.1850e-01 4.8150e-01
11119.11 5.7481e-01 4.2519e-01
11355.83 5.7965e-01 4.2035e-01
11539.81 5.9594e-01 4.0406e-01
11677.16 6.4906e-01 3.5094e-01
11784.05 6.5888e-01 3.4112e-01
11875.85 5.9486e-01 4.0514e-01
11963.37 5.8673e-01 4.1327e-01
12055.39 5.0457e-01 4.9543e-01
12170.41 4.5077e-01 5.4923e-01
12360.89 1.0565e-01 8.9435e-01
12670.46 1.6034e-02 9.8397e-01
13075.34 7.2726e-03 9.9273e-01
13530.52 5.5813e-03 9.9442e-01
14012.75 5.2129e-03 9.9479e-01
14508.81 3.6332e-03 9.9637e-01
15002.30 3.2714e-03 9.9673e-01
15475.29 3.2333e-03 9.9677e-01
15923.68 2.3195e-03 9.9768e-01
16355.64 2.0925e-03 9.9791e-01
16776.27 1.9982e-03 9.9800e-01
17183.14 1.9643e-03 9.9804e-01
17580.45 1.8390e-03 9.9816e-01
17990.34 1.8564e-03 9.9814e-01
18458.06 1.6344e-03 9.9837e-01
19084.69 1.3674e-03 9.9863e-01
19999.79 9.0898e-04 9.9909e-01
21193.46 3.6207e-04 9.9964e-01
22528.72 1.6008e-04 9.9984e-01
23943.32 1.0449e-04 9.9990e-01
25446.74 1.0603e-04 9.9989e-01
27044.57 4.9188e-05 9.9995e-01
28744.18 2.4564e-05 9.9998e-01
30520.16 1.4009e-05 9.9999e-01
32243.50 9.1369e-06 9.9999e-01
33773.01 6.2010e-06 9.9999e-01
35108.48 3.2857e-06 1.0000e+00
36326.30 2.4412e-06 1.0000e+00
37486.70 1.1440e-06 1.0000e+00
38628.25 9.4576e-07 1.0000e+00
39768.62 6.2570e-07 1.0000e+00
40915.31 4.1104e-07 1.0000e+00
