#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.31352774879 1.34086478482 1.36877075709 1.39725750625 1.4263371194 1.45602193516 1.48632454897 1.51725781839 1.54883486857 1.58106909784 1.61397418335 1.6475640869 1.68185306088 1.71685565429 1.75258671891 1.78906141564 1.82629522088 1.86430393314 1.90310367972 1.94271092358 1.98314247027 2.02441547513 2.06654745052 2.10955627325 2.15346019222 2.19827783609 2.24402822123 2.29073075979 2.3384052679 2.38707197411 2.43675152798 2.48746500882 2.53923393462 2.59208027122 2.64602644162 2.70109533547 2.7573103188 2.81469524393 2.87327445961 2.9330728213 2.99411570179 3.0564290019 3.1200391615 3.18497317073 3.25125858145 3.31892351891 3.38799669372 3.458507414 3.53048559784 3.60396178597 3.67896715474 3.75553352933 3.83369339728 3.91347992225 3.99492695808 4.07806906321 4.16294151528 4.24958032614 4.33802225711 4.42830483457 4.52046636593 4.61454595581 4.71058352271 4.80861981588 4.90869643266 5.01085583611 5.11514137302 5.2215972923 5.33026876379 5.44120189738 5.55444376261 5.67004240861 5.78804688453 5.90850726031 6.03147464794 6.15700122315 6.28514024756 6.41594609124 6.54947425584 6.68578139809 6.82492535384 6.96696516263 7.11196109274 7.25997466672 7.41106868754 7.56530726521 7.72275584402 7.88348123025 8.04755162055 8.21503663089 8.38600732606 8.56053624988 8.73869745591 8.92056653893 9.10622066697 9.2957386141 9.48920079382 9.68668929318 9.88828790763 10.0940821766 10.3041594196 10.5186087737 10.7375212308 10.9609896768 11.1891089304 11.421975784 11.6596890442 11.902349574 12.1500603357 12.4029264342 12.661055162 12.9245560446 13.1935408868 13.4681238204 13.7484213523 14.0345524144 14.3266384136 14.6248032836 14.9291735374 15.2398783209 15.5570494679 15.8808215559 16.211331963 16.5487209267 16.8931316029 17.244710127 17.6036056756 17.9699705301 18.3439601411 18.7257331944 19.1154516784 19.5132809528 19.9193898187 20.3339505904 20.7571391682 21.1891351133 21.630121724 22.0802861133 22.5398192884 23.0089162317 23.4877759837 23.9766017271 24.4756008733 24.9849851505 25.5049706931 26.0357781339 26.5776326973 27.1307642952 27.6954076244 28.271802266 28.8601927875 29.4608288462 30.0739652952 30.6998622917 31.3387854071 31.9910057402 32.6568000314 33.3364507809 34.0302463683 34.7384811748 35.4614557083 36.1994767308 36.9528573888 37.7219173456 38.5069829176 39.3083872125 40.1264702705 40.9615792085 41.8140683681 42.6842994648 43.5726417426 44.4794721299 45.4051753997 46.3501443331 47.3147798855 48.299491357 49.3046965661 50.3308220268 51.3783031297 52.4475843269 53.53911932 54.6533712535 55.7908129104 56.9519269135 58.1372059297 59.3471528795 60.5822811498 61.8431148124 63.1301888459 64.4440493627 65.7852538411 67.1543713615 68.5519828478 69.9786813143 71.4350721169 72.9217732101 74.4394154093 75.9886426585 77.5701123031 79.1844953693
#
#TIME: 1.31352774879
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] v0 v1 v2 v3 v4 v5 v6 v7 v8 v9
6.4323e+03 5.4660e+04 2.6726e+13 1.1003e-28 1.9128e-20 1.9454e-13 1.6695e-07 2.4206e-03 9.8433e-01 1.3246e-02 8.5691e-07 1.5801e-13 3.5886e-24
6.8362e+03 5.2662e+04 2.4125e+13 3.1316e-28 5.1937e-20 4.8842e-13 3.7092e-07 3.8788e-03 9.9118e-01 4.9362e-03 9.8424e-08 4.6123e-15 2.1274e-26
7.2654e+03 5.0491e+04 2.2008e+13 1.2091e-27 1.8515e-19 1.5594e-12 9.9389e-07 6.8857e-03 9.9162e-01 1.4961e-03 7.2830e-09 6.6474e-17 4.5819e-29
7.7216e+03 4.8044e+04 2.0005e+13 6.8296e-27 9.3645e-19 6.8581e-12 3.4404e-06 1.4115e-02 9.8555e-01 3.3602e-04 2.8292e-10 3.3835e-19 2.1998e-32
8.2065e+03 4.4825e+04 1.7799e+13 9.5277e-26 1.0950e-17 6.5208e-11 2.2147e-05 4.0998e-02 9.5894e-01 3.5526e-05 2.1840e-12 1.2661e-22 2.4445e-37
8.7177e+03 3.9811e+04 1.4956e+13 1.2838e-23 1.0466e-15 4.2800e-09 6.4497e-04 2.5853e-01 7.4083e-01 4.0807e-07 1.7559e-16 3.3069e-29 0.0000e+00
9.2147e+03 3.3233e+04 1.2760e+13 1.5203e-20 6.4688e-13 1.2950e-06 3.7580e-02 9.0688e-01 5.5542e-02 1.6117e-11 9.5646e-25 6.4460e-42 0.0000e+00
9.6291e+03 2.7346e+04 1.0618e+13 1.1117e-17 2.3766e-10 1.8986e-04 6.0704e-01 3.9261e-01 1.6032e-04 2.5615e-18 1.4542e-36 0.0000e+00 0.0000e+00
9.9539e+03 2.2706e+04 7.7053e+12 9.0206e-16 1.1870e-08 3.5044e-03 9.8490e-01 1.1595e-02 1.6743e-08 3.8029e-27 0.0000e+00 0.0000e+00 0.0000e+00
1.0246e+04 1.8922e+04 5.5868e+12 8.6280e-14 7.2116e-07 5.9461e-02 9.4044e-01 1.0163e-04 1.9421e-13 9.2420e-38 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 1.5605e+04 3.6191e+12 8.2107e-12 4.4063e-05 7.0379e-01 2.9616e-01 8.5153e-08 3.6060e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 1.2930e+04 3.2876e+12 3.1103e-10 6.6699e-04 9.9552e-01 3.8114e-03 6.4918e-13 8.4883e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 1.0912e+04 3.1858e+12 1.2531e-08 8.9786e-03 9.9100e-01 2.3075e-05 1.2651e-18 2.2280e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 9.5722e+03 3.3472e+12 3.9665e-07 9.2938e-02 9.0706e-01 1.9353e-07 6.7483e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 8.5760e+03 3.5030e+12 6.4554e-06 5.0579e-01 4.9420e-01 1.2116e-09 3.8046e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 7.7754e+03 2.6526e+12 2.4701e-05 8.7958e-01 1.2039e-01 4.7522e-12 1.8902e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 7.1612e+03 1.7897e+12 4.9628e-05 9.7461e-01 2.5338e-02 2.6003e-14 2.6018e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 6.7236e+03 1.4098e+12 9.0152e-05 9.9383e-01 6.0780e-03 2.8568e-16 1.9198e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 6.3706e+03 1.1495e+12 1.4799e-04 9.9807e-01 1.7863e-03 6.0974e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 6.0918e+03 8.1289e+11 1.9149e-04 9.9908e-01 7.3111e-04 3.0471e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 5.8557e+03 6.0697e+11 2.4563e-04 9.9943e-01 3.2225e-04 2.0013e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 5.5704e+03 4.3917e+11 3.6827e-04 9.9953e-01 9.9625e-05 4.4323e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 5.1544e+03 2.7701e+11 7.8709e-04 9.9920e-01 1.2825e-05 6.3094e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 4.7634e+03 1.7490e+11 1.8887e-03 9.9811e-01 1.2945e-06 4.3437e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 4.4317e+03 1.0857e+11 4.6868e-03 9.9531e-01 1.1842e-07 2.1925e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 4.0908e+03 6.5746e+10 1.1443e-02 9.8856e-01 1.0702e-08 1.0464e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 3.8533e+03 3.9975e+10 2.7112e-02 9.7289e-01 9.9782e-10 5.5861e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 3.6537e+03 2.3793e+10 5.9756e-02 9.4024e-01 9.9217e-11 3.6598e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 3.4664e+03 1.3308e+10 1.1160e-01 8.8840e-01 1.2070e-11 4.3440e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 3.3268e+03 6.9008e+09 1.7090e-01 8.2910e-01 1.9599e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 3.2205e+03 3.6471e+09 2.3073e-01 7.6927e-01 4.1360e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 3.1245e+03 2.1256e+09 3.0240e-01 6.9760e-01 9.6001e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 3.0597e+03 1.3653e+09 3.8195e-01 6.1805e-01 2.4867e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 2.9768e+03 9.3583e+08 4.5021e-01 5.4979e-01 8.0863e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 2.9353e+03 6.5057e+08 5.0213e-01 4.9787e-01 3.1665e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 2.8672e+03 4.5057e+08 5.7532e-01 4.2468e-01 9.6834e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 2.8050e+03 2.7684e+08 6.8160e-01 3.1840e-01 1.6171e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 2.7576e+03 1.0617e+08 7.5935e-01 2.4065e-01 1.8648e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 2.7252e+03 2.7754e+07 5.0230e-01 4.9770e-01 9.6372e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 2.6626e+03 7.7885e+06 2.1941e-01 7.8059e-01 5.4728e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 2.6752e+03 2.6975e+06 8.3954e-02 9.1605e-01 2.1065e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 2.6715e+03 1.4329e+06 4.4147e-02 9.5585e-01 4.6241e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 2.6746e+03 8.6232e+05 2.5478e-02 9.7452e-01 8.9144e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
