#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           s0           s1           s2           s3           s4
    1.576106E+03   1.0000E-099   1.1553E-018   4.7943E-012   1.3656E-005   9.9999E-001
    1.675071E+03   1.0000E-099   7.1795E-019   3.4167E-012   1.1679E-005   9.9999E-001
    1.780251E+03   1.0000E-099   3.7622E-019   2.1642E-012   9.4703E-006   9.9999E-001
    1.892034E+03   1.0000E-099   2.1712E-019   1.4796E-012   7.9212E-006   9.9999E-001
    2.010837E+03   1.0000E-099   1.2144E-019   9.8516E-013   6.5848E-006   9.9999E-001
    2.137099E+03   1.0000E-099   6.7053E-020   6.5368E-013   5.4475E-006   9.9999E-001
    2.271289E+03   1.0000E-099   3.6631E-020   4.3000E-013   4.5048E-006   1.0000E+000
    2.413905E+03   1.0000E-099   2.0623E-020   2.8973E-013   3.7581E-006   1.0000E+000
    2.565477E+03   1.0000E-099   1.3344E-020   2.1509E-013   3.2749E-006   1.0000E+000
    2.726565E+03   1.0000E-099   9.8709E-021   1.7540E-013   2.9705E-006   1.0000E+000
    2.897769E+03   1.0000E-099   8.6732E-021   1.6137E-013   2.8356E-006   1.0000E+000
    3.079722E+03   1.0000E-099   9.0863E-021   1.6815E-013   2.8505E-006   1.0000E+000
    3.273101E+03   1.0000E-099   1.3647E-020   2.2501E-013   3.2114E-006   1.0000E+000
    3.478622E+03   1.0000E-099   2.7422E-020   3.7635E-013   3.9550E-006   1.0000E+000
    3.697048E+03   1.0000E-099   1.1324E-019   1.0104E-012   6.2955E-006   9.9999E-001
    3.929188E+03   1.0000E-099   3.3430E-019   2.0866E-012   9.0303E-006   9.9999E-001
    4.175906E+03   1.0000E-099   1.1004E-018   5.6248E-012   1.4088E-005   9.9999E-001
    4.438115E+03   1.0000E-099   2.5267E-018   1.0929E-011   1.9678E-005   9.9998E-001
