#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] al0 al1 al2 al3 al4 al5 al6
3.9517e+03 5.3835e-25 5.6188e-17 7.6085e-10 9.8542e-04 3.3107e-01 6.6763e-01 3.1739e-04
4.1999e+03 4.3546e-23 4.0110e-15 4.3729e-08 5.7064e-02 9.0934e-01 3.3600e-02 1.1226e-07
4.4636e+03 7.9694e-22 5.7832e-14 4.7857e-07 5.1258e-01 4.8696e-01 4.5952e-04 1.6754e-11
4.7438e+03 2.0110e-21 1.2483e-13 8.8037e-07 8.0103e-01 1.9894e-01 3.3229e-05 1.4500e-13
5.0416e+03 2.2933e-21 1.3928e-13 9.6143e-07 8.5171e-01 1.4827e-01 1.5557e-05 3.8194e-14
5.3582e+03 1.9334e-21 1.2395e-13 9.0320e-07 8.4465e-01 1.5534e-01 1.7222e-05 4.4690e-14
5.6947e+03 1.6943e-21 1.1380e-13 8.6896e-07 8.5008e-01 1.4991e-01 1.5479e-05 3.6332e-14
6.0522e+03 1.7575e-21 1.1820e-13 9.0440e-07 8.8128e-01 1.1871e-01 8.5668e-06 1.2850e-14
6.4323e+03 2.1113e-21 1.3655e-13 1.0078e-06 9.3163e-01 6.8369e-02 2.2300e-06 1.2529e-15
6.8362e+03 2.8138e-21 1.6884e-13 1.1643e-06 9.7174e-01 2.8259e-02 2.7626e-07 3.5117e-17
7.2654e+03 4.1360e-21 2.2191e-13 1.3848e-06 9.9054e-01 9.4575e-03 2.1859e-08 4.7165e-19
7.7216e+03 6.8323e-21 3.1589e-13 1.7310e-06 9.9762e-01 2.3767e-03 9.1405e-10 2.1783e-21
8.2065e+03 1.5042e-20 5.5232e-13 2.4833e-06 9.9970e-01 2.9954e-04 7.9545e-12 7.1190e-25
8.7177e+03 7.2304e-20 1.7207e-12 5.3132e-06 9.9999e-01 5.8575e-06 9.8360e-16 1.7556e-31
9.2147e+03 1.5993e-18 1.7742e-11 2.5537e-05 9.9997e-01 4.9832e-09 9.7092e-23 2.5644e-43
9.6291e+03 8.1749e-17 4.3503e-10 2.1464e-04 9.9979e-01 5.0978e-13 7.6253e-32 0.0000e+00
9.9539e+03 4.7021e-15 1.6316e-08 2.2823e-03 9.9772e-01 1.4749e-17 3.2384e-42 0.0000e+00
1.0246e+04 5.3363e-13 1.3607e-06 3.6854e-02 9.6314e-01 6.8656e-23 0.0000e+00 0.0000e+00
1.0542e+04 8.6643e-11 1.8140e-04 5.7326e-01 4.2656e-01 5.1220e-30 0.0000e+00 0.0000e+00
1.0840e+04 5.4364e-09 6.3530e-03 9.8641e-01 7.2345e-03 5.1993e-40 0.0000e+00 0.0000e+00
1.1119e+04 2.7604e-07 1.5256e-01 8.4740e-01 4.1485e-05 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 3.4091e-06 8.0001e-01 1.9999e-01 9.8398e-08 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 1.0325e-05 9.8710e-01 1.2891e-02 8.0147e-11 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 1.9551e-05 9.9903e-01 9.5356e-04 1.0559e-13 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 3.1113e-05 9.9987e-01 9.9812e-05 3.1667e-16 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 5.0095e-05 9.9994e-01 1.4393e-05 2.2717e-18 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 7.5335e-05 9.9992e-01 2.7794e-06 3.4242e-20 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 9.0708e-05 9.9991e-01 7.9318e-07 1.2715e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 1.0922e-04 9.9989e-01 2.5330e-07 6.4113e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 1.5055e-04 9.9985e-01 5.0780e-08 9.9651e-25 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 2.8004e-04 9.9972e-01 3.1677e-09 7.8676e-28 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 5.7846e-04 9.9942e-01 1.4484e-10 2.8533e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 1.2320e-03 9.9877e-01 5.8271e-12 7.4297e-35 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 2.5898e-03 9.9741e-01 2.3054e-13 1.8278e-38 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 5.3451e-03 9.9465e-01 9.6163e-15 5.1344e-42 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 1.0472e-02 9.8953e-01 4.4274e-16 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 1.7911e-02 9.8209e-01 2.6678e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 2.5737e-02 9.7426e-01 2.3171e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 3.3309e-02 9.6669e-01 2.8573e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 4.3207e-02 9.5679e-01 4.2079e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 5.5793e-02 9.4421e-01 7.5382e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 6.7985e-02 9.3202e-01 1.8338e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 7.7909e-02 9.2209e-01 5.5712e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 9.5600e-02 9.0440e-01 1.3176e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 1.3116e-01 8.6884e-01 1.6009e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.6152e-01 8.3848e-01 1.0513e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 5.6870e-02 9.4313e-01 2.6181e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 1.6530e-02 9.8347e-01 9.9302e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 5.4853e-03 9.9451e-01 3.4150e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 2.7875e-03 9.9721e-01 7.4352e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 1.5901e-03 9.9841e-01 1.4603e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 8.4363e-04 9.9916e-01 3.1287e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 4.6730e-04 9.9953e-01 6.1995e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 3.1662e-04 9.9968e-01 9.3397e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 2.3330e-04 9.9977e-01 1.2368e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 1.6022e-04 9.9984e-01 1.7257e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 1.0530e-04 9.9989e-01 2.4766e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 6.9485e-05 9.9993e-01 3.4993e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 4.7613e-05 9.9995e-01 4.7284e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 3.3443e-05 9.9997e-01 6.2033e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 2.3705e-05 9.9998e-01 8.0260e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 1.6852e-05 9.9998e-01 1.0351e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 1.1995e-05 9.9999e-01 1.3298e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 8.5459e-06 9.9999e-01 1.7025e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 6.0587e-06 9.9999e-01 2.1949e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 4.2895e-06 1.0000e+00 2.8327e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 3.0309e-06 1.0000e+00 3.6621e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 2.1368e-06 1.0000e+00 4.7435e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 1.5085e-06 1.0000e+00 6.1345e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 1.0633e-06 1.0000e+00 7.9620e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 7.5305e-07 1.0000e+00 1.0258e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 5.3500e-07 1.0000e+00 1.3170e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 3.8153e-07 1.0000e+00 1.6881e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 2.7404e-07 1.0000e+00 2.1478e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 1.9816e-07 1.0000e+00 2.7136e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 1.4506e-07 1.0000e+00 3.3938e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 1.0732e-07 1.0000e+00 4.2088e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 8.0762e-08 1.0000e+00 5.1422e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 6.1963e-08 1.0000e+00 6.1908e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 4.8631e-08 1.0000e+00 7.3197e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 3.9141e-08 1.0000e+00 8.4991e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 3.2376e-08 1.0000e+00 9.6710e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 2.9828e-08 1.0000e+00 1.0196e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 2.8735e-08 1.0000e+00 1.0431e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 2.7956e-08 1.0000e+00 1.0643e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 2.7808e-08 1.0000e+00 1.0648e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 2.7592e-08 1.0000e+00 1.0706e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 1.3274e-08 1.0000e+00 2.2254e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.3409
#NVEL: 115
#vel_mid[km/s] al0 al1 al2 al3 al4 al5 al6
4.2577e+02 2.0403e-30 7.8417e-21 3.6182e-12 1.9320e-04 2.3016e-01 7.6937e-01 2.8165e-04
8.5779e+02 2.6159e-22 1.2921e-14 7.6854e-08 5.2514e-02 9.0231e-01 4.5176e-02 2.5726e-07
8.7843e+02 2.6324e-22 1.2994e-14 7.7230e-08 5.2745e-02 9.0233e-01 4.4925e-02 2.5410e-07
9.1772e+02 2.6037e-22 1.2867e-14 7.6577e-08 5.2345e-02 9.0229e-01 4.5360e-02 2.5960e-07
9.7304e+02 2.5549e-22 1.2657e-14 7.5534e-08 5.1744e-02 9.0224e-01 4.6016e-02 2.6797e-07
1.0350e+03 2.4512e-22 1.2201e-14 7.3195e-08 5.0334e-02 9.0203e-01 4.7635e-02 2.8938e-07
1.1000e+03 2.1521e-22 1.0877e-14 6.6389e-08 4.6236e-02 9.0087e-01 5.2890e-02 3.6531e-07
1.1690e+03 1.5027e-22 7.9187e-15 5.0655e-08 3.6511e-02 8.9348e-01 7.0012e-02 6.8606e-07
1.2425e+03 7.0001e-23 3.9894e-15 2.7939e-08 2.1398e-02 8.5387e-01 1.2473e-01 2.6069e-06
1.3205e+03 1.9572e-23 1.2339e-15 9.7817e-09 8.0151e-03 7.0653e-01 2.8544e-01 2.0696e-05
1.4033e+03 3.3451e-24 2.3674e-16 2.1722e-09 1.9097e-03 4.2732e-01 5.7060e-01 1.7857e-04
1.4915e+03 4.7974e-25 3.8108e-17 4.0478e-10 3.8152e-04 2.0056e-01 7.9811e-01 9.4724e-04
1.5852e+03 7.0362e-26 6.2921e-18 7.7437e-11 7.8733e-05 8.7828e-02 9.0865e-01 3.4469e-03
1.6847e+03 9.3059e-27 9.4911e-19 1.3725e-11 1.5231e-05 3.5857e-02 9.5279e-01 1.1340e-02
1.7904e+03 1.0615e-27 1.2650e-19 2.2048e-12 2.7325e-06 1.3774e-02 9.5046e-01 3.5762e-02
1.9028e+03 1.0731e-28 1.5317e-20 3.2991e-13 4.6862e-07 5.0383e-03 8.9130e-01 1.0367e-01
2.0223e+03 9.8812e-30 1.6830e-21 4.4666e-14 7.2464e-08 1.6444e-03 7.3704e-01 2.6131e-01
2.1493e+03 7.7014e-31 1.5605e-22 5.0892e-15 9.4265e-09 4.4154e-04 4.8845e-01 5.1111e-01
2.2843e+03 6.1036e-32 1.4374e-23 5.6184e-16 1.1680e-09 1.0505e-04 2.6353e-01 7.3636e-01
2.4277e+03 6.7869e-33 1.8182e-24 8.2871e-17 1.9127e-10 2.9002e-05 1.4027e-01 8.5970e-01
2.5802e+03 1.4388e-33 4.2681e-25 2.1888e-17 5.5207e-11 1.1863e-05 8.8686e-02 9.1130e-01
2.7422e+03 7.8340e-34 2.4803e-25 1.3627e-17 3.6584e-11 8.8796e-06 7.6518e-02 9.2347e-01
2.9144e+03 1.3436e-33 4.3359e-25 2.4017e-17 6.6277e-11 1.3877e-05 9.7223e-02 9.0276e-01
3.0973e+03 8.8885e-33 2.7859e-24 1.4561e-16 4.0086e-10 5.1789e-05 1.9147e-01 8.0847e-01
3.2918e+03 2.3555e-31 7.0097e-23 3.2990e-15 9.1734e-09 4.6919e-04 5.1462e-01 4.8491e-01
3.4986e+03 1.6770e-29 4.0683e-21 1.4615e-13 3.6229e-07 4.6897e-03 8.9491e-01 1.0040e-01
3.7182e+03 2.0618e-27 3.3269e-19 7.4846e-12 1.3469e-05 3.5634e-02 9.5411e-01 1.0239e-02
3.9517e+03 2.9402e-25 3.3361e-17 4.9336e-10 6.9004e-04 2.8194e-01 7.1692e-01 4.4579e-04
4.1999e+03 2.7549e-23 2.7666e-15 3.2970e-08 4.6741e-02 9.1056e-01 4.2702e-02 1.8801e-07
4.4636e+03 5.5444e-22 4.3829e-14 3.9543e-07 4.6128e-01 5.3808e-01 6.4851e-04 3.1416e-11
4.7438e+03 1.4915e-21 1.0078e-13 7.7364e-07 7.6727e-01 2.3268e-01 4.9285e-05 2.8328e-13
5.0416e+03 1.7389e-21 1.1463e-13 8.5878e-07 8.2713e-01 1.7285e-01 2.2503e-05 7.0869e-14
5.3582e+03 1.4760e-21 1.0251e-13 8.0913e-07 8.2093e-01 1.7904e-01 2.4251e-05 7.9212e-14
5.6947e+03 1.2966e-21 9.4313e-14 7.7974e-07 8.2733e-01 1.7265e-01 2.1721e-05 6.3962e-14
6.0522e+03 1.3543e-21 9.8595e-14 8.1641e-07 8.6269e-01 1.3730e-01 1.2048e-05 2.2620e-14
6.4323e+03 1.6448e-21 1.1507e-13 9.1821e-07 9.2034e-01 7.9655e-02 3.1523e-06 2.2112e-15
6.8362e+03 2.2059e-21 1.4318e-13 1.0672e-06 9.6670e-01 3.3297e-02 3.9717e-07 6.3475e-17
7.2654e+03 3.2530e-21 1.8877e-13 1.2724e-06 9.8877e-01 1.1229e-02 3.1847e-08 8.7017e-19
7.7216e+03 5.3911e-21 2.6933e-13 1.5922e-06 9.9718e-01 2.8222e-03 1.3300e-09 4.0075e-21
8.2065e+03 1.1797e-20 4.6872e-13 2.2760e-06 9.9964e-01 3.6000e-04 1.1889e-11 1.3699e-24
8.7177e+03 5.6634e-20 1.4569e-12 4.8559e-06 9.9999e-01 7.0935e-06 1.4960e-15 3.4809e-31
9.2147e+03 1.2212e-18 1.4693e-11 2.2995e-05 9.9998e-01 6.3564e-09 1.6617e-22 6.2078e-43
9.6291e+03 6.2087e-17 3.5596e-10 1.9172e-04 9.9981e-01 6.7956e-13 1.4449e-31 0.0000e+00
9.9539e+03 3.4379e-15 1.2858e-08 1.9959e-03 9.9800e-01 2.1306e-17 7.3652e-42 0.0000e+00
1.0246e+04 3.8905e-13 1.0605e-06 3.2066e-02 9.6793e-01 1.0570e-22 0.0000e+00 0.0000e+00
1.0542e+04 6.5470e-11 1.4760e-04 5.3149e-01 4.6836e-01 9.3311e-30 0.0000e+00 0.0000e+00
1.0840e+04 4.1711e-09 5.3033e-03 9.8549e-01 9.2028e-03 1.4753e-39 0.0000e+00 0.0000e+00
1.1119e+04 2.0439e-07 1.2502e-01 8.7493e-01 5.8761e-05 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 2.8377e-06 7.4797e-01 2.5203e-01 1.8919e-07 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 9.0143e-06 9.8108e-01 1.8907e-02 2.0803e-10 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 1.7378e-05 9.9847e-01 1.5110e-03 3.3924e-13 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 2.6523e-05 9.9980e-01 1.7676e-04 1.3391e-15 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 3.9657e-05 9.9993e-01 2.9105e-05 1.3099e-17 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 5.8073e-05 9.9994e-01 5.7361e-06 2.0503e-19 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 6.9323e-05 9.9993e-01 1.6544e-06 7.7960e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 8.6816e-05 9.9991e-01 4.6421e-07 2.8417e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 1.2363e-04 9.9988e-01 8.3857e-08 3.4038e-24 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 2.2556e-04 9.9977e-01 5.5432e-09 3.1072e-27 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 4.9208e-04 9.9951e-01 2.1551e-10 7.5254e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 1.0098e-03 9.9899e-01 1.0056e-11 2.8638e-34 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 2.3983e-03 9.9760e-01 2.6402e-13 2.5034e-38 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 4.6824e-03 9.9532e-01 1.3503e-14 1.1799e-41 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 8.5126e-03 9.9149e-01 8.7022e-16 9.8091e-45 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 1.4507e-02 9.8549e-01 5.8874e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 1.9959e-02 9.8004e-01 6.7245e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 2.3276e-02 9.7672e-01 1.4137e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 2.7995e-02 9.7200e-01 2.9411e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 3.1855e-02 9.6814e-01 8.6146e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 3.5915e-02 9.6409e-01 2.4947e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
