#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    6.237825E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8353E-028
    6.383998E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7565E-028
    6.526223E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6625E-028
    6.660986E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5619E-028
    6.786444E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.4542E-028
    6.899777E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2984E-028
    6.951321E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.1337E-028
    6.977237E+04   1.0000E-099   1.0000E-099   1.0000E+000   9.9580E-029
    6.990232E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.7296E-029
    6.996738E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.8437E-029
    6.999830E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.2412E-029
    6.999993E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.1809E-029
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    8.484664E+02   1.0000E-099   1.0000E-099   4.3643E-007   1.0000E+000
    8.528610E+02   1.0000E-099   1.0000E-099   4.3643E-007   1.0000E+000
    8.661820E+02   1.0000E-099   1.0000E-099   4.3644E-007   1.0000E+000
    8.934513E+02   1.0000E-099   1.0000E-099   4.3644E-007   1.0000E+000
    9.472405E+02   1.0000E-099   1.0000E-099   4.3648E-007   1.0000E+000
    1.007109E+03   1.0000E-099   1.0000E-099   4.3658E-007   1.0000E+000
    1.070759E+03   1.0000E-099   1.0000E-099   4.3671E-007   1.0000E+000
    1.138432E+03   1.0000E-099   1.0000E-099   4.3520E-007   1.0000E+000
    1.210381E+03   1.0000E-099   1.0000E-099   4.2590E-007   1.0000E+000
    1.286878E+03   1.0000E-099   1.0000E-099   3.8087E-007   1.0000E+000
    1.368209E+03   1.0000E-099   1.0000E-099   2.5447E-007   1.0000E+000
    1.454681E+03   1.0000E-099   1.0000E-099   1.6693E-007   1.0000E+000
    1.546618E+03   1.0000E-099   1.0000E-099   1.4092E-007   1.0000E+000
    1.644365E+03   1.0000E-099   1.0000E-099   1.1467E-007   1.0000E+000
    1.748290E+03   1.0000E-099   1.0000E-099   8.4361E-008   1.0000E+000
    1.858783E+03   1.0000E-099   1.0000E-099   6.4572E-008   1.0000E+000
    1.976259E+03   1.0000E-099   1.0000E-099   4.8834E-008   1.0000E+000
    2.101160E+03   1.0000E-099   1.0000E-099   3.7012E-008   1.0000E+000
    2.233954E+03   1.0000E-099   1.0000E-099   2.7700E-008   1.0000E+000
    2.375142E+03   1.0000E-099   1.0000E-099   2.1210E-008   1.0000E+000
    2.525252E+03   1.0000E-099   1.0000E-099   1.7227E-008   1.0000E+000
    2.684850E+03   1.0000E-099   1.0000E-099   1.5034E-008   1.0000E+000
