#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] s0 s1 s2 s3 s4 
10095.62 3.72e-23 1.26e-14 2.12e-08 1.56e-03 9.98e-01 
10712.30 3.04e-21 8.43e-13 6.11e-07 1.07e-02 9.89e-01 
11366.65 1.03e-18 2.16e-10 4.95e-05 1.29e-01 8.71e-01 
12061.10 6.92e-16 9.72e-08 4.57e-03 8.49e-01 1.47e-01 
12793.43 1.98e-13 1.54e-05 1.08e-01 8.90e-01 2.11e-03 
13528.61 4.48e-11 1.41e-03 8.41e-01 1.57e-01 2.25e-06 
14194.74 1.45e-09 1.86e-02 9.77e-01 4.03e-03 2.08e-10 
14757.77 2.29e-08 1.28e-01 8.71e-01 1.35e-04 5.21e-14 
15240.48 2.24e-07 5.15e-01 4.85e-01 3.29e-06 2.13e-17 
15646.99 1.01e-06 8.75e-01 1.25e-01 5.62e-08 8.27e-21 
15960.30 3.14e-06 9.76e-01 2.43e-02 8.84e-10 4.28e-24 
16187.41 7.13e-06 9.96e-01 4.46e-03 1.65e-11 3.20e-27 
16354.17 1.26e-05 9.99e-01 1.08e-03 4.56e-13 6.16e-30 
16484.18 1.75e-05 1.00e+00 4.59e-04 5.01e-14 8.16e-32 
16593.12 2.17e-05 1.00e+00 2.28e-04 7.43e-15 2.53e-33 
16691.99 2.27e-05 1.00e+00 1.44e-04 2.35e-15 5.12e-34 
16788.59 2.26e-05 1.00e+00 7.98e-05 6.78e-16 4.78e-35 
16888.37 4.52e-05 1.00e+00 3.98e-05 9.20e-17 4.91e-37 
16998.79 3.96e-05 1.00e+00 2.62e-05 3.01e-17 5.64e-38 
17146.37 6.88e-05 1.00e+00 1.06e-05 3.03e-18 6.54e-39 
