#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    8.484664E+02   1.0000E-099   3.4077E-013   8.2834E-006   9.9999E-001
    8.543246E+02   1.0000E-099   3.4077E-013   8.2834E-006   9.9999E-001
    8.721432E+02   1.0000E-099   3.4077E-013   8.2834E-006   9.9999E-001
    9.089031E+02   1.0000E-099   3.4078E-013   8.2834E-006   9.9999E-001
    9.682894E+02   1.0000E-099   3.4079E-013   8.2835E-006   9.9999E-001
    1.029084E+03   1.0000E-099   3.4089E-013   8.2843E-006   9.9999E-001
    1.093701E+03   1.0000E-099   3.4064E-013   8.2783E-006   9.9999E-001
    1.162375E+03   1.0000E-099   3.3921E-013   8.2587E-006   9.9999E-001
    1.235362E+03   1.0000E-099   3.3473E-013   8.2357E-006   9.9999E-001
    1.312931E+03   1.0000E-099   3.1625E-013   8.2459E-006   9.9999E-001
    1.395371E+03   1.0000E-099   2.0442E-013   7.4197E-006   9.9999E-001
    1.482988E+03   1.0000E-099   1.4266E-013   6.8215E-006   9.9999E-001
    1.576106E+03   1.0000E-099   1.3477E-013   6.7230E-006   9.9999E-001
    1.675071E+03   1.0000E-099   1.0739E-013   6.3184E-006   9.9999E-001
    1.780251E+03   1.0000E-099   7.8254E-014   5.7609E-006   9.9999E-001
    1.892034E+03   1.0000E-099   5.7821E-014   5.1395E-006   9.9999E-001
    2.010837E+03   1.0000E-099   4.3184E-014   4.6956E-006   1.0000E+000
    2.137099E+03   1.0000E-099   3.1285E-014   4.1730E-006   1.0000E+000
    2.271289E+03   1.0000E-099   2.2795E-014   3.7478E-006   1.0000E+000
    2.413905E+03   1.0000E-099   1.6635E-014   3.3329E-006   1.0000E+000
    2.565477E+03   1.0000E-099   1.3026E-014   3.0301E-006   1.0000E+000
    2.726565E+03   1.0000E-099   1.0840E-014   2.7931E-006   1.0000E+000
    2.897769E+03   1.0000E-099   9.7547E-015   2.6201E-006   1.0000E+000
    3.079722E+03   1.0000E-099   9.4520E-015   2.4863E-006   1.0000E+000
    3.273101E+03   1.0000E-099   1.1053E-014   2.5136E-006   1.0000E+000
    3.478622E+03   1.0000E-099   1.3749E-014   2.4280E-006   1.0000E+000
    3.697048E+03   1.0000E-099   2.9493E-014   3.2015E-006   1.0000E+000
    3.929188E+03   1.0000E-099   5.9911E-014   4.5278E-006   1.0000E+000
    4.175906E+03   1.0000E-099   6.8366E-014   3.3541E-006   1.0000E+000
    4.438115E+03   1.0000E-099   8.9186E-014   3.2993E-006   1.0000E+000
    4.716788E+03   1.0000E-099   8.4422E-014   3.1112E-006   1.0000E+000
    5.012959E+03   1.0000E-099   6.8995E-014   2.8602E-006   1.0000E+000
    5.327727E+03   1.0000E-099   5.6060E-014   2.6321E-006   1.0000E+000
    5.662260E+03   1.0000E-099   4.8692E-014   2.4435E-006   1.0000E+000
    6.017798E+03   1.0000E-099   4.6081E-014   2.3584E-006   1.0000E+000
    6.395661E+03   1.0000E-099   4.8677E-014   2.3338E-006   1.0000E+000
    6.797251E+03   1.0000E-099   5.3922E-014   2.3138E-006   1.0000E+000
    7.224056E+03   1.0000E-099   6.4042E-014   2.3814E-006   1.0000E+000
    7.677661E+03   1.0000E-099   7.8938E-014   2.4606E-006   1.0000E+000
    8.159748E+03   1.0000E-099   1.1102E-013   2.6894E-006   1.0000E+000
    8.672106E+03   1.0000E-099   2.2107E-013   3.2245E-006   1.0000E+000
    9.216636E+03   1.0000E-099   1.7537E-012   7.1739E-006   9.9999E-001
    9.793140E+03   1.0000E-099   1.2432E-010   6.6685E-005   9.9993E-001
    1.026683E+04   1.0000E-099   1.9649E-008   1.5863E-003   9.9841E-001
    1.070804E+04   1.0000E-099   1.4844E-005   9.8762E-002   9.0122E-001
    1.120152E+04   1.0000E-099   3.2549E-002   9.6561E-001   1.8409E-003
    1.159423E+04   1.0000E-099   5.8689E-001   4.1310E-001   3.3206E-006
    1.180243E+04   1.0000E-099   8.0817E-001   1.9183E-001   3.5510E-007
    1.192916E+04   1.0000E-099   9.3443E-001   6.5569E-002   1.8075E-008
    1.202084E+04   1.0000E-099   9.8466E-001   1.5341E-002   3.5971E-010
    1.209768E+04   1.0000E-099   9.9534E-001   4.6616E-003   1.4708E-011
