#NTIMES:     67
#NSTAGES:     2
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           na0           na1
    6.999993E+04    2.6166E-07    1.0000E+00
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           na0           na1
    8.484664E+02    4.1671E-06    1.0000E+00
    8.528610E+02    4.1671E-06    1.0000E+00
    8.661820E+02    4.1671E-06    1.0000E+00
    8.934513E+02    4.1671E-06    1.0000E+00
    9.472405E+02    4.1671E-06    1.0000E+00
    1.007109E+03    4.1674E-06    1.0000E+00
    1.070759E+03    4.1667E-06    1.0000E+00
    1.138432E+03    4.1589E-06    1.0000E+00
    1.210381E+03    4.1399E-06    1.0000E+00
    1.286878E+03    4.0813E-06    1.0000E+00
    1.368209E+03    3.7885E-06    1.0000E+00
    1.454681E+03    3.4852E-06    1.0000E+00
    1.546618E+03    3.3545E-06    1.0000E+00
    1.644365E+03    3.1898E-06    1.0000E+00
    1.748290E+03    2.9438E-06    1.0000E+00
    1.858783E+03    2.6920E-06    1.0000E+00
    1.976259E+03    2.4743E-06    1.0000E+00
    2.101160E+03    2.2544E-06    1.0000E+00
    2.233954E+03    2.0473E-06    1.0000E+00
    2.375142E+03    1.8624E-06    1.0000E+00
    2.525252E+03    1.7225E-06    1.0000E+00
    2.684850E+03    1.6283E-06    1.0000E+00
    2.854534E+03    1.5840E-06    1.0000E+00
    3.034942E+03    1.5787E-06    1.0000E+00
    3.226752E+03    1.6726E-06    1.0000E+00
    3.430685E+03    1.7401E-06    1.0000E+00
    3.647506E+03    2.1935E-06    1.0000E+00
    3.878031E+03    2.8105E-06    1.0000E+00
    4.123125E+03    2.6318E-06    1.0000E+00
    4.383709E+03    2.7151E-06    1.0000E+00
    4.660762E+03    2.6696E-06    1.0000E+00
    4.955325E+03    2.5618E-06    1.0000E+00
    5.268505E+03    2.4355E-06    1.0000E+00
    5.601477E+03    2.3246E-06    1.0000E+00
    5.955494E+03    2.2700E-06    1.0000E+00
    6.331885E+03    2.2596E-06    1.0000E+00
    6.732064E+03    2.2534E-06    1.0000E+00
    7.157534E+03    2.2950E-06    1.0000E+00
    7.609895E+03    2.3397E-06    1.0000E+00
    8.090845E+03    2.4544E-06    1.0000E+00
    8.602191E+03    2.6259E-06    1.0000E+00
    9.145855E+03    3.3720E-06    1.0000E+00
    9.716757E+03    5.1564E-06    9.9999E-01
    1.017136E+04    6.7387E-06    9.9999E-01
    1.058976E+04    8.5484E-06    9.9999E-01
    1.103681E+04    1.3516E-05    9.9999E-01
    1.143091E+04    2.2852E-05    9.9998E-01
    1.169743E+04    3.6064E-05    9.9996E-01
