#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 fe7 fe8
2.352604e+04 1.000000e+00 6.548387e-20 4.774194e-81 2.193548e-215 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.501290e+04 1.000000e+00 4.651811e-14 2.406685e-69 7.855153e-198 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.659373e+04 1.000000e+00 6.593407e-14 4.846154e-69 2.241758e-197 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.827472e+04 1.000000e+00 1.001259e-13 1.114610e-68 7.821159e-197 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.003347e+04 1.000000e+00 1.446194e-13 2.322835e-68 2.354331e-196 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.173513e+04 1.000000e+00 1.790323e-13 3.568548e-68 4.475806e-196 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.324450e+04 1.000000e+00 2.144509e-13 5.115607e-68 7.687861e-196 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.456401e+04 1.000000e+00 2.669643e-13 7.901786e-68 1.473214e-195 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.575519e+04 1.000000e+00 3.366619e-13 1.262482e-67 2.981455e-195 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.688039e+04 1.000000e+00 4.266055e-13 2.029817e-67 6.077982e-195 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.798804e+04 1.000000e+00 5.379061e-13 3.194946e-67 1.198556e-194 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.910117e+04 1.000000e+00 6.629834e-13 4.889503e-67 2.276243e-194 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.022485e+04 1.000000e+00 8.168067e-13 7.436975e-67 4.268908e-194 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.136251e+04 1.000000e+00 1.007643e-12 1.127389e-66 7.961783e-194 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.251989e+04 1.000000e+00 1.238462e-12 1.701923e-66 1.476923e-193 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.370225e+04 1.000000e+00 1.514451e-12 2.557803e-66 2.722543e-193 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.491318e+04 1.000000e+00 1.856522e-12 3.847826e-66 5.043478e-193 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.615537e+04 1.000000e+00 2.289474e-12 5.822368e-66 9.342105e-193 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.743001e+04 1.000000e+00 2.811881e-12 8.762376e-66 1.722772e-192 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.873699e+04 1.000000e+00 3.442136e-12 1.313056e-65 3.160237e-192 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.007561e+04 1.000000e+00 4.209354e-12 1.971047e-65 5.812918e-192 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.144454e+04 1.000000e+00 5.150502e-12 2.959866e-65 1.070234e-191 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.284239e+04 1.000000e+00 6.300000e-12 4.425000e-65 1.955000e-191 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.426701e+04 1.000000e+00 7.686567e-12 6.604478e-65 3.559701e-191 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.571625e+04 1.000000e+00 9.381215e-12 9.779006e-65 6.430939e-191 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.718639e+04 1.000000e+00 1.140294e-11 1.443719e-64 1.153344e-190 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.867295e+04 1.000000e+00 1.384615e-11 2.127404e-64 2.062500e-190 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.016784e+04 1.000000e+00 1.667832e-11 3.094406e-64 3.636364e-190 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.166111e+04 1.000000e+00 2.010152e-11 4.492386e-64 6.345178e-190 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.313735e+04 1.000000e+00 2.388489e-11 6.366906e-64 1.071942e-189 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.457821e+04 1.000000e+00 2.851324e-11 9.012220e-64 1.802444e-189 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.596028e+04 1.000000e+00 3.333333e-11 1.234310e-63 2.887029e-189 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.725801e+04 1.000000e+00 3.872180e-11 1.663534e-63 4.511278e-189 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.844609e+04 1.000000e+00 5.031646e-11 2.800633e-63 9.841772e-189 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.926341e+04 1.000000e+00 5.223368e-11 3.041237e-63 1.116838e-188 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.964660e+04 1.000000e+00 5.401460e-11 3.229927e-63 1.218978e-188 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.983908e+04 1.000000e+00 5.488722e-11 3.327068e-63 1.274436e-188 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.993554e+04 1.000000e+00 5.542636e-11 3.430233e-63 1.337209e-188 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.998302e+04 1.000000e+00 6.612022e-11 4.836066e-63 2.234973e-188 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.999912e+04 1.000000e+00 6.781609e-11 5.086207e-63 2.413793e-188 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
#
#TIME: 2.112455e+00 
#NVEL: 115
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 fe7 fe8
4.242332e+02 6.805819e-28 1.039929e-19 1.513614e-12 1.121599e-06 1.200546e-02 8.194206e-01 1.685121e-01 6.070792e-05 2.126138e-11 
8.515108e+02 4.638850e-27 3.941683e-19 3.365178e-12 1.608850e-06 1.315235e-02 8.071065e-01 1.796549e-01 8.459870e-05 4.759514e-11 
8.638199e+02 1.046497e-27 1.156014e-19 1.288130e-12 8.170328e-07 8.969976e-03 7.561899e-01 2.346798e-01 1.595821e-04 1.319421e-10 
8.922215e+02 5.825350e-28 7.357276e-20 9.312500e-13 6.651786e-07 8.103083e-03 7.437905e-01 2.479302e-01 1.755668e-04 1.487581e-10 
9.416122e+02 2.789746e-28 4.325386e-20 6.628844e-13 5.553896e-07 7.550229e-03 7.422257e-01 2.500533e-01 1.702001e-04 1.305294e-10 
1.002576e+03 6.443953e-28 9.352509e-20 1.311357e-12 9.653393e-07 1.075664e-02 7.998526e-01 1.893068e-01 8.299410e-05 3.761061e-11 
1.065938e+03 5.677142e-28 8.314753e-20 1.178133e-12 8.842277e-07 1.017364e-02 7.912832e-01 1.984488e-01 9.344678e-05 4.622096e-11 
1.133306e+03 5.332265e-28 7.847482e-20 1.121787e-12 8.501441e-07 9.909963e-03 7.872637e-01 2.027267e-01 9.884809e-05 5.055591e-11 
1.204932e+03 1.337533e-28 2.120661e-20 3.405985e-13 3.157374e-07 5.195992e-03 6.687663e-01 3.256819e-01 3.555152e-04 4.823073e-10 
