#NTIMES:    67
#NSTAGES:     8
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5           ni6           ni7
    1.515385E+04   1.0000E-099   9.9930E-001   6.9647E-004   9.3077E-019   2.2212E-047   6.8334E-071   2.4381E-099   4.7188E-123
    1.570238E+04   1.0000E-099   9.9970E-001   2.9570E-004   5.8549E-020   1.2053E-049   5.3128E-072   1.8216E-101   4.4924E-124
    1.628316E+04   1.0000E-099   9.9995E-001   4.5797E-005   1.5302E-022   3.0265E-055   1.7042E-074   4.8744E-107   1.8279E-126
    1.695591E+04   1.0000E-099   9.9999E-001   8.5665E-006   1.0302E-024   1.6398E-056   1.3782E-076   3.0898E-108   1.8609E-128
    1.773545E+04   1.0000E-099   1.0000E+000   1.8756E-006   9.1230E-027   4.9450E-057   1.7331E-078   1.2941E-108   3.4995E-130
    1.852426E+04   1.0000E-099   1.0000E+000   6.1665E-007   2.1477E-028   2.1600E-057   5.6139E-080   7.6241E-109   1.6277E-131
    1.933673E+04   1.0000E-099   1.0000E+000   3.0854E-007   4.0106E-029   1.3760E-057   1.3827E-080   6.2586E-109   5.4262E-132
    2.006825E+04   1.0000E-099   1.0000E+000   2.7403E-007   8.4030E-029   1.1445E-057   2.7626E-080   4.8815E-109   1.0385E-131
    2.082304E+04   1.0000E-099   1.0000E+000   2.8147E-007   2.6627E-028   1.0641E-057   7.9695E-080   4.1022E-109   2.7325E-131
    2.162788E+04   1.0000E-099   1.0000E+000   2.2986E-007   3.6988E-028   9.2470E-058   1.1821E-079   3.7937E-109   4.3353E-131
    2.248295E+04   1.0000E-099   1.0000E+000   2.8985E-007   1.1989E-027   9.9363E-058   3.2599E-079   3.4470E-109   1.0180E-130
    2.340334E+04   1.0000E-099   1.0000E+000   2.4568E-007   1.2879E-027   8.8977E-058   3.7052E-079   3.2524E-109   1.2268E-130
    2.427003E+04   1.0000E-099   1.0000E+000   3.2376E-007   2.7793E-027   1.0178E-057   6.9004E-079   3.1912E-109   1.9754E-130
    2.528269E+04   1.0000E-099   1.0000E+000   3.6494E-007   3.7593E-027   1.0919E-057   8.8489E-079   3.2307E-109   2.4083E-130
    2.627013E+04   1.0000E-099   1.0000E+000   3.2399E-007   3.3196E-027   1.0038E-057   8.0951E-079   3.0641E-109   2.2871E-130
    2.723040E+04   1.0000E-099   1.0000E+000   5.7418E-007   7.7587E-027   1.5211E-057   1.5976E-078   3.9165E-109   3.8269E-130
    2.827004E+04   1.0000E-099   1.0000E+000   7.7401E-007   1.1056E-026   1.9336E-057   2.1334E-078   4.6622E-109   4.8073E-130
    2.934273E+04   1.0000E-099   1.0000E+000   1.2824E-006   2.0852E-026   2.9479E-057   3.6641E-078   6.4838E-109   7.5516E-130
    3.052012E+04   1.0000E-099   1.0000E+000   2.0471E-006   3.6239E-026   4.4476E-057   5.9631E-078   9.1825E-109   1.1556E-129
    3.176086E+04   1.0000E-099   1.0000E+000   2.8716E-006   5.3283E-026   6.0723E-057   8.4714E-078   1.2134E-108   1.5914E-129
    3.295538E+04   1.0000E-099   1.0000E+000   3.2690E-006   5.9485E-026   6.9013E-057   9.4060E-078   1.3718E-108   1.7622E-129
    3.403161E+04   1.0000E-099   1.0000E+000   3.8244E-006   7.0434E-026   8.0345E-057   1.1024E-077   1.5819E-108   2.0489E-129
    3.500379E+04   1.0000E-099   1.0000E+000   4.8943E-006   9.5424E-026   1.0157E-056   1.4639E-077   1.9634E-108   2.6714E-129
    3.593430E+04   1.0000E-099   9.9999E-001   6.2579E-006   1.2924E-025   1.2850E-056   1.9463E-077   2.4430E-108   3.4909E-129
