#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
7964.05 3.40e-27 4.64e-19 4.63e-11 4.55e-04 5.13e-01 4.85e-01 1.22e-03 
8450.53 1.86e-26 2.43e-18 2.21e-10 1.67e-03 7.53e-01 2.45e-01 1.61e-04 
8966.72 1.01e-25 1.28e-17 1.06e-09 5.96e-03 9.12e-01 8.24e-02 1.09e-05 
9514.44 9.98e-25 1.16e-16 8.13e-09 2.91e-02 9.57e-01 1.38e-02 1.81e-07 
10095.62 2.23e-23 2.27e-15 1.19e-07 2.09e-01 7.90e-01 9.02e-04 7.25e-10 
10712.30 3.98e-22 3.37e-14 1.19e-06 8.27e-01 1.73e-01 5.16e-06 3.74e-14 
11366.65 3.51e-21 2.43e-13 5.13e-06 9.96e-01 3.58e-03 5.49e-10 1.06e-20 
12061.10 4.64e-20 2.74e-12 2.92e-05 1.00e+00 1.26e-05 1.67e-15 3.10e-28 
12793.43 1.20e-18 5.88e-11 2.73e-04 1.00e+00 1.59e-08 4.93e-22 1.70e-29 
13528.61 7.83e-17 2.67e-09 3.95e-03 9.96e-01 4.58e-12 1.55e-29 2.28e-31 
14194.74 4.03e-15 1.03e-07 4.94e-02 9.51e-01 1.14e-15 8.18e-31 7.30e-32 
14757.77 1.08e-13 1.95e-06 3.32e-01 6.68e-01 3.64e-19 3.31e-32 1.32e-32 
15240.48 1.20e-12 1.33e-05 8.02e-01 1.98e-01 2.14e-22 1.37e-32 8.71e-33 
15646.99 8.56e-12 4.94e-05 9.66e-01 3.42e-02 4.29e-25 8.63e-33 5.60e-33 
15960.30 6.68e-11 1.74e-04 9.97e-01 2.44e-03 3.53e-26 5.40e-33 3.56e-33 
16187.41 2.56e-10 4.00e-04 9.98e-01 2.05e-03 1.60e-25 4.72e-33 3.14e-33 
16354.17 8.32e-10 8.80e-04 9.99e-01 9.30e-05 2.69e-26 4.84e-33 3.26e-33 
16484.18 1.14e-09 1.15e-03 9.99e-01 5.02e-05 2.52e-26 5.74e-33 3.89e-33 
16593.12 1.49e-09 1.48e-03 9.99e-01 2.10e-05 4.60e-26 7.25e-33 4.95e-33 
16691.99 2.46e-09 2.15e-03 9.98e-01 9.91e-06 3.92e-26 8.84e-33 6.07e-33 
16788.59 2.95e-09 2.43e-03 9.96e-01 1.21e-03 1.12e-23 1.02e-32 7.08e-33 
16888.37 4.92e-09 3.70e-03 9.96e-01 3.07e-06 6.97e-26 1.17e-32 8.09e-33 
16998.79 7.30e-09 5.03e-03 9.95e-01 1.17e-06 5.75e-26 1.33e-32 9.26e-33 
17146.37 1.52e-08 8.47e-03 9.92e-01 3.63e-07 6.00e-26 1.49e-32 1.05e-32 
17415.23 3.99e-08 1.71e-02 9.83e-01 6.43e-08 6.32e-26 1.64e-32 1.16e-32 
17888.12 1.97e-07 5.58e-02 9.44e-01 4.72e-09 7.87e-26 1.60e-32 1.16e-32 
18532.37 9.06e-07 1.64e-01 8.36e-01 1.67e-10 5.47e-26 1.29e-32 9.54e-33 
19260.76 2.45e-06 3.57e-01 6.43e-01 6.40e-12 4.03e-26 1.09e-32 8.20e-33 
20034.10 3.93e-06 5.98e-01 4.02e-01 3.99e-13 1.14e-25 1.08e-32 8.21e-33 
20838.00 6.12e-06 7.80e-01 2.20e-01 2.46e-14 1.44e-25 1.19e-32 9.17e-33 
21647.97 1.12e-05 8.92e-01 1.08e-01 1.78e-15 1.68e-25 1.33e-32 1.04e-32 
22447.94 1.59e-05 9.52e-01 4.80e-02 8.64e-17 2.75e-25 1.60e-32 1.26e-32 
23245.88 1.89e-05 9.72e-01 2.83e-02 1.32e-17 2.93e-25 1.63e-32 1.29e-32 
24052.47 1.56e-05 9.87e-01 1.32e-02 8.77e-19 2.10e-25 1.16e-32 9.30e-33 
24867.72 2.07e-05 9.91e-01 8.52e-03 2.41e-19 4.18e-25 7.77e-33 6.25e-33 
25698.86 2.18e-05 9.96e-01 3.77e-03 1.50e-20 1.44e-25 5.90e-33 4.78e-33 
26587.16 3.15e-05 9.98e-01 1.95e-03 8.32e-22 6.88e-26 5.47e-33 4.46e-33 
27637.54 3.06e-05 9.99e-01 1.19e-03 1.08e-22 1.15e-25 6.51e-33 5.36e-33 
28986.97 2.96e-05 9.99e-01 7.06e-04 2.41e-23 5.91e-25 1.15e-32 9.51e-33 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
440.10 1.31e-19 1.40e-12 7.61e-06 8.40e-01 1.60e-01 5.18e-06 2.42e-12 
999.11 8.13e-21 1.12e-13 9.69e-07 2.53e-01 7.46e-01 1.33e-03 4.35e-09 
1267.34 2.64e-22 4.73e-15 5.89e-08 3.31e-02 9.47e-01 2.01e-02 1.15e-06 
1514.05 1.93e-23 4.00e-16 6.22e-09 5.89e-03 8.75e-01 1.19e-01 5.94e-05 
1808.80 1.44e-24 3.45e-17 6.75e-10 1.06e-03 6.10e-01 3.88e-01 1.22e-03 
1919.29 1.41e-25 3.87e-18 8.96e-11 2.04e-04 3.18e-01 6.73e-01 8.66e-03 
2160.92 8.78e-27 2.89e-19 8.47e-12 3.21e-05 1.47e-01 8.24e-01 2.96e-02 
2292.92 8.79e-28 3.11e-20 1.06e-12 6.28e-06 5.97e-02 8.46e-01 9.42e-02 
2432.98 2.37e-28 9.71e-21 3.78e-13 2.64e-06 3.79e-02 8.22e-01 1.40e-01 
2581.60 1.08e-28 4.81e-21 2.04e-13 1.60e-06 2.90e-02 8.01e-01 1.70e-01 
2739.29 5.57e-29 2.79e-21 1.27e-13 1.05e-06 2.25e-02 7.71e-01 2.07e-01 
2906.62 3.18e-29 1.71e-21 8.39e-14 7.56e-07 1.89e-02 7.50e-01 2.31e-01 
3084.17 2.06e-29 1.19e-21 6.33e-14 6.37e-07 1.74e-02 7.44e-01 2.39e-01 
3272.56 9.64e-30 8.96e-22 5.29e-14 5.77e-07 1.64e-02 7.37e-01 2.47e-01 
3472.46 6.69e-30 8.45e-22 5.44e-14 6.44e-07 1.76e-02 7.51e-01 2.31e-01 
3684.57 7.63e-30 8.99e-22 6.34e-14 8.09e-07 2.00e-02 7.74e-01 2.06e-01 
3909.64 8.08e-30 8.40e-22 6.71e-14 9.56e-07 2.15e-02 7.89e-01 1.89e-01 
4148.46 7.58e-30 1.07e-21 8.97e-14 1.34e-06 2.62e-02 8.17e-01 1.57e-01 
4401.86 1.75e-29 2.10e-21 1.69e-13 2.31e-06 3.53e-02 8.45e-01 1.20e-01 
4670.75 4.54e-29 4.23e-21 3.32e-13 4.20e-06 4.98e-02 8.65e-01 8.48e-02 
4956.05 5.07e-29 5.09e-21 4.29e-13 5.69e-06 6.06e-02 8.73e-01 6.69e-02 
5258.79 4.25e-29 4.96e-21 4.61e-13 6.51e-06 6.60e-02 8.74e-01 5.95e-02 
5580.02 6.19e-29 7.49e-21 7.26e-13 1.01e-05 8.53e-02 8.71e-01 4.34e-02 
5920.87 8.95e-29 1.09e-20 1.09e-12 1.54e-05 1.10e-01 8.60e-01 3.07e-02 
6282.54 1.34e-28 1.74e-20 1.81e-12 2.47e-05 1.40e-01 8.39e-01 2.16e-02 
6666.30 2.71e-28 3.55e-20 3.69e-12 4.80e-05 1.99e-01 7.89e-01 1.22e-02 
7073.50 6.39e-28 8.48e-20 8.72e-12 1.04e-04 2.84e-01 7.09e-01 6.18e-03 
7505.58 1.38e-27 1.90e-19 1.98e-11 2.22e-04 3.95e-01 6.02e-01 2.80e-03 
7964.05 4.47e-27 6.32e-19 6.46e-11 6.25e-04 5.78e-01 4.21e-01 7.55e-04 
8450.53 2.49e-26 3.41e-18 3.18e-10 2.31e-03 8.09e-01 1.89e-01 8.21e-05 
8966.72 1.34e-25 1.74e-17 1.46e-09 7.88e-03 9.34e-01 5.86e-02 4.72e-06 
9514.44 1.31e-24 1.58e-16 1.12e-08 3.77e-02 9.52e-01 1.03e-02 9.24e-08 
10095.62 3.03e-23 3.14e-15 1.63e-07 2.67e-01 7.32e-01 5.40e-04 1.61e-10 
10712.30 4.63e-22 3.99e-14 1.40e-06 8.77e-01 1.23e-01 2.01e-06 8.39e-15 
11366.65 3.89e-21 2.76e-13 5.68e-06 9.98e-01 2.33e-03 2.09e-10 1.98e-21 
12061.10 5.47e-20 3.30e-12 3.41e-05 1.00e+00 7.32e-06 4.26e-16 2.32e-28 
12793.43 1.45e-18 7.18e-11 3.19e-04 1.00e+00 9.92e-09 1.62e-22 1.28e-29 
13528.61 9.10e-17 3.17e-09 4.51e-03 9.95e-01 2.63e-12 1.21e-29 5.65e-31 
14194.74 5.02e-15 1.30e-07 5.93e-02 9.41e-01 3.71e-16 2.25e-31 2.10e-32 
14757.77 1.27e-13 2.33e-06 3.78e-01 6.22e-01 1.91e-19 2.79e-32 1.40e-32 
15240.48 1.29e-12 1.44e-05 8.27e-01 1.73e-01 1.07e-22 1.45e-32 9.27e-33 
15646.99 8.83e-12 5.20e-05 9.78e-01 2.22e-02 2.01e-25 9.16e-33 5.96e-33 
15960.30 6.87e-11 1.78e-04 9.93e-01 6.53e-03 2.15e-25 5.75e-33 3.79e-33 
16187.41 2.26e-10 3.84e-04 9.99e-01 5.05e-04 1.17e-26 5.00e-33 3.34e-33 
16354.17 8.14e-10 9.04e-04 9.99e-01 8.47e-05 3.44e-26 5.14e-33 3.47e-33 
16484.18 1.06e-09 1.11e-03 9.99e-01 4.17e-05 3.53e-26 6.08e-33 4.14e-33 
16593.12 1.56e-09 1.51e-03 9.98e-01 2.10e-05 5.58e-26 7.69e-33 5.27e-33 
16691.99 2.08e-09 1.90e-03 9.98e-01 1.20e-05 8.47e-26 9.39e-33 6.45e-33 
16788.59 4.03e-09 3.06e-03 9.97e-01 4.24e-06 2.52e-28 1.09e-32 7.53e-33 
16888.37 4.31e-09 3.49e-03 9.97e-01 3.20e-06 8.55e-26 1.24e-32 8.60e-33 
16998.79 6.92e-09 4.70e-03 9.95e-01 1.09e-06 8.57e-26 1.41e-32 9.85e-33 
17146.37 1.25e-08 7.37e-03 9.93e-01 6.12e-07 1.67e-25 1.59e-32 1.12e-32 
17415.23 3.08e-08 1.43e-02 9.86e-01 8.69e-08 1.35e-25 1.74e-32 1.24e-32 
17888.12 1.48e-07 4.45e-02 9.56e-01 7.08e-09 1.29e-25 1.71e-32 1.23e-32 
18532.37 7.90e-07 1.43e-01 8.57e-01 1.84e-10 6.67e-26 1.38e-32 1.01e-32 
19260.76 2.47e-06 3.71e-01 6.29e-01 7.64e-12 6.67e-26 1.16e-32 8.72e-33 
20034.10 4.50e-06 6.03e-01 3.97e-01 4.18e-13 8.05e-26 1.15e-32 8.73e-33 
20838.00 6.25e-06 7.81e-01 2.19e-01 2.34e-14 9.50e-26 1.26e-32 9.75e-33 
21647.97 8.13e-06 9.01e-01 9.86e-02 1.20e-15 8.14e-26 1.42e-32 1.10e-32 
22447.94 1.14e-05 9.57e-01 4.34e-02 6.40e-17 1.19e-25 1.71e-32 1.35e-32 
23245.88 1.64e-05 9.74e-01 2.64e-02 9.57e-18 1.33e-25 1.73e-32 1.37e-32 
24052.47 1.31e-05 9.86e-01 1.37e-02 9.55e-19 1.42e-25 1.24e-32 9.89e-33 
24867.72 1.56e-05 9.92e-01 8.13e-03 1.77e-19 7.73e-26 8.26e-33 6.65e-33 
25698.86 2.79e-05 9.96e-01 4.28e-03 1.39e-20 8.60e-26 6.27e-33 5.08e-33 
26587.16 3.03e-05 9.97e-01 2.74e-03 2.48e-21 3.15e-25 5.80e-33 4.74e-33 
27637.54 3.00e-05 9.98e-01 1.66e-03 2.11e-22 3.54e-25 6.92e-33 5.70e-33 
28986.97 4.10e-05 9.99e-01 7.95e-04 2.70e-23 5.49e-25 1.22e-32 1.01e-32 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
440.10 1.48e-19 1.55e-12 8.37e-06 8.77e-01 1.23e-01 1.54e-05 5.94e-13 
999.11 6.38e-21 9.00e-14 8.36e-07 2.39e-01 7.60e-01 1.47e-03 5.24e-09 
1267.34 2.18e-22 3.87e-15 5.09e-08 3.17e-02 9.50e-01 1.82e-02 8.49e-07 
1514.05 1.75e-23 3.60e-16 5.87e-09 6.05e-03 8.91e-01 1.03e-01 4.06e-05 
1808.80 1.34e-24 3.34e-17 6.89e-10 1.14e-03 6.40e-01 3.58e-01 9.60e-04 
1919.29 1.58e-25 4.21e-18 1.00e-10 2.46e-04 3.63e-01 6.31e-01 6.15e-03 
2160.92 1.14e-26 3.86e-19 1.15e-11 4.23e-05 1.66e-01 8.09e-01 2.56e-02 
2292.92 9.52e-28 3.32e-20 1.17e-12 7.52e-06 6.93e-02 8.53e-01 7.75e-02 
2432.98 2.87e-28 1.15e-20 4.61e-13 3.42e-06 4.55e-02 8.38e-01 1.16e-01 
2581.60 1.26e-28 5.79e-21 2.55e-13 2.05e-06 3.42e-02 8.17e-01 1.49e-01 
2739.29 7.29e-29 3.56e-21 1.67e-13 1.46e-06 2.89e-02 8.05e-01 1.66e-01 
2906.62 4.20e-29 2.21e-21 1.11e-13 1.05e-06 2.41e-02 7.85e-01 1.91e-01 
3084.17 2.67e-29 1.60e-21 8.82e-14 8.89e-07 2.16e-02 7.72e-01 2.07e-01 
3272.56 1.68e-29 1.26e-21 7.69e-14 8.61e-07 2.16e-02 7.77e-01 2.01e-01 
3472.46 9.33e-30 1.18e-21 7.82e-14 9.43e-07 2.28e-02 7.87e-01 1.90e-01 
3684.57 8.52e-30 1.25e-21 9.08e-14 1.18e-06 2.57e-02 8.07e-01 1.68e-01 
3909.64 8.50e-30 1.11e-21 9.15e-14 1.34e-06 2.72e-02 8.18e-01 1.55e-01 
4148.46 7.98e-30 1.36e-21 1.19e-13 1.79e-06 3.14e-02 8.35e-01 1.34e-01 
4401.86 2.73e-29 2.87e-21 2.38e-13 3.26e-06 4.36e-02 8.59e-01 9.71e-02 
4670.75 5.84e-29 5.44e-21 4.38e-13 5.69e-06 6.08e-02 8.72e-01 6.76e-02 
4956.05 6.38e-29 6.54e-21 5.68e-13 7.61e-06 7.16e-02 8.73e-01 5.50e-02 
5258.79 5.65e-29 6.67e-21 6.40e-13 9.03e-06 7.98e-02 8.73e-01 4.73e-02 
5580.02 8.09e-29 9.65e-21 9.58e-13 1.37e-05 1.03e-01 8.63e-01 3.35e-02 
5920.87 1.13e-28 1.43e-20 1.47e-12 2.06e-05 1.27e-01 8.48e-01 2.49e-02 
6282.54 1.80e-28 2.40e-20 2.56e-12 3.51e-05 1.70e-01 8.14e-01 1.59e-02 
6666.30 3.49e-28 4.64e-20 4.93e-12 6.43e-05 2.31e-01 7.60e-01 9.32e-03 
7073.50 7.96e-28 1.05e-19 1.11e-11 1.36e-04 3.30e-01 6.65e-01 4.42e-03 
7505.58 1.77e-27 2.48e-19 2.63e-11 2.96e-04 4.49e-01 5.49e-01 1.92e-03 
7964.05 5.80e-27 8.35e-19 8.71e-11 8.36e-04 6.42e-01 3.57e-01 4.56e-04 
8450.53 3.28e-26 4.55e-18 4.31e-10 3.06e-03 8.57e-01 1.40e-01 3.89e-05 
8966.72 1.75e-25 2.30e-17 1.95e-09 1.02e-02 9.46e-01 4.39e-02 2.47e-06 
9514.44 1.75e-24 2.15e-16 1.52e-08 4.88e-02 9.44e-01 7.14e-03 3.73e-08 
10095.62 4.02e-23 4.26e-15 2.20e-07 3.35e-01 6.64e-01 3.31e-04 6.10e-11 
10712.30 5.31e-22 4.65e-14 1.61e-06 9.13e-01 8.72e-02 1.26e-06 2.93e-15 
11366.65 4.37e-21 3.16e-13 6.37e-06 9.98e-01 1.50e-03 7.59e-11 3.38e-22 
12061.10 6.17e-20 3.80e-12 3.83e-05 1.00e+00 4.43e-06 1.35e-16 2.72e-28 
12793.43 1.70e-18 8.54e-11 3.67e-04 1.00e+00 5.36e-09 3.47e-23 7.67e-30 
13528.61 1.12e-16 3.94e-09 5.28e-03 9.95e-01 1.63e-12 1.18e-29 6.48e-31 
14194.74 6.06e-15 1.58e-07 6.85e-02 9.32e-01 1.90e-16 3.31e-31 3.11e-32 
14757.77 1.42e-13 2.64e-06 4.11e-01 5.89e-01 1.09e-19 3.01e-32 1.49e-32 
15240.48 1.38e-12 1.54e-05 8.35e-01 1.65e-01 5.44e-23 1.54e-32 9.85e-33 
15646.99 8.94e-12 5.32e-05 9.78e-01 2.18e-02 2.90e-25 9.73e-33 6.34e-33 
15960.30 6.32e-11 1.73e-04 9.95e-01 4.68e-03 6.32e-26 6.10e-33 4.03e-33 
16187.41 2.80e-10 4.52e-04 9.98e-01 1.08e-03 1.08e-25 5.31e-33 3.55e-33 
16354.17 7.32e-10 8.56e-04 9.99e-01 7.93e-05 3.79e-26 5.46e-33 3.69e-33 
16484.18 1.18e-09 1.23e-03 9.99e-01 3.21e-05 3.49e-26 6.46e-33 4.40e-33 
16593.12 1.88e-09 1.77e-03 9.98e-01 1.39e-05 3.93e-26 8.17e-33 5.60e-33 
16691.99 1.90e-09 1.87e-03 9.98e-01 8.22e-06 4.83e-26 9.94e-33 6.86e-33 
16788.59 3.12e-09 2.51e-03 9.97e-01 6.33e-06 1.21e-25 1.16e-32 8.01e-33 
16888.37 4.31e-09 3.47e-03 9.97e-01 2.22e-06 6.36e-26 1.32e-32 9.15e-33 
16998.79 6.41e-09 4.53e-03 9.95e-01 1.71e-06 1.65e-25 1.50e-32 1.05e-32 
17146.37 1.12e-08 7.12e-03 9.93e-01 6.21e-07 1.05e-25 1.68e-32 1.19e-32 
17415.23 2.36e-08 1.19e-02 9.88e-01 1.08e-07 1.35e-25 1.85e-32 1.32e-32 
17888.12 1.23e-07 4.00e-02 9.60e-01 7.26e-09 9.37e-26 1.81e-32 1.31e-32 
18532.37 6.33e-07 1.37e-01 8.63e-01 2.35e-10 8.75e-26 1.46e-32 1.08e-32 
19260.76 2.28e-06 3.26e-01 6.74e-01 6.72e-12 5.13e-26 1.24e-32 9.27e-33 
20034.10 4.37e-06 5.84e-01 4.16e-01 4.35e-13 7.85e-26 1.22e-32 9.29e-33 
20838.00 5.88e-06 7.52e-01 2.48e-01 3.22e-14 1.50e-25 1.34e-32 1.04e-32 
21647.97 8.26e-06 8.59e-01 1.41e-01 3.48e-15 4.20e-25 1.51e-32 1.17e-32 
22447.94 1.04e-05 9.35e-01 6.54e-02 2.03e-16 5.82e-25 1.82e-32 1.43e-32 
23245.88 1.12e-05 9.35e-01 6.51e-02 3.18e-17 6.31e-25 1.84e-32 1.46e-32 
24052.47 1.80e-05 9.62e-01 3.84e-02 4.20e-18 7.53e-25 1.32e-32 1.05e-32 
24867.72 1.36e-05 9.91e-01 8.92e-03 2.05e-19 1.43e-25 8.80e-33 7.07e-33 
25698.86 2.02e-05 9.96e-01 4.30e-03 1.88e-20 1.40e-25 6.68e-33 5.40e-33 
26587.16 2.57e-05 9.98e-01 2.26e-03 1.31e-21 6.03e-26 6.18e-33 5.04e-33 
27637.54 2.93e-05 9.99e-01 1.29e-03 2.20e-22 1.81e-25 7.38e-33 6.06e-33 
28986.97 2.73e-05 9.99e-01 9.08e-04 4.84e-23 1.12e-24 1.30e-32 1.07e-32 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
440.10 7.27e-20 8.61e-13 5.49e-06 7.75e-01 2.25e-01 2.85e-05 4.00e-12 
999.11 3.72e-21 5.89e-14 6.05e-07 1.91e-01 8.06e-01 2.28e-03 1.62e-08 
1267.34 1.44e-22 2.85e-15 4.07e-08 2.66e-02 9.45e-01 2.82e-02 2.75e-06 
1514.05 1.31e-23 2.91e-16 5.03e-09 5.38e-03 8.63e-01 1.31e-01 8.42e-05 
1808.80 1.16e-24 3.08e-17 6.68e-10 1.13e-03 6.31e-01 3.66e-01 1.08e-03 
1919.29 1.46e-25 4.20e-18 1.04e-10 2.47e-04 3.39e-01 6.53e-01 7.92e-03 
2160.92 1.46e-26 4.97e-19 1.51e-11 5.53e-05 1.90e-01 7.89e-01 2.08e-02 
2292.92 9.98e-28 3.63e-20 1.31e-12 8.26e-06 6.86e-02 8.48e-01 8.29e-02 
2432.98 3.26e-28 1.37e-20 5.60e-13 4.08e-06 4.80e-02 8.37e-01 1.15e-01 
2581.60 1.50e-28 6.84e-21 3.07e-13 2.54e-06 3.87e-02 8.27e-01 1.34e-01 
2739.29 9.30e-29 4.81e-21 2.32e-13 1.98e-06 3.36e-02 8.16e-01 1.50e-01 
2906.62 5.15e-29 2.84e-21 1.47e-13 1.38e-06 2.80e-02 7.99e-01 1.73e-01 
3084.17 3.43e-29 2.05e-21 1.16e-13 1.21e-06 2.67e-02 7.99e-01 1.74e-01 
3272.56 2.38e-29 1.65e-21 1.03e-13 1.17e-06 2.61e-02 8.01e-01 1.73e-01 
3472.46 1.49e-29 1.56e-21 1.06e-13 1.30e-06 2.79e-02 8.12e-01 1.60e-01 
3684.57 1.15e-29 1.65e-21 1.23e-13 1.62e-06 3.13e-02 8.28e-01 1.41e-01 
3909.64 8.94e-30 1.47e-21 1.25e-13 1.83e-06 3.29e-02 8.36e-01 1.31e-01 
4148.46 9.22e-30 1.80e-21 1.62e-13 2.46e-06 3.82e-02 8.51e-01 1.11e-01 
4401.86 3.76e-29 3.81e-21 3.24e-13 4.49e-06 5.34e-02 8.69e-01 7.77e-02 
4670.75 7.14e-29 6.88e-21 5.70e-13 7.41e-06 7.01e-02 8.73e-01 5.74e-02 
4956.05 8.01e-29 8.59e-21 7.72e-13 1.03e-05 8.54e-02 8.70e-01 4.41e-02 
5258.79 7.32e-29 8.62e-21 8.48e-13 1.22e-05 9.60e-02 8.67e-01 3.70e-02 
5580.02 9.97e-29 1.23e-20 1.25e-12 1.79e-05 1.18e-01 8.54e-01 2.79e-02 
5920.87 1.49e-28 1.94e-20 2.05e-12 2.87e-05 1.53e-01 8.28e-01 1.89e-02 
6282.54 2.31e-28 3.10e-20 3.38e-12 4.67e-05 1.99e-01 7.89e-01 1.21e-02 
