#NTIMES: 4
#NVEL: 591
#TIMES[d]: 5.0 10.0 15.0 20.0
#vel_mid[km/s] Tgas_t0[K] Tgas_t1[K] ... Tgas_tn[K]
9.468305E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.674723E+04
9.518220E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.665632E+04
9.568136E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.656092E+04
9.618051E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.646426E+04
9.667966E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.636522E+04
9.717881E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.626932E+04
9.767797E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.615231E+04
9.817712E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.604627E+04
9.867627E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.594311E+04
9.917542E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.583307E+04
9.967458E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.570624E+04
1.001737E+04 1.000000E-99 1.000000E-99 1.000000E-99 1.560431E+04
1.006729E+04 1.000000E-99 1.000000E-99 1.137159E+04 1.549192E+04
1.011720E+04 1.000000E-99 1.000000E-99 1.132628E+04 1.536111E+04
1.016712E+04 1.000000E-99 1.000000E-99 1.126627E+04 1.524015E+04
1.021703E+04 1.000000E-99 1.000000E-99 1.118688E+04 1.511214E+04
1.026695E+04 1.000000E-99 1.000000E-99 1.110408E+04 1.497021E+04
1.031686E+04 1.000000E-99 1.000000E-99 1.102352E+04 1.481834E+04
1.036678E+04 1.000000E-99 1.000000E-99 1.094096E+04 1.466382E+04
1.041669E+04 1.000000E-99 1.000000E-99 1.085478E+04 1.449952E+04
1.046661E+04 1.000000E-99 1.000000E-99 1.077167E+04 1.433290E+04
1.051653E+04 1.000000E-99 1.000000E-99 1.068863E+04 1.416737E+04
1.056644E+04 1.000000E-99 1.000000E-99 1.059814E+04 1.399484E+04
1.061636E+04 1.000000E-99 1.000000E-99 1.051229E+04 1.382480E+04
1.066627E+04 1.000000E-99 1.000000E-99 1.043471E+04 1.364037E+04
1.071619E+04 1.000000E-99 1.000000E-99 1.035467E+04 1.344352E+04
1.076610E+04 1.000000E-99 1.000000E-99 1.026654E+04 1.323608E+04
1.081602E+04 1.000000E-99 1.000000E-99 1.017912E+04 1.303157E+04
1.086593E+04 1.000000E-99 1.000000E-99 1.008981E+04 1.283640E+04
