#NTIMES:    60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5
    2.939718E+04   1.0000E-099   1.0000E+000   1.1487E-010   1.3780E-021   7.0592E-032   5.3396E-044
    3.030159E+04   1.0000E-099   1.0000E+000   8.8648E-011   1.4021E-021   5.5455E-032   5.5356E-044
    3.120144E+04   1.0000E-099   1.0000E+000   6.9406E-011   1.4252E-021   4.4146E-032   5.7259E-044
    3.209856E+04   1.0000E-099   1.0000E+000   5.4673E-011   1.4471E-021   3.5323E-032   5.9109E-044
    3.299464E+04   1.0000E-099   1.0000E+000   4.2730E-011   1.4682E-021   2.8016E-032   6.0909E-044
    3.389124E+04   1.0000E-099   1.0000E+000   3.3608E-011   1.4883E-021   2.2345E-032   6.2665E-044
    3.478990E+04   1.0000E-099   1.0000E+000   2.7428E-011   1.5077E-021   1.8480E-032   6.4381E-044
    3.569221E+04   1.0000E-099   1.0000E+000   2.4279E-011   1.5264E-021   1.6569E-032   6.6063E-044
    3.659989E+04   1.0000E-099   1.0000E+000   2.2523E-011   1.5446E-021   1.5561E-032   6.7717E-044
    3.751483E+04   1.0000E-099   1.0000E+000   2.1306E-011   1.5624E-021   1.4897E-032   6.9347E-044
    3.843911E+04   1.0000E-099   1.0000E+000   1.8718E-011   1.5797E-021   1.3239E-032   7.0961E-044
    3.937508E+04   1.0000E-099   1.0000E+000   1.8782E-011   1.5967E-021   1.3432E-032   7.2564E-044
    4.030917E+04   1.0000E-099   1.0000E+000   1.9850E-011   1.5913E-021   1.4147E-032   7.1210E-044
    4.032500E+04   1.0000E-099   1.0000E+000   1.6704E-011   7.6933E-022   5.7523E-033   2.1582E-044
#TIME:     2.001
#NVEL: 100
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5
    1.025000E+03   1.0000E-099   2.9017E-030   1.6882E-021   3.1403E-013   8.5275E-006   9.9999E-001
    1.033631E+03   1.0000E-099   2.8433E-030   1.6611E-021   3.1055E-013   8.4786E-006   9.9999E-001
    1.050893E+03   1.0000E-099   2.7872E-030   1.6372E-021   3.0777E-013   8.4423E-006   9.9999E-001
    1.085418E+03   1.0000E-099   2.7763E-030   1.6399E-021   3.0921E-013   8.4727E-006   9.9999E-001
    1.192830E+03   1.0000E-099   2.9766E-030   1.7663E-021   3.2990E-013   8.8017E-006   9.9999E-001
    1.310616E+03   1.0000E-099   3.3083E-030   1.9644E-021   3.6046E-013   9.2639E-006   9.9999E-001
    1.440032E+03   1.0000E-099   3.7791E-030   2.2395E-021   4.0150E-013   9.8562E-006   9.9999E-001
    1.582227E+03   1.0000E-099   4.4767E-030   2.6374E-021   4.5864E-013   1.0636E-005   9.9999E-001
    1.738464E+03   1.0000E-099   5.5842E-030   3.2507E-021   5.4259E-013   1.1704E-005   9.9999E-001
    1.910128E+03   1.0000E-099   7.5285E-030   4.2871E-021   6.7588E-013   1.3253E-005   9.9999E-001
    2.098743E+03   1.0000E-099   1.1426E-029   6.2626E-021   9.0977E-013   1.5666E-005   9.9998E-001
    2.305983E+03   1.0000E-099   2.0741E-029   1.0673E-020   1.3762E-012   1.9756E-005   9.9998E-001
    2.533686E+03   1.0000E-099   4.9819E-029   2.3141E-020   2.4991E-012   2.7579E-005   9.9997E-001
    2.784236E+03   1.0000E-099   1.8583E-028   7.3289E-020   6.0214E-012   4.5017E-005   9.9995E-001
    3.054040E+03   1.0000E-099   1.3595E-027   4.1494E-019   2.2772E-011   9.4790E-005   9.9991E-001
    3.277713E+03   1.0000E-099   1.3741E-026   3.1180E-018   1.0700E-010   2.2576E-004   9.9977E-001
    3.457358E+03   1.0000E-099   1.6943E-025   2.7894E-017   5.7860E-010   5.8324E-004   9.9942E-001
    3.600523E+03   1.0000E-099   2.3236E-024   2.7514E-016   3.3981E-009   1.5811E-003   9.9842E-001
    3.715668E+03   1.0000E-099   3.3954E-023   2.8839E-015   2.1057E-008   4.4194E-003   9.9558E-001
    3.816868E+03   1.0000E-099   6.5390E-022   3.8713E-014   1.5896E-007   1.3777E-002   9.8622E-001
    3.903355E+03   1.0000E-099   1.5144E-020   6.1373E-013   1.3673E-006   4.5759E-002   9.5424E-001
    3.976242E+03   1.0000E-099   3.7797E-019   1.0370E-011   1.2202E-005   1.4968E-001   8.5031E-001
    4.040206E+03   1.0000E-099   9.7346E-018   1.7594E-010   1.0340E-004   4.2237E-001   5.7753E-001
    4.094637E+03   1.0000E-099   1.8307E-016   2.1439E-009   6.0443E-004   7.6793E-001   2.3146E-001
    4.142797E+03   1.0000E-099   2.9322E-015   2.1468E-008   2.6924E-003   9.4365E-001   5.3657E-002
    4.184396E+03   1.0000E-099   4.7277E-014   2.1141E-007   1.1118E-002   9.7959E-001   9.2950E-003
    4.219843E+03   1.0000E-099   8.1946E-013   2.2047E-006   4.6327E-002   9.5231E-001   1.3627E-003
    4.250896E+03   1.0000E-099   1.5856E-011   2.4773E-005   1.9128E-001   8.0855E-001   1.4732E-004
    4.277520E+03   1.0000E-099   2.3182E-010   2.0712E-004   5.5605E-001   4.4374E-001   9.1200E-006
    4.300647E+03   1.0000E-099   1.9599E-009   9.9440E-004   8.7860E-001   1.2040E-001   2.4231E-007
    4.320861E+03   1.0000E-099   1.3051E-008   3.6720E-003   9.7653E-001   1.9802E-002   3.1453E-009
    4.338122E+03   1.0000E-099   8.4835E-008   1.2906E-002   9.8431E-001   2.7844E-003   3.2104E-011
    4.353834E+03   1.0000E-099   6.8516E-007   5.1061E-002   9.4864E-001   2.9947E-004   1.8677E-013
    4.366440E+03   1.0000E-099   5.6042E-006   1.9550E-001   8.0447E-001   2.4587E-005   6.7746E-016
