#NTIMES:    60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    1.122823E+04   1.0000E-099   1.0000E+000   2.1201E-008   9.5214E-022   7.8325E-031   5.3897E-044
    1.233207E+04   1.0000E-099   1.0000E+000   2.5507E-008   1.0844E-021   1.0750E-030   7.0654E-044
    1.354443E+04   1.0000E-099   1.0000E+000   2.9010E-008   1.2218E-021   1.3799E-030   9.0635E-044
    1.475430E+04   1.0000E-099   1.0000E+000   3.0627E-008   1.3506E-021   1.6124E-030   1.1177E-043
    1.596250E+04   1.0000E-099   1.0000E+000   3.0342E-008   1.4711E-021   1.7412E-030   1.3367E-043
    1.715172E+04   1.0000E-099   1.0000E+000   2.8909E-008   1.5821E-021   1.7849E-030   1.5567E-043
    1.831808E+04   1.0000E-099   1.0000E+000   2.7614E-008   1.6842E-021   1.8155E-030   1.7741E-043
    1.946215E+04   1.0000E-099   1.0000E+000   2.6994E-008   1.7783E-021   1.8744E-030   1.9869E-043
    2.056623E+04   1.0000E-099   1.0000E+000   2.6028E-008   1.8640E-021   1.8950E-030   2.1907E-043
    2.164457E+04   1.0000E-099   1.0000E+000   2.3789E-008   1.9432E-021   1.8061E-030   2.3876E-043
    2.269608E+04   1.0000E-099   1.0000E+000   2.0844E-008   2.0165E-021   1.6424E-030   2.5769E-043
    2.371204E+04   1.0000E-099   1.0000E+000   1.7717E-008   2.0838E-021   1.4428E-030   2.7567E-043
    2.470288E+04   1.0000E-099   1.0000E+000   1.4701E-008   2.1460E-021   1.2332E-030   2.9282E-043
    2.567282E+04   1.0000E-099   1.0000E+000   1.2106E-008   2.2037E-021   1.0434E-030   3.0921E-043
    2.662453E+04   1.0000E-099   1.0000E+000   9.7677E-009   2.2573E-021   8.6315E-031   3.2487E-043
    2.756088E+04   1.0000E-099   1.0000E+000   7.7016E-009   2.3074E-021   6.9638E-031   3.3988E-043
    2.848473E+04   1.0000E-099   1.0000E+000   5.9155E-009   2.3545E-021   5.4628E-031   3.5431E-043
    2.939718E+04   1.0000E-099   1.0000E+000   4.4624E-009   2.3988E-021   4.2010E-031   3.6820E-043
    3.030159E+04   1.0000E-099   1.0000E+000   3.3460E-009   2.4409E-021   3.2061E-031   3.8164E-043
    3.120144E+04   1.0000E-099   1.0000E+000   2.5202E-009   2.4808E-021   2.4543E-031   3.9466E-043
    3.209856E+04   1.0000E-099   1.0000E+000   1.9203E-009   2.5188E-021   1.8985E-031   4.0730E-043
    3.299464E+04   1.0000E-099   1.0000E+000   1.4673E-009   2.5549E-021   1.4712E-031   4.1958E-043
    3.389124E+04   1.0000E-099   1.0000E+000   1.1285E-009   2.5893E-021   1.1465E-031   4.3152E-043
    3.478990E+04   1.0000E-099   1.0000E+000   8.7748E-010   2.6221E-021   9.0273E-032   4.4312E-043
    3.569221E+04   1.0000E-099   1.0000E+000   6.9896E-010   2.6536E-021   7.2768E-032   4.5442E-043
    3.659989E+04   1.0000E-099   1.0000E+000   5.5576E-010   2.6840E-021   5.8524E-032   4.6543E-043
    3.751483E+04   1.0000E-099   1.0000E+000   4.3247E-010   2.7133E-021   4.6047E-032   4.7621E-043
    3.843911E+04   1.0000E-099   1.0000E+000   3.5624E-010   2.7417E-021   3.8342E-032   4.8679E-043
    3.937508E+04   1.0000E-099   1.0000E+000   3.3151E-010   2.7695E-021   3.6060E-032   4.9725E-043
    4.030917E+04   1.0000E-099   1.0000E+000   3.1993E-010   2.7654E-021   3.4720E-032   4.9184E-043
    4.032500E+04   1.0000E-099   1.0000E+000   1.6032E-010   1.2982E-021   8.3944E-033   1.3801E-043
#TIME:     2.001
#NVEL: 100
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    1.025000E+03   1.0000E-099   6.6020E-031   6.9473E-022   9.9136E-014   2.7859E-006   1.0000E+000
    1.033631E+03   1.0000E-099   6.4692E-031   6.8374E-022   9.8046E-014   2.7702E-006   1.0000E+000
