#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5
3.575e+09 9.925828e-10 4.940435e-02 9.505956e-01 8.680501e-38 1.132760e-91 5.334026e-164
3.625e+09 7.090392e-10 4.191988e-02 9.580801e-01 1.039207e-37 1.610817e-91 9.009793e-164
3.675e+09 5.058242e-10 3.552461e-02 9.644754e-01 1.242715e-37 2.288209e-91 1.520352e-163
3.725e+09 3.604721e-10 3.007385e-02 9.699261e-01 1.484590e-37 3.247272e-91 2.563037e-163
3.775e+09 2.566050e-10 2.543443e-02 9.745656e-01 1.772223e-37 4.605427e-91 4.318626e-163
3.825e+09 1.825229e-10 2.149435e-02 9.785057e-01 2.114077e-37 6.527131e-91 7.271903e-163
3.875e+09 1.297272e-10 1.815188e-02 9.818481e-01 2.520493e-37 9.246357e-91 1.223996e-162
3.925e+09 9.215302e-11 1.532096e-02 9.846790e-01 3.003459e-37 1.309160e-90 2.059150e-162
3.975e+09 6.542969e-11 1.292547e-02 9.870745e-01 3.577436e-37 1.852840e-90 3.462807e-162
4.025e+09 4.643697e-11 1.090024e-02 9.890998e-01 4.259539e-37 2.621375e-90 5.821301e-162
#TIME: 2.420000
#NVEL: 81
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5
2.500e+07 3.003445e-38 8.657708e-29 2.022640e-21 2.735120e-13 7.052441e-06 9.999929e-01
7.500e+07 1.586175e-37 4.231771e-28 7.148283e-21 6.649387e-13 1.105650e-05 9.999889e-01
1.250e+08 3.790455e-37 1.018268e-27 1.461725e-20 1.127119e-12 1.467793e-05 9.999853e-01
1.750e+08 1.186910e-36 3.114910e-27 3.628336e-20 2.228626e-12 2.134899e-05 9.999787e-01
2.250e+08 9.427737e-36 2.185398e-26 1.752206e-19 7.316688e-12 4.117916e-05 9.999588e-01
2.750e+08 3.687391e-34 6.492547e-25 2.776657e-18 6.136426e-11 1.339683e-04 9.998660e-01
3.250e+08 3.214567e-31 3.400250e-22 5.413493e-16 3.913753e-09 1.338444e-03 9.986616e-01
3.750e+08 2.516438e-25 9.583610e-17 4.623504e-11 2.442105e-05 1.515429e-01 8.484327e-01
4.250e+08 1.141937e-15 3.935424e-08 7.872526e-03 9.133009e-01 7.882602e-02 5.024645e-07
4.750e+08 1.274246e-11 1.450322e-05 9.999828e-01 2.692948e-06 1.985409e-17 3.968391e-35
5.250e+08 1.675598e-10 8.236752e-05 9.999176e-01 9.499549e-11 9.596648e-28 9.288684e-53
5.750e+08 6.956354e-09 2.169578e-03 9.978304e-01 1.276492e-17 1.112881e-43 4.772202e-80
6.250e+08 3.435920e-06 3.282389e-01 6.717576e-01 2.361078e-28 2.551142e-68 3.978211e-122
6.750e+08 7.467165e-05 9.853870e-01 1.453833e-02 1.129714e-39 2.242234e-92 3.445744e-162
7.250e+08 1.559765e-04 9.970837e-01 2.760365e-03 7.750493e-44 4.250491e-101 1.172769e-176
7.750e+08 5.416505e-05 9.800378e-01 1.990807e-02 2.188126e-39 6.211353e-92 1.381354e-161
8.250e+08 4.793244e-05 9.784220e-01 2.153008e-02 1.969443e-39 4.175137e-92 6.180114e-162
8.750e+08 5.019849e-05 9.833615e-01 1.658829e-02 2.686462e-40 5.520745e-94 4.175490e-165
9.250e+08 3.013432e-05 9.612823e-01 3.868760e-02 1.791679e-38 2.921900e-90 5.190409e-159
9.750e+08 3.562515e-05 9.762927e-01 2.367168e-02 6.579305e-40 2.495882e-93 3.765448e-164
1.025e+09 3.587860e-05 9.801570e-01 1.980708e-02 1.416062e-40 8.522125e-95 1.220108e-166
1.075e+09 3.879343e-05 9.855736e-01 1.438762e-02 1.399280e-41 5.765608e-97 2.723281e-170
1.125e+09 2.775961e-05 9.762014e-01 2.377085e-02 1.324915e-40 5.197391e-95 4.009530e-167
1.175e+09 2.106059e-05 9.653657e-01 3.461327e-02 6.341329e-40 1.137518e-93 5.700472e-165
1.225e+09 1.939350e-05 9.653636e-01 3.461700e-02 3.688560e-40 3.079471e-94 5.667030e-166
1.275e+09 1.494011e-05 9.517166e-01 4.826850e-02 1.404846e-39 4.199164e-93 3.689027e-164
1.325e+09 1.084641e-05 9.267585e-01 7.323061e-02 8.859713e-39 1.647805e-91 1.383154e-161
1.375e+09 9.576750e-06 9.215298e-01 7.846059e-02 7.660558e-39 1.021011e-91 5.412784e-162
1.425e+09 8.474641e-06 9.163296e-01 8.366196e-02 6.448454e-39 5.982290e-92 1.930934e-162
1.475e+09 8.133737e-06 9.218556e-01 7.813625e-02 2.518082e-39 7.036488e-93 4.827315e-164
1.525e+09 7.493224e-06 9.219246e-01 7.806793e-02 1.453918e-39 1.874684e-93 4.671344e-165
1.575e+09 7.655982e-06 9.343365e-01 6.565580e-02 3.116137e-40 6.301380e-95 1.469493e-167
1.625e+09 7.129375e-06 9.355085e-01 6.448439e-02 1.632065e-40 1.369697e-95 1.015411e-168
1.675e+09 5.391477e-06 9.108775e-01 8.911715e-02 6.116432e-40 1.816690e-94 6.326690e-167
1.725e+09 4.054145e-06 8.790680e-01 1.209279e-01 2.135973e-39 2.093518e-93 3.133890e-165
1.775e+09 3.314616e-06 8.573395e-01 1.426572e-01 3.341593e-39 4.510818e-93 9.681774e-165
1.825e+09 2.628205e-06 8.269963e-01 1.730011e-01 6.331441e-39 1.460200e-92 5.888352e-164
1.875e+09 3.129145e-06 8.769115e-01 1.230853e-01 4.620484e-40 5.048400e-95 4.241648e-168
1.925e+09 2.468529e-06 8.480249e-01 1.519726e-01 9.547456e-40 1.951383e-94 3.452472e-167
1.975e+09 2.701708e-06 8.797870e-01 1.202103e-01 1.348543e-40 2.708803e-96 2.495710e-170
2.025e+09 1.721043e-06 8.064580e-01 1.935403e-01 1.440803e-39 3.318325e-94 6.270863e-167
2.075e+09 1.151668e-06 7.294055e-01 2.705934e-01 7.595828e-39 9.519177e-93 1.445821e-164
2.125e+09 1.170268e-06 7.541211e-01 2.458778e-01 2.293649e-39 6.402830e-94 1.415629e-166
2.175e+09 1.389816e-06 8.135389e-01 1.864597e-01 2.209409e-40 3.875295e-96 2.546388e-170
2.225e+09 1.257810e-06 8.095315e-01 1.904673e-01 1.462968e-40 1.376666e-96 3.968470e-171
2.275e+09 9.996707e-07 7.755009e-01 2.244981e-01 2.435234e-40 3.425190e-96 1.567602e-170
2.325e+09 8.153326e-07 7.457722e-01 2.542270e-01 3.219420e-40 5.267488e-96 2.793779e-170
2.375e+09 3.200030e-07 5.235894e-01 4.764103e-01 2.324039e-38 4.392667e-92 8.654757e-164
2.425e+09 4.133359e-07 6.115228e-01 3.884768e-01 2.363766e-39 2.743913e-94 1.562892e-167
2.475e+09 2.389263e-07 4.918338e-01 5.081659e-01 1.423951e-38 1.168066e-92 7.413285e-165
2.525e+09 3.033113e-07 5.732671e-01 4.267326e-01 1.707914e-39 1.028300e-94 2.359484e-168
2.575e+09 1.512560e-07 4.230366e-01 5.769632e-01 1.761185e-38 1.454222e-92 8.541485e-165
2.625e+09 8.845054e-08 3.296101e-01 6.703898e-01 6.455920e-38 2.288833e-91 8.011348e-163
2.675e+09 1.345203e-07 4.336508e-01 5.663491e-01 4.803483e-39 6.623986e-94 3.781129e-167
2.725e+09 3.125216e-07 6.668094e-01 3.331902e-01 2.721227e-41 7.938197e-99 1.911755e-175
2.775e+09 1.477061e-07 4.944131e-01 5.055868e-01 5.060791e-40 3.780321e-96 5.105353e-171
2.825e+09 4.302489e-08 2.628984e-01 7.371016e-01 3.082961e-38 2.951874e-92 1.683517e-164
2.875e+09 3.813385e-08 2.569999e-01 7.430000e-01 2.044542e-38 1.070543e-92 2.742889e-165
2.925e+09 2.084854e-07 6.456479e-01 3.543519e-01 4.835588e-42 1.085378e-100 8.813733e-179
2.975e+09 6.619337e-08 3.858069e-01 6.141931e-01 4.506432e-40 1.809649e-96 9.447047e-172
3.025e+09 2.330463e-08 2.219364e-01 7.780635e-01 9.331346e-39 1.397695e-93 6.545970e-167
3.075e+09 5.652685e-08 3.868087e-01 6.131912e-01 1.476731e-40 1.232560e-97 8.225245e-174
3.125e+09 2.541273e-08 2.574636e-01 7.425364e-01 1.303655e-39 1.404716e-95 2.222683e-170
3.175e+09 6.052843e-08 4.371969e-01 5.628030e-01 1.871274e-41 1.039541e-99 2.124395e-177
3.225e+09 7.020715e-09 1.299136e-01 8.700864e-01 1.779357e-38 4.337052e-93 3.144977e-166
3.275e+09 2.414219e-09 6.955996e-02 9.304400e-01 2.007078e-37 1.023418e-90 3.216186e-162
3.325e+09 1.952437e-08 2.669236e-01 7.330764e-01 1.168264e-40 4.341350e-98 8.461155e-175
3.375e+09 3.879189e-09 1.044015e-01 8.955985e-01 1.000067e-38 9.370979e-94 1.798576e-167
3.425e+09 8.278804e-09 1.759961e-01 8.240039e-01 4.166001e-40 6.342678e-97 6.648451e-173
3.475e+09 2.774713e-09 9.365045e-02 9.063495e-01 5.607394e-39 2.172447e-94 1.262700e-168
3.525e+09 1.883696e-08 3.150473e-01 6.849527e-01 4.535624e-42 2.080199e-101 1.375078e-180
3.575e+09 3.830189e-09 1.270540e-01 8.729460e-01 4.278821e-40 5.324689e-97 3.804430e-173
3.625e+09 1.189352e-09 6.379402e-02 9.362060e-01 6.405501e-39 2.410047e-94 1.184750e-168
3.675e+09 2.614507e-09 1.107354e-01 8.892646e-01 2.803625e-40 1.754779e-97 4.853969e-174
3.725e+09 6.823835e-08 6.904079e-01 3.095920e-01 2.803887e-46 8.611660e-111 1.537452e-196
3.775e+09 7.507124e-09 2.334256e-01 7.665743e-01 1.872725e-42 1.772756e-102 1.303641e-182
3.825e+09 4.344063e-08 6.147449e-01 3.852551e-01 4.849420e-46 2.065368e-110 5.100825e-196
3.875e+09 3.923730e-07 9.818460e-01 1.815357e-02 3.350808e-54 1.355363e-127 1.486721e-224
3.925e+09 2.728403e-07 9.692370e-01 3.076277e-02 3.561407e-53 1.542710e-125 3.203372e-221
3.975e+09 1.958708e-08 4.748448e-01 5.251552e-01 1.428247e-45 1.428666e-109 9.056799e-195
4.025e+09 1.661337e-07 9.447506e-01 5.524919e-02 3.075741e-52 9.520065e-124 2.153391e-218
#TIME: 2.662000
#NVEL: 81
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5
2.500e+07 3.051108e-38 1.021918e-28 2.389757e-21 3.132851e-13 7.546792e-06 9.999925e-01
7.500e+07 2.111995e-37 6.409837e-28 1.034713e-20 8.966963e-13 1.310099e-05 9.999869e-01
1.250e+08 5.133833e-37 1.570561e-27 2.159843e-20 1.567788e-12 1.785808e-05 9.999821e-01
1.750e+08 1.651088e-36 4.936486e-27 5.523522e-20 3.227267e-12 2.676285e-05 9.999732e-01
2.250e+08 1.337425e-35 3.540924e-26 2.754423e-19 1.112288e-11 5.337044e-05 9.999466e-01
2.750e+08 5.275644e-34 1.071922e-24 4.575213e-18 9.986105e-11 1.809597e-04 9.998190e-01
3.250e+08 5.298486e-31 6.399133e-22 1.068706e-15 7.384154e-09 1.953040e-03 9.980470e-01
3.750e+08 8.170576e-25 3.387554e-16 1.894006e-10 7.360835e-05 2.671209e-01 7.328055e-01
4.250e+08 7.401165e-16 3.118412e-08 8.093830e-03 9.208448e-01 7.106095e-02 3.701621e-07
4.750e+08 1.136508e-12 5.640559e-06 9.934113e-01 6.583076e-03 1.319583e-09 8.183988e-22
5.250e+08 8.565355e-12 1.212272e-05 9.999872e-01 6.525134e-07 6.484006e-19 9.588510e-38
5.750e+08 1.844233e-10 1.169447e-04 9.998831e-01 3.308309e-12 3.515680e-31 1.032736e-58
6.250e+08 2.155569e-09 1.056764e-03 9.989432e-01 8.051223e-17 6.966440e-42 4.777292e-77
6.750e+08 3.338383e-08 1.303664e-02 9.869633e-01 3.863860e-22 3.132422e-54 3.151332e-98
7.250e+08 1.785474e-06 2.759884e-01 7.240098e-01 9.779028e-29 2.480656e-69 5.386731e-124
7.750e+08 1.970927e-05 8.980264e-01 1.019538e-01 9.934784e-36 2.002630e-84 2.886247e-149
8.250e+08 4.325932e-05 9.798941e-01 2.006269e-02 5.415646e-40 2.113366e-93 3.486546e-164
8.750e+08 7.853940e-05 9.947934e-01 5.128109e-03 1.770100e-43 1.005998e-100 2.398563e-176
9.250e+08 1.194792e-04 9.979809e-01 1.899639e-03 4.916509e-46 4.213189e-106 2.749784e-185
9.750e+08 1.196610e-04 9.982629e-01 1.617442e-03 1.210481e-46 1.922985e-107 1.449777e-187
1.025e+09 1.279581e-04 9.986611e-01 1.210940e-03 1.497636e-47 2.110618e-109 7.282068e-191
1.075e+09 1.295816e-04 9.988604e-01 1.009991e-03 3.307411e-48 7.693716e-111 2.649898e-193
1.125e+09 1.100856e-04 9.986991e-01 1.190822e-03 4.660425e-48 1.302791e-110 5.423949e-193
1.175e+09 6.734375e-05 9.972595e-01 2.673156e-03 2.055704e-46 2.758091e-107 1.425399e-187
1.225e+09 3.976919e-05 9.935039e-01 6.456292e-03 1.392218e-44 1.435247e-103 1.665706e-181
1.275e+09 3.072127e-05 9.907821e-01 9.187158e-03 5.545406e-44 2.111775e-102 1.216104e-179
1.325e+09 2.802289e-05 9.905739e-01 9.398104e-03 3.652744e-44 7.402324e-103 1.852034e-180
1.375e+09 3.920137e-05 9.958330e-01 4.127825e-03 2.432509e-46 1.872886e-107 4.083375e-188
1.425e+09 3.989936e-05 9.965534e-01 3.406696e-03 5.030617e-47 5.941880e-109 1.178997e-190
