#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 162
#vel_mid[km/s] s0 s1 s2 s3
26625.00 1.9782e-04 3.0847e-01 5.3634e-01 1.5499e-01
26875.00 3.1803e-04 3.2525e-01 5.3658e-01 1.3786e-01
27125.00 2.7004e-04 2.9845e-01 5.3480e-01 1.6648e-01
27375.00 3.6477e-04 3.1301e-01 5.4394e-01 1.4269e-01
27625.00 4.4979e-04 3.2287e-01 5.4328e-01 1.3340e-01
27875.00 4.4637e-04 3.2341e-01 5.4358e-01 1.3256e-01
28125.00 3.6945e-04 3.0364e-01 5.4940e-01 1.4660e-01
28375.00 2.0070e-04 2.7221e-01 5.5073e-01 1.7686e-01
28625.00 2.2673e-04 2.7768e-01 5.5527e-01 1.6682e-01
28875.00 2.9860e-04 2.7622e-01 5.6376e-01 1.5972e-01
29125.00 7.9108e-05 1.5182e-01 5.1899e-01 3.2910e-01
29375.00 2.9151e-04 2.5129e-01 5.6101e-01 1.8741e-01
29625.00 5.3668e-04 2.4848e-01 5.7007e-01 1.8091e-01
29875.00 3.0599e-04 2.2985e-01 5.6970e-01 2.0014e-01
30125.00 1.8446e-04 2.0972e-01 5.6715e-01 2.2295e-01
30375.00 1.3832e-04 1.8935e-01 5.6080e-01 2.4971e-01
30625.00 1.1287e-04 1.8045e-01 5.5897e-01 2.6047e-01
30875.00 9.1534e-05 1.7026e-01 5.5655e-01 2.7309e-01
31125.00 9.4508e-05 1.6438e-01 5.5870e-01 2.7683e-01
31375.00 7.9696e-05 1.5868e-01 5.5826e-01 2.8297e-01
31625.00 1.1704e-04 1.9681e-01 5.6557e-01 2.3750e-01
31875.00 1.2018e-04 1.8339e-01 5.6366e-01 2.5283e-01
32125.00 9.5486e-05 1.6989e-01 5.6072e-01 2.6930e-01
32375.00 4.8193e-05 1.3534e-01 5.3586e-01 3.2875e-01
32625.00 3.1935e-05 1.1369e-01 5.1528e-01 3.7101e-01
32875.00 5.3366e-05 1.2737e-01 5.4185e-01 3.3072e-01
33125.00 2.5786e-05 9.2429e-02 4.9429e-01 4.1325e-01
33375.00 1.6621e-05 8.0817e-02 4.7930e-01 4.3987e-01
33625.00 1.3368e-05 7.1272e-02 4.6568e-01 4.6303e-01
33875.00 9.6646e-06 5.4644e-02 4.3420e-01 5.1115e-01
34125.00 6.5218e-06 5.0742e-02 4.5003e-01 4.9922e-01
34375.00 5.3851e-06 4.6767e-02 4.3947e-01 5.1375e-01
34625.00 7.4725e-06 4.0531e-02 4.2068e-01 5.3878e-01
34875.00 9.8794e-06 1.4907e-02 4.1447e-01 5.7061e-01
35125.00 2.0118e-06 5.2211e-03 4.0272e-01 5.9205e-01
35375.00 1.3015e-06 4.6195e-03 3.8589e-01 6.0949e-01
35625.00 9.1253e-07 4.0495e-03 3.6835e-01 6.2760e-01
