#NTIMES:     60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    4.417378E+03    9.8531E-09    8.0083E-03    9.9191E-01    8.1310E-05    1.2727E-17    7.9034E-28
    4.421974E+03    4.1861E-08    2.1248E-02    9.7874E-01    1.2311E-05    7.0643E-20    1.2307E-28
    4.425875E+03    1.5977E-07    5.2062E-02    9.4794E-01    2.0696E-06    5.5502E-22    2.1111E-29
    4.429253E+03    5.4365E-07    1.1745E-01    8.8255E-01    3.5738E-07    2.2800E-23    3.7852E-30
    4.432481E+03    1.6689E-06    2.4352E-01    7.5648E-01    5.5562E-08    1.6107E-23    6.2910E-31
    4.436033E+03    4.5887E-06    4.4804E-01    5.5195E-01    6.7076E-09    1.2329E-23    8.2277E-32
    4.439854E+03    1.0112E-05    6.6404E-01    3.3595E-01    7.3756E-10    7.7611E-24    9.5468E-33
    4.443627E+03    1.7913E-05    8.1409E-01    1.8589E-01    9.0495E-11    4.3328E-24    1.1968E-33
    4.447309E+03    2.8262E-05    9.0251E-01    9.7462E-02    1.1619E-11    2.2607E-24    1.5431E-34
    4.451157E+03    4.3075E-05    9.5244E-01    4.7514E-02    1.3325E-12    1.0890E-24    1.7617E-35
    4.455229E+03    6.4477E-05    9.7751E-01    2.2427E-02    1.4769E-13    5.0680E-25    1.9370E-36
    4.459352E+03    9.4598E-05    9.8917E-01    1.0739E-02    1.7597E-14    2.3951E-25    2.2898E-37
    4.466296E+03    1.7607E-04    9.9659E-01    3.2337E-03    5.6304E-16    7.0909E-26    7.2549E-39
    4.588121E+03    1.6399E-03    9.9833E-01    3.3369E-05    1.0992E-21    7.4429E-28    1.4732E-44
    5.002020E+03    4.3441E-02    9.5656E-01    3.6111E-08    1.3126E-23    9.0475E-31    2.0402E-46
    5.505454E+03    6.1786E-02    9.3821E-01    2.0791E-08    1.6670E-23    6.7514E-31    3.4029E-46
    6.049088E+03    5.5160E-02    9.4484E-01    2.2756E-08    2.1317E-23    9.4057E-31    5.6048E-46
    6.646403E+03    4.6178E-02    9.5382E-01    2.7269E-08    2.6859E-23    1.4105E-30    8.9398E-46
    7.302700E+03    3.7933E-02    9.6207E-01    3.3330E-08    3.3256E-23    2.1222E-30    1.3781E-45
    8.023803E+03    3.0653E-02    9.6935E-01    4.1195E-08    4.0497E-23    3.1792E-30    2.0571E-45
    8.816110E+03    2.4447E-02    9.7555E-01    5.1131E-08    4.8549E-23    4.7139E-30    2.9795E-45
    9.691226E+03    1.9356E-02    9.8064E-01    6.3056E-08    5.7401E-23    6.8562E-30    4.2013E-45
    1.060708E+04    1.5600E-02    9.8440E-01    7.4996E-08    6.6481E-23    9.4299E-30    5.6850E-45
    1.152419E+04    1.3139E-02    9.8686E-01    8.3752E-08    7.5281E-23    1.1916E-29    7.3470E-45
    1.244041E+04    1.1548E-02    9.8845E-01    8.8032E-08    8.3728E-23    1.3926E-29    9.1477E-45
    1.336348E+04    1.0601E-02    9.8940E-01    8.7421E-08    9.1852E-23    1.5174E-29    1.1067E-44
    1.427953E+04    9.9372E-03    9.9006E-01    8.3892E-08    9.9533E-23    1.5787E-29    1.3046E-44
    1.518907E+04    9.3729E-03    9.9063E-01    7.9535E-08    1.0679E-22    1.6073E-29    1.5061E-44
