#NTIMES: 5
#NSTAGES: 3 
#TIMES[d]: 100 150 200 300 400
#
#TIME: 100
#NVEL: 40
#vel_mid[km/s] ca0 ca1 ca2
2.750000e+03 3.547000e-05 1.516000e-01 8.483000e-01
3.250000e+03 5.332000e-05 2.861000e-01 7.139000e-01
3.750000e+03 9.474000e-05 5.654000e-01 4.345000e-01
4.250000e+03 2.026000e-04 8.510000e-01 1.488000e-01
4.750000e+03 2.031000e-04 8.783000e-01 1.215000e-01
5.250000e+03 2.049000e-04 8.792000e-01 1.206000e-01
5.750000e+03 2.062000e-04 8.807000e-01 1.191000e-01
6.250000e+03 2.057000e-04 8.810000e-01 1.188000e-01
6.750000e+03 2.034000e-04 8.813000e-01 1.185000e-01
7.250000e+03 2.010000e-04 8.802000e-01 1.196000e-01
7.750000e+03 1.996000e-04 8.788000e-01 1.210000e-01
8.250000e+03 2.006000e-04 8.775000e-01 1.223000e-01
8.750000e+03 2.051000e-04 8.770000e-01 1.228000e-01
9.250000e+03 2.209000e-04 8.794000e-01 1.204000e-01
9.750000e+03 2.949000e-04 8.945000e-01 1.052000e-01
1.025000e+04 3.279000e-04 8.974000e-01 1.023000e-01
1.075000e+04 3.580000e-04 8.986000e-01 1.010000e-01
1.125000e+04 3.924000e-04 8.997000e-01 9.989000e-02
1.175000e+04 4.261000e-04 8.996000e-01 9.994000e-02
1.225000e+04 4.601000e-04 8.992000e-01 1.003000e-01
1.275000e+04 4.964000e-04 8.983000e-01 1.012000e-01
1.325000e+04 5.223000e-04 8.966000e-01 1.029000e-01
1.375000e+04 5.555000e-04 8.949000e-01 1.045000e-01
1.425000e+04 5.772000e-04 8.925000e-01 1.069000e-01
1.475000e+04 5.990000e-04 8.893000e-01 1.101000e-01
1.525000e+04 6.200000e-04 8.852000e-01 1.142000e-01
1.575000e+04 6.285000e-04 8.809000e-01 1.185000e-01
1.625000e+04 6.455000e-04 8.763000e-01 1.231000e-01
1.675000e+04 6.442000e-04 8.712000e-01 1.281000e-01
1.725000e+04 6.554000e-04 8.658000e-01 1.335000e-01
1.775000e+04 6.665000e-04 8.600000e-01 1.393000e-01
1.825000e+04 6.835000e-04 8.541000e-01 1.453000e-01
1.875000e+04 7.120000e-04 8.478000e-01 1.514000e-01
1.925000e+04 7.619000e-04 8.408000e-01 1.585000e-01
1.975000e+04 8.204000e-04 8.286000e-01 1.705000e-01
