#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 140
#vel_mid[km/s] si0 si1 si2 si3
31625.00 1.4653e-03 4.5569e-01 3.1982e-01 2.2302e-01
31875.00 1.1968e-03 2.3669e-01 4.0380e-01 3.5831e-01
32125.00 1.3258e-03 1.9336e-01 3.9544e-01 4.0988e-01
32375.00 1.8412e-04 8.0581e-02 4.6015e-01 4.5909e-01
32625.00 1.9851e-03 4.4613e-01 3.2279e-01 2.2909e-01
32875.00 1.0956e-03 3.9598e-01 3.4199e-01 2.6094e-01
33125.00 3.1848e-05 2.1494e-02 3.8917e-01 5.8930e-01
33375.00 1.0418e-03 9.5131e-02 3.6848e-01 5.3535e-01
33625.00 1.0605e-03 1.9792e-01 3.4615e-01 4.5487e-01
33875.00 9.5233e-04 1.4588e-01 3.7748e-01 4.7568e-01
34125.00 1.7668e-05 7.4379e-03 4.4125e-01 5.5130e-01
34375.00 1.6417e-04 1.1161e-01 3.5671e-01 5.3152e-01
34625.00 2.5976e-04 8.2963e-02 3.4418e-01 5.7259e-01
34875.00 1.0233e-04 7.9800e-02 3.2963e-01 5.9047e-01
#TIME: 202.02
#NVEL 140
#vel_mid[km/s] si0 si1 si2 si3
1125.00 1.6954e-04 8.5477e-01 1.3840e-01 6.6570e-03
2375.00 2.8484e-04 8.4149e-01 1.5039e-01 7.8431e-03
3125.00 3.3614e-03 8.7039e-01 1.2096e-01 5.2888e-03
3625.00 1.3121e-01 7.9451e-01 7.1887e-02 2.3954e-03
4125.00 2.6855e-01 6.9298e-01 3.7612e-02 8.4874e-04
4625.00 2.9021e-01 6.8091e-01 2.8367e-02 5.1459e-04
4875.00 3.6150e-01 6.1503e-01 2.3071e-02 3.9964e-04
5375.00 3.9886e-01 5.7856e-01 2.2182e-02 3.9636e-04
5625.00 4.2272e-01 5.5724e-01 1.9697e-02 3.3810e-04
6125.00 4.4547e-01 5.3427e-01 1.9909e-02 3.4905e-04
6375.00 4.6102e-01 5.2013e-01 1.8539e-02 3.1873e-04
6625.00 4.5614e-01 5.2442e-01 1.9097e-02 3.3661e-04
6875.00 4.6945e-01 5.1139e-01 1.8829e-02 3.3389e-04
7125.00 4.7959e-01 5.0343e-01 1.6688e-02 2.9246e-04
7625.00 4.6675e-01 5.1294e-01 1.9931e-02 3.8407e-04
7875.00 4.3938e-01 5.3945e-01 2.0793e-02 3.7655e-04
8125.00 4.5371e-01 5.2545e-01 2.0437e-02 3.9928e-04
8375.00 4.3501e-01 5.4338e-01 2.1202e-02 4.0559e-04
8625.00 3.6706e-01 6.1159e-01 2.0974e-02 3.7474e-04
8875.00 3.7124e-01 6.0797e-01 2.0418e-02 3.7094e-04
9125.00 4.0691e-01 5.7014e-01 2.2509e-02 4.3917e-04
9375.00 3.8585e-01 5.9014e-01 2.3535e-02 4.7503e-04
9625.00 1.7350e-01 8.0091e-01 2.5146e-02 4.4422e-04
9875.00 3.3476e-01 6.3820e-01 2.6503e-02 5.3352e-04
10125.00 9.5429e-02 8.7511e-01 2.8960e-02 5.0269e-04
10375.00 2.5992e-01 7.1102e-01 2.8471e-02 5.9159e-04
10625.00 2.2733e-01 7.4134e-01 3.0682e-02 6.4943e-04
10875.00 1.6971e-01 7.9634e-01 3.3291e-02 6.5676e-04
11125.00 1.2149e-01 8.4419e-01 3.3624e-02 6.9915e-04
11375.00 9.8221e-02 8.6528e-01 3.5766e-02 7.3064e-04
11625.00 8.7157e-03 9.4806e-01 4.2443e-02 7.8039e-04
11875.00 3.8374e-02 9.2166e-01 3.9191e-02 7.7734e-04
12125.00 2.2558e-02 9.3190e-01 4.4584e-02 9.6128e-04
12375.00 1.5790e-02 9.3971e-01 4.3536e-02 9.6414e-04
12625.00 2.1448e-03 9.4524e-01 5.1519e-02 1.0959e-03
12875.00 3.8368e-03 9.4194e-01 5.2982e-02 1.2412e-03
13125.00 2.8800e-03 9.4510e-01 5.0777e-02 1.2457e-03
13375.00 1.8033e-03 9.3161e-01 6.4960e-02 1.6251e-03
13625.00 2.5333e-03 9.4161e-01 5.4396e-02 1.4643e-03
13875.00 1.1160e-03 9.3869e-01 5.8567e-02 1.6239e-03
14125.00 1.0593e-03 9.3507e-01 6.2185e-02 1.6865e-03
14375.00 7.2818e-04 9.0898e-01 8.7661e-02 2.6350e-03
14625.00 7.8042e-04 9.3594e-01 6.1292e-02 1.9904e-03
14875.00 4.3598e-04 9.0709e-01 8.9593e-02 2.8756e-03
15125.00 4.5534e-04 9.2726e-01 6.9868e-02 2.4212e-03
15375.00 4.7552e-04 9.0983e-01 8.2630e-02 7.0608e-03
15625.00 5.1295e-04 8.6065e-01 1.2444e-01 1.4398e-02
15875.00 3.8314e-04 8.9311e-01 1.0270e-01 3.8113e-03
16125.00 4.4905e-04 9.0066e-01 9.4966e-02 3.9274e-03
16375.00 3.7141e-04 8.8905e-01 1.0617e-01 4.4094e-03
16625.00 3.9477e-04 8.8031e-01 1.0620e-01 1.3094e-02
16875.00 3.7252e-04 9.1034e-01 8.5205e-02 4.0807e-03
17125.00 3.5283e-04 8.5147e-01 1.4162e-01 6.5617e-03
17375.00 3.9413e-04 8.3568e-01 1.5621e-01 7.7148e-03
17625.00 4.9872e-04 8.7294e-01 1.2008e-01 6.4826e-03
17875.00 5.7729e-04 8.6084e-01 1.3154e-01 7.0421e-03
18125.00 4.3492e-04 8.0124e-01 1.8812e-01 1.0202e-02
18375.00 5.6792e-04 8.9562e-01 9.3619e-02 1.0189e-02
18625.00 4.3566e-04 8.5961e-01 1.3157e-01 8.3827e-03
18875.00 3.5428e-04 8.5133e-01 1.3889e-01 9.4172e-03
19125.00 3.4060e-04 8.3089e-01 1.5061e-01 1.8154e-02
19375.00 7.2411e-04 9.1932e-01 6.7578e-02 1.2374e-02
19625.00 3.2017e-04 8.5648e-01 1.3147e-01 1.1725e-02
19875.00 4.1342e-04 8.3740e-01 1.4640e-01 1.5789e-02
20125.00 3.5637e-04 8.2997e-01 1.5758e-01 1.2099e-02
20375.00 5.8060e-04 8.5305e-01 1.3111e-01 1.5265e-02
20625.00 7.5748e-04 8.7343e-01 1.1105e-01 1.4755e-02
20875.00 9.8368e-04 8.4084e-01 1.4073e-01 1.7447e-02
21125.00 8.2111e-04 8.1967e-01 1.5488e-01 2.4621e-02
21375.00 6.3068e-04 8.6393e-01 1.1102e-01 2.4424e-02
21625.00 1.5554e-03 8.6179e-01 1.1870e-01 1.7957e-02
21875.00 7.8069e-04 8.8411e-01 1.0144e-01 1.3665e-02
22125.00 7.7916e-04 8.3816e-01 1.2825e-01 3.2811e-02
22375.00 1.2566e-03 7.9700e-01 1.7720e-01 2.4547e-02
22625.00 1.0118e-03 8.1741e-01 1.5547e-01 2.6104e-02
22875.00 7.7535e-04 6.1607e-01 3.0796e-01 7.5201e-02
23125.00 1.2087e-03 7.4656e-01 2.1888e-01 3.3347e-02
23375.00 1.9517e-03 8.2614e-01 1.4871e-01 2.3191e-02
23625.00 8.2048e-04 8.0438e-01 1.6697e-01 2.7824e-02
23875.00 1.3447e-03 8.1862e-01 1.5543e-01 2.4612e-02
24125.00 8.3947e-04 7.6932e-01 1.9027e-01 3.9568e-02
24375.00 1.1640e-03 8.3588e-01 1.3822e-01 2.4735e-02
24625.00 3.7352e-03 8.3318e-01 1.3817e-01 2.4913e-02
24875.00 1.0977e-03 8.1973e-01 1.4967e-01 2.9506e-02
25125.00 7.0226e-04 8.2224e-01 1.4774e-01 2.9319e-02
25375.00 5.7007e-04 8.0608e-01 1.5886e-01 3.4487e-02
25625.00 1.4038e-03 7.7648e-01 1.7708e-01 4.5035e-02
25875.00 8.2485e-04 7.4939e-01 1.9390e-01 5.5878e-02
26125.00 4.7109e-04 7.9569e-01 1.6652e-01 3.7320e-02
26375.00 1.3699e-03 3.7490e-01 5.0294e-01 1.2080e-01
26625.00 8.8513e-04 6.6426e-01 2.6405e-01 7.0800e-02
26875.00 2.5369e-03 4.7229e-01 3.7633e-01 1.4884e-01
27125.00 1.2637e-03 7.3674e-01 1.9158e-01 7.0421e-02
27375.00 1.5671e-03 6.5408e-01 2.4292e-01 1.0143e-01
27625.00 1.6578e-03 7.3125e-01 2.0399e-01 6.3101e-02
27875.00 6.8533e-04 7.1879e-01 2.1142e-01 6.9104e-02
28125.00 3.0158e-03 6.8353e-01 2.2921e-01 8.4240e-02
28375.00 2.1524e-03 6.9212e-01 2.2556e-01 8.0164e-02
28625.00 4.9421e-04 6.5831e-01 2.4239e-01 9.8815e-02
28875.00 1.0382e-03 6.4806e-01 2.4735e-01 1.0355e-01
29125.00 4.9127e-04 6.3122e-01 2.5451e-01 1.1378e-01
29375.00 8.9141e-04 6.2615e-01 2.5697e-01 1.1599e-01
29625.00 6.3628e-04 5.0949e-01 2.9538e-01 1.9449e-01
29875.00 8.4566e-04 5.8998e-01 2.7149e-01 1.3769e-01
30125.00 1.5012e-03 3.8479e-01 3.6853e-01 2.4518e-01
30375.00 1.3257e-03 3.1718e-01 3.1794e-01 3.6355e-01
30625.00 1.4353e-04 5.4814e-01 2.8667e-01 1.6505e-01
30875.00 1.6061e-04 2.3584e-01 4.0349e-01 3.6051e-01
31125.00 6.7498e-04 2.7865e-01 3.7056e-01 3.5012e-01
31375.00 1.7231e-03 4.4716e-01 3.2850e-01 2.2262e-01
31625.00 2.6512e-03 4.6015e-01 3.1935e-01 2.1785e-01
31875.00 1.2711e-03 4.2299e-01 3.3013e-01 2.4561e-01
32125.00 1.1300e-04 2.7344e-01 3.7973e-01 3.4672e-01
32375.00 3.2728e-04 1.7060e-01 3.4592e-01 4.8315e-01
32625.00 1.2130e-03 3.5132e-01 3.4914e-01 2.9832e-01
32875.00 4.0668e-04 1.8398e-01 3.7105e-01 4.4457e-01
33125.00 1.3444e-03 3.6293e-01 3.5059e-01 2.8513e-01
33375.00 2.6905e-03 3.3022e-01 3.5571e-01 3.1138e-01
33625.00 5.2999e-04 1.9113e-01 3.7901e-01 4.2934e-01
33875.00 6.9262e-04 7.7610e-02 4.5580e-01 4.6590e-01
34125.00 6.2146e-05 8.7284e-02 4.2293e-01 4.8972e-01
34375.00 1.1107e-04 1.1407e-01 3.5709e-01 5.2873e-01
34625.00 2.2528e-04 8.7518e-02 3.4480e-01 5.6746e-01
34875.00 4.3507e-04 7.3320e-02 3.3189e-01 5.9436e-01
#TIME: 204.93
#NVEL 140
#vel_mid[km/s] si0 si1 si2 si3
1125.00 1.6803e-04 8.5463e-01 1.3854e-01 6.6609e-03
2375.00 2.9686e-04 8.4253e-01 1.4940e-01 7.7737e-03
3125.00 3.5414e-03 8.7053e-01 1.2065e-01 5.2796e-03
3625.00 1.3531e-01 7.9014e-01 7.2149e-02 2.4020e-03
4125.00 2.7371e-01 6.8825e-01 3.7200e-02 8.3555e-04
