#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Ni0 Ni1 Ni2 Ni3 Ni4 Ni5
2.875e+09 6.622959e-05 9.999311e-01 2.658181e-06 4.143352e-29 6.135716e-72 2.352670e-137
2.925e+09 5.592196e-05 9.999409e-01 3.148203e-06 5.811711e-29 1.019275e-71 4.628722e-137
2.975e+09 4.720498e-05 9.999491e-01 3.729618e-06 8.156499e-29 1.694686e-71 9.117108e-137
3.025e+09 3.983697e-05 9.999557e-01 4.419485e-06 1.145290e-28 2.819716e-71 1.797536e-136
3.075e+09 3.360803e-05 9.999612e-01 5.238654e-06 1.609197e-28 4.696179e-71 3.548645e-136
3.125e+09 2.834520e-05 9.999654e-01 6.211363e-06 2.262256e-28 7.827852e-71 7.013356e-136
3.175e+09 2.390046e-05 9.999687e-01 7.366530e-06 3.181943e-28 1.305774e-70 1.387477e-135
3.225e+09 2.014855e-05 9.999711e-01 8.738311e-06 4.477344e-28 2.179513e-70 2.747140e-135
3.275e+09 1.698124e-05 9.999727e-01 1.036820e-05 6.303351e-28 3.640706e-70 5.444804e-135
3.325e+09 1.430866e-05 9.999734e-01 1.230480e-05 8.877962e-28 6.085527e-70 1.080104e-134
3.375e+09 1.205451e-05 9.999733e-01 1.460575e-05 1.250870e-27 1.017762e-69 2.144189e-134
3.425e+09 1.015372e-05 9.999725e-01 1.733993e-05 1.763029e-27 1.703012e-69 4.259496e-134
3.475e+09 8.551200e-06 9.999709e-01 2.058942e-05 2.485728e-27 2.851080e-69 8.467348e-134
3.525e+09 7.200695e-06 9.999683e-01 2.445088e-05 3.505547e-27 4.774886e-69 1.684041e-133
3.575e+09 6.062992e-06 9.999649e-01 2.903882e-05 4.944541e-27 7.998695e-69 3.350385e-133
3.625e+09 5.104272e-06 9.999604e-01 3.449278e-05 6.976322e-27 1.340513e-68 6.669567e-133
3.675e+09 4.296862e-06 9.999547e-01 4.097375e-05 9.844283e-27 2.247028e-68 1.328052e-132
3.725e+09 3.617100e-06 9.999477e-01 4.867326e-05 1.389174e-26 3.766766e-68 2.644619e-132
3.775e+09 3.044510e-06 9.999391e-01 5.782640e-05 1.960793e-26 6.316598e-68 5.268866e-132
3.825e+09 2.562494e-06 9.999287e-01 6.870237e-05 2.767752e-26 1.059324e-67 1.049815e-131
3.875e+09 2.156620e-06 9.999162e-01 8.163003e-05 3.907412e-26 1.776947e-67 2.092388e-131
3.925e+09 1.815020e-06 9.999012e-01 9.699051e-05 5.516382e-26 2.980750e-67 4.170413e-131
3.975e+09 1.527491e-06 9.998832e-01 1.152435e-04 7.788190e-26 5.000376e-67 8.312874e-131
4.025e+09 1.285490e-06 9.998618e-01 1.369329e-04 1.099584e-25 8.388706e-67 1.657082e-130
#TIME: 2.420000
#NVEL: 81
#vel_mid[km/s] Ni0 Ni1 Ni2 Ni3 Ni4 Ni5
2.500e+07 5.557743e-40 1.557328e-30 1.612365e-21 4.191784e-13 2.106345e-05 9.999789e-01
7.500e+07 2.326631e-39 5.836933e-30 4.995147e-21 9.774240e-13 3.315058e-05 9.999668e-01
1.250e+08 4.715833e-39 1.164172e-29 9.281695e-21 1.588269e-12 4.357533e-05 9.999564e-01
1.750e+08 1.225815e-38 2.881793e-29 2.060940e-20 2.953481e-12 6.199789e-05 9.999380e-01
2.250e+08 7.480562e-38 1.499760e-28 8.436036e-20 8.668248e-12 1.140525e-04 9.998859e-01
2.750e+08 1.930693e-36 2.789073e-27 1.004526e-18 5.759989e-11 3.348581e-04 9.996651e-01
3.250e+08 7.828845e-34 6.223921e-25 1.024483e-16 2.102603e-09 2.631013e-03 9.973690e-01
3.750e+08 1.274218e-28 3.196970e-20 1.272899e-12 3.498624e-06 1.670481e-01 8.329484e-01
4.250e+08 3.616413e-19 8.896391e-12 1.771247e-05 1.766549e-01 8.233035e-01 2.386813e-05
4.750e+08 7.399627e-11 1.613829e-04 9.484571e-01 5.138148e-02 1.261089e-09 2.949401e-25
5.250e+08 1.033014e-08 5.925004e-03 9.940322e-01 4.283183e-05 1.673035e-17 1.099774e-39
5.750e+08 8.403275e-06 5.753284e-01 4.246632e-01 3.259625e-10 5.141649e-30 2.121225e-62
6.250e+08 5.684168e-04 9.992800e-01 1.515376e-04 5.822291e-21 4.021791e-52 3.241061e-100
6.750e+08 1.526592e-02 9.847340e-01 6.722306e-08 5.828082e-31 1.612574e-72 4.976199e-135
7.250e+08 4.337754e-02 9.566225e-01 4.512503e-09 1.741208e-34 9.342234e-80 1.951301e-147
7.750e+08 1.116267e-02 9.888372e-01 9.334144e-08 1.132324e-30 4.443425e-72 1.973009e-134
8.250e+08 1.005981e-02 9.899401e-01 9.704963e-08 1.089167e-30 3.465136e-72 1.082972e-134
8.750e+08 1.139153e-02 9.886084e-01 5.878390e-08 2.103576e-31 1.024200e-73 2.231939e-137
9.250e+08 6.085781e-03 9.939140e-01 2.097096e-07 7.918369e-30 1.411179e-70 4.265003e-132
9.750e+08 8.088000e-03 9.919119e-01 8.721159e-08 4.987995e-31 4.242128e-73 1.775927e-136
1.025e+09 8.665693e-03 9.913342e-01 6.020258e-08 1.419997e-31 2.763508e-74 1.408952e-138
1.075e+09 1.020299e-02 9.897970e-01 3.325605e-08 2.086559e-32 4.677976e-76 1.121523e-141
1.125e+09 6.909591e-03 9.930903e-01 6.778785e-08 1.484727e-31 2.157146e-74 6.499889e-139
1.175e+09 5.077504e-03 9.949224e-01 1.136891e-07 5.928672e-31 3.066858e-73 5.062350e-137
1.225e+09 4.821078e-03 9.951788e-01 1.042952e-07 3.932507e-31 1.121004e-73 7.623458e-138
1.275e+09 3.635009e-03 9.963648e-01 1.640628e-07 1.297267e-30 1.078474e-72 3.044844e-136
1.325e+09 2.565675e-03 9.974340e-01 2.993294e-07 6.634550e-30 2.527817e-71 5.537222e-134
1.375e+09 2.316772e-03 9.976829e-01 3.080442e-07 6.188090e-30 1.848795e-71 2.719525e-134
1.425e+09 2.098511e-03 9.979012e-01 3.146203e-07 5.642288e-30 1.290850e-71 1.233705e-134
1.475e+09 2.094151e-03 9.979056e-01 2.571277e-07 2.655897e-30 2.346681e-72 5.646101e-136
1.525e+09 1.989125e-03 9.980106e-01 2.353957e-07 1.750589e-30 8.464752e-73 8.308610e-137
1.575e+09 2.139706e-03 9.978601e-01 1.617394e-07 4.925047e-31 5.395842e-74 6.368381e-139
1.625e+09 2.057262e-03 9.979426e-01 1.439478e-07 2.985867e-31 1.641673e-74 7.010405e-140
1.675e+09 1.543351e-03 9.984564e-01 2.266921e-07 9.831323e-31 1.563486e-73 2.733585e-138
1.725e+09 1.163738e-03 9.988359e-01 3.511916e-07 3.074697e-30 1.336483e-72 8.834488e-137
1.775e+09 9.708218e-04 9.990287e-01 4.311690e-07 4.824467e-30 2.806595e-72 2.608609e-136
1.825e+09 7.886373e-04 9.992108e-01 5.613204e-07 8.992831e-30 8.352547e-72 1.392819e-135
1.875e+09 9.809865e-04 9.990187e-01 2.789520e-07 9.747447e-31 7.701732e-74 3.986914e-139
1.925e+09 7.887799e-04 9.992108e-01 3.719580e-07 1.951093e-30 2.650512e-73 2.727890e-138
1.975e+09 8.993989e-04 9.991004e-01 2.248834e-07 3.774201e-31 7.921985e-75 5.778875e-141
2.025e+09 5.822358e-04 9.994173e-01 4.885747e-07 3.189825e-30 5.072660e-73 5.723129e-138
2.075e+09 4.104597e-04 9.995887e-01 8.710180e-07 1.498714e-29 9.821920e-72 7.370133e-136
2.125e+09 4.253025e-04 9.995740e-01 6.553579e-07 5.538546e-30 1.094813e-72 1.470155e-137
2.175e+09 5.129696e-04 9.994867e-01 3.504963e-07 7.482340e-31 1.584091e-74 9.092070e-141
2.225e+09 4.780181e-04 9.995216e-01 3.343408e-07 5.565461e-31 7.295407e-75 2.025457e-141
2.275e+09 3.937502e-04 9.996058e-01 4.205640e-07 9.353999e-31 1.755627e-74 7.515236e-141
2.325e+09 3.341170e-04 9.996654e-01 4.945873e-07 1.288683e-30 2.821202e-74 1.402104e-140
2.375e+09 1.619373e-04 9.998360e-01 2.022425e-06 6.945074e-29 7.642799e-71 8.004097e-135
2.425e+09 1.964830e-04 9.998024e-01 1.072361e-06 9.175550e-30 1.060795e-72 4.629847e-138
2.475e+09 1.335607e-04 9.998644e-01 2.059697e-06 5.342369e-29 3.155331e-71 1.230174e-135
2.525e+09 1.585977e-04 9.998403e-01 1.145905e-06 8.133541e-30 5.839017e-73 1.160600e-138
2.575e+09 9.932915e-05 9.998980e-01 2.636797e-06 8.047983e-29 5.079858e-71 1.909177e-135
2.625e+09 7.159074e-05 9.999240e-01 4.432271e-06 3.158484e-28 6.777130e-70 1.294581e-133
2.675e+09 9.206544e-05 9.999059e-01 2.072156e-06 2.889067e-29 4.478783e-72 2.127577e-137
2.725e+09 1.684812e-04 9.998311e-01 4.402775e-07 2.596676e-31 2.684006e-76 1.176385e-144
2.775e+09 9.792748e-05 9.999009e-01 1.199289e-06 4.221687e-30 6.394929e-74 1.074396e-140
2.825e+09 4.646796e-05 9.999485e-01 5.080720e-06 2.500956e-28 2.077263e-70 8.262668e-135
2.875e+09 4.315418e-05 9.999520e-01 4.876097e-06 1.891605e-28 9.883824e-71 1.943062e-135
2.925e+09 1.277464e-04 9.998719e-01 3.579924e-07 7.521931e-32 1.076199e-77 2.373664e-147
2.975e+09 5.848067e-05 9.999399e-01 1.655478e-06 5.782053e-30 5.954900e-74 4.538695e-141
3.025e+09 3.224028e-05 9.999627e-01 5.021408e-06 1.280819e-28 2.633770e-71 1.176257e-136
3.075e+09 5.273613e-05 9.999459e-01 1.380735e-06 2.472918e-30 7.482271e-75 9.229651e-143
3.125e+09 3.316374e-05 9.999637e-01 3.135466e-06 2.343146e-29 5.937130e-73 1.292811e-139
3.175e+09 5.466988e-05 9.999445e-01 8.448610e-07 4.259529e-31 1.490540e-76 8.206737e-146
3.225e+09 1.669223e-05 9.999739e-01 9.420407e-06 4.288803e-28 1.486873e-70 1.053281e-135
3.275e+09 9.813712e-06 9.999656e-01 2.454305e-05 6.038734e-27 2.606999e-68 5.620173e-132
3.325e+09 2.772432e-05 9.999702e-01 2.051284e-06 3.579834e-30 6.510297e-75 2.877964e-143
3.375e+09 1.200097e-05 9.999775e-01 1.053002e-05 3.687471e-28 6.411045e-71 1.440780e-136
3.425e+09 1.727447e-05 9.999789e-01 3.861665e-06 1.665554e-29 1.022478e-73 2.130244e-141
3.475e+09 9.929862e-06 9.999795e-01 1.060437e-05 2.738205e-28 2.456882e-71 1.944872e-137
3.525e+09 2.628376e-05 9.999727e-01 1.014161e-06 2.405773e-31 1.353796e-77 3.799229e-148
3.575e+09 1.130700e-05 9.999834e-01 5.303909e-06 2.620043e-29 1.496092e-73 2.320375e-141
3.625e+09 6.351215e-06 9.999784e-01 1.528955e-05 4.956765e-28 4.765885e-71 3.412223e-137
3.675e+09 9.128275e-06 9.999852e-01 5.635242e-06 2.276544e-29 7.876766e-74 5.370130e-142
3.725e+09 6.218626e-05 9.999377e-01 6.495426e-08 4.004632e-35 1.480124e-85 5.328331e-162
3.775e+09 1.516274e-05 9.999836e-01 1.223033e-06 1.886998e-31 3.401935e-78 1.433564e-149
3.825e+09 4.447300e-05 9.999554e-01 9.069876e-08 7.789191e-35 3.999057e-85 1.993839e-161
3.875e+09 4.495647e-04 9.995504e-01 3.790749e-10 6.517925e-42 1.437382e-99 4.300678e-186
3.925e+09 2.979750e-04 9.997020e-01 8.009053e-10 5.125773e-41 8.077866e-98 3.470241e-183
3.975e+09 2.570834e-05 9.999741e-01 1.653262e-07 2.827705e-34 3.201060e-84 3.923782e-160
4.025e+09 1.779262e-04 9.998221e-01 1.720874e-09 3.599064e-40 3.003962e-96 1.145644e-180
#TIME: 2.662000
#NVEL: 81
#vel_mid[km/s] Ni0 Ni1 Ni2 Ni3 Ni4 Ni5
2.500e+07 4.911388e-40 1.567375e-30 1.761032e-21 4.693921e-13 2.265237e-05 9.999773e-01
7.500e+07 2.615635e-39 7.290280e-30 6.552606e-21 1.261895e-12 3.887795e-05 9.999611e-01
