#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 140
#vel_mid[km/s] ca0 ca1 ca2 ca3
29125.00 3.0532e-07 8.2596e-03 5.1672e-01 4.7502e-01
29375.00 9.4884e-08 1.1989e-03 1.0585e-01 8.9295e-01
29625.00 1.1853e-07 1.3144e-03 2.3843e-01 7.6026e-01
29875.00 6.5370e-07 9.3749e-03 1.7676e-01 8.1387e-01
30125.00 2.4163e-07 3.8326e-03 3.4296e-01 6.5321e-01
30375.00 5.1962e-07 6.0798e-03 4.6939e-01 5.2453e-01
30625.00 2.7348e-07 3.9470e-03 2.9567e-01 7.0038e-01
30875.00 7.4381e-08 8.6007e-04 1.9383e-01 8.0531e-01
31125.00 3.3959e-07 4.2378e-03 3.8589e-01 6.0987e-01
31375.00 1.6063e-07 1.4057e-03 1.7012e-01 8.2847e-01
31625.00 2.4662e-07 4.0761e-03 3.9551e-01 6.0042e-01
31875.00 2.7861e-07 4.1139e-03 2.0455e-01 7.9133e-01
32125.00 2.4989e-07 2.3897e-03 4.6162e-02 9.5145e-01
32375.00 1.1822e-07 2.0043e-03 1.5409e-01 8.4391e-01
32625.00 2.1942e-07 3.9808e-03 3.8920e-01 6.0682e-01
32875.00 2.0982e-07 3.4806e-03 3.6463e-01 6.3188e-01
33125.00 6.7527e-08 6.9793e-04 9.7052e-02 9.0225e-01
33375.00 6.6113e-08 1.2692e-03 9.8238e-02 9.0049e-01
33625.00 1.5580e-08 8.6040e-04 1.5011e-01 8.4902e-01
33875.00 3.0954e-08 1.0086e-03 1.4237e-01 8.5662e-01
34125.00 1.2947e-08 2.9359e-04 2.1771e-01 7.8200e-01
34375.00 1.1185e-08 3.4871e-04 1.8203e-01 8.1762e-01
34625.00 4.0241e-09 4.3406e-04 1.6129e-01 8.3827e-01
34875.00 4.6931e-09 1.3600e-04 1.5207e-01 8.4779e-01
#TIME: 202.02
#NVEL 140
#vel_mid[km/s] ca0 ca1 ca2 ca3
1125.00 3.2071e-09 6.3449e-04 8.2777e-01 1.7160e-01
2375.00 1.9087e-08 1.6084e-03 8.1181e-01 1.8658e-01
3125.00 5.0199e-07 1.5626e-02 8.4172e-01 1.4266e-01
3625.00 9.2307e-06 7.4135e-02 8.2911e-01 9.6747e-02
4125.00 1.2749e-05 9.6451e-02 8.4275e-01 6.0783e-02
4625.00 1.2342e-05 1.1018e-01 8.4243e-01 4.7379e-02
4875.00 1.3085e-05 1.1135e-01 8.4426e-01 4.4381e-02
5375.00 1.1573e-05 1.0942e-01 8.4502e-01 4.5548e-02
5625.00 1.1651e-05 1.1422e-01 8.4137e-01 4.4405e-02
6125.00 1.0416e-05 1.0806e-01 8.4827e-01 4.3652e-02
6375.00 1.1198e-05 1.1267e-01 8.4319e-01 4.4128e-02
6625.00 1.1571e-05 1.0978e-01 8.4543e-01 4.4784e-02
6875.00 1.0917e-05 1.0991e-01 8.4534e-01 4.4730e-02
7125.00 1.1543e-05 1.1085e-01 8.4531e-01 4.3829e-02
7625.00 1.0143e-05 1.0466e-01 8.4689e-01 4.8437e-02
7875.00 1.0510e-05 1.0678e-01 8.4744e-01 4.5768e-02
8125.00 1.0334e-05 1.0462e-01 8.4582e-01 4.9551e-02
8375.00 1.1132e-05 1.0556e-01 8.4643e-01 4.7995e-02
8625.00 1.2055e-05 1.1076e-01 8.4358e-01 4.5653e-02
8875.00 1.2427e-05 1.1097e-01 8.4257e-01 4.6444e-02
9125.00 1.1586e-05 1.0126e-01 8.4841e-01 5.0322e-02
9375.00 1.0898e-05 1.0012e-01 8.5008e-01 4.9795e-02
9625.00 1.4049e-05 1.1548e-01 8.3937e-01 4.5129e-02
9875.00 1.2655e-05 1.1068e-01 8.3418e-01 5.5126e-02
10125.00 1.5012e-05 1.1959e-01 8.3474e-01 4.5656e-02
10375.00 1.3072e-05 1.0445e-01 8.4090e-01 5.4629e-02
10625.00 1.2144e-05 9.6797e-02 8.5121e-01 5.1983e-02
10875.00 1.2712e-05 1.0882e-01 8.3734e-01 5.3826e-02
11125.00 1.1604e-05 1.0052e-01 8.4604e-01 5.3426e-02
11375.00 1.1217e-05 1.0099e-01 8.4685e-01 5.2147e-02
11625.00 7.9255e-06 7.8163e-02 8.5986e-01 6.1973e-02
11875.00 1.0225e-05 9.8818e-02 8.5135e-01 4.9819e-02
12125.00 8.6212e-06 8.9744e-02 8.5491e-01 5.5338e-02
12375.00 7.5559e-06 8.4016e-02 8.6059e-01 5.5384e-02
12625.00 6.2234e-06 8.7792e-02 8.5907e-01 5.3129e-02
12875.00 6.7003e-06 8.9820e-02 8.4767e-01 6.2501e-02
13125.00 5.1809e-06 7.3926e-02 8.6002e-01 6.6045e-02
13375.00 4.1630e-06 6.2967e-02 8.6679e-01 7.0238e-02
13625.00 3.9575e-06 6.7192e-02 8.6593e-01 6.6878e-02
13875.00 4.1730e-06 6.9119e-02 8.5783e-01 7.3051e-02
14125.00 3.0362e-06 5.5460e-02 8.6038e-01 8.4154e-02
14375.00 1.3483e-06 2.5404e-02 8.8428e-01 9.0310e-02
14625.00 3.2410e-06 6.0101e-02 8.5229e-01 8.7605e-02
14875.00 1.7188e-06 3.2818e-02 8.8427e-01 8.2911e-02
15125.00 1.2852e-06 2.7716e-02 8.7192e-01 1.0036e-01
15375.00 3.2805e-06 5.3273e-02 5.1235e-01 4.3438e-01
15625.00 1.5715e-07 2.6421e-03 8.8296e-01 1.1440e-01
15875.00 9.5640e-07 1.8617e-02 8.8295e-01 9.8430e-02
16125.00 9.7386e-07 2.0401e-02 8.7684e-01 1.0275e-01
16375.00 2.3487e-06 4.6148e-02 8.5257e-01 1.0128e-01
16625.00 1.6083e-07 2.6209e-03 8.4133e-01 1.5605e-01
16875.00 2.3697e-07 4.8308e-03 8.2187e-01 1.7330e-01
17125.00 9.4079e-07 1.8256e-02 8.6820e-01 1.1354e-01
17375.00 7.9387e-07 1.3667e-02 8.2482e-01 1.6152e-01
17625.00 1.0201e-06 2.1221e-02 8.4998e-01 1.2880e-01
17875.00 2.6120e-07 4.5825e-03 7.6611e-01 2.2931e-01
18125.00 2.2800e-07 4.2262e-03 8.1249e-01 1.8328e-01
18375.00 1.1258e-06 1.7290e-02 5.2289e-01 4.5982e-01
18625.00 2.4726e-07 4.9656e-03 8.2715e-01 1.6788e-01
18875.00 1.0749e-06 2.4119e-02 8.1732e-01 1.5856e-01
19125.00 1.5800e-06 2.6616e-02 5.8895e-01 3.8443e-01
19375.00 5.9828e-07 6.0463e-03 5.1316e-01 4.8079e-01
19625.00 9.9913e-08 2.3146e-03 7.4718e-01 2.5050e-01
19875.00 7.5581e-07 1.4823e-02 8.1273e-01 1.7244e-01
20125.00 3.3911e-07 6.0942e-03 7.6063e-01 2.3328e-01
20375.00 2.3723e-06 3.4252e-02 5.6380e-01 4.0195e-01
20625.00 5.1470e-06 6.9360e-02 5.2420e-01 4.0643e-01
20875.00 2.5516e-06 3.0151e-02 5.6585e-01 4.0399e-01
21125.00 1.0184e-06 1.0828e-02 5.1219e-01 4.7699e-01
21375.00 3.7362e-07 4.2694e-03 5.1124e-01 4.8449e-01
21625.00 2.4062e-06 2.6786e-02 5.1289e-01 4.6032e-01
21875.00 1.4899e-06 1.9183e-02 6.1539e-01 3.6543e-01
22125.00 6.1216e-07 6.7169e-03 3.5010e-01 6.4318e-01
22375.00 2.5508e-06 2.6925e-02 6.1109e-01 3.6198e-01
22625.00 9.9170e-07 1.1280e-02 5.1360e-01 4.7512e-01
22875.00 4.2495e-07 4.1136e-03 5.5941e-01 4.3648e-01
23125.00 1.6522e-06 1.9554e-02 5.8930e-01 3.9115e-01
23375.00 2.5455e-06 2.5090e-02 6.7256e-01 3.0235e-01
23625.00 7.8230e-07 9.0483e-03 6.0999e-01 3.8096e-01
23875.00 1.6010e-06 2.0836e-02 6.7546e-01 3.0371e-01
24125.00 1.1862e-06 1.4083e-02 5.0434e-01 4.8158e-01
24375.00 1.6306e-06 2.4932e-02 7.0789e-01 2.6718e-01
24625.00 2.3200e-06 2.4854e-02 7.0789e-01 2.6726e-01
24875.00 1.8556e-06 2.2560e-02 6.9126e-01 2.8618e-01
25125.00 1.5436e-06 2.2559e-02 6.9110e-01 2.8634e-01
25375.00 1.3906e-06 2.0361e-02 6.7412e-01 3.0552e-01
25625.00 1.2333e-06 1.1814e-02 4.9723e-01 4.9096e-01
25875.00 5.3257e-07 7.2550e-03 4.4960e-01 5.4315e-01
26125.00 2.1107e-06 2.0762e-02 6.4429e-01 3.3495e-01
26375.00 1.5138e-06 1.3386e-02 5.1029e-01 4.7633e-01
26625.00 1.2111e-06 1.5479e-02 5.7996e-01 4.0456e-01
26875.00 9.7788e-07 1.1175e-02 1.5382e-01 8.3500e-01
27125.00 4.5595e-07 5.6127e-03 3.3856e-01 6.5583e-01
27375.00 3.0055e-07 3.6698e-03 3.2992e-01 6.6641e-01
27625.00 8.7453e-07 1.3393e-02 6.0020e-01 3.8641e-01
27875.00 6.5137e-07 9.4714e-03 5.9003e-01 4.0050e-01
28125.00 7.4915e-07 1.0734e-02 5.6069e-01 4.2858e-01
28375.00 6.4195e-07 1.1096e-02 5.6864e-01 4.2026e-01
28625.00 3.5651e-07 6.7295e-03 5.3810e-01 4.5517e-01
28875.00 4.7925e-07 8.8711e-03 5.3020e-01 4.6093e-01
29125.00 2.4612e-07 8.1443e-03 5.1436e-01 4.7749e-01
29375.00 4.7594e-07 7.6485e-03 5.1223e-01 4.8012e-01
29625.00 1.3604e-07 1.9632e-03 2.9180e-01 7.0623e-01
29875.00 4.9830e-07 6.7181e-03 4.8403e-01 5.0925e-01
30125.00 2.2466e-07 3.2244e-03 2.3128e-01 7.6550e-01
30375.00 4.4231e-08 9.2878e-04 1.5741e-01 8.4166e-01
30625.00 2.3138e-07 5.5610e-03 4.5339e-01 5.4105e-01
30875.00 2.8876e-08 4.3995e-04 1.8077e-01 8.1879e-01
31125.00 1.2058e-07 1.4071e-03 1.5690e-01 8.4169e-01
31375.00 2.1766e-07 4.5465e-03 3.7222e-01 6.2324e-01
31625.00 2.9933e-07 4.1233e-03 3.9618e-01 5.9970e-01
31875.00 1.7442e-07 3.7632e-03 3.7572e-01 6.2051e-01
32125.00 2.0921e-07 3.3011e-03 5.1660e-02 9.4504e-01
32375.00 2.6770e-08 5.1425e-04 9.4294e-02 9.0519e-01
32625.00 1.4556e-07 2.9566e-03 3.3366e-01 6.6338e-01
32875.00 6.9909e-08 1.1062e-03 1.2998e-01 8.6891e-01
33125.00 1.3589e-07 2.9890e-03 3.4528e-01 6.5173e-01
33375.00 1.0983e-07 2.5905e-03 3.2528e-01 6.7213e-01
33625.00 2.2803e-08 1.7253e-03 5.5032e-02 9.4324e-01
33875.00 5.2838e-08 1.6882e-03 3.9827e-02 9.5848e-01
34125.00 1.1170e-08 2.7204e-04 3.7587e-02 9.6214e-01
34375.00 5.7709e-09 2.9592e-04 1.8383e-01 8.1587e-01
34625.00 3.3802e-09 4.6023e-04 1.6484e-01 8.3470e-01
34875.00 5.8963e-09 3.9296e-04 1.5155e-01 8.4806e-01
#TIME: 204.93
#NVEL 140
#vel_mid[km/s] ca0 ca1 ca2 ca3
1125.00 3.4775e-09 6.2528e-04 8.2659e-01 1.7279e-01
2375.00 2.2298e-08 1.6748e-03 8.1064e-01 1.8768e-01
3125.00 5.8799e-07 1.6312e-02 8.4153e-01 1.4215e-01
3625.00 1.0524e-05 7.4900e-02 8.2821e-01 9.6884e-02
4125.00 1.4236e-05 9.6665e-02 8.4308e-01 6.0241e-02
4625.00 1.2511e-05 1.0779e-01 8.4608e-01 4.6117e-02
4875.00 1.3973e-05 1.1119e-01 8.4503e-01 4.3764e-02
5375.00 1.2078e-05 1.1017e-01 8.4441e-01 4.5408e-02
5625.00 1.2313e-05 1.1317e-01 8.4317e-01 4.3649e-02
6125.00 1.1373e-05 1.0852e-01 8.4612e-01 4.5350e-02
6375.00 1.2018e-05 1.1151e-01 8.4408e-01 4.4398e-02
6625.00 1.2167e-05 1.1077e-01 8.4626e-01 4.2960e-02
6875.00 1.2345e-05 1.1304e-01 8.4277e-01 4.4176e-02
7125.00 1.2804e-05 1.1462e-01 8.4124e-01 4.4128e-02
