#NTIMES: 5
#NSTAGES: 3 
#TIMES[d]: 100 150 200 300 400
#
#TIME: 100
#NVEL: 40
#vel_mid[km/s] s0 s1 s2
1.375000e+04 4.790000e-01 4.996000e-01 2.146000e-02
1.425000e+04 4.665000e-01 5.107000e-01 2.273000e-02
1.475000e+04 4.517000e-01 5.239000e-01 2.441000e-02
1.525000e+04 4.377000e-01 5.362000e-01 2.609000e-02
1.575000e+04 4.193000e-01 5.524000e-01 2.828000e-02
1.625000e+04 3.997000e-01 5.696000e-01 3.065000e-02
1.675000e+04 3.792000e-01 5.873000e-01 3.346000e-02
1.725000e+04 3.561000e-01 6.073000e-01 3.651000e-02
1.775000e+04 3.315000e-01 6.284000e-01 4.004000e-02
1.825000e+04 3.045000e-01 6.514000e-01 4.409000e-02
1.875000e+04 2.754000e-01 6.760000e-01 4.861000e-02
1.925000e+04 2.410000e-01 7.049000e-01 5.417000e-02
1.975000e+04 2.175000e-01 7.216000e-01 6.097000e-02
