#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           mg0           mg1           mg2           mg3
    4.776422E+04   1.0000E-099   9.9992E-001   7.5078E-005   1.7340E-052
    4.868597E+04   1.0000E-099   9.9993E-001   6.5522E-005   1.7488E-052
    4.962544E+04   1.0000E-099   9.9994E-001   5.7795E-005   1.7640E-052
    5.058305E+04   1.0000E-099   9.9995E-001   5.1556E-005   1.7792E-052
    5.155912E+04   1.0000E-099   9.9995E-001   4.6544E-005   1.7941E-052
    5.255403E+04   1.0000E-099   9.9996E-001   4.2573E-005   1.8083E-052
    5.356816E+04   1.0000E-099   9.9996E-001   3.9511E-005   1.8215E-052
    5.460189E+04   1.0000E-099   9.9996E-001   3.7233E-005   1.8337E-052
    5.565558E+04   1.0000E-099   9.9996E-001   3.5658E-005   1.8455E-052
    5.672959E+04   1.0000E-099   9.9997E-001   3.4699E-005   1.8578E-052
    5.782432E+04   1.0000E-099   9.9997E-001   3.4288E-005   1.8720E-052
    5.894013E+04   1.0000E-099   9.9997E-001   3.4264E-005   1.8911E-052
    6.007747E+04   1.0000E-099   9.9997E-001   3.4452E-005   1.9185E-052
    6.123675E+04   1.0000E-099   9.9997E-001   3.4690E-005   1.9578E-052
    6.241838E+04   1.0000E-099   9.9997E-001   3.4900E-005   2.0127E-052
    6.362274E+04   1.0000E-099   9.9997E-001   3.5004E-005   2.0869E-052
    6.485024E+04   1.0000E-099   9.9997E-001   3.4972E-005   2.1845E-052
    6.610128E+04   1.0000E-099   9.9997E-001   3.4850E-005   2.3088E-052
    6.737631E+04   1.0000E-099   9.9997E-001   3.4359E-005   2.4638E-052
    6.867574E+04   1.0000E-099   9.9997E-001   3.3585E-005   2.6461E-052
    6.935606E+04   1.0000E-099   9.9997E-001   3.2872E-005   2.7454E-052
    6.969874E+04   1.0000E-099   9.9997E-001   3.1681E-005   2.7953E-052
    6.987071E+04   1.0000E-099   9.9997E-001   2.9397E-005   2.8226E-052
    6.995686E+04   1.0000E-099   9.9998E-001   2.4965E-005   2.8499E-052
    6.999782E+04   1.0000E-099   9.9998E-001   1.8917E-005   2.8844E-052
    6.999997E+04   1.0000E-099   9.9998E-001   1.7918E-005   2.8946E-052
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           mg0           mg1           mg2           mg3
    8.772128E+02   1.0000E-099   3.1890E-010   1.6914E-005   9.9998E-001
    8.825108E+02   1.0000E-099   3.1890E-010   1.6914E-005   9.9998E-001
    8.985975E+02   1.0000E-099   3.1890E-010   1.6914E-005   9.9998E-001
    9.316560E+02   1.0000E-099   3.1890E-010   1.6914E-005   9.9998E-001
    9.893707E+02   1.0000E-099   3.1890E-010   1.6914E-005   9.9998E-001
    1.050609E+03   1.0000E-099   3.1887E-010   1.6913E-005   9.9998E-001
    1.115637E+03   1.0000E-099   3.1859E-010   1.6902E-005   9.9998E-001
    1.184691E+03   1.0000E-099   3.1728E-010   1.6842E-005   9.9998E-001
    1.258018E+03   1.0000E-099   3.1438E-010   1.6712E-005   9.9998E-001
    1.335885E+03   1.0000E-099   3.0811E-010   1.6429E-005   9.9998E-001
    1.418571E+03   1.0000E-099   2.5894E-010   1.4449E-005   9.9999E-001
    1.506375E+03   1.0000E-099   5.1513E-011   5.2594E-006   9.9999E-001
    1.599613E+03   1.0000E-099   4.4302E-011   4.8429E-006   1.0000E+000
    1.698623E+03   1.0000E-099   2.5003E-011   3.6139E-006   1.0000E+000
    1.803761E+03   1.0000E-099   2.0234E-011   3.3113E-006   1.0000E+000
    1.915407E+03   1.0000E-099   9.2005E-012   2.3527E-006   1.0000E+000
    2.033963E+03   1.0000E-099   6.7858E-012   2.0996E-006   1.0000E+000
    2.159857E+03   1.0000E-099   3.5057E-012   1.6468E-006   1.0000E+000
    2.293544E+03   1.0000E-099   1.9310E-012   1.3163E-006   1.0000E+000
    2.435505E+03   1.0000E-099   1.1602E-012   1.0845E-006   1.0000E+000
    2.586253E+03   1.0000E-099   5.7370E-013   8.5860E-007   1.0000E+000
    2.746332E+03   1.0000E-099   4.0986E-013   7.5912E-007   1.0000E+000
    2.916319E+03   1.0000E-099   3.0327E-013   6.8013E-007   1.0000E+000
    3.096828E+03   1.0000E-099   2.4139E-013   6.0198E-007   1.0000E+000
    3.288509E+03   1.0000E-099   2.1879E-013   5.4424E-007   1.0000E+000
    3.492055E+03   1.0000E-099   2.2023E-013   5.0334E-007   1.0000E+000
    3.708199E+03   1.0000E-099   2.2967E-013   4.6162E-007   1.0000E+000
    3.937722E+03   1.0000E-099   2.3679E-013   4.1510E-007   1.0000E+000
    4.181452E+03   1.0000E-099   2.9352E-013   3.9663E-007   1.0000E+000
    4.440267E+03   1.0000E-099   3.2028E-013   4.1138E-007   1.0000E+000
    4.715102E+03   1.0000E-099   2.5029E-013   3.8345E-007   1.0000E+000
    5.006948E+03   1.0000E-099   1.7493E-013   3.1245E-007   1.0000E+000
    5.316859E+03   1.0000E-099   1.4334E-013   2.8676E-007   1.0000E+000
    5.645951E+03   1.0000E-099   1.3291E-013   2.7358E-007   1.0000E+000
    5.995413E+03   1.0000E-099   1.3129E-013   2.6403E-007   1.0000E+000
    6.366506E+03   1.0000E-099   1.3457E-013   2.5387E-007   1.0000E+000
    6.760567E+03   1.0000E-099   1.3803E-013   2.4883E-007   1.0000E+000
    7.179019E+03   1.0000E-099   1.4430E-013   2.4383E-007   1.0000E+000
    7.623372E+03   1.0000E-099   1.6049E-013   2.3426E-007   1.0000E+000
    8.095229E+03   1.0000E-099   1.8152E-013   2.3121E-007   1.0000E+000
    8.596292E+03   1.0000E-099   2.1276E-013   2.3652E-007   1.0000E+000
    9.128368E+03   1.0000E-099   2.9287E-013   2.5404E-007   1.0000E+000
    9.693378E+03   1.0000E-099   5.1314E-013   3.1144E-007   1.0000E+000
    1.029336E+04   1.0000E-099   1.1905E-012   4.8218E-007   1.0000E+000
    1.093048E+04   1.0000E-099   5.3873E-012   1.3769E-006   1.0000E+000
    1.160703E+04   1.0000E-099   5.2924E-011   9.7690E-006   9.9999E-001
    1.232546E+04   1.0000E-099   1.3113E-009   2.0349E-004   9.9980E-001
    1.308836E+04   1.0000E-099   2.0916E-008   2.9079E-003   9.9709E-001
    1.389955E+04   1.0000E-099   5.1667E-007   6.6771E-002   9.3323E-001
    1.474312E+04   1.0000E-099   9.1591E-006   9.6721E-001   3.2780E-002
    1.540367E+04   1.0000E-099   1.5432E-005   9.9998E-001   8.5430E-008
    1.581332E+04   1.0000E-099   4.6799E-005   9.9995E-001   4.2449E-012
    1.611284E+04   1.0000E-099   2.6115E-004   9.9974E-001   1.1589E-016
    1.636570E+04   1.0000E-099   3.3261E-003   9.9667E-001   1.8050E-022
