#NTIMES 50
#NSTAGES 3
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] co0 co1 co2
16354.17 1.1260e-01 4.6200e+00 1.6640e+00
16484.18 6.5740e-02 2.9540e+00 1.1240e+00
16593.12 3.1340e-02 2.1680e+00 9.2440e-01
16691.99 5.8750e-02 1.7630e+00 8.7260e-01
16788.59 3.4340e-02 1.7230e+00 7.6540e-01
16888.37 2.9040e-02 1.5650e+00 8.4860e-01
16998.79 1.2190e-02 1.5060e+00 8.6140e-01
17146.37 1.0470e-02 1.5240e+00 8.3350e-01
17415.23 1.2760e-02 1.4850e+00 9.8990e-01
17888.12 3.4940e-03 1.4670e+00 1.2320e+00
18532.37 3.6760e-03 1.4570e+00 1.4190e+00
19260.76 4.9390e-03 1.2080e+00 1.4360e+00
20034.10 1.6480e-03 8.9660e-01 1.1420e+00
20838.00 6.6990e-04 4.8890e-01 9.1110e-01
21647.97 4.7580e-04 3.0520e-01 6.3090e-01
22447.94 1.6790e-04 1.3060e-01 4.6380e-01
23245.88 4.3020e-05 6.4070e-02 3.3190e-01
24052.47 9.6710e-05 5.9090e-02 2.3520e-01
24867.72 1.1220e-04 4.2260e-02 1.9300e-01
25698.86 1.6460e-04 2.7080e-02 1.5730e-01
26587.16 4.6910e-04 1.6420e-02 1.1190e-01
27637.54 1.4340e-05 2.7240e-03 6.9220e-02
28986.97 5.7630e-05 2.4680e-03 2.5010e-02
#TIME: 210.86
#NVEL 78
#vel_mid[km/s] co0 co1 co2
1060.83 1.2380e+04 3.5890e+04 1.2970e+04
1919.29 2.6250e+04 6.5860e+04 2.1870e+04
2581.60 3.7420e+04 1.4620e+05 6.2500e+04
3084.17 2.5860e+04 1.9120e+05 1.1810e+05
3472.46 8.9060e+03 1.4980e+05 1.2970e+05
3909.64 1.6940e+03 7.3940e+04 9.3080e+04
4148.46 1.3260e+03 5.5120e+04 6.9410e+04
4670.75 1.1670e+03 5.0790e+04 6.0790e+04
4956.05 7.4080e+02 4.5220e+04 6.9370e+04
5258.79 2.4320e+02 3.7420e+04 8.0560e+04
5580.02 6.5060e+01 3.0730e+04 9.1100e+04
5920.87 2.6470e+01 2.7070e+04 9.2520e+04
6282.54 1.4490e+01 2.1040e+04 9.1170e+04
6666.30 1.1940e+01 1.9000e+04 8.5930e+04
7073.50 1.0890e+01 1.8040e+04 7.7450e+04
7505.58 8.0710e+00 1.4420e+04 6.6570e+04
7964.05 9.0280e+00 1.2530e+04 5.4700e+04
8450.53 1.4590e+01 1.2190e+04 4.3710e+04
8966.72 3.0190e+01 1.1140e+04 3.2300e+04
9514.44 5.1940e+01 9.3430e+03 2.1520e+04
10095.62 7.2000e+01 7.3970e+03 1.2930e+04
10712.30 6.5210e+01 4.7430e+03 6.9370e+03
11366.65 5.5470e+01 2.4930e+03 3.1180e+03
12061.10 2.5650e+01 1.0820e+03 1.2470e+03
12793.43 1.0960e+01 4.6680e+02 5.2030e+02
13528.61 5.5030e+00 2.1660e+02 2.3230e+02
14194.74 3.1580e+00 9.5810e+01 1.1360e+02
14757.77 1.3190e+00 4.0800e+01 5.7810e+01
15240.48 4.8040e-01 2.6200e+01 2.5320e+01
15646.99 4.5590e-01 1.6890e+01 1.1610e+01
15960.30 4.0420e-01 1.2530e+01 5.6470e+00
16187.41 2.9590e-01 7.2390e+00 2.7930e+00
16354.17 1.5710e-01 4.4210e+00 1.4740e+00
16484.18 4.9190e-02 2.8790e+00 1.0040e+00
16593.12 2.1210e-02 2.1480e+00 8.0120e-01
16691.99 3.0200e-02 1.7760e+00 7.5940e-01
16788.59 9.7760e-03 1.5580e+00 8.3760e-01
16888.37 2.6790e-02 1.4230e+00 8.8120e-01
16998.79 1.4260e-02 1.4240e+00 8.3420e-01
17146.37 2.9410e-02 1.4070e+00 8.2840e-01
17415.23 1.0210e-02 1.4080e+00 9.6340e-01
17888.12 4.6390e-03 1.3910e+00 1.1930e+00
18532.37 2.8200e-03 1.3620e+00 1.3940e+00
19260.76 2.0390e-03 1.1810e+00 1.3560e+00
20034.10 7.4900e-04 8.1140e-01 1.1430e+00
20838.00 1.0060e-03 4.9850e-01 8.4250e-01
21647.97 2.7460e-04 2.5140e-01 6.4570e-01
22447.94 2.0770e-04 1.2270e-01 4.4670e-01
23245.88 1.7170e-04 7.2060e-02 3.0720e-01
24052.47 5.1130e-05 5.6120e-02 2.2590e-01
24867.72 2.9480e-05 3.7580e-02 1.8790e-01
25698.86 6.3320e-05 2.1560e-02 1.5520e-01
26587.16 2.8970e-04 1.2090e-02 1.1100e-01
27637.54 1.2340e-04 6.9460e-03 6.1870e-02
28986.97 1.5750e-06 2.4800e-03 2.3900e-02
#TIME: 213.89
#NVEL 78
#vel_mid[km/s] co0 co1 co2
1060.83 1.1110e+04 3.5030e+04 1.2150e+04
1919.29 2.6640e+04 6.1110e+04 1.9930e+04
2581.60 3.3880e+04 1.3800e+05 5.8960e+04
3084.17 2.3450e+04 1.8080e+05 1.0930e+05
3472.46 7.7840e+03 1.3880e+05 1.2300e+05
3909.64 1.7180e+03 6.7750e+04 8.8180e+04
4148.46 1.1940e+03 5.0940e+04 6.5450e+04
4670.75 1.0870e+03 4.6890e+04 5.7330e+04
4956.05 6.7600e+02 4.3940e+04 6.3080e+04
5258.79 2.4220e+02 3.6560e+04 7.3590e+04
5580.02 6.3900e+01 3.0000e+04 8.3750e+04
5920.87 2.5500e+01 2.5610e+04 8.6060e+04
6282.54 1.4290e+01 2.1250e+04 8.3520e+04
6666.30 1.0610e+01 1.7690e+04 8.0280e+04
7073.50 9.8570e+00 1.6220e+04 7.2940e+04
7505.58 7.4010e+00 1.2940e+04 6.2680e+04
7964.05 8.0820e+00 1.1170e+04 5.1600e+04
8450.53 1.2880e+01 1.1110e+04 4.1100e+04
8966.72 2.5540e+01 1.0020e+04 3.0550e+04
9514.44 4.1750e+01 8.4910e+03 2.0340e+04
10095.62 6.1620e+01 6.6930e+03 1.2300e+04
10712.30 6.3250e+01 4.3690e+03 6.5410e+03
11366.65 5.0780e+01 2.3130e+03 2.9330e+03
12061.10 2.6550e+01 9.9790e+02 1.1780e+03
12793.43 1.1770e+01 4.2670e+02 4.9570e+02
13528.61 6.7740e+00 1.9200e+02 2.2700e+02
14194.74 2.9010e+00 8.9180e+01 1.0720e+02
14757.77 1.2080e+00 4.1240e+01 5.1310e+01
15240.48 7.2430e-01 2.3150e+01 2.4960e+01
15646.99 4.8120e-01 1.5660e+01 1.1080e+01
15960.30 3.6920e-01 1.1890e+01 5.2270e+00
16187.41 2.7110e-01 6.8770e+00 2.5950e+00
16354.17 1.1840e-01 4.1600e+00 1.4480e+00
16484.18 6.0730e-02 2.6820e+00 9.8860e-01
16593.12 2.9530e-02 1.9540e+00 8.4160e-01
16691.99 1.1500e-02 1.7090e+00 7.2280e-01
16788.59 1.5910e-02 1.6200e+00 6.5690e-01
16888.37 3.8240e-02 1.4060e+00 7.8020e-01
16998.79 1.6880e-02 1.3690e+00 7.8540e-01
17146.37 1.9740e-02 1.3240e+00 8.2170e-01
17415.23 5.7660e-03 1.3370e+00 9.3620e-01
17888.12 7.2800e-03 1.3400e+00 1.1320e+00
18532.37 4.2180e-03 1.3820e+00 1.2570e+00
19260.76 1.9050e-03 1.0940e+00 1.3360e+00
20034.10 1.3330e-03 7.5720e-01 1.1140e+00
20838.00 5.3790e-04 4.3520e-01 8.5000e-01
21647.97 4.8830e-04 2.7550e-01 5.8380e-01
22447.94 2.9060e-04 1.6040e-01 3.8500e-01
23245.88 1.0270e-04 5.6870e-02 3.0650e-01
24052.47 1.9300e-05 2.3830e-02 2.4640e-01
24867.72 9.2270e-05 3.6570e-02 1.7940e-01
25698.86 2.8420e-05 2.8930e-02 1.4050e-01
26587.16 2.2030e-05 1.7610e-02 1.0060e-01
27637.54 7.7920e-06 7.5140e-03 5.8530e-02
28986.97 1.2230e-06 2.0890e-03 2.3180e-02
#TIME: 216.97
#NVEL 78
#vel_mid[km/s] co0 co1 co2
1060.83 1.1510e+04 3.2500e+04 1.1470e+04
1919.29 2.6880e+04 5.5860e+04 1.8970e+04
2581.60 3.3360e+04 1.2850e+05 5.4630e+04
3084.17 2.2240e+04 1.6800e+05 1.0310e+05
3472.46 7.5200e+03 1.3190e+05 1.1250e+05
3909.64 1.4600e+03 6.2630e+04 8.3160e+04
4148.46 1.1930e+03 4.9770e+04 5.8850e+04
4670.75 1.0610e+03 4.3690e+04 5.3580e+04
4956.05 6.1670e+02 4.1400e+04 5.8520e+04
5258.79 2.0690e+02 3.3660e+04 6.9180e+04
5580.02 5.9160e+01 2.7140e+04 7.9040e+04
5920.87 2.2480e+01 2.2470e+04 8.1760e+04
6282.54 1.1560e+01 1.7980e+04 7.9810e+04
6666.30 1.0240e+01 1.6810e+04 7.4640e+04
7073.50 9.3710e+00 1.4530e+04 6.8690e+04
7505.58 7.1500e+00 1.2660e+04 5.7930e+04
7964.05 7.4250e+00 1.0640e+04 4.7960e+04
8450.53 1.2000e+01 1.0340e+04 3.8400e+04
8966.72 2.4600e+01 9.7330e+03 2.8140e+04
9514.44 3.8180e+01 7.7640e+03 1.9150e+04
10095.62 5.3680e+01 6.2990e+03 1.1440e+04
10712.30 5.4920e+01 4.2120e+03 5.9820e+03
11366.65 4.5850e+01 2.2090e+03 2.6940e+03
12061.10 2.5620e+01 9.7170e+02 1.0610e+03
12793.43 1.1630e+01 4.0860e+02 4.5390e+02
13528.61 5.4060e+00 1.8780e+02 2.0550e+02
14194.74 1.8730e+00 8.8160e+01 9.6810e+01
14757.77 8.8450e-01 4.0580e+01 4.6480e+01
15240.48 7.1000e-01 2.3320e+01 2.1820e+01
15646.99 3.6080e-01 1.5350e+01 9.8690e+00
15960.30 2.5200e-01 1.1420e+01 4.7920e+00
16187.41 2.5290e-01 6.6460e+00 2.2910e+00
16354.17 9.1470e-02 3.9900e+00 1.3370e+00
16484.18 4.3810e-02 2.6180e+00 8.7990e-01
16593.12 2.4960e-02 1.9560e+00 7.0560e-01
16691.99 9.3660e-02 1.4680e+00 7.6480e-01
16788.59 1.2790e-02 1.4920e+00 6.8090e-01
16888.37 3.4830e-02 1.3370e+00 7.5150e-01
16998.79 1.1550e-02 1.3290e+00 7.3370e-01
17146.37 1.3460e-02 1.2870e+00 7.7060e-01
17415.23 9.9920e-03 1.2810e+00 8.9050e-01
17888.12 9.5370e-03 1.2520e+00 1.1130e+00
18532.37 4.2020e-03 1.3000e+00 1.2280e+00
19260.76 2.6150e-03 1.1090e+00 1.2180e+00
20034.10 8.6490e-04 7.0910e-01 1.0850e+00
20838.00 1.0560e-03 3.5220e-01 8.7860e-01
21647.97 3.8180e-04 2.5420e-01 5.6920e-01
22447.94 2.5570e-04 1.4280e-01 3.7980e-01
23245.88 1.2970e-04 5.5380e-02 2.9280e-01
24052.47 7.2670e-05 3.3740e-02 2.2510e-01
24867.72 9.8670e-05 3.6040e-02 1.7090e-01
25698.86 1.0470e-04 2.6620e-02 1.3560e-01
26587.16 4.0870e-06 3.7200e-03 1.0950e-01
27637.54 7.6800e-06 5.9720e-03 5.7310e-02
28986.97 5.7850e-07 5.7500e-04 2.3640e-02
#TIME: 220.09
#NVEL 78
#vel_mid[km/s] co0 co1 co2
1060.83 1.1290e+04 3.0580e+04 1.0950e+04
1919.29 2.3710e+04 5.4270e+04 1.8110e+04
2581.60 2.8240e+04 1.2350e+05 5.1240e+04
3084.17 2.1270e+04 1.5890e+05 9.4110e+04
3472.46 7.0610e+03 1.2360e+05 1.0470e+05
3909.64 1.3680e+03 5.9720e+04 7.6420e+04
4148.46 1.0140e+03 4.3950e+04 5.7560e+04
