#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
28986.97 3.7016e-07 3.6461e-03 2.8408e-01 7.1228e-01
#TIME: 216.97
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 2.3022e-02 6.0041e-01 3.4131e-01 3.5254e-02
1919.29 1.7732e-02 6.2941e-01 3.2216e-01 3.0694e-02
2581.60 9.9554e-03 5.5455e-01 3.8781e-01 4.7682e-02
3084.17 4.3670e-03 4.4395e-01 4.7764e-01 7.4035e-02
3472.46 1.2548e-03 2.7251e-01 6.1026e-01 1.1597e-01
3909.64 2.3261e-04 1.1837e-01 7.0635e-01 1.7505e-01
4148.46 2.9327e-04 1.4196e-01 6.8259e-01 1.7516e-01
4670.75 2.8275e-04 1.3783e-01 6.8693e-01 1.7496e-01
4956.05 1.1838e-04 7.9624e-02 7.1848e-01 2.0178e-01
5258.79 2.2040e-05 3.7987e-02 7.2445e-01 2.3754e-01
5580.02 2.5086e-06 1.1557e-02 7.1858e-01 2.6986e-01
5920.87 5.1150e-07 4.9161e-03 7.0001e-01 2.9508e-01
6282.54 2.6032e-07 3.8809e-03 6.7175e-01 3.2437e-01
6666.30 2.1639e-07 3.4030e-03 6.6725e-01 3.2935e-01
7073.50 2.1952e-07 3.3386e-03 6.5883e-01 3.3783e-01
7505.58 2.2547e-07 3.6656e-03 6.4929e-01 3.4705e-01
7964.05 3.6804e-07 5.0010e-03 6.4883e-01 3.4617e-01
8450.53 1.0704e-06 8.5728e-03 6.6311e-01 3.2832e-01
