#NTIMES:           33
#TIMES[d]:    1.00000E-01   5.00000E-01   1.00000E+00   2.00000E+00   3.00000E+00   4.00000E+00   5.00000E+00   6.00000E+00   7.00000E+00   8.00000E+00   9.00000E+00   1.00000E+01   1.20000E+01   1.40000E+01   1.60000E+01   1.80000E+01   2.00000E+01   2.20000E+01   2.40000E+01   2.60000E+01   2.80000E+01   3.00000E+01   3.50000E+01   4.00000E+01   5.00000E+01   6.00000E+01   7.00000E+01   8.00000E+01   9.00000E+01   1.00000E+02   1.10000E+02   1.20000E+02   1.30000E+02
#
#TIME:    1.00000E-01
#NVEL:          209
#vel_mid[km/s] temp[K] rho[gcc]
 1.72702E+09 1.45211E+04 1.69824E-08
 1.74736E+09 1.58125E+04 1.46218E-08
 1.76967E+09 1.88799E+04 1.22744E-08
 1.79405E+09 1.98609E+04 1.04232E-08
 1.81866E+09 1.96789E+04 9.44061E-09
 1.84205E+09 1.89234E+04 8.97429E-09
 1.86396E+09 1.81552E+04 8.47227E-09
 1.88659E+09 1.90546E+04 7.44732E-09
 1.91204E+09 1.99986E+04 6.18016E-09
 1.93983E+09 2.02768E+04 5.26017E-09
 1.96707E+09 2.00447E+04 4.85289E-09
 1.99265E+09 1.96789E+04 4.65586E-09
 2.01683E+09 1.94536E+04 4.35512E-09
 2.04252E+09 1.99067E+04 3.73250E-09
 2.07215E+09 2.03236E+04 3.02691E-09
 2.10395E+09 2.03236E+04 2.60615E-09
 2.13469E+09 2.01372E+04 2.44906E-09
 2.16291E+09 1.98609E+04 2.38781E-09
 2.18936E+09 1.98609E+04 2.22844E-09
 2.21855E+09 2.01372E+04 1.85353E-09
 2.25335E+09 2.02768E+04 1.46555E-09
 2.29000E+09 2.02302E+04 1.27938E-09
 2.32476E+09 2.00909E+04 1.21060E-09
 2.35694E+09 2.00447E+04 1.18032E-09
 2.38659E+09 2.00447E+04 1.11173E-09
 2.42020E+09 2.01837E+04 8.97429E-10
 2.46133E+09 2.06063E+04 6.93426E-10
 2.50416E+09 2.16770E+04 6.08135E-10
 2.54525E+09 2.34963E+04 5.68853E-10
 2.58299E+09 2.56448E+04 5.53350E-10
 2.62008E+09 2.77332E+04 4.85289E-10
 2.66712E+09 2.99226E+04 3.59749E-10
 2.72151E+09 3.20627E+04 2.88403E-10
 2.77507E+09 3.41193E+04 2.61818E-10
 2.81715E+09 3.57273E+04 2.88403E-10
 2.82223E+09 3.67282E+04 2.78612E-09
 2.82622E+09 3.74973E+04 1.67494E-09
 2.84057E+09 3.81066E+04 7.69130E-10
 2.85439E+09 3.82825E+04 6.19441E-10
 2.88704E+09 3.82825E+04 2.63027E-10
 2.92584E+09 3.75837E+04 1.94089E-10
 2.99521E+09 3.62243E+04 9.84011E-11
 3.10750E+09 3.34195E+04 5.17607E-11
 3.33677E+09 2.86418E+04 2.07014E-11
 4.27595E+09 2.63633E+04 2.02768E-12
 4.51845E+09 2.39332E+04 1.92309E-12
 4.72845E+09 2.30144E+04 1.48252E-12
 4.95322E+09 2.18776E+04 9.33254E-13
 5.21698E+09 2.08930E+04 5.29663E-13
 5.53799E+09 2.01372E+04 2.84446E-13
 5.94731E+09 1.91426E+04 1.42561E-13
 6.49286E+09 1.87932E+04 6.60693E-14
 7.17435E+09 1.87499E+04 3.16957E-14
 7.37863E+09 1.82810E+04 6.77642E-14
#TIME:    5.00000E-01
#NVEL:          209
#vel_mid[km/s] temp[K] rho[gcc]
 1.06440E+08 8.74984E+04 2.31206E-08
 1.38090E+08 8.87156E+04 2.33884E-08
 1.57950E+08 1.06414E+05 2.28560E-08
 1.74450E+08 1.15878E+05 2.32809E-08
 1.88910E+08 1.25314E+05 2.26986E-08
 2.01350E+08 1.32130E+05 2.22331E-08
 2.12540E+08 1.39637E+05 2.11836E-08
 2.22980E+08 1.47571E+05 2.08449E-08
 2.32930E+08 1.54525E+05 2.00447E-08
 2.42270E+08 1.61065E+05 1.97242E-08
 2.52030E+08 1.66725E+05 1.82810E-08
 2.60580E+08 1.71396E+05 1.86638E-08
 2.69260E+08 1.75388E+05 1.75388E-08
 2.78030E+08 1.78238E+05 1.64059E-08
 2.86510E+08 1.80717E+05 1.63682E-08
 2.94820E+08 1.81970E+05 1.54882E-08
 3.03100E+08 1.82810E+05 1.46555E-08
 3.11410E+08 1.82810E+05 1.38676E-08
 3.19760E+08 1.82390E+05 1.30617E-08
 3.28020E+08 1.81552E+05 1.25603E-08
 3.36460E+08 1.80302E+05 1.18850E-08
 3.45040E+08 1.78238E+05 1.11173E-08
 3.53700E+08 1.75792E+05 1.04713E-08
 3.62690E+08 1.72584E+05 9.77237E-09
 3.72210E+08 1.68655E+05 8.99498E-09
 3.82220E+08 1.63682E+05 8.18465E-09
 3.92540E+08 1.57761E+05 7.32825E-09
 4.03390E+08 1.51705E+05 6.57658E-09
 4.14660E+08 1.46218E+05 5.97035E-09
 4.26590E+08 1.42233E+05 5.53350E-09
 4.36910E+08 1.41579E+05 6.15177E-09
 4.45780E+08 1.41906E+05 6.57658E-09
 4.54050E+08 1.42233E+05 6.57658E-09
 4.62280E+08 1.42233E+05 6.36796E-09
 4.71080E+08 1.42233E+05 5.84790E-09
 4.80520E+08 1.42233E+05 5.37032E-09
 4.90250E+08 1.42233E+05 5.09331E-09
 4.99830E+08 1.42889E+05 4.96592E-09
 5.09210E+08 1.43549E+05 4.88652E-09
 5.18420E+08 1.44544E+05 4.80839E-09
 5.27500E+08 1.44877E+05 4.73151E-09
 5.36440E+08 1.45546E+05 4.64515E-09
 5.45220E+08 1.45546E+05 4.58142E-09
 5.53800E+08 1.45546E+05 4.52898E-09
 5.62210E+08 1.45546E+05 4.45656E-09
 5.70530E+08 1.45546E+05 4.38531E-09
 5.78790E+08 1.45211E+05 4.31519E-09
 5.86880E+08 1.44877E+05 4.24620E-09
 5.94880E+08 1.44544E+05 4.17830E-09
 6.02820E+08 1.44212E+05 4.11150E-09
 6.10670E+08 1.43549E+05 4.05509E-09
 6.18540E+08 1.43219E+05 3.98107E-09
 6.26420E+08 1.42561E+05 3.90841E-09
 6.34240E+08 1.41906E+05 3.84592E-09
 6.41860E+08 1.41579E+05 3.78443E-09
 6.49330E+08 1.40929E+05 3.73250E-09
 6.56730E+08 1.40281E+05 3.68129E-09
 6.64060E+08 1.39959E+05 3.63915E-09
 6.71330E+08 1.39316E+05 3.58922E-09
 6.78580E+08 1.38676E+05 3.54813E-09
 6.85780E+08 1.38038E+05 3.49945E-09
 6.92890E+08 1.37404E+05 3.45144E-09
 6.99880E+08 1.36773E+05 3.39625E-09
 7.06820E+08 1.35831E+05 3.33426E-09
 7.13870E+08 1.35207E+05 3.25837E-09
 7.21070E+08 1.34276E+05 3.18420E-09
 7.28370E+08 1.33352E+05 3.10456E-09
 7.35700E+08 1.32434E+05 3.03389E-09
 7.43010E+08 1.31522E+05 2.97167E-09
 7.50280E+08 1.30617E+05 2.91072E-09
 7.57560E+08 1.29718E+05 2.85759E-09
 7.64840E+08 1.28825E+05 2.80543E-09
 7.72090E+08 1.27938E+05 2.75423E-09
 7.79320E+08 1.26765E+05 2.68534E-09
 7.86600E+08 1.25893E+05 2.63027E-09
 7.94000E+08 1.24738E+05 2.57040E-09
 8.01260E+08 1.23880E+05 2.55270E-09
 8.08530E+08 1.22744E+05 2.50611E-09
 8.15790E+08 1.21899E+05 2.46604E-09
 8.23040E+08 1.21060E+05 2.42661E-09
 8.30280E+08 1.19950E+05 2.39332E-09
 8.37490E+08 1.19124E+05 2.36048E-09
 8.44680E+08 1.18304E+05 2.32274E-09
 8.51900E+08 1.17220E+05 2.28034E-09
 8.59120E+08 1.16413E+05 2.24905E-09
 8.66340E+08 1.15611E+05 2.21820E-09
 8.73540E+08 1.14551E+05 2.19280E-09
 8.80650E+08 1.13501E+05 2.15774E-09
 8.87680E+08 1.12460E+05 2.11836E-09
 8.94760E+08 1.11429E+05 2.06538E-09
 9.02070E+08 1.10408E+05 2.00447E-09
 9.09570E+08 1.09144E+05 1.94089E-09
 9.17170E+08 1.07895E+05 1.88365E-09
 9.24700E+08 1.06660E+05 1.84502E-09
 9.32240E+08 1.05439E+05 1.80717E-09
 9.39930E+08 1.03992E+05 1.76198E-09
 9.47780E+08 1.02802E+05 1.71791E-09
 9.55690E+08 1.01391E+05 1.67880E-09
 9.63590E+08 1.00231E+05 1.64437E-09
 9.71490E+08 9.88553E+04 1.61436E-09
 9.79410E+08 9.74990E+04 1.58489E-09
 9.87350E+08 9.61612E+04 1.55955E-09
 9.95230E+08 9.48418E+04 1.53462E-09
 1.00317E+09 9.33254E+04 1.50661E-09
 1.01115E+09 9.20450E+04 1.47571E-09
 1.01914E+09 9.05733E+04 1.44544E-09
 1.02725E+09 8.89201E+04 1.41906E-09
 1.03528E+09 8.74984E+04 1.40281E-09
 1.04313E+09 8.59014E+04 1.38357E-09
 1.05097E+09 8.41395E+04 1.34896E-09
 1.05918E+09 8.24138E+04 1.28529E-09
 1.06778E+09 8.05378E+04 1.23880E-09
 1.07653E+09 7.85236E+04 1.18032E-09
 1.08586E+09 7.63836E+04 1.13763E-09
 1.09495E+09 7.43019E+04 1.09901E-09
 1.10416E+09 7.22770E+04 1.07399E-09
 1.11350E+09 7.01455E+04 1.03992E-09
 1.12264E+09 6.80769E+04 9.88553E-10
 1.13234E+09 6.60693E+04 9.50605E-10
 1.14162E+09 6.39735E+04 8.97429E-10
 1.14952E+09 6.22300E+04 8.83080E-10
 1.15951E+09 6.03949E+04 8.57038E-10
 1.17019E+09 5.83445E+04 8.03526E-10
 1.18098E+09 5.62341E+04 7.69130E-10
 1.19163E+09 5.42001E+04 7.41310E-10
 1.20310E+09 5.21195E+04 6.80769E-10
 1.21601E+09 5.00035E+04 6.13762E-10
 1.23012E+09 4.79733E+04 5.62341E-10
 1.24441E+09 4.60257E+04 5.39511E-10
 1.25862E+09 4.41570E+04 5.21195E-10
 1.27299E+09 4.24620E+04 5.00035E-10
 1.28777E+09 4.09261E+04 4.75335E-10
 1.30321E+09 3.93550E+04 4.46684E-10
 1.31947E+09 3.78443E+04 4.20727E-10
 1.33555E+09 3.63078E+04 4.06443E-10
 1.35107E+09 3.49140E+04 3.97192E-10
 1.36821E+09 3.34195E+04 3.56451E-10
 1.38801E+09 3.19154E+04 3.11172E-10
 1.40938E+09 3.03389E+04 2.84446E-10
 1.43051E+09 2.87740E+04 2.71644E-10
 1.45208E+09 2.71644E+04 2.54683E-10
 1.47558E+09 2.55859E+04 2.30675E-10
 1.50038E+09 2.38781E+04 2.14783E-10
 1.52427E+09 2.21820E+04 2.06538E-10
 1.55026E+09 2.05589E+04 1.84077E-10
 1.58471E+09 1.89234E+04 1.67880E-10
 1.60549E+09 1.74985E+04 2.70396E-10
 1.61584E+09 1.64816E+04 3.49140E-10
 1.62667E+09 1.56315E+04 3.55631E-10
 1.63654E+09 1.47911E+04 3.64754E-10
 1.64769E+09 1.37721E+04 3.28852E-10
 1.65873E+09 1.27350E+04 2.92415E-10
 1.67271E+09 1.16413E+04 2.43781E-10
 1.68939E+09 1.05196E+04 1.93197E-10
 1.70782E+09 9.46237E+03 1.59588E-10
 1.72702E+09 8.59014E+03 1.37404E-10
 1.74736E+09 7.94328E+03 1.18304E-10
 1.76967E+09 7.48170E+03 9.93116E-11
 1.79405E+09 7.11214E+03 8.43335E-11
 1.81866E+09 6.77642E+03 7.63836E-11
