#NTIMES: 4
#NWAVE: 10000
#TIMES[d]: 5.0 10.0 15.0 20.0
#wavelength[Ang] flux_t0[erg/s/Ang] flux_t1[erg/s/Ang] ... flux_tn[erg/s/Ang]
1.348072E+04 2.360660E+37 8.839927E+37 1.073824E+38 1.037419E+38
1.344538E+04 2.380481E+37 8.902380E+37 1.071243E+38 1.036380E+38
1.341022E+04 2.398572E+37 8.962255E+37 1.068618E+38 1.035907E+38
1.337524E+04 2.414820E+37 9.016804E+37 1.060859E+38 1.039271E+38
1.334045E+04 2.432399E+37 9.075978E+37 1.048587E+38 1.042299E+38
1.330583E+04 2.450303E+37 9.137069E+37 1.033476E+38 1.047656E+38
1.327140E+04 2.469795E+37 9.206176E+37 1.019170E+38 1.048359E+38
1.323714E+04 2.491540E+37 9.266511E+37 1.005436E+38 1.050459E+38
1.320306E+04 2.512247E+37 9.339566E+37 9.950736E+37 1.054848E+38
1.316916E+04 2.533130E+37 9.415653E+37 1.005188E+38 1.066266E+38
1.313543E+04 2.554755E+37 9.489100E+37 1.033587E+38 1.087258E+38
1.310187E+04 2.575926E+37 9.564536E+37 1.077147E+38 1.129003E+38
1.306848E+04 2.598263E+37 9.640830E+37 1.126951E+38 1.154425E+38
1.303526E+04 2.620141E+37 9.716190E+37 1.155383E+38 1.160946E+38
1.300221E+04 2.640899E+37 9.787186E+37 1.170334E+38 1.165514E+38
1.296933E+04 2.660528E+37 9.879986E+37 1.186647E+38 1.178181E+38
1.293661E+04 2.679683E+37 1.001678E+38 1.215138E+38 1.196127E+38
1.290406E+04 2.697923E+37 1.013857E+38 1.248102E+38 1.224292E+38
1.287167E+04 2.725983E+37 1.024523E+38 1.287745E+38 1.266209E+38
1.283944E+04 2.758979E+37 1.033318E+38 1.332085E+38 1.295583E+38
1.280738E+04 2.792195E+37 1.042716E+38 1.364118E+38 1.309526E+38
1.277547E+04 2.822125E+37 1.053284E+38 1.379574E+38 1.320724E+38
1.274372E+04 2.850149E+37 1.062189E+38 1.393718E+38 1.328912E+38
1.271213E+04 2.876920E+37 1.071430E+38 1.406714E+38 1.340338E+38
1.268070E+04 2.903766E+37 1.080339E+38 1.417675E+38 1.350934E+38
1.264942E+04 2.930366E+37 1.089559E+38 1.427710E+38 1.356819E+38
1.261830E+04 2.956479E+37 1.098797E+38 1.438753E+38 1.358511E+38
1.258732E+04 2.981620E+37 1.107720E+38 1.450964E+38 1.353069E+38
1.255650E+04 3.004233E+37 1.116606E+38 1.464382E+38 1.348055E+38
1.252583E+04 3.026430E+37 1.125299E+38 1.480174E+38 1.353507E+38
1.249531E+04 3.050013E+37 1.133176E+38 1.502938E+38 1.379955E+38
1.246494E+04 3.072049E+37 1.141013E+38 1.536373E+38 1.428093E+38
1.243472E+04 3.094599E+37 1.150723E+38 1.579086E+38 1.476802E+38
1.240464E+04 3.117507E+37 1.160775E+38 1.611866E+38 1.500995E+38
1.237471E+04 3.146291E+37 1.170426E+38 1.622819E+38 1.515798E+38
1.234492E+04 3.175721E+37 1.180204E+38 1.617556E+38 1.518667E+38
1.231527E+04 3.203208E+37 1.188800E+38 1.599776E+38 1.511960E+38
1.228577E+04 3.229973E+37 1.196455E+38 1.572286E+38 1.504437E+38
1.225640E+04 3.254471E+37 1.204424E+38 1.536723E+38 1.493662E+38
1.222718E+04 3.277238E+37 1.213586E+38 1.497068E+38 1.480111E+38
1.219810E+04 3.299502E+37 1.222652E+38 1.458128E+38 1.463050E+38
1.216915E+04 3.323160E+37 1.232149E+38 1.425401E+38 1.441133E+38
1.214034E+04 3.348475E+37 1.241870E+38 1.401443E+38 1.423231E+38
1.211167E+04 3.371624E+37 1.251460E+38 1.399747E+38 1.427491E+38
1.208313E+04 3.395803E+37 1.261140E+38 1.422793E+38 1.449234E+38
1.205473E+04 3.421393E+37 1.270587E+38 1.469908E+38 1.493508E+38
1.202646E+04 3.447056E+37 1.279983E+38 1.534185E+38 1.545989E+38
1.199832E+04 3.473323E+37 1.289220E+38 1.602777E+38 1.600463E+38
1.197031E+04 3.499618E+37 1.299530E+38 1.673166E+38 1.640863E+38
1.194244E+04 3.525975E+37 1.310192E+38 1.725074E+38 1.654295E+38
1.191469E+04 3.551923E+37 1.320886E+38 1.732487E+38 1.669813E+38
1.188707E+04 3.578914E+37 1.332652E+38 1.749535E+38 1.693129E+38
1.185958E+04 3.606553E+37 1.344394E+38 1.769093E+38 1.718968E+38
1.183222E+04 3.635046E+37 1.356083E+38 1.795100E+38 1.745503E+38
1.180498E+04 3.669484E+37 1.366992E+38 1.822374E+38 1.769131E+38
1.177787E+04 3.702031E+37 1.379191E+38 1.842256E+38 1.791226E+38
1.175088E+04 3.732633E+37 1.391610E+38 1.863891E+38 1.812569E+38
1.172402E+04 3.764531E+37 1.402688E+38 1.883836E+38 1.832072E+38
1.169727E+04 3.800227E+37 1.413506E+38 1.898743E+38 1.846022E+38
1.167065E+04 3.833067E+37 1.424288E+38 1.913853E+38 1.860611E+38
1.164415E+04 3.863893E+37 1.435489E+38 1.929703E+38 1.876360E+38
1.161778E+04 3.886490E+37 1.445027E+38 1.943195E+38 1.888415E+38
1.159152E+04 3.904244E+37 1.453091E+38 1.954313E+38 1.893764E+38
1.156537E+04 3.921305E+37 1.461029E+38 1.968140E+38 1.898192E+38
1.153935E+04 3.934278E+37 1.470404E+38 1.986052E+38 1.908610E+38
1.151344E+04 3.950157E+37 1.477011E+38 2.003732E+38 1.927914E+38
1.148765E+04 3.960102E+37 1.480828E+38 2.020535E+38 1.949263E+38
1.146197E+04 3.974844E+37 1.482721E+38 2.040773E+38 1.963651E+38
1.143641E+04 3.990538E+37 1.485771E+38 2.056288E+38 1.967246E+38
1.141097E+04 4.003403E+37 1.489865E+38 2.065857E+38 1.971995E+38
1.138563E+04 4.017736E+37 1.496955E+38 2.075776E+38 1.977415E+38
1.136041E+04 4.033996E+37 1.505142E+38 2.087083E+38 1.982382E+38
1.133530E+04 4.048081E+37 1.513621E+38 2.099069E+38 1.994072E+38
1.131030E+04 4.064045E+37 1.523035E+38 2.112362E+38 2.001410E+38
1.128541E+04 4.079986E+37 1.532282E+38 2.123782E+38 2.009888E+38
1.126063E+04 4.096278E+37 1.541009E+38 2.130813E+38 2.024983E+38
1.123596E+04 4.113935E+37 1.551127E+38 2.132135E+38 2.036638E+38
1.121139E+04 4.131639E+37 1.561885E+38 2.133167E+38 2.044261E+38
1.118693E+04 4.149460E+37 1.573209E+38 2.133537E+38 2.056386E+38
1.116258E+04 4.161596E+37 1.583741E+38 2.133958E+38 2.063269E+38
1.113834E+04 4.170163E+37 1.596865E+38 2.134061E+38 2.062063E+38
1.111420E+04 4.181685E+37 1.619831E+38 2.135598E+38 2.057794E+38
1.109016E+04 4.190834E+37 1.655286E+38 2.153308E+38 2.073764E+38
1.106623E+04 4.204650E+37 1.685181E+38 2.159951E+38 2.089953E+38
1.104240E+04 4.252362E+37 1.704073E+38 2.156133E+38 2.097360E+38
1.101868E+04 4.317650E+37 1.715571E+38 2.151233E+38 2.092368E+38
1.099505E+04 4.386895E+37 1.725399E+38 2.151348E+38 2.091656E+38
1.097153E+04 4.447501E+37 1.735385E+38 2.156103E+38 2.086761E+38
1.094811E+04 4.491696E+37 1.746106E+38 2.180899E+38 2.095116E+38
1.092478E+04 4.531098E+37 1.757672E+38 2.221421E+38 2.124612E+38
1.090156E+04 4.569909E+37 1.769362E+38 2.279429E+38 2.187308E+38
1.087843E+04 4.606043E+37 1.780280E+38 2.357823E+38 2.261741E+38
1.085541E+04 4.638497E+37 1.791478E+38 2.446095E+38 2.316109E+38
1.083248E+04 4.660975E+37 1.802902E+38 2.505021E+38 2.341217E+38
1.080964E+04 4.673293E+37 1.813393E+38 2.523566E+38 2.361365E+38
1.078690E+04 4.674028E+37 1.823325E+38 2.539810E+38 2.371220E+38
1.076426E+04 4.668069E+37 1.832076E+38 2.552528E+38 2.384441E+38
1.074172E+04 4.656937E+37 1.841628E+38 2.567031E+38 2.398147E+38
1.071926E+04 4.644336E+37 1.850932E+38 2.583202E+38 2.412161E+38
1.069690E+04 4.625527E+37 1.861014E+38 2.598689E+38 2.428962E+38
1.067464E+04 4.606503E+37 1.875851E+38 2.620074E+38 2.443738E+38
1.065246E+04 4.584659E+37 1.894797E+38 2.650123E+38 2.463310E+38
1.063038E+04 4.572848E+37 1.908090E+38 2.672595E+38 2.480957E+38
1.060839E+04 4.604907E+37 1.918211E+38 2.691363E+38 2.496002E+38
1.058649E+04 4.641105E+37 1.928413E+38 2.709527E+38 2.508124E+38
1.056468E+04 4.671033E+37 1.938616E+38 2.722526E+38 2.525284E+38
1.054296E+04 4.705161E+37 1.947279E+38 2.735703E+38 2.544369E+38
1.052133E+04 4.724848E+37 1.955614E+38 2.750595E+38 2.563812E+38
1.049979E+04 4.738358E+37 1.963844E+38 2.766007E+38 2.579966E+38
1.047834E+04 4.749046E+37 1.973485E+38 2.782236E+38 2.590213E+38
1.045697E+04 4.756483E+37 1.983035E+38 2.798413E+38 2.597886E+38
1.043569E+04 4.763012E+37 1.992949E+38 2.812151E+38 2.608351E+38
1.041450E+04 4.766438E+37 2.007512E+38 2.822754E+38 2.624834E+38
1.039339E+04 4.770658E+37 2.020837E+38 2.832321E+38 2.643375E+38
1.037237E+04 4.773825E+37 2.032422E+38 2.845894E+38 2.660115E+38
1.035143E+04 4.790809E+37 2.045879E+38 2.867473E+38 2.677152E+38
1.033058E+04 4.806930E+37 2.065066E+38 2.900087E+38 2.699604E+38
1.030981E+04 4.823992E+37 2.092333E+38 2.940295E+38 2.722454E+38
1.028912E+04 4.881458E+37 2.121188E+38 2.984933E+38 2.755837E+38
1.026852E+04 4.954064E+37 2.147908E+38 3.018215E+38 2.777726E+38
1.024800E+04 5.077759E+37 2.171171E+38 3.048248E+38 2.799558E+38
1.022756E+04 5.208301E+37 2.194785E+38 3.077454E+38 2.818711E+38
1.020721E+04 5.330140E+37 2.215822E+38 3.104042E+38 2.835662E+38
1.018693E+04 5.449263E+37 2.234939E+38 3.128518E+38 2.855138E+38
1.016673E+04 5.553379E+37 2.252476E+38 3.154274E+38 2.872203E+38
1.014662E+04 5.637349E+37 2.269715E+38 3.180723E+38 2.886527E+38
1.012658E+04 5.719945E+37 2.286782E+38 3.207221E+38 2.897290E+38
1.010662E+04 5.797704E+37 2.302205E+38 3.236855E+38 2.917587E+38
1.008675E+04 5.865801E+37 2.317605E+38 3.267219E+38 2.940226E+38
1.006695E+04 5.926271E+37 2.333535E+38 3.296434E+38 2.965923E+38
1.004722E+04 5.984178E+37 2.348054E+38 3.327560E+38 2.999259E+38
1.002758E+04 6.040885E+37 2.361817E+38 3.359791E+38 3.036242E+38
1.000801E+04 6.094694E+37 2.376989E+38 3.392917E+38 3.082798E+38
9.988513E+03 6.139103E+37 2.390979E+38 3.428499E+38 3.122694E+38
9.969096E+03 6.173804E+37 2.404530E+38 3.464336E+38 3.154447E+38
9.949754E+03 6.202635E+37 2.417775E+38 3.496831E+38 3.186274E+38
9.930487E+03 6.230864E+37 2.432395E+38 3.525307E+38 3.219194E+38
9.911294E+03 6.252184E+37 2.448646E+38 3.550405E+38 3.247399E+38
9.892175E+03 6.267956E+37 2.462717E+38 3.575898E+38 3.271637E+38
9.873130E+03 6.282506E+37 2.475215E+38 3.604012E+38 3.293166E+38
9.854158E+03 6.293132E+37 2.486188E+38 3.628916E+38 3.312972E+38
9.835259E+03 6.303687E+37 2.495065E+38 3.649958E+38 3.338490E+38
9.816433E+03 6.312381E+37 2.506924E+38 3.666125E+38 3.368078E+38
