#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7 ni8 ni9
3.2726e+03 0.0000e+00 3.4612e-43 5.7276e-35 2.0727e-27 1.2287e-20 1.6570e-14 2.9841e-09 6.9251e-05 1.1323e-01 8.8670e-01
3.4725e+03 0.0000e+00 8.1275e-43 1.3894e-34 5.0127e-27 2.9126e-20 3.7204e-14 6.1055e-09 1.1775e-04 1.4865e-01 8.5123e-01
3.6846e+03 0.0000e+00 4.3090e-42 7.4148e-34 2.5539e-26 1.3837e-19 1.5597e-13 2.1005e-08 2.8850e-04 2.3122e-01 7.6849e-01
3.9097e+03 0.0000e+00 3.4459e-41 6.0251e-33 1.9709e-25 9.8852e-19 9.5550e-13 9.8410e-08 8.6453e-04 3.8174e-01 6.1740e-01
4.1484e+03 0.0000e+00 2.4401e-40 4.1440e-32 1.2482e-24 5.6675e-18 4.6287e-12 3.6181e-07 2.0956e-03 5.3999e-01 4.5792e-01
4.4019e+03 0.0000e+00 7.6821e-40 1.2262e-31 3.3984e-24 1.4112e-17 1.0226e-11 6.7699e-07 3.1395e-03 6.1626e-01 3.8060e-01
4.6708e+03 0.0000e+00 4.7031e-40 7.8135e-32 2.2676e-24 9.8771e-18 7.5738e-12 5.3773e-07 2.7174e-03 5.8958e-01 4.0770e-01
4.9561e+03 0.0000e+00 1.1396e-40 2.1848e-32 7.3964e-25 3.7697e-18 3.4347e-12 2.9671e-07 1.8772e-03 5.2299e-01 4.7513e-01
5.2588e+03 0.0000e+00 3.2214e-41 7.0923e-33 2.7761e-25 1.6392e-18 1.7469e-12 1.7911e-07 1.3695e-03 4.6849e-01 5.3014e-01
5.5800e+03 0.0000e+00 1.8143e-41 4.2938e-33 1.8083e-25 1.1491e-18 1.3194e-12 1.4603e-07 1.2081e-03 4.4807e-01 5.5072e-01
5.9209e+03 0.0000e+00 1.8728e-41 4.6176e-33 2.0055e-25 1.3104e-18 1.5253e-12 1.6745e-07 1.3376e-03 4.6784e-01 5.3083e-01
6.2825e+03 0.0000e+00 2.8427e-41 7.1971e-33 3.1516e-25 2.0654e-18 2.3485e-12 2.4177e-07 1.7254e-03 5.1631e-01 4.8197e-01
6.6663e+03 0.0000e+00 5.7787e-41 1.4608e-32 6.2560e-25 3.9874e-18 4.2718e-12 3.9491e-07 2.3952e-03 5.7959e-01 4.1801e-01
7.0735e+03 0.0000e+00 1.6363e-40 4.0697e-32 1.6686e-24 1.0111e-17 9.8464e-12 7.7408e-07 3.7114e-03 6.6382e-01 3.3247e-01
7.5056e+03 0.0000e+00 6.6632e-40 1.6414e-31 6.4089e-24 3.6628e-17 3.1314e-11 1.9511e-06 6.6634e-03 7.6795e-01 2.2538e-01
7.9641e+03 0.0000e+00 3.9550e-39 9.3890e-31 3.3824e-23 1.7642e-16 1.2562e-10 5.7651e-06 1.2835e-02 8.5708e-01 1.3008e-01
8.4505e+03 0.0000e+00 3.6730e-38 7.9912e-30 2.5242e-22 1.1400e-15 6.3075e-10 1.9632e-05 2.6031e-02 9.1021e-01 6.3739e-02
8.9668e+03 0.0000e+00 7.9735e-37 1.5245e-28 4.0059e-21 1.4738e-14 5.6501e-09 1.0102e-04 6.4644e-02 9.1360e-01 2.1660e-02
9.5145e+03 4.3440e-44 6.7053e-35 1.0506e-26 2.1163e-19 5.7111e-13 1.2450e-07 9.6814e-04 2.1087e-01 7.8439e-01 3.7699e-03
1.0096e+04 1.9428e-41 2.5326e-32 2.9089e-24 4.0075e-17 6.6739e-11 6.1414e-06 1.3996e-02 6.3886e-01 3.4697e-01 1.6780e-04
1.0712e+04 4.7634e-38 4.8282e-29 3.5469e-21 2.9330e-14 2.2534e-08 5.3629e-04 1.8644e-01 7.8998e-01 2.3046e-02 3.3880e-07
1.1367e+04 1.0507e-33 6.9081e-25 2.5858e-17 1.0117e-10 1.9658e-05 5.0675e-02 8.6558e-01 8.3701e-02 2.3667e-05 1.3759e-12
1.2062e+04 6.5490e-29 2.2912e-20 3.7069e-13 4.7666e-07 9.7344e-03 8.3947e-01 1.5075e-01 4.8833e-05 1.2769e-11 1.7805e-22
1.2794e+04 8.7528e-25 1.5528e-16 1.1664e-09 3.4215e-04 4.1345e-01 5.8578e-01 4.2737e-04 1.4184e-10 8.0034e-21 4.7077e-36
1.3528e+04 7.8090e-22 7.6535e-14 2.9140e-07 1.5800e-02 9.6511e-01 1.9087e-02 4.4294e-08 1.1170e-17 9.4116e-32 0.0000e+00
1.4194e+04 5.0067e-19 2.8430e-11 4.8393e-05 3.3756e-01 6.6229e-01 9.9831e-05 3.1282e-13 2.0951e-26 7.0065e-45 0.0000e+00
1.4758e+04 9.1259e-17 3.2708e-09 1.9061e-03 9.7167e-01 2.6426e-02 9.3789e-09 7.2945e-21 1.6035e-38 0.0000e+00 0.0000e+00
1.5240e+04 2.3623e-14 4.5015e-07 5.2848e-02 9.4701e-01 1.3811e-04 3.4521e-14 1.2185e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.5647e+04 4.3024e-12 3.8426e-05 6.8782e-01 3.1214e-01 1.6617e-07 1.8720e-20 1.4911e-41 0.0000e+00 0.0000e+00 0.0000e+00
1.5960e+04 1.5000e-10 5.0961e-04 9.9274e-01 6.7507e-03 6.3195e-12 1.2490e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6187e+04 5.5677e-09 6.2436e-03 9.9370e-01 5.5742e-05 3.5770e-17 3.3581e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6354e+04 2.7268e-07 9.0070e-02 9.0993e-01 2.3222e-07 3.8070e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6484e+04 7.5751e-06 6.6767e-01 3.3232e-01 2.0989e-10 3.1526e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6593e+04 3.2301e-05 9.6664e-01 3.3324e-02 8.4731e-14 2.1723e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6692e+04 7.2509e-05 9.9561e-01 4.3188e-03 1.3660e-16 3.2790e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6788e+04 1.1680e-04 9.9887e-01 1.0150e-03 1.3170e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6888e+04 1.6305e-04 9.9949e-01 3.4366e-04 3.9806e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6999e+04 2.1877e-04 9.9965e-01 1.3392e-04 1.9183e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7146e+04 2.9520e-04 9.9965e-01 5.2427e-05 9.5426e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7416e+04 4.6807e-04 9.9952e-01 1.3377e-05 1.2688e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7888e+04 1.1450e-03 9.9885e-01 1.1491e-06 6.1739e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 3.2378e-03 9.9676e-01 7.6489e-08 1.5336e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 8.1308e-03 9.9187e-01 6.2513e-09 6.8955e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 1.8319e-02 9.8168e-01 5.9638e-10 4.7669e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 3.7555e-02 9.6244e-01 6.8410e-11 5.8733e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 7.1448e-02 9.2855e-01 9.2124e-12 1.2472e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 1.2123e-01 8.7877e-01 1.3887e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 1.8884e-01 8.1116e-01 2.2926e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 2.7421e-01 7.2579e-01 4.2233e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
