#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ca0 ca1 ca2 ca3
440.10 2.0998e-08 6.7005e-04 8.9862e-01 1.0071e-01
886.22 2.4188e-08 9.1580e-04 9.1442e-01 8.4660e-02
906.14 3.2148e-08 1.0810e-03 9.0627e-01 9.2650e-02
944.43 1.8121e-08 6.3347e-04 8.9905e-01 1.0032e-01
999.11 7.7544e-08 2.3203e-03 8.9801e-01 9.9667e-02
1060.83 2.6901e-08 7.9806e-04 8.8957e-01 1.0963e-01
1125.62 1.6486e-08 5.2095e-04 9.0149e-01 9.7985e-02
1194.38 2.2791e-08 7.4341e-04 9.0089e-01 9.8365e-02
1267.34 3.8593e-08 1.2234e-03 8.9800e-01 1.0077e-01
1344.75 2.2565e-08 7.5731e-04 8.9637e-01 1.0288e-01
1426.89 2.1693e-08 7.5647e-04 9.0115e-01 9.8094e-02
1514.05 2.6005e-08 7.8002e-04 9.0840e-01 9.0815e-02
1606.54 2.9048e-08 9.2572e-04 9.0717e-01 9.1905e-02
1704.67 2.2669e-08 7.0965e-04 9.0622e-01 9.3073e-02
1808.80 1.6969e-08 5.4556e-04 9.1023e-01 8.9227e-02
1919.29 1.9411e-08 6.2552e-04 9.0456e-01 9.4816e-02
2036.53 1.7271e-08 5.3974e-04 9.0755e-01 9.1908e-02
2160.92 1.7824e-08 6.3250e-04 9.0440e-01 9.4966e-02
2292.92 1.6413e-08 5.7891e-04 8.9874e-01 1.0068e-01
2432.98 1.1005e-08 4.7479e-04 8.8888e-01 1.1064e-01
2581.60 9.3525e-09 4.9286e-04 8.7645e-01 1.2306e-01
2739.29 6.9653e-09 4.4494e-04 8.6281e-01 1.3674e-01
2906.62 5.4083e-09 4.3014e-04 8.4440e-01 1.5517e-01
3084.17 4.2504e-09 4.2297e-04 8.0818e-01 1.9140e-01
3272.56 3.1551e-09 3.9009e-04 7.3649e-01 2.6312e-01
3472.46 2.5151e-09 3.9766e-04 6.6103e-01 3.3857e-01
3684.57 1.8946e-09 3.7917e-04 5.5523e-01 4.4439e-01
3909.64 1.1717e-09 2.9794e-04 4.7713e-01 5.2257e-01
4148.46 8.2365e-10 2.4371e-04 5.0835e-01 4.9141e-01
4401.86 1.0170e-09 3.1486e-04 5.5998e-01 4.3970e-01
4670.75 7.9109e-10 2.8107e-04 5.4473e-01 4.5499e-01
4956.05 3.6326e-10 1.8619e-04 4.3451e-01 5.6531e-01
5258.79 1.1682e-10 9.1343e-05 2.5178e-01 7.4813e-01
5580.02 3.3262e-11 3.5467e-05 1.2528e-01 8.7469e-01
5920.87 1.4975e-11 1.9670e-05 8.8962e-02 9.1102e-01
6282.54 8.5056e-12 1.2919e-05 7.1522e-02 9.2846e-01
6666.30 7.2133e-12 1.1511e-05 7.0009e-02 9.2998e-01
7073.50 6.1825e-12 1.0099e-05 6.9974e-02 9.3002e-01
7505.58 5.6943e-12 9.3900e-06 6.8522e-02 9.3147e-01
7964.05 7.1578e-12 1.1398e-05 8.3138e-02 9.1685e-01
8450.53 1.1240e-11 1.5337e-05 1.0720e-01 8.9279e-01
8966.72 2.7169e-11 2.8779e-05 1.8603e-01 8.1394e-01
9514.44 6.5892e-11 4.9471e-05 2.9929e-01 7.0066e-01
10095.62 1.6143e-10 7.9325e-05 4.2274e-01 5.7718e-01
10712.30 3.1305e-10 1.0101e-04 5.5124e-01 4.4866e-01
11366.65 4.2401e-10 1.0798e-04 6.0565e-01 3.9425e-01
12061.10 4.8471e-10 1.0922e-04 6.3675e-01 3.6314e-01
12793.43 3.7172e-10 7.6252e-05 6.4765e-01 3.5227e-01
13528.61 4.4946e-10 7.5518e-05 6.3026e-01 3.6967e-01
14194.74 4.5932e-10 6.6623e-05 6.0867e-01 3.9126e-01
14757.77 5.1527e-10 6.9653e-05 5.5119e-01 4.4874e-01
15240.48 8.4985e-10 8.7829e-05 5.4291e-01 4.5700e-01
15646.99 2.1482e-09 1.6465e-04 5.1443e-01 4.8540e-01
15960.30 8.6781e-09 3.9935e-04 5.4445e-01 4.5515e-01
16187.41 1.5209e-08 5.4458e-04 5.3909e-01 4.6036e-01
16354.17 1.7721e-08 5.9633e-04 5.2721e-01 4.7220e-01
16484.18 1.5496e-08 5.6268e-04 4.7571e-01 5.2373e-01
16593.12 1.4914e-08 5.8855e-04 4.2250e-01 5.7691e-01
16691.99 1.1058e-08 4.6855e-04 4.2824e-01 5.7130e-01
16788.59 1.0445e-08 4.5771e-04 3.7118e-01 6.2836e-01
16888.37 8.1754e-09 3.8772e-04 3.3188e-01 6.6773e-01
16998.79 8.3012e-09 4.2138e-04 3.1062e-01 6.8895e-01
17146.37 6.9188e-09 3.7016e-04 2.9192e-01 7.0771e-01
17415.23 5.0922e-09 2.9965e-04 2.9254e-01 7.0716e-01
17888.12 3.5703e-09 2.5064e-04 2.4351e-01 7.5624e-01
18532.37 2.8911e-09 2.2228e-04 2.1825e-01 7.8153e-01
19260.76 2.2503e-09 1.8199e-04 1.8407e-01 8.1575e-01
20034.10 1.3748e-09 1.2058e-04 1.5512e-01 8.4476e-01
20838.00 9.6230e-10 8.7928e-05 1.3699e-01 8.6293e-01
21647.97 8.8203e-10 8.2266e-05 1.2467e-01 8.7525e-01
22447.94 6.3684e-10 5.8896e-05 1.2255e-01 8.7739e-01
23245.88 4.2173e-10 4.3724e-05 9.8404e-02 9.0155e-01
24052.47 2.4935e-10 2.9625e-05 8.7296e-02 9.1267e-01
24867.72 1.4571e-10 1.7948e-05 8.0902e-02 9.1908e-01
25698.86 1.4885e-10 1.7998e-05 6.7115e-02 9.3287e-01
26587.16 7.9273e-11 1.0266e-05 9.1510e-02 9.0848e-01
27637.54 4.3032e-11 6.6087e-06 1.7292e-01 8.2708e-01
28986.97 3.3544e-11 5.5406e-06 1.2419e-01 8.7581e-01
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] ca0 ca1 ca2 ca3
440.10 2.0516e-08 6.5097e-04 9.0276e-01 9.6589e-02
886.22 8.6161e-09 3.2016e-04 9.0145e-01 9.8233e-02
906.14 2.7119e-08 6.7534e-04 9.0453e-01 9.4797e-02
944.43 3.9358e-08 1.0857e-03 9.0114e-01 9.7770e-02
999.11 3.1130e-08 8.6382e-04 9.0414e-01 9.4998e-02
1060.83 5.6159e-08 1.5665e-03 8.9735e-01 1.0109e-01
1125.62 3.4418e-08 1.0716e-03 8.9678e-01 1.0215e-01
1194.38 2.3472e-08 7.5113e-04 8.8992e-01 1.0933e-01
