#NTIMES: 200
#NSTAGES: 6
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] k0 k1 k2 k3 k4 k5
4.8516e+04 2.5050e-08 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
4.9754e+04 1.8771e-08 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.1012e+04 1.3864e-08 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.2292e+04 1.0192e-08 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.3596e+04 7.4728e-09 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.4921e+04 5.4750e-09 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.6265e+04 4.0082e-09 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.7622e+04 2.9350e-09 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
5.8985e+04 2.1582e-09 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.0341e+04 1.5949e-09 1.0000e+00 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.1676e+04 1.1919e-09 1.0000e+00 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.2975e+04 9.0058e-10 1.0000e+00 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.4219e+04 6.9201e-10 1.0000e+00 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.5388e+04 5.4278e-10 1.0000e+00 4.2039e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.6461e+04 4.3570e-10 1.0000e+00 4.2039e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.7422e+04 3.5908e-10 1.0000e+00 4.2039e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.8257e+04 3.0438e-10 1.0000e+00 4.2039e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.8960e+04 2.6538e-10 1.0000e+00 4.2039e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.9475e+04 2.3781e-10 1.0000e+00 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.9758e+04 2.2685e-10 1.0000e+00 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.9886e+04 2.2377e-10 1.0000e+00 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.9950e+04 2.1936e-10 1.0000e+00 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.9982e+04 2.3068e-10 1.0000e+00 4.2039e-45 0.0000e+00 0.0000e+00 0.0000e+00
6.9996e+04 1.9611e-10 1.0000e+00 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 8.1116e-11 1.0000e+00 1.4013e-44 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.0089
#NVEL: 115
#vel_mid[km/s] k0 k1 k2 k3 k4 k5
4.4010e+02 8.1297e-36 1.9054e-27 1.1068e-18 6.0502e-11 1.6929e-04 9.9983e-01
8.8623e+02 2.6602e-26 7.5261e-20 5.3353e-13 3.6224e-07 1.2905e-02 9.8709e-01
9.0614e+02 2.6916e-26 7.6089e-20 5.3869e-13 3.6496e-07 1.2959e-02 9.8704e-01
9.4442e+02 2.6878e-26 7.5991e-20 5.3809e-13 3.6465e-07 1.2953e-02 9.8705e-01
9.9911e+02 2.6983e-26 7.6264e-20 5.3977e-13 3.6552e-07 1.2970e-02 9.8703e-01
1.0608e+03 2.6670e-26 7.5478e-20 5.3509e-13 3.6315e-07 1.2924e-02 9.8708e-01
1.1257e+03 2.6424e-26 7.4787e-20 5.3055e-13 3.6066e-07 1.2874e-02 9.8713e-01
1.1944e+03 2.4911e-26 7.0787e-20 5.0551e-13 3.4739e-07 1.2611e-02 9.8739e-01
1.2673e+03 1.9898e-26 5.7455e-20 4.2103e-13 3.0154e-07 1.1666e-02 9.8833e-01
1.3448e+03 7.5974e-27 2.3637e-20 1.9411e-13 1.6585e-07 8.4032e-03 9.9160e-01
1.4269e+03 1.1737e-27 4.2434e-21 4.3533e-14 5.2112e-08 4.4527e-03 9.9555e-01
1.5140e+03 1.6302e-28 7.0325e-22 9.2261e-15 1.5694e-08 2.3121e-03 9.9769e-01
1.6065e+03 3.1574e-29 1.6092e-22 2.6260e-15 5.9751e-09 1.3697e-03 9.9863e-01
1.7047e+03 7.7262e-30 4.5386e-23 8.9298e-16 2.5973e-09 8.7227e-04 9.9913e-01
1.8088e+03 1.7573e-30 1.2025e-23 2.8898e-16 1.0852e-09 5.4445e-04 9.9946e-01
1.9193e+03 3.4785e-31 2.8496e-24 8.6111e-17 4.2770e-10 3.3034e-04 9.9967e-01
2.0365e+03 6.2774e-32 6.2732e-25 2.4333e-17 1.6231e-10 1.9694e-04 9.9980e-01
2.1609e+03 1.0636e-32 1.3212e-25 6.7034e-18 6.0759e-11 1.1695e-04 9.9988e-01
2.2929e+03 1.7243e-33 2.7130e-26 1.8316e-18 2.2791e-11 6.9777e-05 9.9993e-01
2.4330e+03 3.0168e-34 5.9590e-27 5.3040e-19 8.9296e-12 4.2672e-05 9.9996e-01
2.5816e+03 6.7026e-35 1.6100e-27 1.8214e-19 3.9757e-12 2.7943e-05 9.9997e-01
2.7393e+03 2.0715e-35 5.8203e-28 7.9673e-20 2.1324e-12 2.0200e-05 9.9998e-01
2.9067e+03 8.6796e-36 2.7683e-28 4.3925e-20 1.3729e-12 1.6088e-05 9.9998e-01
3.0842e+03 4.7216e-36 1.6799e-28 2.9898e-20 1.0502e-12 1.4045e-05 9.9999e-01
3.2726e+03 3.4855e-36 1.3475e-28 2.5801e-20 9.7170e-13 1.3556e-05 9.9999e-01
3.4725e+03 3.4189e-36 1.3948e-28 2.7570e-20 1.0633e-12 1.4294e-05 9.9999e-01
3.6846e+03 4.1772e-36 1.7749e-28 3.5288e-20 1.3500e-12 1.6326e-05 9.9998e-01
3.9097e+03 5.3445e-36 2.4103e-28 4.8603e-20 1.8467e-12 1.9474e-05 9.9998e-01
4.1484e+03 8.1724e-36 3.7114e-28 7.2622e-20 2.6251e-12 2.3633e-05 9.9998e-01
4.4019e+03 1.2492e-35 5.4136e-28 9.9578e-20 3.3541e-12 2.6918e-05 9.9997e-01
4.6708e+03 9.9183e-36 4.4534e-28 8.5229e-20 2.9944e-12 2.5379e-05 9.9997e-01
4.9561e+03 4.5874e-36 2.3578e-28 5.2043e-20 2.1181e-12 2.1264e-05 9.9998e-01
5.2588e+03 2.2267e-36 1.3071e-28 3.3104e-20 1.5500e-12 1.8148e-05 9.9998e-01
5.5800e+03 1.5359e-36 9.6915e-29 2.6405e-20 1.3307e-12 1.6808e-05 9.9998e-01
5.9209e+03 1.3143e-36 8.7067e-29 2.4734e-20 1.2944e-12 1.6635e-05 9.9998e-01
6.2825e+03 1.2654e-36 8.7268e-29 2.5479e-20 1.3601e-12 1.7164e-05 9.9998e-01
6.6663e+03 1.4223e-36 9.9512e-29 2.9046e-20 1.5360e-12 1.8382e-05 9.9998e-01
7.0735e+03 1.7876e-36 1.2579e-28 3.6207e-20 1.8638e-12 2.0467e-05 9.9998e-01
7.5056e+03 2.3549e-36 1.6958e-28 4.8511e-20 2.4301e-12 2.3766e-05 9.9998e-01
7.9641e+03 3.7189e-36 2.6832e-28 7.4338e-20 3.5097e-12 2.9159e-05 9.9997e-01
8.4505e+03 7.7951e-36 5.3799e-28 1.3744e-19 5.7908e-12 3.8354e-05 9.9996e-01
8.9668e+03 2.2929e-35 1.4751e-27 3.3424e-19 1.1872e-11 5.6842e-05 9.9994e-01
9.5145e+03 1.2005e-34 6.8913e-27 1.2973e-18 3.5155e-11 1.0317e-04 9.9990e-01
1.0096e+04 1.5166e-33 7.1992e-26 1.0131e-17 1.7793e-10 2.5161e-04 9.9975e-01
1.0712e+04 7.0240e-32 2.5787e-24 2.3787e-16 2.1107e-09 9.8894e-04 9.9901e-01
1.1367e+04 3.6632e-29 9.2888e-22 4.2493e-14 1.1580e-07 9.1425e-03 9.9086e-01
1.2062e+04 3.8210e-25 6.6644e-18 9.8479e-11 4.0798e-05 2.1942e-01 7.8054e-01
1.2794e+04 2.2944e-21 3.3027e-14 1.0991e-07 4.4141e-03 9.4303e-01 5.2555e-02
1.3528e+04 3.8973e-18 5.3510e-11 3.4385e-05 1.1812e-01 8.8122e-01 6.2784e-04
1.4194e+04 3.3517e-15 4.5777e-08 4.2616e-03 8.5826e-01 1.3748e-01 6.4846e-07
1.4758e+04 1.1829e-12 1.7031e-05 1.4449e-01 8.5434e-01 1.1580e-03 1.0214e-11
1.5240e+04 1.7684e-10 2.1776e-03 9.2468e-01 7.3140e-02 3.1777e-07 1.4968e-18
1.5647e+04 6.8938e-09 6.1597e-02 9.3775e-01 6.5151e-04 5.5077e-12 7.1897e-27
1.5960e+04 1.2600e-07 7.3492e-01 2.6508e-01 9.1936e-07 7.3924e-18 1.0137e-36
1.6187e+04 2.6294e-07 9.9509e-01 4.9067e-03 3.7647e-11 9.7225e-26 0.0000e+00
1.6354e+04 3.8178e-07 9.9995e-01 4.6836e-05 4.4473e-16 1.6529e-34 0.0000e+00
1.6484e+04 5.4108e-07 1.0000e+00 2.4898e-07 1.1990e-21 1.9618e-44 0.0000e+00
1.6593e+04 6.7648e-07 1.0000e+00 1.3970e-09 3.3540e-27 0.0000e+00 0.0000e+00
1.6692e+04 7.8225e-07 1.0000e+00 1.3570e-11 3.4172e-32 0.0000e+00 0.0000e+00
1.6788e+04 7.7261e-07 1.0000e+00 9.0258e-13 3.8583e-35 0.0000e+00 0.0000e+00
1.6888e+04 7.5513e-07 1.0000e+00 1.3113e-13 3.0397e-37 0.0000e+00 0.0000e+00
1.6999e+04 7.3388e-07 1.0000e+00 3.5917e-14 1.1658e-38 0.0000e+00 0.0000e+00
1.7146e+04 7.2445e-07 1.0000e+00 7.6197e-15 2.3689e-40 0.0000e+00 0.0000e+00
1.7416e+04 7.7474e-07 1.0000e+00 4.8256e-16 2.3962e-43 0.0000e+00 0.0000e+00
1.7888e+04 1.0005e-06 1.0000e+00 4.5984e-18 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 1.4828e-06 1.0000e+00 3.2859e-20 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 2.0552e-06 1.0000e+00 3.5484e-22 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 2.6662e-06 1.0000e+00 4.9668e-24 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 3.3606e-06 1.0000e+00 9.9435e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 4.1532e-06 1.0000e+00 3.2057e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 4.9843e-06 9.9999e-01 8.2772e-29 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 5.2794e-06 9.9999e-01 5.3939e-30 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 5.6291e-06 9.9999e-01 4.0671e-31 0.0000e+00 0.0000e+00 0.0000e+00
2.4868e+04 6.1251e-06 9.9999e-01 2.9646e-32 0.0000e+00 0.0000e+00 0.0000e+00
2.5699e+04 6.4044e-06 9.9999e-01 2.6491e-33 0.0000e+00 0.0000e+00 0.0000e+00
2.6588e+04 6.4048e-06 9.9999e-01 1.9056e-34 0.0000e+00 0.0000e+00 0.0000e+00
