#NTIMES: 265
#NSTAGES: 5
#TIMES[d]: 1.074 1.181 1.299 1.429 1.572 1.729 1.902 2.092 2.301 2.531 2.785 3.063 3.369 3.706 4.077 4.485 4.933 5.426 5.969 6.566 7.223 7.945 8.739 9.613 10.575 11.575 12.575 13.575 14.575 15.575 16.575 17.575 18.575 19.575 20.575 21.575 22.575 23.575 24.575 25.575 26.575 27.575 28.575 29.575 30.575 31.575 32.575 33.575 34.575 35.575 36.575 37.575 38.575 39.575 40.575 41.575 42.575 43.575 44.575 45.575 46.575 47.575 48.575 49.575 50.575 51.575 52.575 53.575 54.575 55.575 56.575 57.575 58.575 59.575 60.575 61.575 62.575 63.575 64.575 65.575 66.575 67.575 68.575 69.575 70.575 71.575 72.575 73.575 74.575 75.575 76.575 77.575 78.575 79.575 80.575 81.575 82.575 83.575 84.575 85.575 86.575 87.575 88.575 89.575 90.575 91.575 92.575 93.575 94.575 95.575 96.575 97.575 98.575 99.575 100.575 101.575 102.575 103.575 104.575 105.575 106.575 107.575 108.575 109.575 110.575 111.575 112.575 113.575 114.575 115.575 116.575 117.575 118.575 119.575 120.575 121.575 122.575 123.575 124.575 125.575 126.575 127.575 128.575 129.575 130.575 131.575 132.575 133.575 134.575 135.575 136.575 137.575 138.575 139.575 140.575 141.575 142.575 143.575 144.575 145.575 146.575 147.575 148.575 149.575 150.575 151.575 152.575 153.575 154.575 155.575 156.575 157.575 158.575 159.575 160.575 161.575 162.575 163.575 164.575 165.575 166.575 167.575 168.575 169.575 170.575 171.575 172.575 173.575 174.575 175.575 176.575 177.575 178.575 179.575 180.575 181.575 182.575 183.575 184.575 185.575 186.575 187.575 188.575 189.575 190.575 191.575 192.575 193.575 194.575 195.575 196.575 197.575 198.575 199.575 200.575 201.575 202.575 203.575 204.575 205.575 206.575 207.575 208.575 209.575 210.575 211.575 212.575 213.575 214.575 215.575 216.575 217.575 218.575 219.575 220.575 221.575 222.575 223.575 224.575 225.575 226.575 227.575 228.575 229.575 230.575 231.575 232.575 233.575 234.575 235.575 236.575 237.575 238.575 239.575 240.575 241.575 242.575 243.575 244.575 245.575 246.575 247.575 248.575 249.575 250.575 
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Cr0 Cr1 Cr2 Cr3 Cr4
1.789e+09 8.244274e-05 9.998122e-01 1.053675e-04 3.937524e-22 2.500597e-57
1.853e+09 1.905697e-04 9.998002e-01 9.241290e-06 2.601877e-25 6.144002e-64
1.926e+09 4.000344e-04 9.995990e-01 9.730919e-07 2.904298e-28 4.299797e-70
2.003e+09 7.743636e-04 9.992255e-01 1.173435e-07 4.706057e-31 6.212414e-76
2.084e+09 1.421101e-03 9.985789e-01 1.657865e-08 1.242889e-33 2.498345e-81
2.165e+09 2.540102e-03 9.974599e-01 2.694103e-09 5.200149e-36 2.726230e-86
2.245e+09 4.115791e-03 9.958842e-01 5.007638e-10 3.027219e-38 5.412649e-91
2.325e+09 6.191331e-03 9.938087e-01 1.058057e-10 2.482184e-40 2.080851e-95
2.405e+09 8.799235e-03 9.912008e-01 2.609181e-11 3.221267e-42 2.064313e-99
2.487e+09 1.162445e-02 9.883755e-01 7.944946e-12 7.839288e-44 7.537157e-103
2.570e+09 1.403025e-02 9.859697e-01 2.964163e-12 3.382657e-45 8.688135e-106
2.659e+09 1.578851e-02 9.842115e-01 1.169693e-12 1.596624e-46 1.101707e-108
2.764e+09 1.868960e-02 9.813104e-01 3.103859e-13 2.053683e-48 8.174088e-113
2.899e+09 2.503565e-02 9.749643e-01 3.687955e-14 1.969506e-51 2.172006e-119
3.065e+09 1.379849e-02 9.862015e-01 2.584151e-14 2.267640e-52 6.788810e-122
3.252e+09 4.071620e-03 9.959284e-01 4.698956e-14 2.876509e-52 1.833228e-122
3.446e+09 8.334845e-04 9.991665e-01 2.221245e-13 6.045149e-51 1.592607e-120
3.637e+09 2.648150e-04 9.997352e-01 1.015872e-12 2.190449e-49 9.102399e-118
3.815e+09 1.161756e-04 9.998838e-01 3.991311e-12 7.550365e-48 7.524834e-115
3.975e+09 7.999388e-05 9.999200e-01 6.659505e-12 2.579613e-47 6.802413e-114
4.117e+09 7.535633e-05 9.999246e-01 4.648458e-12 6.767539e-48 3.090751e-115
4.247e+09 9.740050e-05 9.999026e-01 1.248870e-12 1.024843e-49 3.735318e-119
4.369e+09 1.796590e-04 9.998203e-01 1.408581e-13 1.284274e-52 2.855003e-125
4.488e+09 4.193371e-04 9.995807e-01 9.350984e-15 3.610695e-56 1.081519e-132
4.608e+09 9.271196e-04 9.990729e-01 7.045600e-16 1.456201e-59 8.488434e-140
4.729e+09 8.743303e-04 9.991257e-01 4.723134e-16 3.323929e-60 2.822962e-141
4.852e+09 6.926351e-04 9.993074e-01 5.014762e-16 2.899961e-60 1.468156e-141
4.975e+09 5.323383e-04 9.994677e-01 5.763148e-16 3.186547e-60 1.225118e-141
5.101e+09 3.985958e-04 9.996014e-01 7.070919e-16 4.229755e-60 1.502951e-141
5.229e+09 2.949744e-04 9.997050e-01 8.913375e-16 6.063079e-60 2.153266e-141
5.360e+09 2.177404e-04 9.997823e-01 1.128101e-15 8.781013e-60 3.145497e-141
5.492e+09 1.603052e-04 9.998397e-01 1.436210e-15 1.293157e-59 4.752061e-141
5.627e+09 1.179591e-04 9.998820e-01 1.832238e-15 1.916730e-59 7.278653e-141
5.762e+09 8.698749e-05 9.999130e-01 2.336059e-15 2.844261e-59 1.121383e-140
5.899e+09 6.446988e-05 9.999355e-01 2.962989e-15 4.176002e-59 1.699579e-140
6.034e+09 4.810795e-05 9.999519e-01 3.745232e-15 6.119660e-59 2.591155e-140
6.168e+09 3.630638e-05 9.999637e-01 4.680059e-15 8.762860e-59 3.814192e-140
6.297e+09 2.777383e-05 9.999722e-01 5.789188e-15 1.235788e-58 5.536337e-140
6.422e+09 2.159834e-05 9.999784e-01 7.068784e-15 1.706756e-58 7.857910e-140
6.539e+09 1.714068e-05 9.999829e-01 8.486958e-15 2.290778e-58 1.078114e-139
6.646e+09 1.394029e-05 9.999861e-01 9.977850e-15 2.963382e-58 1.412326e-139
6.742e+09 1.161676e-05 9.999884e-01 1.150951e-14 3.719348e-58 1.792613e-139
6.826e+09 9.958282e-06 9.999900e-01 1.297498e-14 4.493956e-58 2.179031e-139
6.896e+09 8.747973e-06 9.999913e-01 1.437619e-14 5.301027e-58 2.602862e-139
6.948e+09 7.906294e-06 9.999921e-01 1.553789e-14 5.981494e-58 2.935903e-139
6.976e+09 7.601744e-06 9.999924e-01 1.598626e-14 6.231165e-58 3.035252e-139
