#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 
16888.37 1.30e-07 5.86e-01 4.14e-01 1.81e-10 7.36e-32 4.75e-36 2.10e-36 
16998.79 1.83e-07 6.76e-01 3.24e-01 3.00e-11 7.82e-34 6.18e-36 2.73e-36 
17146.37 2.08e-07 8.01e-01 1.99e-01 1.21e-11 1.33e-34 8.41e-36 3.73e-36 
17415.23 2.69e-07 8.92e-01 1.08e-01 4.19e-13 2.23e-35 1.29e-35 5.76e-36 
17888.12 4.39e-07 9.67e-01 3.27e-02 4.02e-15 4.34e-35 2.54e-35 1.14e-35 
18532.37 6.52e-07 9.95e-01 4.72e-03 7.65e-18 7.28e-35 4.31e-35 1.95e-35 
19260.76 7.93e-07 9.99e-01 7.61e-04 9.80e-21 1.10e-34 6.57e-35 3.00e-35 
20034.10 8.01e-07 1.00e+00 3.28e-04 9.38e-23 1.64e-34 9.83e-35 4.53e-35 
20838.00 1.00e-06 1.00e+00 3.08e-05 5.70e-26 2.39e-34 1.44e-34 6.68e-35 
21647.97 1.22e-06 1.00e+00 1.23e-05 2.04e-27 3.30e-34 2.00e-34 9.34e-35 
22447.94 1.50e-06 1.00e+00 5.26e-06 2.18e-28 4.86e-34 2.95e-34 1.39e-34 
23245.88 1.73e-06 1.00e+00 8.77e-07 6.19e-32 7.45e-34 4.53e-34 2.14e-34 
24052.47 2.19e-06 1.00e+00 1.92e-06 4.87e-30 1.15e-33 7.02e-34 3.33e-34 
24867.72 2.40e-06 1.00e+00 8.09e-07 3.15e-31 1.78e-33 1.09e-33 5.18e-34 
25698.86 2.91e-06 1.00e+00 4.49e-08 4.75e-33 2.75e-33 1.68e-33 8.03e-34 
26587.16 3.49e-06 1.00e+00 2.38e-08 7.08e-33 4.10e-33 2.51e-33 1.21e-33 
27637.54 2.68e-06 1.00e+00 1.24e-08 9.51e-33 5.50e-33 3.38e-33 1.63e-33 
28986.97 3.02e-06 1.00e+00 1.81e-09 1.16e-32 6.73e-33 4.14e-33 2.02e-33 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 
440.10 3.27e-18 5.19e-11 9.53e-06 5.33e-02 9.03e-01 4.34e-02 2.11e-06 
999.11 1.25e-19 2.49e-12 7.84e-07 1.10e-02 7.55e-01 2.34e-01 1.42e-04 
1267.34 3.18e-21 7.84e-14 3.65e-08 1.23e-03 3.43e-01 6.51e-01 4.82e-03 
1514.05 1.94e-22 5.19e-15 3.03e-09 1.83e-04 1.29e-01 8.38e-01 3.35e-02 
1808.80 1.32e-23 4.13e-16 3.08e-10 3.17e-05 4.74e-02 8.26e-01 1.26e-01 
1919.29 1.02e-24 3.48e-17 3.00e-11 4.82e-06 1.48e-02 6.67e-01 3.18e-01 
2160.92 6.19e-26 2.55e-18 2.76e-12 7.43e-07 4.49e-03 4.46e-01 5.49e-01 
2292.92 2.43e-27 9.97e-20 1.23e-13 6.36e-08 9.34e-04 2.35e-01 7.64e-01 
2432.98 8.00e-28 3.78e-20 5.34e-14 3.25e-08 5.82e-04 1.85e-01 8.14e-01 
2581.60 3.04e-28 1.58e-20 2.49e-14 1.76e-08 3.77e-04 1.47e-01 8.53e-01 
2739.29 1.43e-28 8.25e-21 1.42e-14 1.12e-08 2.71e-04 1.23e-01 8.77e-01 
2906.62 8.80e-29 5.39e-21 9.96e-15 8.52e-09 2.25e-04 1.11e-01 8.89e-01 
3084.17 5.43e-29 3.65e-21 7.36e-15 6.96e-09 2.00e-04 1.05e-01 8.95e-01 
