#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7 ni8
6.468731e+03 3.482245e-36 1.033283e-26 1.197632e-18 1.643489e-11 7.371294e-06 3.644966e-02 8.022181e-01 1.612572e-01 6.769223e-05 
6.863867e+03 8.775352e-36 2.591499e-26 2.966820e-18 3.788951e-11 1.445878e-05 5.504702e-02 8.400032e-01 1.049110e-01 2.430648e-05 
7.283139e+03 4.262298e-35 1.244929e-25 1.382082e-17 1.546666e-10 4.431102e-05 1.057134e-01 8.482395e-01 4.599906e-02 3.734786e-06 
7.728022e+03 3.743300e-34 1.036410e-24 1.066968e-16 9.651094e-10 1.820721e-04 2.276538e-01 7.588459e-01 1.331800e-02 2.673786e-07 
8.200081e+03 3.881845e-33 9.719896e-24 8.925187e-16 6.204839e-09 7.244073e-04 4.401462e-01 5.562959e-01 2.833441e-03 1.234855e-08 
8.700974e+03 6.627263e-32 1.459576e-22 1.147937e-14 5.522719e-08 3.305742e-03 7.455671e-01 2.508892e-01 2.378714e-04 1.297839e-10 
9.232464e+03 2.680101e-30 4.780721e-21 2.891835e-13 7.967868e-07 1.766304e-02 9.360852e-01 4.624707e-02 3.866924e-06 1.064240e-13 
9.796417e+03 3.453128e-28 4.431230e-19 1.794606e-11 2.185847e-05 1.207744e-01 8.760398e-01 3.163949e-03 9.781027e-09 4.762935e-18 
1.039482e+04 8.074127e-26 7.092742e-17 1.754599e-09 7.315784e-04 6.497962e-01 3.494328e-01 3.940412e-05 1.576165e-12 3.643022e-24 
1.102978e+04 1.789856e-23 1.037552e-14 1.363551e-07 1.313397e-02 9.717258e-01 1.514011e-02 1.492069e-08 1.529684e-18 2.313334e-33 
1.170352e+04 7.244238e-21 2.707910e-12 1.589258e-05 2.345312e-01 7.653125e-01 1.404101e-04 3.440820e-13 1.913281e-26 2.777344e-45 
1.241868e+04 1.001154e-18 2.483779e-10 5.655373e-04 9.189982e-01 8.043622e-02 8.712332e-08 1.908688e-19 1.643115e-36 4.852922e-60 
1.316817e+04 4.033210e-17 7.556366e-09 6.470138e-03 9.917730e-01 1.756855e-03 7.367457e-12 7.036866e-27 3.905697e-48 7.792502e-77 
1.388905e+04 1.856117e-15 2.489643e-07 7.191066e-02 9.280587e-01 3.034252e-05 4.568050e-16 1.611599e-34 4.934827e-60 5.623925e-94 
1.450043e+04 7.406493e-14 6.448555e-06 5.373796e-01 4.626137e-01 2.037370e-07 7.406493e-21 5.210246e-43 4.415858e-73 1.245319e-112 
1.501511e+04 1.978327e-12 8.066963e-05 9.843616e-01 1.555772e-02 1.306080e-11 7.922911e-29 2.444098e-56 5.570046e-93 1.334890e-140 
1.546584e+04 3.916395e-09 1.357553e-02 9.864237e-01 7.862090e-07 1.748216e-22 1.015723e-48 5.361848e-89 3.379234e-141 7.354228e-208 
1.582815e+04 1.058743e-04 9.997370e-01 1.571256e-04 8.395768e-22 8.362050e-55 5.040832e-105 1.905064e-179 2.545705e-273 0.000000e+00 
