#NTIMES:     65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ne1           ne2           ne3           ne4
    1.803761E+03    5.7670E-19    3.5024E-12    8.2102E-06    9.9999E-01
    1.915407E+03    1.9514E-19    1.6472E-12    5.2798E-06    9.9999E-01
    2.033963E+03    1.3029E-19    1.2441E-12    4.4871E-06    1.0000E+00
    2.159857E+03    5.2575E-20    6.6636E-13    3.1710E-06    1.0000E+00
    2.293544E+03    2.2347E-20    3.7199E-13    2.3255E-06    1.0000E+00
    2.435505E+03    1.0588E-20    2.2417E-13    1.7891E-06    1.0000E+00
    2.586253E+03    3.9251E-21    1.1442E-13    1.2730E-06    1.0000E+00
    2.746332E+03    2.3900E-21    8.1894E-14    1.0789E-06    1.0000E+00
    2.916319E+03    1.5309E-21    6.0670E-14    9.3164E-07    1.0000E+00
    3.096828E+03    1.0295E-21    4.6528E-14    8.1675E-07    1.0000E+00
    3.288509E+03    8.0640E-22    3.9580E-14    7.5182E-07    1.0000E+00
    3.492055E+03    7.1885E-22    3.6768E-14    7.2247E-07    1.0000E+00
    3.708199E+03    6.5068E-22    3.4565E-14    6.9954E-07    1.0000E+00
    3.937722E+03    5.5994E-22    3.1460E-14    6.6893E-07    1.0000E+00
    4.181452E+03    6.1467E-22    3.3847E-14    7.0162E-07    1.0000E+00
    4.440267E+03    6.9563E-22    3.6787E-14    7.3225E-07    1.0000E+00
    4.715102E+03    5.0617E-22    2.9590E-14    6.5221E-07    1.0000E+00
    5.006948E+03    2.7080E-22    1.9488E-14    5.2899E-07    1.0000E+00
    5.316859E+03    2.0097E-22    1.5943E-14    4.7757E-07    1.0000E+00
    5.645951E+03    1.7575E-22    1.4584E-14    4.5691E-07    1.0000E+00
    5.995413E+03    1.6480E-22    1.4000E-14    4.4855E-07    1.0000E+00
    6.366506E+03    1.5792E-22    1.3660E-14    4.4507E-07    1.0000E+00
    6.760567E+03    1.5584E-22    1.3576E-14    4.4526E-07    1.0000E+00
    7.179019E+03    1.5574E-22    1.3622E-14    4.4842E-07    1.0000E+00
    7.623372E+03    1.5688E-22    1.3822E-14    4.5884E-07    1.0000E+00
    8.095229E+03    1.6591E-22    1.4488E-14    4.7806E-07    1.0000E+00
    8.596292E+03    1.9022E-22    1.6022E-14    5.1195E-07    1.0000E+00
    9.128368E+03    2.5674E-22    1.9987E-14    5.9641E-07    1.0000E+00
    9.693378E+03    4.6784E-22    3.1049E-14    8.0629E-07    1.0000E+00
    1.029336E+04    1.2958E-21    6.5462E-14    1.3265E-06    1.0000E+00
    1.093048E+04    8.2008E-21    2.6789E-13    3.5136E-06    1.0000E+00
    1.160703E+04    1.4538E-19    2.7858E-12    1.7168E-05    9.9998E-01
    1.232546E+04    8.1422E-18    1.0577E-10    1.8071E-04    9.9982E-01
    1.308836E+04    2.8721E-16    3.0571E-09    1.4342E-03    9.9857E-01
    1.389955E+04    2.0033E-14    1.8036E-07    1.6995E-02    9.8300E-01
    1.474312E+04    3.7329E-11    1.6278E-04    6.6155E-01    3.3829E-01
    1.540367E+04    7.7810E-07    1.6950E-01    8.3048E-01    1.6562E-05
    1.581332E+04    9.0756E-05    9.7709E-01    2.2817E-02    1.6692E-10
    1.611284E+04    2.0631E-03    9.9785E-01    8.7644E-05    1.4854E-16
    1.636570E+04    8.4543E-02    9.1546E-01    7.4330E-08    3.1054E-24
    1.654730E+04    5.6057E-01    4.3943E-01    2.1760E-10    3.2704E-30
    1.669441E+04    9.3077E-01    6.9227E-02    3.4607E-13    4.0504E-36
    1.681682E+04    9.9455E-01    5.4459E-03    1.7618E-16    7.9991E-43
    1.692241E+04    9.9959E-01    4.1194E-04    8.3232E-20    1.3888E-49
    1.702116E+04    9.9995E-01    4.9086E-05    1.3211E-22    6.0991E-54
    1.711664E+04    9.9999E-01    1.0468E-05    1.1638E-24    3.8052E-57
    1.721561E+04    1.0000E+00    3.0729E-06    2.7519E-26    3.7108E-58
    1.732334E+04    1.0000E+00    9.7772E-07    8.4101E-28    1.3281E-58
    1.744562E+04    1.0000E+00    3.2882E-07    3.0767E-29    4.8199E-59
    1.759425E+04    1.0000E+00    1.1211E-07    1.1862E-30    1.7306E-59
    1.788224E+04    1.0000E+00    2.2824E-08    1.0237E-32    3.6853E-60
    1.867332E+04    1.0000E+00    1.5377E-09    4.3164E-36    2.6006E-61
    1.962851E+04    1.0000E+00    3.6988E-10    2.8554E-36    6.5849E-62
    2.067444E+04    1.0000E+00    2.9711E-10    8.8828E-36    5.5919E-62
    2.182447E+04    1.0000E+00    3.5042E-10    1.9551E-35    6.9524E-62
    2.306690E+04    1.0000E+00    6.3708E-10    5.7776E-35    1.3282E-61
    2.438107E+04    1.0000E+00    1.1370E-09    1.3697E-34    2.4783E-61
    2.587845E+04    1.0000E+00    1.6917E-09    2.2237E-34    4.1373E-61
    2.749199E+04    1.0000E+00    2.8368E-09    4.0988E-34    7.5202E-61
    2.896661E+04    1.0000E+00    2.7909E-09    3.7318E-34    7.7319E-61
    3.023928E+04    1.0000E+00    2.3012E-09    2.5728E-34    6.7657E-61
    3.138852E+04    1.0000E+00    3.0370E-09    3.7235E-34    8.1632E-61
