#NTIMES:     65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5           fe6           fe7
    1.232546E+04    1.0439E-32    8.6464E-24    2.1912E-16    4.9941E-10    4.0381E-05    6.9530E-02    8.6827E-01    6.2159E-02
    1.308836E+04    4.4157E-29    2.3878E-20    3.3965E-13    2.8295E-07    4.3493E-03    6.7246E-01    3.2281E-01    3.7842E-04
    1.389955E+04    7.4922E-26    2.6007E-17    1.9965E-10    5.1545E-05    1.0452E-01    8.8705E-01    8.3722E-03    6.8159E-08
    1.474312E+04    2.9466E-21    4.2150E-13    9.5635E-07    2.3773E-02    9.4326E-01    3.2963E-02    1.9616E-07    1.4906E-16
    1.540367E+04    1.3835E-15    3.9026E-08    6.8781E-03    9.8536E-01    7.7641E-03    2.0541E-09    1.6769E-21    3.0376E-39
    1.581332E+04    2.8924E-12    1.8917E-05    3.2527E-01    6.7470E-01    6.2221E-06    1.7953E-16    8.3552E-34    4.0619E-58
    1.611284E+04    3.5350E-10    6.0430E-04    9.7358E-01    2.5819E-02    1.8399E-10    3.3016E-25    8.4314E-48    1.7592E-76
    1.636570E+04    2.7737E-08    1.0792E-02    9.8908E-01    1.2491E-04    9.7141E-17    7.7465E-37    7.6022E-67    7.4232E-90
    1.654730E+04    3.9630E-07    6.8397E-02    9.3160E-01    2.6625E-06    2.2739E-21    1.7062E-45    1.3337E-73    1.5460E-98
    1.669441E+04    3.4009E-06    2.8763E-01    7.1237E-01    6.8471E-08    1.2167E-25    2.3492E-53    7.0646E-78    2.1561-106
    1.681682E+04    1.9811E-05    7.3022E-01    2.6976E-01    6.2391E-10    1.2692E-30    2.2943E-59    7.7022E-83    2.4053-112
    1.692241E+04    5.5375E-05    9.4566E-01    5.4290E-02    3.0144E-12    6.4381E-36    1.2641E-63    4.5730E-88    1.4735-116
    1.702116E+04    9.8177E-05    9.8708E-01    1.2825E-02    3.1104E-14    1.9813E-40    9.1139E-66    1.8859E-92    1.3607-118
    1.711664E+04    1.4089E-04    9.9540E-01    4.4623E-03    1.0910E-15    1.0384E-43    4.0787E-67    1.2693E-95    7.8644-120
    1.721561E+04    1.8887E-04    9.9790E-01    1.9151E-03    7.6099E-17    1.8114E-46    3.3600E-68    2.6167E-98    7.6846-121
    1.732334E+04    2.5448E-04    9.9889E-01    8.5386E-04    6.1967E-18    6.0252E-49    3.0624E-69    9.7495-101    7.8614-122
    1.744562E+04    3.4445E-04    9.9926E-01    3.9136E-04    5.6387E-19    2.6731E-51    2.9963E-70    4.6520-103    8.2832-123
