#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 ne5 ne6
4.4019e+03 2.3281e-33 1.6676e-25 1.9206e-18 8.7660e-12 2.4230e-06 1.4511e-02 9.8549e-01
4.6708e+03 1.5950e-33 1.1916e-25 1.4195e-18 6.8419e-12 2.0267e-06 1.3233e-02 9.8677e-01
4.9561e+03 5.2889e-34 4.5764e-26 6.2215e-19 3.5504e-12 1.2782e-06 1.0458e-02 9.8954e-01
5.2588e+03 1.9788e-34 1.9708e-26 3.0556e-19 2.0347e-12 8.6889e-07 8.5967e-03 9.9140e-01
5.5800e+03 1.2583e-34 1.3475e-26 2.2437e-19 1.6094e-12 7.4184e-07 7.9420e-03 9.9206e-01
5.9209e+03 1.2388e-34 1.3774e-26 2.4143e-19 1.7616e-12 8.0612e-07 8.3258e-03 9.9167e-01
6.2825e+03 1.6104e-34 1.8273e-26 3.3523e-19 2.4039e-12 1.0339e-06 9.5249e-03 9.9047e-01
6.6663e+03 2.6451e-34 2.9756e-26 5.5737e-19 3.7918e-12 1.4694e-06 1.1487e-02 9.8851e-01
7.0735e+03 5.6451e-34 6.1900e-26 1.1765e-18 7.3416e-12 2.4341e-06 1.5013e-02 9.8498e-01
7.5056e+03 1.6147e-33 1.7303e-25 3.4142e-18 1.8963e-11 5.0425e-06 2.2100e-02 9.7790e-01
7.9641e+03 6.5172e-33 6.6318e-25 1.3342e-17 6.2788e-11 1.2517e-05 3.5681e-02 9.6431e-01
8.4505e+03 3.9663e-32 3.6449e-24 7.1498e-17 2.6694e-10 3.6939e-05 6.2603e-02 9.3736e-01
8.9668e+03 4.9517e-31 3.9300e-23 7.3705e-16 1.9709e-09 1.6262e-04 1.3282e-01 8.6702e-01
9.5145e+03 1.8206e-29 1.1632e-21 2.0066e-14 3.2340e-08 1.2351e-03 3.4322e-01 6.5555e-01
1.0096e+04 2.0396e-27 9.4922e-20 1.3768e-12 1.0365e-06 1.2792e-02 7.4720e-01 2.4001e-01
1.0712e+04 8.9769e-25 2.7895e-17 2.9202e-10 6.8507e-05 1.5143e-01 8.3100e-01 1.7495e-02
1.1367e+04 1.8196e-21 3.5367e-14 1.7410e-07 6.2155e-03 8.7951e-01 1.1424e-01 3.0852e-05
1.2062e+04 9.9550e-18 1.3617e-10 1.4748e-04 3.0881e-01 6.9071e-01 3.3015e-04 1.1855e-10
1.2794e+04 9.3559e-15 1.0100e-07 1.3886e-02 9.7159e-01 1.4521e-02 8.4221e-09 9.4395e-19
1.3528e+04 2.9027e-12 2.1517e-05 3.2538e-01 6.7454e-01 5.4048e-05 2.9955e-14 6.9515e-28
1.4194e+04 2.4340e-10 8.1198e-04 9.6318e-01 3.6005e-02 7.1165e-09 1.4294e-21 1.8969e-39
1.4758e+04 2.2857e-08 1.9352e-02 9.8040e-01 2.5184e-04 2.6771e-14 2.7436e-31 0.0000e+00
1.5240e+04 4.5302e-06 4.9752e-01 5.0248e-01 3.0968e-07 3.8036e-21 2.9988e-43 0.0000e+00
1.5647e+04 9.1693e-05 9.8556e-01 1.4346e-02 1.3974e-11 1.0714e-29 0.0000e+00 0.0000e+00
1.5960e+04 1.3651e-03 9.9852e-01 1.1768e-04 7.9312e-17 1.0979e-39 0.0000e+00 0.0000e+00
1.6187e+04 2.7593e-02 9.7241e-01 4.6264e-07 7.1934e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.6354e+04 4.4801e-01 5.5199e-01 5.1996e-10 5.8337e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.6484e+04 9.6982e-01 3.0182e-02 2.6970e-14 6.5218e-39 0.0000e+00 0.0000e+00 0.0000e+00
1.6593e+04 9.9885e-01 1.1479e-03 1.6386e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6692e+04 9.9991e-01 8.7054e-05 7.2408e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6788e+04 9.9999e-01 1.3951e-05 2.6810e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6888e+04 1.0000e+00 3.5354e-06 3.9044e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6999e+04 1.0000e+00 1.0748e-06 1.0036e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7146e+04 1.0000e+00 3.3016e-07 2.6966e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7416e+04 1.0000e+00 5.9901e-08 1.5032e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7888e+04 1.0000e+00 2.8811e-09 1.6538e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 1.0000e+00 1.0429e-10 8.5190e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 1.0000e+00 4.8475e-12 8.8282e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 1.0000e+00 2.7181e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 1.0000e+00 1.9340e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 1.0000e+00 1.7188e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 1.0000e+00 1.7722e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 1.0000e+00 2.0979e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 1.0000e+00 2.9681e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4868e+04 1.0000e+00 5.5033e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5699e+04 1.0000e+00 1.3235e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.6588e+04 1.0000e+00 3.3509e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7638e+04 1.0000e+00 4.7626e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8987e+04 1.0000e+00 2.1133e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0652e+04 1.0000e+00 8.2572e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2516e+04 1.0000e+00 9.7908e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.4459e+04 1.0000e+00 4.4885e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6371e+04 1.0000e+00 2.7810e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8150e+04 1.0000e+00 1.5697e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9750e+04 1.0000e+00 2.9470e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.1174e+04 1.0000e+00 1.6459e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2468e+04 1.0000e+00 2.4521e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3688e+04 1.0000e+00 1.2057e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4884e+04 1.0000e+00 3.1497e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6084e+04 1.0000e+00 9.6696e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.7294e+04 1.0000e+00 5.1181e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8516e+04 1.0000e+00 4.9540e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9754e+04 1.0000e+00 5.3111e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.1012e+04 1.0000e+00 6.1908e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2292e+04 1.0000e+00 7.4489e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3596e+04 1.0000e+00 9.0112e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.4921e+04 1.0000e+00 1.0973e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6265e+04 1.0000e+00 1.3408e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7622e+04 1.0000e+00 1.6426e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8985e+04 1.0000e+00 2.0035e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0341e+04 1.0000e+00 2.4458e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.1676e+04 1.0000e+00 2.9519e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2975e+04 1.0000e+00 3.5448e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4219e+04 1.0000e+00 4.2113e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5388e+04 1.0000e+00 4.9313e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6461e+04 1.0000e+00 5.6771e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7422e+04 1.0000e+00 6.4256e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8257e+04 1.0000e+00 7.1376e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8960e+04 1.0000e+00 7.8060e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9475e+04 1.0000e+00 8.3587e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9758e+04 1.0000e+00 8.5973e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9886e+04 1.0000e+00 8.6328e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9950e+04 1.0000e+00 8.7226e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9982e+04 1.0000e+00 8.2420e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9996e+04 1.0000e+00 9.6333e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 1.0000e+00 2.3290e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.0089
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 ne5 ne6
4.4010e+02 7.0159e-29 1.5027e-20 1.0834e-12 1.6984e-06 2.4570e-02 8.6123e-01 1.1419e-01
8.8623e+02 7.6798e-20 1.9993e-13 1.7542e-07 3.5143e-03 6.7202e-01 3.2386e-01 6.0400e-04
9.0614e+02 7.7824e-20 2.0237e-13 1.7736e-07 3.5406e-03 6.7356e-01 3.2230e-01 5.9620e-04
9.4442e+02 7.7704e-20 2.0209e-13 1.7714e-07 3.5377e-03 6.7339e-01 3.2247e-01 5.9705e-04
9.9911e+02 7.8039e-20 2.0288e-13 1.7776e-07 3.5459e-03 6.7386e-01 3.2200e-01 5.9466e-04
1.0608e+03 7.7096e-20 2.0073e-13 1.7615e-07 3.5249e-03 6.7268e-01 3.2319e-01 6.0058e-04
1.1257e+03 7.6210e-20 1.9852e-13 1.7429e-07 3.4989e-03 6.7112e-01 3.2477e-01 6.0865e-04
1.1944e+03 7.1287e-20 1.8676e-13 1.6493e-07 3.3702e-03 6.6339e-01 3.3259e-01 6.4932e-04
1.2673e+03 5.5217e-20 1.4795e-13 1.3368e-07 2.9207e-03 6.3361e-01 3.6265e-01 8.2485e-04
1.3448e+03 1.7827e-20 5.2966e-14 5.2806e-08 1.5309e-03 4.9937e-01 4.9696e-01 2.1356e-03
1.4269e+03 1.6008e-21 5.9004e-15 7.0255e-09 3.5206e-04 2.5298e-01 7.3585e-01 1.0816e-02
1.5140e+03 1.0094e-22 4.7991e-16 6.8529e-10 6.0590e-05 9.8180e-02 8.5762e-01 4.4137e-02
1.6065e+03 9.3843e-24 5.6337e-17 9.4230e-11 1.3171e-05 4.0699e-02 8.4386e-01 1.1543e-01
1.7047e+03 1.0747e-24 7.9217e-18 1.5047e-11 3.1196e-06 1.6884e-02 7.4445e-01 2.3866e-01
1.8088e+03 9.4122e-26 8.6700e-19 1.8787e-12 5.8819e-07 5.7304e-03 5.5797e-01 4.3630e-01
1.9193e+03 5.6538e-27 6.7237e-20 1.7009e-13 8.2673e-08 1.4984e-03 3.3493e-01 6.6357e-01
2.0365e+03 2.4720e-28 3.8842e-21 1.1666e-14 8.9533e-09 3.0848e-04 1.6258e-01 8.3711e-01
2.1609e+03 9.1527e-30 1.9368e-22 7.0477e-16 8.5902e-10 5.6395e-05 6.9978e-02 9.2997e-01
2.2929e+03 3.2557e-31 9.4270e-24 4.2531e-17 8.2222e-11 1.0177e-05 2.9126e-02 9.7086e-01
2.4330e+03 1.2942e-32 5.0746e-25 2.8281e-18 8.4784e-12 1.9230e-06 1.2280e-02 9.8772e-01
2.5816e+03 7.8037e-34 3.9802e-26 2.6726e-19 1.1681e-12 4.4721e-07 5.7460e-03 9.9425e-01
2.7393e+03 8.9820e-35 5.6382e-27 4.4141e-20 2.5790e-13 1.4716e-07 3.2206e-03 9.9678e-01
2.9067e+03 1.9999e-35 1.4700e-27 1.3061e-20 9.3867e-14 7.0349e-08 2.1956e-03 9.9780e-01
3.0842e+03 8.5313e-36 7.0531e-28 6.9917e-21 5.7251e-14 4.9739e-08 1.8394e-03 9.9816e-01
3.2726e+03 7.3703e-36 6.5240e-28 7.0255e-21 6.0182e-14 5.3027e-08 1.9123e-03 9.9809e-01
3.4725e+03 1.1696e-35 1.0573e-27 1.2022e-20 9.9815e-14 7.9524e-08 2.3779e-03 9.9762e-01
3.6846e+03 3.2414e-35 2.8958e-27 3.4430e-20 2.5932e-13 1.6746e-07 3.5371e-03 9.9646e-01
3.9097e+03 1.2334e-34 1.0910e-26 1.3913e-19 9.2159e-13 4.4992e-07 5.9949e-03 9.9400e-01
4.1484e+03 4.8930e-34 4.1156e-26 5.3510e-19 3.0406e-12 1.1220e-06 9.7343e-03 9.9026e-01
4.4019e+03 1.1621e-33 9.1120e-26 1.1372e-18 5.7682e-12 1.8038e-06 1.2479e-02 9.8752e-01
4.6708e+03 7.9764e-34 6.5225e-26 8.4198e-19 4.5088e-12 1.5104e-06 1.1386e-02 9.8861e-01
4.9561e+03 2.6478e-34 2.5077e-26 3.6947e-19 2.3419e-12 9.5309e-07 8.9992e-03 9.9100e-01
5.2588e+03 9.9761e-35 1.0869e-26 1.8257e-19 1.3490e-12 6.5032e-07 7.4113e-03 9.9259e-01
5.5800e+03 6.2707e-35 7.3530e-27 1.3272e-19 1.0579e-12 5.5170e-07 6.8238e-03 9.9318e-01
5.9209e+03 6.1356e-35 7.4724e-27 1.4198e-19 1.1523e-12 5.9729e-07 7.1397e-03 9.9286e-01
6.2825e+03 7.9639e-35 9.8970e-27 1.9678e-19 1.5699e-12 7.6515e-07 8.1632e-03 9.9184e-01
6.6663e+03 1.3043e-34 1.6071e-26 3.2620e-19 2.4701e-12 1.0856e-06 9.8366e-03 9.9016e-01
7.0735e+03 2.7658e-34 3.3233e-26 6.8454e-19 4.7599e-12 1.7923e-06 1.2836e-02 9.8716e-01
7.5056e+03 7.9061e-34 9.2839e-26 1.9853e-18 1.2294e-11 3.7142e-06 1.8907e-02 9.8109e-01
7.9641e+03 3.1869e-33 3.5543e-25 7.7517e-18 4.0704e-11 9.2259e-06 3.0564e-02 9.6943e-01
8.4505e+03 1.9376e-32 1.9519e-24 4.1521e-17 1.7314e-10 2.7270e-05 5.3770e-02 9.4620e-01
8.9668e+03 2.4324e-31 2.1157e-23 4.3040e-16 1.2867e-09 1.2099e-04 1.1511e-01 8.8477e-01
9.5145e+03 9.2641e-30 6.4752e-22 1.2111e-14 2.1820e-08 9.4950e-04 3.0739e-01 6.9166e-01
1.0096e+04 1.1140e-27 5.6532e-20 8.8873e-13 7.4797e-07 1.0526e-02 7.1733e-01 2.7215e-01
1.0712e+04 5.0750e-25 1.7175e-17 1.9594e-10 5.1669e-05 1.3117e-01 8.4747e-01 2.1312e-02
1.1367e+04 1.1369e-21 2.3985e-14 1.2999e-07 5.2525e-03 8.6146e-01 1.3324e-01 4.3601e-05
1.2062e+04 6.4908e-18 9.5779e-11 1.1538e-04 2.7566e-01 7.2381e-01 4.1894e-04 1.8641e-10
1.2794e+04 6.6856e-15 7.7903e-08 1.2025e-02 9.7065e-01 1.7323e-02 1.2434e-08 1.7772e-18
1.3528e+04 2.1382e-12 1.7208e-05 2.9349e-01 7.0642e-01 6.8304e-05 4.7454e-14 1.4299e-27
1.4194e+04 1.9498e-10 7.1260e-04 9.5747e-01 4.1822e-02 1.0081e-08 2.5710e-21 4.5095e-39
1.4758e+04 1.8269e-08 1.7028e-02 9.8267e-01 2.9855e-04 3.9576e-14 5.3073e-31 0.0000e+00
1.5240e+04 3.6254e-06 4.5225e-01 5.4775e-01 4.3088e-07 7.3934e-21 8.8282e-43 0.0000e+00
1.5647e+04 8.1376e-05 9.8295e-01 1.6968e-02 2.0859e-11 2.2117e-29 0.0000e+00 0.0000e+00
1.5960e+04 1.1732e-03 9.9868e-01 1.4737e-04 1.3532e-16 2.8946e-39 0.0000e+00 0.0000e+00
1.6187e+04 2.3456e-02 9.7654e-01 5.9826e-07 1.3229e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.6354e+04 3.7719e-01 6.2281e-01 9.5439e-10 2.1782e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.6484e+04 9.5625e-01 4.3750e-02 7.6411e-14 5.0159e-38 0.0000e+00 0.0000e+00 0.0000e+00
1.6593e+04 9.9859e-01 1.4084e-03 2.8204e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6692e+04 9.9993e-01 6.5733e-05 2.9660e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6788e+04 9.9999e-01 1.1449e-05 1.4015e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6888e+04 1.0000e+00 3.3325e-06 3.1022e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6999e+04 1.0000e+00 1.4652e-06 2.4041e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7146e+04 1.0000e+00 5.4466e-07 1.1244e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7416e+04 1.0000e+00 9.1016e-08 4.8198e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7888e+04 1.0000e+00 4.2718e-09 4.8824e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 1.0000e+00 1.6021e-10 2.7935e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 1.0000e+00 8.0490e-12 3.6154e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 1.0000e+00 4.9002e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
